date, pm25, pm10, o3, no2, so2, co
2020/1/2, 81, 49, 29, 5, , 1
2020/1/3, 68, 34, 15, 13, , 1
2020/1/4, 63, 22, 16, 10, , 1
2020/1/5, 53, 26, 18, 11, , 1
2020/1/6, 66, 33, 18, 13, , 1
2020/1/7, 80, 46, 14, 14, , 1
2020/1/8, 72, 57, 32, 3, , 1
2020/1/9, 73, 85, 33, 13, , 1
2020/1/10, 102, 44, 26, 16, , 2
2020/1/11, 68, 53, 18, 12, , 3
2020/1/12, 89, 40, 29, 5, , 1
2020/1/13, 72, 35, 32, 3, , 1
2020/1/14, 79, 77, 33, 8, , 1
2020/1/15, 92, 29, 29, 3, , 1
2020/1/16, 44, , , , , 
2019/10/1, 43, 51, 26, 5, , 1
2019/10/2, 50, 38, 14, 9, , 1
2019/10/3, 28, 73, 26, 3, , 1
2019/10/4, 79, 60, 26, 11, 1, 
2019/10/5, 53, 47, 26, 4, , 1
2019/10/6, 45, 56, 22, 14, 1, 1
2019/10/7, 65, 57, 25, 6, , 1
2019/10/8, 56, 90, 25, 14, 1, 1
2019/10/9, 97, 93, 25, 9, 1, 1
2019/10/10, 79, 70, 25, 10, , 1
2019/10/11, 57, 41, 29, 4, , 1
2019/10/12, 41, 28, 31, 6, , 1
2019/10/13, 29, 26, 29, 5, , 1
2019/10/14, 29, 48, 24, 6, 1, 1
2019/10/15, 46, 21, 28, 3, , 1
2019/10/16, 12, 47, 28, 11, 1, 1
2019/10/17, 59, 59, 26, 9, 1, 1
2019/10/18, 63, 43, 28, 11, 1, 1
2019/10/19, 41, 45, 31, 1, , 1
2019/10/20, 44, 40, 28, 9, 1, 1
2019/10/21, 45, 31, 30, 12, 1, 1
2019/10/22, 42, 28, 32, 3, , 1
2019/10/23, 28, 29, 26, 8, 1, 1
2019/10/24, 29, 26, 29, 9, , 1
2019/10/25, 37, 30, 35, 7, , 
2019/10/26, 53, 45, 31, 9, , 
2019/10/27, 64, 38, 27, 10, , 1
2019/10/28, 44, 19, 24, 7, , 1
2019/10/29, 29, 13, 23, 4, , 1
2019/10/30, 14, 23, 13, 13, , 1
2019/10/31, 32, 28, 23, 4, , 1
2019/11/1, 39, 38, 28, 5, , 1
2019/11/2, 49, 64, 29, 2, 1, 1
2019/11/3, 85, 58, 32, 1, 1, 1
2019/11/4, 76, 71, 30, 1, , 1
2019/11/5, 84, 74, 30, 6, 1, 1
2019/11/6, 66, 55, 30, 2, 1, 1
2019/11/7, 84, 74, 29, 2, 1, 1
2019/11/8, 123, 71, 31, 3, 1, 1
2019/11/9, 70, 59, 31, 4, 1, 1
2019/11/10, 65, 57, 32, 2, 1, 1
2019/11/11, 58, 68, 27, 7, 1, 1
2019/11/12, 82, 54, 31, 2, 1, 
2019/11/13, 62, 65, 33, , 1, 
2019/11/14, 159, 67, 31, , 1, 
2019/11/15, 111, 56, 30, 6, 1, 
2019/11/16, 65, 44, 34, 2, 1, 
2019/11/17, 54, 43, 29, 17, 2, 1
2019/11/18, 51, 37, 18, 16, 1, 1
2019/11/19, 55, 43, 21, 13, 1, 1
2019/11/20, 59, 53, 27, 9, 2, 1
2019/11/21, 64, 30, 33, 5, 1, 1
2019/11/22, 53, 63, 37, , , 1
2019/11/23, 83, 32, 27, 4, 1, 1
2019/11/24, 49, 47, 24, 8, , 1
2019/11/25, 49, 37, 27, 5, , 1
2019/11/26, 60, 50, 26, 9, , 1
2019/11/27, 59, 45, 26, 13, , 1
2019/11/28, 52, 27, 21, 18, , 1
2019/11/29, 42, 39, 29, 6, , 1
2019/11/30, 48, 27, 31, 2, , 1
2019/12/1, 37, 37, 30, 2, 1, 1
2019/12/2, 57, , 28, 8, 1, 1
2019/12/5, 65, 55, 23, 16, 1, 1
2019/12/6, 70, 28, 15, 12, , 1
2019/12/7, 55, 54, 31, 5, , 1
2019/12/8, 50, 176, 29, 12, 1, 1
2019/12/9, 134, 45, 18, 16, , 1
2019/12/10, 71, 52, 33, 2, , 1
2019/12/11, 56, 50, 32, 4, , 1
2019/12/12, 98, 55, 32, 4, , 1
2019/12/13, 117, 56, 28, 6, 2, 1
2019/12/14, 82, 70, 31, 7, 1, 1
2019/12/15, 94, 47, 32, 10, , 1
2019/12/16, 64, 35, 20, 20, , 1
2019/12/17, 54, 16, 28, 6, 1, 1
2019/12/18, 39, 29, 36, 5, 1, 1
2019/12/19, 66, 46, 30, 8, 1, 1
2019/12/20, 58, 32, 27, 4, , 1
2019/12/21, 51, 70, 33, 2, 1, 1
2019/12/22, 111, 45, 25, 6, 1, 1
2019/12/23, 62, 44, 21, 8, , 1
2019/12/24, 40, 31, 24, 6, , 1
2019/12/25, 42, 53, 30, 14, , 1
2019/12/26, 62, 41, 14, 19, 1, 1
2019/12/27, 60, 50, 13, 17, , 1
2019/12/28, 64, , , , , 
2019/7/1, 25, 22, 28, 1, 1, 1
2019/7/2, 36, 32, 31, 2, , 1
2019/7/3, 42, 44, 38, 6, 1, 1
2019/7/4, 63, 36, 32, 7, , 1
2019/7/5, 58, 26, 29, 4, , 1
2019/7/6, 54, 25, 42, 1, , 1
2019/7/7, 47, 25, 41, 1, , 1
2019/7/8, 35, 24, 37, 1, , 1
2019/7/9, 36, 29, 40, 7, , 1
2019/7/10, 53, 29, 38, 6, , 1
2019/7/11, 47, 27, 37, 5, 1, 1
2019/7/12, 44, 24, 37, 4, 1, 1
2019/7/13, 25, 25, 32, 1, , 1
2019/7/14, 34, 28, 38, 2, 1, 1
2019/7/15, 46, 28, 37, 1, 1, 1
2019/7/16, 38, 27, 34, 1, , 1
2019/7/17, 37, 31, 19, 7, 1, 1
2019/7/18, 42, 29, 19, 2, , 1
2019/7/19, 34, 26, 28, 3, , 1
2019/7/20, 33, 28, 21, 3, , 1
2019/7/21, 28, 25, 19, 4, , 1
2019/7/22, 31, 33, 22, 7, , 1
2019/7/23, 46, 27, 20, 6, 1, 1
2019/7/24, 30, 33, 22, 3, 1, 2
2019/7/25, 34, 53, 21, 5, , 1
2019/7/26, 55, 42, 24, 3, , 2
2019/7/27, 26, 21, 23, 5, , 1
2019/7/28, 25, 42, 26, 1, , 3
2019/7/29, 47, 65, 26, 1, , 2
2019/7/30, 56, 48, 29, 6, , 1
2019/7/31, 34, 27, 25, 1, 1, 1
2019/8/1, 23, 29, 30, 5, 1, 1
2019/8/2, 27, 24, 29, 5, , 2
2019/8/3, 33, 27, 26, 1, , 2
2019/8/4, 29, 29, 23, 7, , 2
2019/8/5, 28, 23, 16, 4, 1, 4
2019/8/6, 19, 14, 11, 6, 1, 2
2019/8/7, 17, 10, 11, 3, , 3
2019/8/8, 11, 34, 23, 4, 1, 4
2019/8/9, 68, 53, 26, 3, , 3
2019/8/10, 49, 44, 26, 2, 1, 5
2019/8/11, 31, 38, 30, 4, , 2
2019/8/12, 36, 26, 25, 7, 1, 3
2019/8/13, 24, 23, 20, 10, , 1
2019/8/14, 28, 32, 24, 3, , 1
2019/8/15, 29, 28, 17, 10, , 1
2019/8/16, 26, 18, 13, 4, 1, 1
2019/8/17, 13, 40, 31, 2, , 1
2019/8/18, 38, 49, 27, 5, 1, 2
2019/8/19, 40, 31, 27, 1, , 1
2019/8/20, 30, 29, 30, 4, , 1
2019/8/21, 32, 37, 34, 6, 2, 1
2019/8/22, 40, 37, 37, 8, 2, 2
2019/8/23, 55, 44, 34, 4, 3, 1
2019/8/24, 48, 29, 32, 2, 3, 9
2019/8/25, 30, 26, 29, 5, 3, 3
2019/8/26, 33, 26, 23, 3, 3, 1
2019/8/27, 27, 49, 23, 2, 2, 8
2019/8/28, 49, 58, 25, 5, 3, 2
2019/8/29, 51, 38, 26, 6, 2, 1
2019/8/30, 47, 45, 24, 3, 3, 
2019/8/31, 42, 37, 28, 1, 2, 
2019/9/1, 23, 36, 30, 3, 3, 
2019/9/2, 36, 29, 30, 5, 3, 1
2019/9/3, 36, 31, 33, 3, 3, 1
2019/9/4, 39, 31, 28, 3, 3, 1
2019/9/5, 45, 34, 30, 3, 4, 1
2019/9/6, 49, 27, 31, 2, 3, 1
2019/9/7, 39, 27, 27, 1, 2, 1
2019/9/8, 34, 33, 26, 5, 2, 1
2019/9/9, 37, 41, 27, 1, 1, 1
2019/9/10, 43, 56, 26, 6, 2, 1
2019/9/11, 58, 37, 32, 7, , 1
2019/9/12, 43, 32, 34, 6, 1, 1
2019/9/13, 41, 31, 31, 5, , 1
2019/9/14, 43, 42, 35, 4, 1, 1
2019/9/15, 57, 40, 34, 4, , 1
2019/9/16, 55, 49, 30, 10, 1, 1
2019/9/17, 73, 41, 30, 9, , 1
2019/9/18, 55, 29, 37, 5, , 1
2019/9/19, 39, 23, 33, 6, 1, 1
2019/9/20, 48, 22, 26, 2, , 1
2019/9/21, 34, 33, 24, 2, 1, 1
2019/9/22, 45, 27, 22, 3, , 1
2019/9/23, 28, 35, 25, 4, , 1
2019/9/24, 43, 61, 22, 5, 1, 1
2019/9/25, 72, 50, 24, 5, 1, 1
2019/9/26, 49, 59, 27, 5, 1, 1
2019/9/27, 71, 82, 27, 8, 1, 1
2019/9/28, 83, 53, 20, 2, , 1
2019/9/29, 30, 32, 12, 5, , 1
2019/9/30, 34, 33, 26, 5, , 1
2019/4/1, 68, 39, 44, 1, 1, 
2019/4/2, 46, 34, 40, 3, , 
2019/4/3, 26, 46, 37, 7, , 
2019/4/4, 23, 33, 32, 8, 2, 
2019/4/5, 23, 34, 42, 2, 1, 
2019/4/6, 18, 41, 34, 5, , 
2019/4/7, 22, 21, 37, 6, , 
2019/4/8, 21, 27, 39, 3, , 
2019/4/9, 20, 41, 39, 1, , 
2019/4/10, 19, 36, 38, 8, , 
2019/4/11, 32, 33, 40, 10, , 
2019/4/12, 49, 34, 32, 9, , 
2019/4/13, 47, 18, 16, 3, , 
2019/4/14, 22, 15, 38, 3, , 
2019/4/15, 17, 29, 35, 5, , 
2019/4/16, 20, 32, 31, 11, , 
2019/4/17, 30, 17, 40, 3, 1, 
2019/4/18, 22, 20, 43, 2, , 
2019/4/19, 21, 26, 47, 4, , 
2019/4/20, 32, 41, 49, 4, 1, 
2019/4/21, 55, 50, 46, 8, , 
2019/4/22, 63, 32, 40, 5, , 
2019/4/23, 43, 29, 34, 5, , 
2019/4/24, 19, 28, 37, 4, , 
2019/4/25, 23, 48, 37, 3, , 
2019/4/26, 30, 56, 34, 4, , 
2019/4/27, 30, 57, 34, 6, 1, 
2019/4/28, 42, 60, 37, 8, , 
2019/4/29, 53, 46, 34, 3, , 
2019/4/30, 52, 36, 36, , , 
2019/5/1, 44, 28, 37, , , 
2019/5/2, 29, 21, 40, 3, , 
2019/5/3, 49, 20, 39, 5, 1, 1
2019/5/4, 36, 23, 37, 4, , 1
2019/5/5, 38, 30, 37, 11, 1, 1
2019/5/6, 52, 22, 32, 7, , 1
2019/5/7, 30, 33, 32, 4, , 1
2019/5/8, 51, 53, 27, 10, , 1
2019/5/9, 50, 26, 30, 4, 1, 1
2019/5/10, 26, 25, 33, 7, , 1
2019/5/11, 35, 26, 35, 8, , 1
2019/5/12, 42, 26, 38, 13, , 1
2019/5/13, 49, 37, 43, 12, , 1
2019/5/14, 55, 47, 42, 7, , 1
2019/5/15, 65, 46, 42, 3, 1, 1
2019/5/16, 57, 48, 35, , 1, 1
2019/5/17, 46, 45, 35, , , 1
2019/5/18, 40, 38, 43, 2, , 1
2019/5/19, 34, 22, 40, 7, , 1
2019/5/20, 44, 24, 36, 10, 1, 1
2019/5/21, 42, 29, 33, 13, , 1
2019/5/22, 54, 31, 32, 5, , 1
2019/5/23, 47, 31, 31, 1, , 1
2019/5/24, 36, 24, 31, , , 1
2019/5/25, 32, 24, 31, 1, , 1
2019/5/26, 32, 24, 30, 1, 1, 1
2019/5/27, 29, 28, 29, 5, , 1
2019/5/28, 38, 31, 26, 7, , 1
2019/5/29, 43, 38, 31, 10, , 1
2019/5/30, 49, 41, 41, 14, , 1
2019/5/31, 45, 49, 28, 10, , 1
2019/6/1, 65, 44, 18, 5, , 1
2019/6/2, 51, 29, 31, 1, , 1
2019/6/3, 19, 30, 35, 2, , 1
2019/6/4, 33, 34, 37, 4, , 1
2019/6/5, 34, 28, 32, 5, , 1
2019/6/6, 36, 44, 35, 1, , 1
2019/6/7, 49, 35, 34, 7, , 1
2019/6/8, 37, 25, 34, 7, 1, 1
2019/6/9, 36, 21, 34, 6, 1, 1
2019/6/10, 25, 24, 35, , , 1
2019/6/11, 26, 38, 35, 1, 1, 1
2019/6/12, 42, 35, 33, 7, , 1
2019/6/13, 45, 28, 34, 6, , 1
2019/6/14, 35, 24, 34, 3, 1, 1
2019/6/15, 34, 29, 33, 5, 1, 1
2019/6/16, 35, 28, 29, 6, 1, 1
2019/6/17, 43, 29, 25, 9, , 1
2019/6/18, 50, 17, 36, 3, 2, 1
2019/6/19, 18, 16, 31, 1, 1, 1
2019/6/20, 22, 19, 25, 7, , 1
2019/6/21, 27, 18, 26, 8, , 1
2019/6/22, 31, 20, 27, 4, , 1
2019/6/23, 30, 53, 37, 8, , 1
2019/6/24, 98, 33, 30, 7, , 1
2019/6/25, 48, 24, 31, 7, 1, 1
2019/6/26, 40, 22, 29, 6, , 1
2019/6/27, 29, 23, 27, 7, 1, 1
2019/6/28, 36, 22, 22, 7, 1, 1
2019/6/29, 43, 19, 26, 1, , 1
2019/6/30, 31, 17, 25, 1, , 1
2019/1/1, 65, 26, 23, 13, 5, 2
2019/1/2, 51, 19, 17, 12, 2, 1
2019/1/3, 49, 31, 7, 18, 3, 1
2019/1/4, 63, 33, 11, 19, 3, 1
2019/1/5, 69, 33, 12, 18, 3, 1
2019/1/6, 73, 25, 20, 13, 2, 1
2019/1/7, 60, 18, 20, 11, 2, 1
2019/1/8, 51, 13, 27, 10, 1, 4
2019/1/9, 32, 19, 30, 7, 2, 2
2019/1/10, 36, 16, 30, 6, 2, 
2019/1/11, 33, 15, 29, 11, 2, 1
2019/1/12, 33, 14, 31, 5, 2, 1
2019/1/13, 25, 16, 26, 14, 1, 1
