date, pm25, pm10, o3, no2
2020/1/2, 17, 8, 20, 5
2020/1/3, 19, 4, 16, 8
2020/1/4, 11, 3, 14, 9
2020/1/5, 8, 5, 19, 6
2020/1/6, 13, 7, 18, 3
2020/1/7, 19, 8, 19, 9
2020/1/8, 18, 8, 3, 18
2020/1/9, 22, 7, 17, 12
2020/1/10, 22, 2, 19, 5
2020/1/11, 7, 6, 15, 7
2020/1/12, 14, 13, 19, 6
2020/1/13, 28, 7, 21, 5
2020/1/14, 17, 6, 20, 4
2020/1/15, 16, 7, 16, 4
2020/1/16, 17, , , 
2019/10/1, 13, 9, 18, 2
2019/10/2, 15, 10, 19, 8
2019/10/3, 21, 13, 27, 7
2019/10/4, 21, 11, 7, 10
2019/10/5, 21, 26, 23, 2
2019/10/6, 39, 18, 21, 6
2019/10/7, 37, 10, 19, 3
2019/10/8, 23, 7, 20, 3
2019/10/9, 14, 6, 20, 5
2019/10/10, 14, 8, 21, 4
2019/10/11, 20, 6, 21, 6
2019/10/12, 16, 9, 14, 10
2019/10/13, 26, 9, 13, 12
2019/10/14, 29, 11, 18, 13
2019/10/15, 30, 12, 14, 12
2019/10/16, 29, 12, 14, 
2019/10/17, 26, 11, 8, 
2019/10/18, 28, 13, , 
2019/10/19, 24, 10, , 
2019/10/20, 18, 7, 11, 9
2019/10/21, 18, 8, 17, 6
2019/10/22, 17, 12, 22, 6
2019/10/23, 26, 10, 21, 6
2019/10/24, 20, 8, 19, 7
2019/10/25, 17, 8, 22, 8
2019/10/26, 19, 6, 24, 2
2019/10/27, 12, 7, 24, 5
2019/10/28, 16, 8, 22, 8
2019/10/29, 19, 12, 17, 17
2019/10/30, 31, 13, 20, 15
2019/10/31, 29, 14, 17, 9
2019/11/1, 33, 18, 20, 4
2019/11/2, 27, 32, 16, 6
2019/11/3, 33, , , 
2019/11/5, 49, 7, 25, 9
2019/11/6, 19, 10, 29, 2
2019/11/7, 15, , 23, 10
2019/11/14, 9, 6, , 
2019/11/15, 14, 6, 13, 
2019/11/16, 22, 5, , 
2019/11/17, 16, 5, 8, 17
2019/11/18, 14, 10, 12, 20
2019/11/19, 28, 16, 10, 14
2019/11/20, 40, 11, 15, 13
2019/11/21, 20, 18, 19, 6
2019/11/22, 32, 28, 20, 4
2019/11/23, 52, 36, 11, 4
2019/11/24, 70, 30, 14, 8
2019/11/25, 61, 14, 12, 5
2019/11/26, 26, 11, 17, 6
2019/11/27, 25, 8, 17, 3
2019/11/28, 17, 5, 14, 8
2019/11/29, 11, 7, 7, 14
2019/11/30, 23, 2, 15, 7
2019/12/1, 7, 5, 16, 10
2019/12/2, 9, 7, 6, 12
2019/12/3, 20, 6, 13, 9
2019/12/4, 18, 3, 18, 7
2019/12/5, 9, 3, 13, 10
2019/12/6, 6, 3, 13, 10
2019/12/7, 10, 2, 22, 5
2019/12/8, 6, 10, 20, 7
2019/12/9, 25, 10, 17, 6
2019/12/10, 24, 3, 20, 5
2019/12/11, 9, 6, 19, 11
2019/12/12, 15, 7, 14, 5
2019/12/13, 13, 2, 12, 7
2019/12/14, 6, 3, 13, 9
2019/12/15, 9, 6, 12, 12
2019/12/16, 20, 6, 10, 13
2019/12/17, 15, 7, 11, 14
2019/12/18, 18, 19, 14, 10
2019/12/19, 46, 22, 14, 14
2019/12/20, 48, 8, 11, 12
2019/12/21, 25, 11, 2, 14
2019/12/22, 43, 20, 1, 15
2019/12/23, 63, 5, 4, 12
2019/12/24, 17, 13, 8, 10
2019/12/25, 41, 9, 14, 10
2019/12/26, 23, 15, 12, 10
2019/12/27, 39, 9, 16, 5
2019/12/28, 25, , , 
2019/7/1, 11, 7, 23, 2
2019/7/2, 16, 8, 17, 4
2019/7/3, 16, 7, 15, 5
2019/7/4, 19, 7, 13, 5
2019/7/5, 18, 8, 23, 1
2019/7/6, 19, 9, 24, 
2019/7/7, 17, 12, 20, 4
2019/7/8, 24, 12, 16, 9
2019/7/9, 31, 13, 17, 6
2019/7/10, 36, 14, 12, 9
2019/7/11, 45, 7, 26, 1
2019/7/12, 18, 11, 19, 2
2019/7/13, 28, 7, 16, 2
2019/7/14, 13, 10, 18, 3
2019/7/15, 24, 15, 25, 8
2019/7/16, 44, 15, 19, 7
2019/7/17, 44, 8, 15, 5
2019/7/18, 19, 12, 21, 5
2019/7/19, 32, 11, 16, 6
2019/7/20, 29, 8, 16, 3
2019/7/21, 18, 11, 13, 3
2019/7/22, 23, 18, 19, 5
2019/7/23, 42, 21, 30, 10
2019/7/24, 50, 26, 48, 8
2019/7/25, 53, 36, 42, 11
2019/7/26, 70, 29, 35, 4
2019/7/27, 58, 35, 37, 1
2019/7/28, 60, 23, 34, 4
2019/7/29, 58, 23, 20, 9
2019/7/30, 63, 24, 27, 3
2019/7/31, 52, 10, 24, 1
2019/8/1, 23, 12, 21, 2
2019/8/2, 34, 13, 24, 3
2019/8/3, 36, 13, 24, 4
2019/8/4, 39, 13, 25, 7
2019/8/5, 31, 11, 19, 5
2019/8/6, 31, 9, 22, 6
2019/8/7, 22, 10, 23, 3
2019/8/8, 25, 14, 27, 3
2019/8/9, 24, 16, 18, 5
2019/8/10, 34, 10, 22, 1
2019/8/11, 17, 10, 20, 6
2019/8/12, 25, 8, 19, 7
2019/8/13, 20, 12, 20, 10
2019/8/14, 27, 10, 21, 6
2019/8/15, 22, 17, 14, 5
2019/8/16, 37, 11, 18, 3
2019/8/17, 25, 11, 16, 3
2019/8/18, 23, 10, 15, 5
2019/8/19, 20, 9, 19, 5
2019/8/20, 25, 12, 10, 5
2019/8/21, 31, 5, 16, 3
2019/8/22, 12, 16, 16, 4
2019/8/23, 44, 18, 23, 7
2019/8/24, 45, 34, 39, 11
2019/8/25, 81, 28, 34, 11
2019/8/26, 66, 18, 19, 8
2019/8/27, 45, 13, 24, 4
2019/8/28, 35, 11, 19, 4
2019/8/29, 27, 13, 17, 2
2019/8/30, 33, , , 
2019/9/1, 23, 7, 15, 6
2019/9/2, 15, 8, 18, 9
2019/9/3, 20, 8, 22, 3
2019/9/4, 18, 11, 22, 5
2019/9/5, 23, 8, 20, 3
2019/9/6, 16, 8, 24, 4
2019/9/7, 16, 11, 25, 7
2019/9/8, 28, 16, 23, 8
2019/9/9, 34, 10, 12, 4
2019/9/10, 22, 7, , 
2019/9/11, 19, 7, 17, 4
2019/9/12, 16, 10, 17, 8
2019/9/13, 22, 11, 16, 4
2019/9/14, 24, 17, 23, 4
2019/9/15, 34, 9, 20, 5
2019/9/16, 20, 14, 20, 4
2019/9/17, 22, 12, 17, 7
2019/9/18, 26, 14, 9, 8
2019/9/19, 32, 17, 13, 9
2019/9/20, 43, 25, 20, 8
2019/9/21, 44, 31, 26, 7
2019/9/22, 50, 20, 21, 10
2019/9/23, 48, 18, 16, 7
2019/9/24, 34, 21, 15, 5
2019/9/25, 34, 12, 15, 7
2019/9/26, 24, 11, 15, 6
2019/9/27, 23, 5, 18, 1
2019/9/28, 14, 11, 22, 2
2019/9/29, 21, 8, 23, 2
2019/9/30, 14, 8, 21, 3
2019/4/1, 35, 6, 31, 4
2019/4/2, 17, 13, 34, 1
2019/4/3, 17, 16, 36, 3
2019/4/4, 27, 26, 34, 3
2019/4/5, 50, 35, 35, 2
2019/4/6, 69, 29, 37, 1
2019/4/7, 51, 26, 36, 2
2019/4/8, 43, 19, 38, 6
2019/4/9, 38, 16, 33, 11
2019/4/10, 44, 21, 29, 10
2019/4/11, 51, 15, 29, 10
2019/4/12, 39, 11, 36, 4
2019/4/13, 26, 14, 37, 2
2019/4/14, 32, 26, 34, 4
2019/4/15, 51, 34, 38, 3
2019/4/16, 52, 28, 39, 3
2019/4/17, 55, 39, 36, 7
2019/4/18, 66, 32, 39, 9
2019/4/19, 64, 40, 43, 14
2019/4/20, 85, 40, 51, 9
2019/4/21, 97, 39, 45, 10
2019/4/22, 84, 43, 41, 3
2019/4/23, 66, 62, 41, 4
2019/4/24, 89, 31, 29, 8
2019/4/25, 61, 24, 24, 9
2019/4/26, 48, 14, 26, 4
2019/4/27, 29, 38, 26, 7
2019/4/28, 61, 13, 29, 4
2019/4/29, 30, 19, 26, 7
2019/4/30, 50, 15, 31, 4
2019/5/1, 54, 10, 32, 1
2019/5/2, 23, 9, 24, 2
2019/5/3, 16, 14, 25, 1
2019/5/4, 31, 9, 24, 2
2019/5/5, 21, 8, 24, 2
2019/5/6, 16, 9, 24, 5
2019/5/7, 20, 11, 27, 3
2019/5/8, 18, 9, 28, 2
2019/5/9, 20, 7, 21, 7
2019/5/10, 18, 6, 23, 6
2019/5/11, 18, 8, 22, 6
2019/5/12, 20, 14, 23, 10
2019/5/13, 33, 20, 33, 13
2019/5/14, 48, 24, 34, 9
2019/5/15, 68, 12, 31, 6
2019/5/16, 31, 16, 40, 3
2019/5/17, 42, 13, 36, 2
2019/5/18, 33, 12, 26, 5
2019/5/19, 39, 21, 33, 6
2019/5/20, 65, 8, 29, 5
2019/5/21, 24, 4, 28, 4
2019/5/22, 11, 5, 29, 3
2019/5/23, 13, 10, 30, 3
2019/5/24, 25, 14, 30, 3
2019/5/25, 33, 9, 30, 4
2019/5/26, 21, 6, 30, 4
2019/5/27, 12, 5, 29, 4
2019/5/28, 14, 10, 24, 7
2019/5/29, 25, 9, 26, 3
2019/5/30, 21, 9, 24, 7
2019/5/31, 25, 10, 24, 4
2019/6/1, 26, 14, 22, 5
2019/6/2, 38, 8, 24, 2
2019/6/3, 20, 10, 22, 5
2019/6/4, 23, 11, 31, 2
2019/6/5, 23, 13, 28, 4
2019/6/6, 35, 11, 28, 4
2019/6/7, 24, 13, 31, 2
2019/6/8, 37, 10, 24, 5
2019/6/9, 29, 9, 25, 3
2019/6/10, 18, 6, 25, 1
2019/6/11, 15, 13, 26, 1
2019/6/12, 26, 5, 26, 3
2019/6/13, 12, 11, 25, 6
2019/6/14, 25, 18, 24, 8
2019/6/15, 43, 12, 27, 3
2019/6/16, 30, 10, 23, 5
2019/6/17, 24, 8, 25, 3
2019/6/18, 21, 12, 27, 4
2019/6/19, 31, 6, 24, 4
2019/6/20, 12, 6, 22, 5
2019/6/21, 17, 9, 25, 5
2019/6/22, 22, 15, 26, 4
2019/6/23, 36, 12, 25, 2
2019/6/24, 29, 10, 25, 1
2019/6/25, 22, 10, 23, 3
2019/6/26, 24, 13, 17, 5
2019/6/27, 35, 15, 18, 3
2019/6/28, 35, 24, 21, 6
2019/6/29, 54, 11, 22, 2
2019/6/30, 25, 6, 21, 2
2019/1/1, 26, 16, 31, 11
2019/1/2, 34, 12, 11, 18
2019/1/3, 39, 9, 12, 15
2019/1/4, 28, 11, 16, 13
2019/1/5, 32, 13, 19, 11
2019/1/6, 34, 7, 30, 4
2019/1/7, 20, 11, 31, 2
2019/1/8, 20, 10, 29, 14
2019/1/9, 22, 7, 24, 7
2019/1/10, 19, 8, 27, 15
2019/1/11, 23, 4, 27, 3
2019/1/12, 12, 6, 31, 2
2019/1/13, 14, 6, 23, 13
2019/1/14, 16, 10, 14, 19
2019/1/15, 23, 4, 27, 10
2019/1/16, 10, 8, 30, 7
2019/1/17, 19, 13, 19, 19
2019/1/18, 26, 23, 11, 18
2019/1/19, 69, 7, 24, 9
2019/1/20, 25, 9, 24, 11
2019/1/21, 21, 9, 25, 14
2019/1/22, 22, 8, 19, 22
2019/1/23, 24, 11, 18, 23
2019/1/24, 37, 9, 24, 13
2019/1/25, 22, 4, 30, 8
2019/1/26, 11, 4, 29, 2
2019/1/27, 10, 6, 27, 13
2019/1/28, 16, 7, 21, 23
2019/1/29, 25, 7, 21, 19
2019/1/30, 18, 10, 13, 26
2019/1/31, 35, 10, 19, 22
2019/2/1, 33, 6, 22, 12
2019/2/2, 24, 6, 22, 9
2019/2/3, 21, 7, 26, 13
2019/2/4, 18, 11, 20, 20
2019/2/5, 30, 11, 19, 17
2019/2/6, 27, 11, 21, 18
2019/2/7, 27, 12, 26, 8
2019/2/8, 26, 8, 29, 5
2019/2/9, 15, 7, 27, 9
2019/2/10, 14, 9, 21, 9
2019/2/11, 17, 14, 17, 14
2019/2/12, 35, , 21, 9
2019/2/15, 63, 14, 25, 4
2019/2/16, 38, 25, 27, 5
2019/2/17, 53, 12, 30, 5
2019/2/18, 27, 10, 26, 9
2019/2/19, 23, 9, 26, 7
2019/2/20, 22, 10, 17, 12
2019/2/21, 31, 29, 26, 9
2019/2/22, 57, 40, 20, 10
2019/2/23, 84, 18, 19, 11
2019/2/24, 56, 32, 18, 13
2019/2/25, 73, 31, 17, 18
2019/2/26, 72, 29, 8, 19
2019/2/27, 74, 18, 16, 13
2019/2/28, 47, 24, 27, 8
2019/3/1, 52, 16, 25, 5
2019/3/2, 43, 11, 26, 4
2019/3/3, 27, 7, 28, 5
2019/3/4, 13, 12, 21, 17
2019/3/5, 32, 11, 29, 5
2019/3/6, 25, 10, 30, 2
2019/3/7, 26, 10, 26, 8
2019/3/8, 24, 8, 31, 3
2019/3/9, 18, 7, 26, 6
2019/3/10, 15, 9, 29, 4
2019/3/11, 17, 8, 29, 5
2019/3/12, 17, 8, 34, 4
2019/3/13, 16, 7, 31, 5
2019/3/14, 14, 6, 31, 3
2019/3/15, 11, 6, 34, 5
2019/3/16, 13, 8, 33, 1
2019/3/17, 18, 13, 30, 10
2019/3/18, 28, 8, 22, 10
2019/3/19, 18, 8, 24, 8
2019/3/20, 17, 8, 30, 6
2019/3/21, 15, 10, 28, 4
2019/3/22, 23, 10, 31, 5
2019/3/23, 21, 8, 33, 2
2019/3/24, 18, 12, 31, 5
2019/3/25, 26, 7, 29, 8
2019/3/26, 15, 9, 29, 11
2019/3/27, 21, 13, 27, 9
2019/3/28, 32, 15, 30, 8
2019/3/29, 37, 8, 32, 3
2019/3/30, 18, 11, 31, 4
2019/3/31, 17, 17, 28, 6
2018/10/1, 22, 11, 26, 3
2018/10/2, 20, 9, 20, 12
2018/10/3, 21, 5, 18, 6
2018/10/4, 14, 8, 22, 10
2018/10/5, 19, 9, 23, 13
2018/10/6, 23, 6, 19, 5
2018/10/7, 15, 7, 21, 8
2018/10/8, 15, 6, 22, 5
2018/10/9, 17, 24, 25, 15
2018/10/10, 50, 36, 22, 14
2018/10/11, 62, 16, 24, 10
2018/10/12, 31, 12, 24, 9
2018/10/13, 19, 7, 24, 9
2018/10/14, 16, 9, 16, 12
2018/10/15, 21, 9, 23, 9
2018/10/16, 22, 10, 22, 12
2018/10/17, 21, 10, 17, 15
2018/10/18, 22, 11, 19, 10
2018/10/19, 23, 9, 15, 7
2018/10/20, 25, 6, 23, 5
2018/10/21, 15, 10, 25, 8
2018/10/22, 25, 4, 26, 3
2018/10/23, 17, 4, 25, 8
2018/10/24, 11, 10, 27, 14
2018/10/25, 25, 5, 26, 4
2018/10/26, 10, 10, 26, 3
2018/10/27, 15, 6, 23, 8
2018/10/28, 18, 12, 22, 7
2018/10/29, 15, 25, 25, 2
2018/10/30, 25, 11, 16, 11
2018/10/31, 27, 8, 17, 18
2018/11/1, 22, 9, 19, 15
2018/11/2, 17, 14, 22, 6
2018/11/3, 27, 17, 26, 8
2018/11/4, 37, 32, 7, 15
2018/11/5, 72, 35, 6, 14
2018/11/6, 81, 22, 19, 10
2018/11/7, 41, 14, 18, 14
2018/11/8, 25, 25, 20, 7
2018/11/9, 49, 25, 25, 4
2018/11/10, 38, 11, 18, 12
2018/11/11, 30, 13, 23, 8
2018/11/12, 22, 10, 21, 9
2018/11/13, 19, 11, 21, 6
2018/11/14, 23, 15, 21, 8
2018/11/15, 35, 17, 16, 17
2018/11/16, 45, 22, 13, 11
2018/11/17, 58, 22, 16, 10
2018/11/18, 49, 15, 25, 4
2018/11/19, 24, 17, 25, 
2018/11/20, 18, 30, 23, 5
2018/11/21, 46, 20, 25, 5
2018/11/22, 33, 12, 25, 6
2018/11/23, 19, 7, 17, 8
2018/11/24, 18, 12, 31, 1
2018/11/25, 15, 11, 29, 10
2018/11/26, 17, 12, 23, 9
2018/11/27, 26, 19, 23, 10
2018/11/28, 38, 13, 28, 8
2018/11/29, 30, 7, 23, 7
2018/11/30, 17, 12, 22, 15
2018/12/1, 29, 12, 9, 18
2018/12/2, 38, 5, 24, 7
2018/12/3, 14, 9, 15, 22
2018/12/4, 29, 12, 13, 21
2018/12/5, 37, 14, 5, 13
2018/12/6, 49, 9, 24, 7
2018/12/7, 19, 6, 28, 4
2018/12/8, 11, 8, 29, 5
2018/12/9, 19, 9, 22, 20
2018/12/10, 26, 14, 16, 16
2018/12/11, 32, 20, 21, 10
2018/12/12, 39, 15, 18, 10
2018/12/13, 28, 11, 18, 10
2018/12/14, 22, 23, 18, 6
2018/12/15, 47, 10, 19, 9
