date, pm25, pm10, o3, no2, so2, co
2020/1/2, 57, 28, , 8, , 1
2020/1/3, 56, 26, , 2, , 
2020/1/4, 44, 11, , 2, , 
2020/1/5, 24, 17, , 5, , 
2020/1/6, 25, 31, , 8, , 3
2020/1/7, 58, 31, , 9, , 4
2020/1/8, 82, 33, , 11, , 4
2020/1/9, 54, 46, , 7, , 3
2020/1/10, 75, 19, , 2, , 
2020/1/11, 27, 14, , 2, , 
2020/1/12, 16, 12, , 11, , 1
2020/1/13, 22, 18, , 13, , 2
2020/1/14, 24, 28, , 6, , 2
2020/1/15, 51, 14, , 3, , 
2020/1/16, 25, , , , , 
2019/10/1, 4, 11, , , , 
2019/10/2, 8, 11, , , , 
2019/10/3, 9, 12, , , , 
2019/10/4, 9, 15, , , , 
2019/10/5, 10, 11, , , , 
2019/10/6, 9, 4, , , , 
2019/10/7, 3, 9, , , , 
2019/10/8, 6, 6, , , , 
2019/10/9, 5, 4, , , , 
2019/10/10, 5, 4, , , , 
2019/10/11, 4, 4, , , , 
2019/10/12, 5, 5, , , , 
2019/10/13, 5, 10, , , , 
2019/10/14, 8, 6, , , , 
2019/10/15, 5, 6, , , , 
2019/10/16, 4, 10, , , , 
2019/10/17, 5, 31, , , , 
2019/10/18, 8, 10, , , , 
2019/10/19, 6, 19, , , , 
2019/10/20, 7, 13, , , , 
2019/10/21, 7, 16, , , , 
2019/10/22, 8, 32, , , , 
2019/10/23, 5, 26, , , , 
2019/10/24, 6, 23, , , , 
2019/10/25, 8, 14, , , , 
2019/10/26, 8, 4, , , , 
2019/10/27, 4, 4, , , , 
2019/10/28, 5, 7, , , , 
2019/10/29, 6, 8, , , , 
2019/10/30, 6, 21, , , , 
2019/10/31, 5, 28, , , , 
2019/11/1, 11, , , , , 
2019/11/4, 6, 13, , , , 
2019/11/5, 6, 18, , , , 
2019/11/6, 9, 16, , , , 
2019/11/7, 5, 8, , , , 
2019/11/8, 7, 8, , , , 
2019/11/9, 5, 6, , , , 
2019/11/10, 4, 9, , , , 
2019/11/11, 5, 10, , , , 
2019/11/12, 9, 7, , , , 
2019/11/13, 5, 5, , , , 
2019/11/14, 4, 6, , , , 
2019/11/15, 5, 8, , , , 
2019/11/16, 7, 6, , , , 
2019/11/17, 5, 8, , , , 
2019/11/18, 8, 11, , , , 
2019/11/19, 9, 22, , , , 
2019/11/20, 9, 32, , , , 
2019/11/21, 16, 8, , , , 
2019/11/22, 6, 8, , , , 
2019/11/23, 6, 6, , , , 
2019/11/24, 5, 9, , , , 
2019/11/25, 5, 8, , , , 
2019/11/26, 7, , , , , 
2019/11/28, 7, 6, , , , 
2019/11/29, 6, 6, , , , 
2019/11/30, 5, 7, , , , 
2019/12/1, 5, 8, , , , 
2019/12/2, 6, 10, , , , 
2019/12/3, 6, 9, , , , 
2019/12/4, 7, 7, , , , 
2019/12/5, 7, 6, , , , 
2019/12/6, 6, 8, , , , 
2019/12/7, 7, 6, , , , 
2019/12/8, 4, 13, , , , 
2019/12/9, 8, 5, , , , 
2019/12/10, 4, 7, , , , 
2019/12/11, 6, 5, , , , 
2019/12/12, 5, 5, , , , 
2019/12/13, 3, 6, , , , 
2019/12/14, 5, 5, , , , 
2019/12/15, 5, 7, , , , 
2019/12/16, 5, 10, , , , 
2019/12/17, 10, 9, , , , 
2019/12/18, 6, 11, , , , 
2019/12/19, 9, 35, , , , 
2019/12/20, 22, 10, , , , 
2019/12/21, 10, 20, , , , 
2019/12/22, 29, 34, , , , 
2019/12/23, 51, 18, , , , 
2019/12/24, 24, 6, , , , 
2019/12/25, 8, 8, , , , 
2019/12/26, 12, 10, , , , 
2019/12/27, 9, 7, , , , 
2019/12/28, 10, 5, , , , 
2019/12/29, 7, , , , , 
2019/7/1, 5, 9, , , , 
2019/7/2, 9, 7, , , , 
2019/7/3, 8, 6, , , , 
2019/7/4, 7, 6, , , , 
2019/7/5, 7, 4, , , , 
2019/7/6, 3, 5, , , , 
2019/7/7, 7, 6, , , , 
2019/7/8, 6, 6, , , , 
2019/7/9, 4, 8, , , , 
2019/7/10, 5, 12, , , , 
2019/7/11, 9, 9, , , , 
2019/7/12, 9, 7, , , , 
2019/7/13, 6, 6, , , , 
2019/7/14, 4, 4, , , , 
2019/7/15, 4, 3, , , , 
2019/7/16, 3, 5, , , , 
2019/7/17, 4, 6, , , , 
2019/7/18, 5, 5, , , , 
2019/7/19, 5, 7, , , , 
2019/7/20, 4, 11, , , , 
2019/7/21, 7, 7, , , , 
2019/7/22, 5, 9, , , , 
2019/7/23, 7, 7, , , , 
2019/7/24, 5, 4, , , , 
2019/7/25, 6, 5, , , , 
2019/7/26, 4, 5, , , , 
2019/7/27, 6, 5, , , , 
2019/7/28, 5, 4, , , , 
2019/7/29, 4, 6, , , , 
2019/7/30, 6, 4, , , , 
2019/7/31, 5, 4, , , , 
2019/8/1, 4, 5, , , , 
2019/8/2, 5, 4, , , , 
2019/8/3, 6, 3, , , , 
2019/8/4, 5, 5, , , , 
2019/8/5, 4, 7, , , , 
2019/8/6, 4, 7, , , , 
2019/8/7, 9, 9, , , , 
2019/8/8, 7, 8, , , , 
2019/8/9, 7, 6, , , , 
2019/8/10, 4, 6, , , , 
2019/8/11, 6, 6, , , , 
2019/8/12, 6, 5, , , , 
2019/8/13, 5, 5, , , , 
2019/8/14, 6, 4, , , , 
2019/8/15, 3, 6, , , , 
2019/8/16, 5, 3, , , , 
2019/8/17, 4, 6, , , , 
2019/8/18, 7, 7, , , , 
2019/8/19, 6, 7, , , , 
2019/8/20, 5, 9, , , , 
2019/8/21, 6, 6, , , , 
2019/8/22, 5, 6, , , , 
2019/8/23, 6, 6, , , , 
2019/8/24, 6, 5, , , , 
2019/8/25, 4, 5, , , , 
2019/8/26, 6, 5, , , , 
2019/8/27, 5, 7, , , , 
2019/8/28, 7, 7, , , , 
2019/8/29, 6, 5, , , , 
2019/8/30, 4, 6, , , , 
2019/8/31, 4, 7, , , , 
2019/9/1, 7, 7, , , , 
2019/9/2, 6, 8, , , , 
2019/9/3, 10, 6, , , , 
2019/9/4, 8, 8, , , , 
2019/9/5, 7, 8, , , , 
2019/9/6, 8, 6, , , , 
2019/9/7, 4, 7, , , , 
2019/9/8, 5, 11, , , , 
2019/9/9, 8, 8, , , , 
2019/9/10, 8, 8, , , , 
2019/9/11, 7, 11, , , , 
2019/9/12, 11, 8, , , , 
2019/9/13, 7, 7, , , , 
2019/9/14, 9, 6, , , , 
2019/9/15, 5, 8, , , , 
2019/9/16, 6, 7, , , , 
2019/9/17, 5, 4, , , , 
2019/9/18, 3, 22, , , , 
2019/9/19, 6, 17, , , , 
2019/9/20, 9, 5, , , , 
2019/9/21, 5, 4, , , , 
2019/9/22, 3, 6, , , , 
2019/9/23, 5, 4, , , , 
2019/9/24, 5, 5, , , , 
2019/9/25, 4, 4, , , , 
2019/9/26, 4, 7, , , , 
2019/9/27, 6, 8, , , , 
2019/9/28, 6, 7, , , , 
2019/9/29, 6, 4, , , , 
2019/9/30, 3, 6, , , , 
2019/4/1, 5, 5, , , , 
2019/4/2, 4, 8, , , , 
2019/4/3, 4, 7, , , , 
2019/4/4, 4, 23, , , , 
2019/4/5, 9, 9, , , , 
2019/4/6, 7, 9, , , , 
2019/4/7, 6, 9, , , , 
2019/4/8, 6, 8, , , , 
2019/4/9, 6, 5, , , , 
2019/4/10, 5, 6, , , , 
2019/4/11, 5, 8, , , , 
2019/4/12, 6, 9, , , , 
2019/4/13, 7, 7, , , , 
2019/4/14, 5, 10, , , , 
2019/4/15, 5, 10, , , , 
2019/4/16, 5, 11, , , , 
2019/4/17, 6, , , , , 
2019/4/27, 5, 8, , , , 
2019/4/28, 6, 7, , , , 
2019/4/29, 6, 13, , , , 
2019/4/30, 4, 5, , , , 
2019/5/1, 5, 4, , , , 
2019/5/2, 6, 5, , , , 
2019/5/3, 5, 4, , , , 
2019/5/4, 4, 5, , , , 
2019/5/5, 5, 7, , , , 
2019/5/6, 7, 7, , , , 
2019/5/7, 5, 7, , , , 
2019/5/8, 5, 4, , , , 
2019/5/9, 6, 7, , , , 
2019/5/10, 5, 4, , , , 
2019/5/11, 4, 5, , , , 
2019/5/12, 5, 5, , , , 
2019/5/13, 5, 7, , , , 
2019/5/14, 8, 9, , , , 
2019/5/15, 10, 7, , , , 
2019/5/16, 12, 6, , , , 
2019/5/17, 11, 5, , , , 
2019/5/18, 8, 4, , , , 
2019/5/19, 5, 7, , , , 
2019/5/20, 9, 5, , , , 
2019/5/21, 10, 8, , , , 
2019/5/22, 9, 7, , , , 
2019/5/23, 9, 8, , , , 
2019/5/24, 6, 7, , , , 
2019/5/25, 6, 6, , , , 
2019/5/26, 4, 9, , , , 
2019/5/27, 5, 6, , , , 
2019/5/28, 4, 9, , , , 
2019/5/29, 7, 9, , , , 
2019/5/30, 7, 6, , , , 
2019/5/31, 4, 5, , , , 
2019/6/1, 7, 4, , , , 
2019/6/2, 6, 7, , , , 
2019/6/3, 5, 5, , , , 
2019/6/4, 5, 6, , , , 
2019/6/5, 7, 5, , , , 
2019/6/6, 6, 6, , , , 
2019/6/7, 6, 4, , , , 
