date, pm25, pm10, o3, no2, so2, co
2020/1/2, 116, 49, 23, 6, 13, 6
2020/1/3, 105, 35, 15, 8, 10, 5
2020/1/4, 74, 50, 24, 5, 7, 5
2020/1/5, 107, 52, 29, 5, 12, 5
2020/1/6, 109, 71, 32, 5, 11, 6
2020/1/7, 156, 60, 29, 5, 10, 5
2020/1/8, 139, 54, 27, 6, 9, 4
2020/1/9, 104, 65, 25, 9, 13, 6
2020/1/10, 137, 73, 24, 7, 11, 6
2020/1/11, 150, 78, 28, 7, 14, 7
2020/1/12, 159, 82, 31, 9, 19, 8
2020/1/13, 165, 79, 36, 6, 10, 7
2020/1/14, 165, 67, 29, 4, 12, 6
2020/1/15, 155, 67, 17, 5, 4, 6
2020/1/16, 160, , , , , 
2019/10/7, 69, 35, 19, 5, 9, 4
2019/10/8, 74, 40, 18, 5, 9, 7
2019/10/9, 83, 29, 12, 6, 6, 6
2019/10/10, 69, 31, 12, 5, 7, 4
2019/10/11, 61, 22, 18, 3, 7, 5
2019/10/12, 30, 20, 16, 3, 7, 4
2019/10/13, 30, 24, 15, 5, 7, 5
2019/10/14, 37, 48, 27, 5, 7, 6
2019/10/15, 94, 55, 27, 6, 7, 5
2019/10/16, 112, 33, 16, 6, 5, 4
2019/10/17, 63, 23, 17, 5, 6, 5
2019/10/18, 38, 22, 17, 4, 6, 4
2019/10/19, 52, 20, 18, 3, 5, 5
2019/10/20, 34, 23, 16, 5, 4, 5
2019/10/21, 39, 19, 14, 7, 5, 5
2019/10/22, 36, 21, 13, 6, 5, 5
2019/10/23, 44, 21, 18, 5, 4, 4
2019/10/24, 29, 24, 15, 4, 2, 4
2019/10/25, 30, 25, 16, 5, 4, 5
2019/10/26, 43, 32, 14, 4, 7, 6
2019/10/27, 58, 45, 21, 4, 9, 5
2019/10/28, 98, 35, 19, 5, 7, 5
2019/10/29, 65, 32, 18, 6, 6, 5
2019/10/30, 59, 26, 16, 6, 5, 5
2019/10/31, 45, 32, 25, 6, 6, 5
2019/11/1, 50, 36, 22, 5, 5, 5
2019/11/2, 62, 58, 34, 7, 6, 6
2019/11/3, 113, 73, 28, 9, 9, 6
2019/11/4, 145, 91, 28, 11, 13, 7
2019/11/5, 162, 97, 30, 10, 10, 8
2019/11/6, 168, 90, 32, 11, 8, 8
2019/11/7, 166, 87, 35, 9, 10, 7
2019/11/8, 164, 87, 37, 6, 10, 6
2019/11/9, 162, 63, 26, 5, 6, 5
2019/11/10, 129, 57, 28, 7, 5, 6
2019/11/11, 110, 56, 22, 9, 6, 7
2019/11/12, 106, 61, 29, 6, 6, 5
2019/11/13, 124, 68, 29, 7, 5, 7
