date, pm25, pm10, o3, so2, co
2020/1/2, 107, 88, , 26, 24
2020/1/3, 146, 74, , 22, 7
2020/1/4, 103, 76, , 22, 9
2020/1/5, 121, 73, , 24, 17
2020/1/6, 80, 68, , 24, 14
2020/1/7, 71, 71, , 24, 18
2020/1/8, 87, 61, , 23, 16
2020/1/9, 87, 65, , 21, 15
2020/1/10, 74, 62, , 21, 13
2020/1/11, 73, 61, , 24, 16
2020/1/12, 98, 69, , 23, 16
2020/1/13, 118, 63, , 23, 18
2020/1/14, 104, 53, , 22, 15
2019/10/1, 162, 91, , 26, 29
2019/10/2, 131, 89, , 24, 35
2019/10/6, 97, 91, , 24, 24
2019/10/7, 113, 74, , 24, 18
2019/10/8, 115, 77, , 24, 19
2019/10/9, 109, 78, , 25, 25
2019/10/12, 122, 82, , 23, 19
2019/10/13, 127, 111, , 28, 39
2019/10/16, 92, 83, , 23, 28
2019/10/18, 103, 82, , 22, 17
2019/10/20, 117, 78, , 23, 26
2019/10/21, 78, 68, , 24, 25
2019/10/22, 82, 75, , 30, 22
2019/10/23, 87, 69, , 24, 16
2019/10/25, 105, 54, , 24, 20
2019/10/26, 74, 50, , 23, 18
2019/10/27, 67, 37, , 24, 16
2019/10/28, 62, 49, , 26, 26
2019/10/29, 68, 68, , 23, 25
2019/10/30, 102, 85, , 22, 23
2019/11/2, 112, 85, , 22, 19
2019/11/3, 109, , , 22, 22
2019/11/5, 152, , , 23, 17
2019/11/10, 157, 122, , 24, 39
2019/11/11, 161, 117, , 24, 28
2019/11/12, 158, 124, , 25, 31
2019/11/13, 169, 134, , 25, 30
2019/11/14, 183, 149, , 30, 65
2019/11/15, 199, 115, , 20, 28
2019/11/16, 167, 77, , 21, 16
2019/11/17, 89, , , , 
2019/11/20, 94, 78, , 23, 26
2019/11/21, 106, 82, , 24, 33
2019/11/22, 127, 114, , 26, 46
2019/11/23, 159, , , 23, 46
2019/11/24, 159, 74, , 21, 25
2019/11/25, 127, 61, , 22, 19
2019/11/26, 98, 87, , 24, 33
2019/11/27, 132, 96, , 23, 45
2019/11/28, 149, 70, , 25, 28
2019/11/29, 113, 71, , 25, 26
2019/11/30, 122, 67, , 22, 18
2019/12/1, 109, 74, , 23, 21
2019/12/2, 121, 59, , 22, 16
2019/12/3, 97, 58, , 23, 19
2019/12/4, 115, 71, , 24, 29
2019/12/5, 151, 64, , 22, 28
2019/12/6, 147, 41, , 21, 14
2019/12/7, 73, 33, , 24, 15
2019/12/8, 69, 66, , 27, 26
2019/12/9, 140, 76, , 26, 24
2019/12/10, 129, 67, , 21, 11
2019/12/11, 102, 62, , 22, 13
2019/12/12, 89, 79, , 29, 38
2019/12/13, 106, 48, , 21, 15
2019/12/14, 75, 67, , 22, 14
2019/12/15, 127, 68, , 22, 15
2019/12/16, 124, 37, , 22, 15
2019/12/17, 70, 49, , 22, 13
2019/12/18, 104, 54, , 22, 13
2019/12/19, 130, 58, , 23, 21
2019/12/20, 136, 63, , 21, 11
2019/12/21, 139, 78, , 22, 13
2019/12/22, 159, 87, , 22, 11
2019/12/23, 160, 93, , 23, 16
2019/12/24, 161, 111, , 26, 33
2019/12/25, 164, 70, , 23, 8
2019/12/26, 123, 52, , 21, 8
2019/12/27, 88, 64, , , 12
2019/12/28, 106, , , , 
2019/7/1, 73, 120, , 21, 9
2019/7/7, 107, 79, , 18, 9
2019/7/10, 74, 74, , 22, 10
2019/7/13, 82, 88, , 22, 8
2019/7/15, 119, 97, , 23, 9
2019/7/16, 80, 135, , 23, 8
2019/7/17, 109, 76, , 22, 8
2019/7/18, 94, 111, , 23, 8
2019/7/19, 112, 99, , 22, 8
2019/7/20, 110, 71, , 22, 8
2019/7/22, 95, 77, , 28, 9
2019/7/23, 85, 70, , 23, 12
2019/7/26, 79, 78, , 22, 9
2019/7/27, 77, 63, , 22, 13
2019/7/28, 74, 64, , 22, 11
2019/7/29, 92, 70, , 21, 10
2019/7/30, 91, 70, , 23, 16
2019/7/31, 90, 70, , 18, 16
2019/8/3, 83, 71, , 14, 13
2019/8/4, 87, 72, , 22, 14
2019/8/5, 86, 68, , 22, 15
2019/8/6, 79, 74, , 22, 16
2019/8/11, 74, 68, , 22, 14
2019/8/13, 106, 78, , 23, 15
2019/8/14, 121, 86, , 25, 17
2019/8/18, 72, 70, , 22, 18
2019/8/19, 89, 71, , 22, 17
2019/8/24, 121, 78, , 22, 17
2019/8/25, 131, 92, , 22, 24
2019/8/27, 206, 83, , 21, 19
2019/8/28, 191, 88, , 22, 19
2019/9/1, 123, 83, , 22, 16
2019/9/2, 56, 70, , 22, 17
2019/9/3, 53, 70, , 22, 16
2019/9/4, 56, 85, , 22, 16
2019/9/7, 72, 72, , 21, 15
2019/9/18, 91, 76, , 21, 17
2019/9/20, 157, 83, , 22, 28
2019/9/21, 165, 88, , 20, 28
2019/9/22, 146, 91, , 22, 26
2019/9/23, 147, 81, , 23, 19
2019/4/1, , , , , 
2019/4/6, , , , , 
2019/4/7, , , , , 
2019/4/8, , , , , 
2019/4/9, , , , , 
2019/4/10, , , , , 
2019/4/11, , , , , 
2019/4/14, , , , , 
2019/4/15, , , , , 
2019/4/16, , , , , 
2019/4/17, , , , , 
2019/4/18, , , , , 
2019/4/19, , , , , 
2019/4/20, , , , , 
2019/4/21, , , , , 
2019/4/22, , , , , 
2019/4/23, , , , , 
2019/4/24, , , , , 
2019/4/25, , , , , 
2019/4/26, , , , , 
2019/4/27, , , , , 
2019/4/28, , , , , 
2019/4/29, , , , , 
2019/4/30, , , , , 
2019/5/1, , , , , 
2019/5/2, , , , , 
2019/5/3, , , , , 
2019/5/4, , , , , 
2019/5/5, , , , , 
2019/5/6, , , , , 
2019/5/7, , , , , 
2019/5/8, , , , , 
2019/5/9, , , , , 
2019/5/10, , , , , 
2019/5/11, , , , , 
2019/5/12, , , , , 
2019/5/13, , , , , 
2019/5/14, , , , , 
2019/5/15, , , , , 
2019/5/16, , , , , 
2019/5/17, , , , , 
2019/5/18, , , , , 
2019/5/19, , , , , 
2019/5/20, , , , , 
2019/5/21, , , , , 
2019/5/22, , , , , 
2019/5/23, , , , , 
2019/5/24, , , , , 
2019/5/25, , , , , 
2019/5/26, , , , , 
2019/5/27, , , , , 
2019/5/28, , , , , 
2019/5/29, , , , , 
2019/5/30, , , , , 
2019/5/31, , , , , 
2019/6/1, , , , , 
2019/6/2, , , , , 
2019/6/8, , , , , 
2019/6/9, , , , , 
2019/6/10, , , , , 
2019/6/11, , , , , 
2019/6/13, , , , , 
2019/6/14, , , , , 
2019/6/15, , , , , 
2019/6/16, , , , , 
2019/6/17, , , , , 
2019/6/18, , , , , 
2019/6/19, , , , , 
2019/6/29, 122, 87, , 19, 16
2019/1/2, , , , , 
2019/1/3, , , , , 
2019/1/4, , , , , 
2019/1/5, , , , , 
2019/1/6, , , , , 
2019/1/7, , , , , 
2019/1/8, , , , , 
2019/1/9, , , , , 
2019/1/10, , , , , 
2019/1/13, , , , , 
2019/1/22, , , , , 
2019/1/23, , , , , 
2019/1/25, , , , , 
2019/1/26, , , , , 
2019/1/27, , , , , 
2019/1/28, , , , , 
2019/1/29, , , , , 
2019/1/30, , , , , 
2019/1/31, , , , , 
2019/2/1, , , , , 
2019/2/2, , , , , 
2019/2/3, , , , , 
2019/2/4, , , , , 
2019/2/5, , , , , 
2019/2/6, , , , , 
2019/2/7, , , , , 
2019/2/8, , , , , 
2019/2/9, , , , , 
2019/2/10, , , , , 
2019/2/11, , , , , 
2019/2/12, , , , , 
2019/2/13, , , , , 
2019/2/14, , , , , 
2019/2/15, , , , , 
2019/2/16, , , , , 
2019/2/17, , , , , 
2019/2/18, , , , , 
2019/2/19, , , , , 
2019/2/20, , , , , 
2019/2/22, , , , , 
2019/2/23, , , , , 
2019/2/24, , , , , 
