date, pm25, pm10, o3, co
2020/1/1, 54, 19, 29, 1
2020/1/2, 29, 23, 28, 2
2020/1/3, 35, 26, 29, 2
2020/1/4, 39, 34, 26, 3
2020/1/5, 56, 32, 31, 2
2020/1/6, 30, 51, 23, 4
2020/1/7, 47, 46, 25, 3
2020/1/8, 48, 40, 28, 2
2020/1/9, 40, 16, 31, 1
2020/1/10, 22, 14, 30, 1
2020/1/11, 25, 16, 33, 1
2020/1/12, 21, 36, 26, 4
2020/1/13, 42, 43, 25, 4
2020/1/14, 44, 50, 28, 5
2020/1/15, 49, , , 
2019/10/1, 24, 53, 36, 1
2019/10/2, 32, 44, 28, 
2019/10/3, 32, 13, 24, 
2019/10/4, 18, 16, 36, 
2019/10/5, 23, 22, 39, 1
2019/10/6, 26, 30, 35, 1
2019/10/7, 30, 38, 31, 4
2019/10/8, 34, 33, 33, 1
2019/10/9, 26, 45, 37, 1
2019/10/10, 25, 25, 36, 1
2019/10/11, 20, 29, 33, 1
2019/10/12, 30, 31, 37, 1
2019/10/13, 35, 42, 31, 3
2019/10/14, 37, 39, 36, 2
2019/10/15, 33, 49, 38, 2
2019/10/16, 37, 46, 36, 2
2019/10/17, 36, 48, 38, 1
2019/10/18, 34, 29, 36, 1
2019/10/19, 23, 37, 37, 
2019/10/20, 25, 46, 34, 1
2019/10/21, 29, 38, 32, 1
2019/10/22, 30, 56, 32, 2
2019/10/23, 36, 32, 32, 
2019/10/24, 18, 32, 30, 1
2019/10/25, 28, 44, 32, 2
2019/10/26, 39, 58, 37, 2
2019/10/27, 41, 26, 33, 1
2019/10/28, 26, 43, 36, 2
2019/10/29, 34, 19, 32, 
2019/10/30, 16, 35, 26, 1
2019/10/31, 34, 103, 29, 3
2019/11/1, 65, 40, 34, 2
2019/11/2, 41, 60, 32, 3
2019/11/3, 64, 104, 29, 6
2019/11/4, 79, 63, 29, 3
2019/11/5, 52, 32, 9, 2
2019/11/6, 47, 19, 16, 1
2019/11/7, 37, 27, 22, 1
2019/11/8, 52, 34, 28, 3
2019/11/9, 53, 31, 29, 2
2019/11/10, 50, 49, 20, 4
2019/11/11, 45, 26, 20, 1
2019/11/12, 34, 50, 22, 2
2019/11/13, 50, 51, 30, 3
2019/11/14, 42, 54, 31, 3
