date, pm25, pm10, o3, no2, so2, co
2020/1/2, 55, , , , , 
2020/1/3, 63, , , , , 
2020/1/4, 62, , , , , 
2020/1/5, 49, 13, 12, 3, 1, 
2020/1/6, 48, 30, 36, 10, 1, 
2020/1/7, 68, 31, 43, 10, 1, 
2020/1/8, 73, 25, 85, 8, 1, 
2020/1/9, 60, 14, 22, 7, 1, 
2020/1/10, 42, 7, 19, 3, , 
2020/1/11, 19, 10, 19, 4, 2, 
2020/1/12, 30, 18, 18, 8, 2, 
2020/1/13, 38, 29, 23, 9, 1, 
2020/1/14, 33, 24, 22, 10, 1, 
2020/1/15, 35, 22, 12, 4, , 
2020/1/16, 31, , , , , 
2019/10/1, 68, 26, 35, 5, , 
2019/10/2, 42, 21, 37, 6, , 
2019/10/3, 23, 15, 34, 9, 1, 
2019/10/4, 21, 16, 45, 6, , 
2019/10/5, 26, 14, 43, 4, 2, 
2019/10/6, 35, 16, 36, 6, 2, 
2019/10/7, 50, 16, 33, 5, 2, 
2019/10/8, 30, 12, 37, 2, 2, 
2019/10/9, 23, 9, 34, 3, 2, 
2019/10/10, 19, 8, 28, 4, 2, 
2019/10/11, 15, 9, 36, 2, 1, 
2019/10/12, 25, 14, 38, 3, 2, 
2019/10/13, 31, 16, 31, 6, 2, 
2019/10/14, 41, 10, 27, 6, 2, 
2019/10/15, 18, 12, 35, 6, 2, 
2019/10/16, 13, 13, 37, 9, 2, 
2019/10/17, 20, 25, 40, 10, 1, 
2019/10/18, 24, 21, 37, 5, 2, 
2019/10/19, 23, 16, 28, 5, 1, 
2019/10/20, 23, 16, 27, 8, 1, 
2019/10/21, 18, 9, 27, 5, 2, 
2019/10/22, 13, 4, 27, 5, 2, 
2019/10/23, 9, 6, 25, 4, 2, 
2019/10/24, 9, 9, 30, 7, 2, 
2019/10/25, 17, 10, 36, 6, 3, 
2019/10/26, 27, 11, 37, 4, 3, 
2019/10/27, 43, 11, 31, 6, 3, 
2019/10/28, 47, 19, 30, 11, 3, 
2019/10/29, 55, 18, 34, 9, 4, 
2019/10/30, 43, 16, 22, 6, 3, 
2019/10/31, 25, 12, 21, 3, 1, 
2019/11/1, 12, 11, 26, 1, , 
2019/11/2, 13, 9, 29, 2, 1, 
2019/11/3, 10, 13, 31, 1, 1, 
2019/11/4, 10, 11, 30, 2, 1, 
2019/11/5, 8, 13, 23, 5, 2, 
2019/11/6, 9, 11, 27, 3, 2, 
2019/11/7, 11, 13, 26, 3, 2, 
2019/11/8, 10, 20, 26, 3, 2, 
2019/11/9, 11, 11, 27, 2, 2, 
2019/11/10, 9, 11, 25, 4, 2, 
2019/11/11, 8, 9, 28, 3, 2, 
2019/11/12, 10, 16, 26, 3, 2, 
2019/11/13, 14, , , , , 
2019/11/14, 15, 9, 24, 4, 1, 
2019/11/15, 10, 10, 26, 2, 1, 
2019/11/16, 10, 9, 29, 1, , 
2019/11/17, 10, 5, 26, 4, , 
2019/11/18, 8, 10, 25, 7, , 
2019/11/19, 10, 15, 27, 8, , 
2019/11/20, 25, , , , , 
2019/11/21, 46, 16, 11, 12, 1, 
2019/11/22, 52, 16, 29, 3, 2, 
2019/11/23, 10, 12, 27, 4, 2, 
2019/11/24, 9, 8, 25, 3, 2, 
2019/11/25, 6, 22, 27, 6, 2, 
2019/11/26, 17, 14, 26, 5, 3, 
2019/11/27, 11, 18, 27, 4, 3, 
2019/11/28, 14, 18, 28, 7, 3, 
2019/11/29, 10, 8, 27, 4, 3, 
2019/11/30, 20, 10, 26, 6, 3, 
2019/12/1, 31, 4, 28, 4, 3, 
2019/12/2, 10, 3, 26, 2, 1, 
2019/12/3, 8, 9, 28, 7, , 
2019/12/4, 11, 9, 26, 8, 1, 
2019/12/5, 17, 10, 27, 5, , 
2019/12/6, 25, 14, 26, 5, , 
2019/12/7, 34, 19, 26, 4, , 
2019/12/8, 29, 19, 24, 3, 2, 
2019/12/9, 11, 24, 25, 10, 2, 
2019/12/10, 19, 26, 26, 3, 1, 
2019/12/11, 15, 9, 26, 2, 2, 
2019/12/12, 10, 16, 30, , 2, 
2019/12/13, 7, 12, 30, 3, 2, 
2019/12/14, 13, 14, 27, 5, 2, 
2019/12/15, 18, 17, 22, 10, 2, 
2019/12/16, 41, 60, 18, 12, 3, 
2019/12/17, 64, 16, 25, 6, 2, 
2019/12/18, 11, 29, 20, 11, 2, 
2019/12/19, 34, 8, 19, 9, 3, 
2019/12/20, 26, 8, 23, 5, 3, 
2019/12/21, 16, 12, 31, , 3, 
2019/12/22, 11, 13, 32, 6, , 
2019/12/23, 14, 13, 24, 5, , 
2019/12/24, 19, 9, 22, 5, , 
2019/12/25, 28, 18, 17, 12, , 
2019/12/26, 26, 13, 24, 7, , 
2019/12/27, 27, 18, 25, 5, , 
2019/12/28, 44, , , , , 
2019/7/1, 56, 27, 39, 1, 2, 
2019/7/2, 61, 26, 43, 3, 2, 
2019/7/3, 55, 31, 42, 4, 2, 
2019/7/4, 46, 32, 37, 2, 2, 
2019/7/5, 59, 35, 34, 3, 2, 
2019/7/6, 74, 50, 38, 3, 1, 
2019/7/7, 73, 46, 34, 5, 1, 
2019/7/8, 64, 30, 43, 4, 2, 
2019/7/9, 53, 30, 42, 4, 2, 
2019/7/10, 37, 23, 46, 4, 1, 
2019/7/11, 30, 22, 25, 3, , 
2019/7/12, 22, 25, 42, 4, , 
2019/7/13, 26, 34, 31, 2, 2, 
2019/7/14, 49, 27, 36, 3, 2, 
2019/7/15, 60, 28, 37, 1, 1, 
2019/7/16, 61, 24, 43, 4, 2, 
2019/7/17, 36, 32, 40, 4, 1, 
2019/7/18, 33, 26, 37, 1, , 
2019/7/19, 39, 28, 44, 3, 2, 
2019/7/20, 35, 29, 41, 2, 1, 
2019/7/21, 34, 29, 41, 4, 2, 
2019/7/22, 36, 34, 40, 4, 2, 
2019/7/23, 37, 36, 44, 6, 2, 
2019/7/24, 36, 31, 42, 5, 2, 
2019/7/25, 40, 34, 41, 5, 2, 
2019/7/26, 54, 36, 35, 2, 2, 
2019/7/27, 62, 40, 32, 1, 2, 
2019/7/28, 28, 19, 29, 4, 2, 
2019/7/29, 31, 17, 32, 3, 1, 
2019/7/30, 43, 19, 35, 2, 2, 
2019/7/31, 35, 28, 38, 4, 2, 
2019/8/1, 36, 21, 41, 3, 2, 
2019/8/2, 39, 17, 41, 2, 1, 
2019/8/3, 33, 19, 38, 2, 1, 
2019/8/4, 37, 27, 31, 3, 1, 
2019/8/5, 58, 24, 37, 4, 2, 
2019/8/6, 58, 29, 48, 8, 2, 
2019/8/7, 62, 28, 35, 5, 2, 
2019/8/8, 48, 33, 44, 10, 1, 
2019/8/9, 40, 39, 35, 6, 2, 
2019/8/10, 39, 28, 28, 2, 2, 
2019/8/11, 55, 21, 33, 3, 2, 
2019/8/12, 48, 20, 33, 1, 2, 
2019/8/13, 30, 21, 32, 2, 1, 
2019/8/14, 30, 15, 35, 2, 2, 
2019/8/15, 31, 14, 34, 4, 2, 
2019/8/16, 26, 14, 29, 3, 1, 
2019/8/17, 25, 13, 32, 2, 1, 
2019/8/18, 31, 16, 33, 1, 1, 
2019/8/19, 43, 19, 33, 3, 2, 
2019/8/20, 49, 13, 35, 1, 2, 
2019/8/21, 24, 10, 40, 3, 2, 
2019/8/22, 21, 10, 27, 3, , 
2019/8/23, 24, , 36, 3, , 
2019/8/25, 36, 11, 33, 3, 1, 
2019/8/26, 46, 15, 24, 6, 2, 
2019/8/27, 47, 10, 23, 5, 1, 
2019/8/28, 40, 16, 33, 5, 2, 
2019/8/29, 46, 15, 25, 7, 1, 
2019/8/30, 39, 13, 11, 8, , 
2019/8/31, 42, 14, 13, 4, 1, 
2019/9/1, 47, 15, 24, 5, 2, 
2019/9/2, 42, 13, 36, , 2, 
2019/9/3, 23, 10, 14, 5, , 
2019/9/4, 23, 12, 34, 4, 1, 
2019/9/5, 23, 12, 32, 2, 2, 
2019/9/6, 21, 10, 31, 1, 2, 
2019/9/7, 19, 9, 34, 2, 2, 
2019/9/8, 17, 9, 34, 3, 2, 
2019/9/9, 23, 16, 27, 4, 2, 
2019/9/10, 29, 9, 34, 1, 2, 
2019/9/11, 10, 5, 37, 2, 2, 
2019/9/12, 16, 7, 35, 2, 2, 
2019/9/13, 26, 10, 34, 1, 1, 
2019/9/14, 26, 13, 29, 3, , 
2019/9/15, 44, 13, 34, 4, , 
2019/9/16, 57, 23, 32, 6, 1, 
2019/9/17, 63, 27, 42, 5, 1, 
2019/9/18, 64, 25, 42, 4, 2, 
2019/9/19, 56, 21, 30, 3, 2, 
2019/9/20, 53, 20, 30, 2, 2, 
2019/9/21, 53, 20, 32, 5, 2, 
2019/9/22, 57, 11, 35, 3, 2, 
2019/9/23, 25, 11, 38, 6, 1, 
2019/9/24, 22, 16, 35, 5, 1, 
2019/9/25, 19, 13, 36, 4, 1, 
2019/9/26, 22, 12, 36, 5, 1, 
2019/9/27, 28, 14, 40, 4, 1, 
2019/9/28, 37, 17, 33, 6, , 
2019/9/29, 43, 19, 39, 8, 1, 
2019/9/30, 52, 25, 39, 7, 1, 
2019/4/1, 29, 14, 39, 6, 2, 
2019/4/2, 52, 15, 39, 8, 1, 
2019/4/3, 51, 13, 41, 4, 2, 
2019/4/4, 33, 9, 40, 7, 1, 
2019/4/5, 20, 4, 37, 2, 1, 
2019/4/6, 10, 4, 39, 1, 1, 
2019/4/7, 7, 8, 32, 5, , 
2019/4/8, 10, 8, 37, 3, 1, 
2019/4/9, 10, 7, 38, 2, 1, 
2019/4/10, 7, 8, 42, 4, 1, 
2019/4/11, 10, 10, 46, 4, , 
2019/4/12, 18, 12, 53, 7, 2, 
2019/4/13, 29, 11, 52, 3, 1, 
2019/4/14, 26, 15, 51, 5, 2, 
2019/4/15, 40, 19, 46, 5, 2, 
2019/4/16, 58, 16, 45, 4, 2, 
2019/4/17, 43, 15, 40, 5, 2, 
2019/4/18, 31, 10, 40, 3, 2, 
2019/4/19, 17, 6, 42, 2, , 
2019/4/20, 20, 10, 39, 3, , 
2019/4/21, 21, 8, 32, 1, , 
2019/4/22, 15, , 37, 6, 2, 
2019/4/24, 13, 9, 33, 7, 2, 
2019/4/25, 25, 9, 39, 3, 2, 
2019/4/26, 15, 9, 45, 4, 3, 
2019/4/27, 23, 8, 40, 3, 1, 
2019/4/28, 25, 7, 38, 4, 1, 
2019/4/29, 16, 10, 37, 4, 2, 
2019/4/30, 27, 12, 27, 2, 2, 
2019/5/1, 19, 9, 43, 3, 2, 
2019/5/2, 16, 12, 44, 4, 2, 
2019/5/3, 19, 7, 42, 3, 2, 
2019/5/4, 15, 6, 42, 2, 1, 
2019/5/5, 20, 10, 41, 4, 2, 
2019/5/6, 29, 18, 44, 3, 2, 
2019/5/7, 62, 27, 36, 5, 1, 
2019/5/8, 77, 19, 31, 4, 2, 
2019/5/9, 30, 18, 30, 5, 2, 
2019/5/10, 30, 16, 35, 4, , 
2019/5/11, 24, 13, 36, 1, 1, 
2019/5/12, 22, 12, 44, 3, 1, 
2019/5/13, 24, 14, 43, 3, 2, 
2019/5/14, 25, 16, 49, 5, 1, 
2019/5/15, 26, 15, 47, 1, 1, 
2019/5/16, 27, 25, 36, 3, 1, 
2019/5/17, 32, 26, 44, 3, 1, 
2019/5/18, 17, 7, 44, 3, 1, 
2019/5/19, 15, 10, 30, 5, 1, 
2019/5/20, 11, 9, 40, 4, 1, 
2019/5/21, 19, 9, 41, 5, 2, 
2019/5/22, 22, 11, 44, 6, 2, 
2019/5/23, 18, 11, 42, 6, 1, 
2019/5/24, 18, 7, 39, 3, 1, 
2019/5/25, 17, 5, 44, 2, 2, 
2019/5/26, 18, 8, 48, 5, 1, 
2019/5/27, 28, 11, 37, 3, 1, 
2019/5/28, 37, 12, 33, 3, 1, 
2019/5/29, 21, 13, 33, 3, 2, 
2019/5/30, 17, 8, 36, 4, 2, 
2019/5/31, 17, 7, 42, 4, 2, 
2019/6/1, 11, 5, 44, 2, 2, 
2019/6/2, 11, 7, 45, 4, 1, 
2019/6/3, 13, 7, 42, 4, 1, 
