date, pm10, o3, no2
2018/1/7, 5, 16, 6
2018/1/8, 10, 16, 11
2018/1/9, 21, 9, 13
2018/1/10, 15, 4, 11
2018/1/11, 18, 3, 11
2018/1/12, 15, 2, 12
2018/1/13, 33, 5, 8
2018/1/14, 22, 8, 8
2018/1/15, 19, 17, 5
2018/1/16, 11, 25, 4
2018/1/17, 14, 26, 9
2018/1/18, 15, 26, 10
2018/1/19, 11, 22, 13
2018/1/20, 15, 19, 11
2018/1/21, 15, 22, 10
2018/1/22, 20, 20, 14
2018/1/23, 16, 16, 
2017/4/1, 16, 31, 8
2017/4/2, 15, 30, 5
2017/4/3, 11, 29, 10
2017/4/4, 15, 31, 4
2017/4/5, 17, 31, 2
2017/4/6, 23, 28, 8
2017/4/7, 19, 30, 7
2017/4/8, 12, 33, 9
2017/4/9, 25, 31, 5
2017/4/10, 15, 30, 6
2017/4/11, 14, 24, 8
2017/4/12, 15, 31, 7
2017/4/13, 14, 29, 10
2017/4/14, 12, 32, 5
2017/4/15, 12, 32, 5
2017/4/16, 11, 35, 2
2017/4/17, 11, 32, 4
2017/4/18, 9, 33, 4
2017/4/19, 9, 29, 12
2017/4/20, 16, 23, 10
2017/4/21, 17, 32, 2
2017/4/22, 10, 30, 3
2017/4/23, 8, 23, 9
2017/4/24, 17, 30, 3
2017/4/25, 12, 29, 7
2017/4/26, 29, 32, 5
2017/4/27, 8, 30, 5
2017/4/28, 9, 32, 6
2017/4/29, 11, 40, 5
2017/4/30, 14, 32, 8
2017/5/1, 12, 24, 6
2017/5/2, 12, 23, 5
2017/5/3, 10, 25, 5
2017/5/4, 10, 28, 4
2017/5/5, 10, 32, 3
2017/5/6, 12, 30, 3
2017/5/7, 11, 33, 2
2017/5/8, 14, 31, 3
2017/5/9, 14, 29, 7
2017/5/10, 10, 34, 7
2017/5/11, 15, 28, 6
2017/5/12, 13, 24, 6
2017/5/13, 13, 33, 5
2017/5/14, 14, 31, 8
2017/5/15, 11, 35, 9
2017/5/16, 14, 54, 9
2017/5/17, 18, 31, 5
2017/5/18, 15, 28, 4
2017/5/19, 18, 30, 6
2017/5/20, 23, 36, 6
2017/5/21, 16, 46, 5
2017/5/22, 12, 29, 8
2017/5/23, 15, 28, 9
2017/5/24, 13, 30, 2
2017/5/25, 9, 36, 3
2017/5/26, 11, 50, 4
2017/5/27, 27, 35, 4
2017/5/28, 7, 52, 4
2017/5/29, 19, 32, 6
2017/5/30, 19, 29, 6
2017/5/31, 11, 38, 3
2017/6/1, 12, 59, 6
2017/6/2, 16, 42, 5
2017/6/3, 16, 29, 4
2017/6/4, 11, 33, 5
2017/6/5, 15, 25, 4
2017/6/6, 9, 25, 3
2017/6/7, 17, 28, 5
2017/6/8, 16, 26, 8
2017/6/9, 11, 39, 6
2017/6/10, 19, 40, 
2017/6/11, 15, 25, 3
2017/6/12, 17, 28, 5
2017/6/13, 12, 36, 4
2017/6/14, 10, 44, 8
2017/6/15, 15, 26, 6
2017/6/16, 15, 26, 7
2017/6/17, 14, 30, 4
2017/6/18, 13, 13, 7
2017/6/19, 13, , 
2017/1/2, 10, 18, 8
2017/1/3, 12, 27, 3
2017/1/4, 21, 25, 7
2017/1/5, 10, , 17
2017/1/6, 20, , 15
2017/1/7, 25, , 15
2017/1/8, 15, 1, 19
2017/1/9, 22, 12, 18
2017/1/10, 13, 28, 11
2017/1/11, 20, 24, 7
2017/1/12, 17, 27, 6
2017/1/13, 10, 29, 4
2017/1/14, 14, 16, 13
2017/1/15, 16, 11, 12
2017/1/16, 12, 13, 14
2017/1/17, 25, 7, 16
2017/1/18, 37, 2, 15
2017/1/19, 35, 6, 18
2017/1/20, 25, 10, 11
2017/1/21, 21, 4, 19
2017/1/22, 45, 6, 20
2017/1/23, 47, 3, 20
2017/1/24, 19, 8, 19
2017/1/25, 48, 8, 19
2017/1/26, 35, 5, 22
2017/1/27, 33, 8, 18
2017/1/28, 21, 15, 9
2017/1/29, 15, 20, 6
2017/1/30, 7, 20, 8
2017/1/31, 15, 7, 19
2017/2/1, 19, 7, 13
2017/2/2, 14, 14, 15
2017/2/3, 14, 17, 9
2017/2/4, 11, 18, 9
2017/2/5, 13, 12, 11
2017/2/6, 18, 3, 11
2017/2/7, 26, 7, 7
2017/2/8, 35, 11, 7
2017/2/9, 42, 8, 10
2017/2/10, 53, 7, 9
2017/2/11, 66, 15, 5
2017/2/12, 56, 17, 7
2017/2/13, 53, 19, 17
2017/2/14, 46, 7, 20
2017/2/15, 36, 17, 14
2017/2/16, 22, 15, 11
2017/2/17, 17, 12, 12
2017/2/18, 22, 15, 11
2017/2/19, 27, 11, 14
2017/2/20, 15, 24, 9
2017/2/21, 12, 22, 6
2017/2/22, 10, 28, 4
2017/2/23, 7, 31, 11
2017/2/24, 17, 24, 12
2017/2/25, 13, 22, 6
2017/2/26, 13, 28, 6
2017/2/27, 6, 31, 7
2017/2/28, 8, 25, 9
2017/3/1, 10, 28, 7
2017/3/2, 14, 17, 17
2017/3/3, 19, 23, 10
2017/3/4, 12, 29, 4
2017/3/5, 11, 27, 10
2017/3/6, 10, 22, 13
2017/3/7, 17, 16, 12
2017/3/8, 14, 29, 13
2017/3/9, 11, 25, 13
2017/3/10, 15, 16, 18
2017/3/11, 21, 22, 10
2017/3/12, 15, 18, 11
