date, pm25
2018/4/1, 14
2018/4/2, 17
2018/4/3, 34
2018/4/4, 25
2018/4/5, 41
2018/4/6, 34
2018/4/7, 12
2018/4/8, 19
2018/4/9, 21
2018/4/10, 19
2018/4/11, 28
2018/4/12, 42
2018/4/13, 45
2018/4/14, 13
2018/4/15, 13
2018/4/16, 21
2018/4/17, 35
2018/4/18, 24
2018/4/19, 16
2018/4/20, 24
2018/4/21, 21
2018/4/22, 19
2018/4/23, 23
2018/4/24, 19
2018/4/25, 9
2018/4/26, 27
2018/4/27, 24
2018/4/28, 24
2018/4/29, 31
2018/4/30, 28
2018/5/1, 25
2018/5/2, 42
2018/5/3, 35
2018/1/1, 15
2018/1/2, 20
2018/1/3, 17
2018/1/4, 19
2018/1/5, 21
2018/1/6, 23
2018/1/7, 17
2018/1/8, 12
2018/1/9, 15
2018/1/10, 15
2018/1/11, 19
2018/1/12, 17
2018/1/13, 14
2018/1/14, 18
2018/1/15, 18
2018/1/16, 10
2018/1/17, 15
2018/1/18, 18
2018/1/19, 20
2018/1/20, 16
2018/1/21, 20
2018/1/22, 10
2018/1/23, 18
2018/1/24, 17
2018/1/25, 27
2018/1/26, 27
2018/1/27, 14
2018/1/28, 20
2018/1/29, 15
2018/1/30, 21
2018/1/31, 16
2018/2/1, 18
2018/2/2, 13
2018/2/3, 18
2018/2/4, 20
2018/2/5, 22
2018/2/6, 37
2018/2/7, 26
2018/2/8, 24
2018/2/9, 33
2018/2/10, 17
2018/2/11, 12
2018/2/12, 16
2018/2/13, 25
2018/2/14, 24
2018/2/15, 14
2018/2/16, 18
2018/2/17, 15
2018/2/18, 16
2018/2/19, 15
2018/2/20, 18
2018/2/21, 12
2018/2/22, 21
2018/2/23, 20
2018/2/24, 15
2018/2/25, 16
2018/2/26, 15
2018/2/27, 27
2018/2/28, 30
2018/3/1, 16
2018/3/2, 19
2018/3/3, 26
2018/3/4, 28
2018/3/5, 12
2018/3/6, 14
2018/3/7, 24
2018/3/8, 20
2018/3/9, 20
2018/3/10, 25
2018/3/11, 13
2018/3/12, 28
2018/3/13, 24
2018/3/14, 34
2018/3/15, 31
2018/3/16, 19
2018/3/17, 13
2018/3/18, 20
2018/3/20, 9
2018/3/21, 30
2018/3/22, 24
2018/3/23, 31
2018/3/24, 17
2018/3/25, 14
2018/3/26, 28
2018/3/27, 22
2018/3/28, 15
2018/3/29, 13
2018/3/30, 22
2018/3/31, 20
2017/10/1, 34
2017/10/2, 44
2017/10/3, 74
2017/10/4, 4
2017/10/5, 3
2017/10/6, 5
2017/10/7, 4
2017/10/8, 5
2017/10/9, 6
2017/10/10, 4
2017/10/11, 18
2017/10/12, 19
2017/10/13, 24
2017/10/14, 27
2017/10/15, 13
2017/10/16, 13
2017/10/17, 18
2017/10/18, 24
2017/10/19, 26
2017/10/20, 19
2017/10/21, 28
2017/10/22, 11
2017/10/23, 16
2017/10/24, 10
2017/10/25, 11
2017/10/26, 24
2017/10/27, 9
2017/10/28, 12
2017/10/29, 16
2017/10/30, 16
2017/10/31, 14
2017/11/1, 20
2017/11/2, 23
2017/11/3, 26
2017/11/4, 15
2017/11/5, 16
2017/11/6, 24
2017/11/7, 20
2017/11/8, 16
2017/11/9, 24
2017/11/10, 27
2017/11/11, 30
2017/11/12, 25
2017/11/13, 18
2017/11/14, 18
2017/11/15, 16
2017/11/16, 28
2017/11/17, 21
2017/11/18, 17
2017/11/19, 12
2017/11/20, 16
2017/11/21, 18
2017/11/23, 13
2017/11/24, 16
2017/11/25, 17
2017/11/26, 18
2017/11/27, 18
2017/11/28, 20
2017/11/29, 12
2017/11/30, 16
2017/12/1, 19
2017/12/2, 22
2017/12/3, 22
2017/12/4, 22
2017/12/5, 14
2017/12/6, 17
2017/12/7, 10
2017/12/8, 12
2017/12/9, 16
2017/12/10, 15
2017/12/11, 20
2017/12/12, 19
2017/12/13, 26
2017/12/14, 35
2017/12/15, 19
2017/12/16, 33
2017/12/17, 36
2017/12/18, 23
2017/12/19, 15
2017/12/20, 16
2017/12/21, 19
2017/12/22, 16
2017/12/23, 16
2017/12/24, 22
2017/12/25, 20
2017/12/26, 26
2017/12/27, 45
2017/12/28, 38
2017/12/29, 25
2017/12/30, 39
2017/12/31, 39
2017/7/1, 21
2017/7/2, 27
2017/7/3, 36
2017/7/4, 32
2017/7/5, 23
2017/7/6, 35
2017/7/7, 26
2017/7/8, 28
2017/7/9, 23
2017/7/10, 28
2017/7/11, 31
2017/7/12, 27
2017/7/13, 29
2017/7/14, 24
2017/7/15, 33
2017/7/16, 29
