date, pm25, pm10, no2
2020/1/2, 59, 15, 10
2020/1/3, 34, 17, 12
2020/1/4, 38, 19, 14
2020/1/5, 53, 19, 15
2020/1/6, 47, 25, 14
2020/1/7, 60, 14, 12
2020/1/8, 38, 12, 10
2020/1/9, 30, 10, 13
2020/1/10, 20, 16, 11
2020/1/11, 44, 13, 7
2020/1/12, 34, 16, 10
2020/1/13, 37, 9, 6
2020/1/14, 18, 12, 10
2020/1/15, 27, 12, 13
2020/1/16, 32, , 
2019/10/1, 21, 11, 11
2019/10/2, 14, 17, 15
2019/10/3, 32, 14, 11
2019/10/4, 31, 16, 10
2019/10/5, 46, 10, 9
2019/10/6, 25, 23, 13
2019/10/7, 59, 19, 10
2019/10/8, 34, 16, 8
2019/10/9, 26, 18, 8
2019/10/10, 28, 13, 7
2019/10/11, 25, 13, 7
2019/10/12, 25, 16, 7
2019/10/13, 32, 17, 16
2019/10/14, 30, 15, 12
2019/10/15, 23, 10, 10
2019/10/16, 17, 12, 11
2019/10/17, 24, 12, 10
2019/10/18, 17, 11, 9
2019/10/19, 19, 17, 13
2019/10/20, 46, 14, 11
2019/10/21, 32, 21, 14
2019/10/22, 40, 25, 16
2019/10/23, 59, 25, 12
2019/10/24, 48, 12, 7
2019/10/25, 22, 10, 5
2019/10/26, 17, 12, 10
2019/10/27, 20, 19, 20
2019/10/28, 36, 19, 19
2019/10/29, 37, 26, 18
2019/10/30, 62, 27, 19
2019/10/31, 67, 19, 14
2019/11/1, 48, 11, 4
2019/11/2, 21, 8, 9
2019/11/3, 20, 12, 12
2019/11/4, 24, 17, 13
2019/11/5, 34, 20, 18
2019/11/6, 46, 15, 15
2019/11/7, 32, 19, 19
2019/11/8, 39, 21, 15
2019/11/9, 54, 22, 18
2019/11/10, 60, 15, 12
2019/11/11, 38, 11, 10
2019/11/12, 24, 15, 14
2019/11/13, 34, 12, 14
2019/11/14, 30, 25, 15
2019/11/15, 66, 16, 19
2019/11/16, 42, 22, 17
2019/11/17, 61, 21, 18
