date, pm25, pm10, o3, no2, so2, co
2020/1/2, 203, 133, 16, 34, 15, 26
2020/1/3, 243, 191, 7, 41, 12, 25
2020/1/4, 354, 251, 4, 46, 13, 33
2020/1/5, 376, 84, 18, 26, 15, 24
2020/1/6, 184, 64, 24, 22, 15, 20
2020/1/7, 168, 80, 15, 22, 7, 20
2020/1/8, 188, 93, 20, 25, 6, 22
2020/1/9, 186, 163, 12, 36, 10, 29
2020/1/10, 301, 145, 27, 30, 10, 27
2020/1/11, 265, 111, 19, 30, 14, 19
2020/1/12, 217, 159, 25, 33, 16, 28
2020/1/13, 299, 243, 33, 31, 11, 37
2020/1/14, 356, 156, 11, 32, 11, 22
2020/1/15, 276, 123, 17, 27, 10, 20
2020/1/16, 237, , , , , 
2019/10/1, 115, 91, 102, 26, 6, 12
2019/10/2, 127, 109, 97, 29, 6, 9
2019/10/3, 138, 53, 53, 12, 4, 10
2019/10/4, 105, 27, 36, 9, 5, 7
2019/10/5, 57, 34, 32, 14, 5, 5
2019/10/6, 77, 46, 39, 11, 4, 9
2019/10/7, 106, 66, 46, 21, 7, 14
2019/10/8, 116, 48, 36, 18, 4, 8
2019/10/9, 88, 54, 34, 16, 7, 16
2019/10/10, 116, 63, 37, 19, 8, 11
2019/10/11, 113, 68, 44, 22, 9, 14
2019/10/12, 100, 75, 51, 22, 10, 16
2019/10/13, 138, 41, 23, 13, 7, 8
2019/10/14, 89, 50, 24, 22, 11, 9
2019/10/15, 84, 55, 14, 24, 7, 14
2019/10/16, 152, 75, 23, 26, 7, 12
2019/10/17, 164, 90, 40, 26, 7, 16
2019/10/18, 168, 77, 68, 25, 7, 16
2019/10/19, 169, 105, 60, 25, 11, 16
2019/10/20, 183, 131, 47, 28, 13, 23
2019/10/21, 188, 117, 25, 33, 16, 36
2019/10/22, 165, 83, 32, 26, 5, 15
2019/10/23, 157, 86, 33, 24, 10, 15
2019/10/24, 147, 48, 24, 16, 6, 7
2019/10/25, 67, 70, 24, 22, 9, 9
2019/10/26, 126, 78, 41, 25, 11, 10
2019/10/27, 135, 302, 33, 22, 13, 11
2019/10/28, 164, 152, 39, 24, 12, 10
2019/10/29, 158, 166, 30, 31, 13, 13
2019/10/30, 164, 89, 40, 27, 20, 17
2019/10/31, 132, 110, 25, 31, 19, 22
2019/11/1, 171, 118, 50, 32, 16, 18
2019/11/2, 186, 76, 22, 20, 12, 15
2019/11/3, 153, 66, 36, 18, 8, 12
2019/11/4, 144, 103, 55, 27, 11, 18
2019/11/5, 188, 104, 58, 27, 7, 14
2019/11/6, 186, 120, 18, 29, 9, 17
2019/11/7, 213, 113, 39, 26, 9, 17
2019/11/8, 208, 142, 61, 26, 8, 18
2019/11/9, 244, 81, 31, 18, 11, 10
2019/11/10, 73, 87, 33, 26, 11, 13
2019/11/11, 118, 110, 44, 32, 16, 13
2019/11/12, 162, 60, 33, 17, 11, 9
2019/11/13, 68, 92, 28, 24, 11, 8
2019/11/14, 124, 118, 39, 34, 17, 23
2019/11/15, 173, 105, 24, 33, 14, 20
2019/11/16, 182, 75, 26, 21, 12, 21
2019/11/17, 139, 155, 35, 14, 6, 20
2019/11/18, 117, 137, 39, 25, 12, 22
2019/11/19, 164, 138, 75, 32, 21, 31
2019/11/20, 182, 97, 27, 25, 9, 12
2019/11/21, 165, 146, 18, 38, 11, 18
2019/11/22, 236, 198, 18, 45, 14, 27
2019/11/23, 313, 104, 22, 19, 12, 15
2019/11/24, 161, 47, 25, 16, 6, 6
2019/11/25, 71, 66, 24, 26, 10, 11
2019/11/26, 125, 87, 13, 26, 13, 16
2019/11/27, 143, 77, 24, 22, 11, 13
2019/11/28, 139, 84, 19, 26, 9, 11
2019/11/29, 165, 89, 16, 27, 11, 12
2019/11/30, 176, 121, 22, 32, 10, 21
2019/12/1, 228, 76, 26, 24, 8, 13
2019/12/2, 136, 61, 25, 24, 10, 13
2019/12/3, 108, 76, 23, 30, 15, 19
2019/12/4, 148, 98, 11, 26, 14, 21
2019/12/5, 173, 82, 17, 21, 7, 12
