date, pm25
2020/1/2, 29
2020/1/3, 43
2020/1/4, 34
2020/1/5, 28
2020/1/6, 17
2020/1/7, 26
2020/1/8, 31
2020/1/9, 45
2020/1/10, 48
2020/1/11, 34
2020/1/12, 29
2020/1/13, 44
2020/1/14, 43
2020/1/15, 63
2020/1/16, 34
2019/10/1, 11
2019/10/2, 10
2019/10/3, 12
2019/10/4, 8
2019/10/5, 12
2019/10/6, 15
2019/10/7, 19
2019/10/8, 14
2019/10/9, 20
2019/10/10, 24
2019/10/11, 13
2019/10/12, 18
2019/10/13, 14
2019/10/14, 14
2019/10/15, 16
2019/10/16, 11
2019/10/17, 21
2019/10/18, 24
2019/10/19, 50
2019/10/20, 31
2019/10/21, 14
2019/10/22, 16
2019/10/23, 19
2019/10/24, 19
2019/10/25, 24
2019/10/26, 30
2019/10/27, 35
2019/10/28, 20
2019/10/29, 22
2019/10/30, 25
2019/10/31, 36
2019/11/1, 29
2019/11/2, 26
2019/11/3, 39
2019/11/4, 28
2019/11/5, 16
2019/11/6, 23
2019/11/7, 25
2019/11/8, 34
2019/11/9, 42
2019/11/10, 33
2019/11/11, 20
2019/11/12, 21
2019/11/13, 34
2019/11/14, 42
2019/11/15, 42
2019/11/16, 61
2019/11/17, 47
2019/11/18, 30
2019/11/19, 38
2019/11/20, 34
2019/11/21, 26
2019/11/22, 25
2019/11/23, 34
2019/11/24, 27
2019/11/25, 17
2019/11/26, 18
2019/11/27, 23
2019/11/28, 21
2019/11/29, 29
2019/11/30, 24
2019/12/1, 24
2019/12/2, 30
2019/12/3, 33
2019/12/4, 27
2019/12/5, 54
2019/12/6, 31
2019/12/7, 35
2019/12/8, 47
2019/12/9, 47
2019/12/10, 54
2019/12/11, 52
2019/12/12, 59
2019/12/13, 87
2019/12/14, 61
2019/12/15, 46
2019/12/16, 47
2019/12/17, 49
2019/12/18, 40
2019/12/19, 68
2019/12/20, 68
2019/12/21, 59
2019/12/22, 47
2019/12/23, 58
2019/12/24, 71
2019/12/25, 73
2019/12/26, 43
2019/12/27, 53
2019/12/28, 48
2019/7/1, 14
2019/7/2, 14
2019/7/3, 21
2019/7/4, 23
2019/7/5, 62
2019/7/6, 35
2019/7/7, 50
2019/7/8, 49
2019/7/9, 55
2019/7/10, 11
2019/7/11, 23
2019/7/12, 23
2019/7/13, 18
2019/7/14, 21
2019/7/15, 22
2019/7/16, 13
2019/7/17, 11
2019/7/18, 17
2019/7/19, 27
2019/7/20, 17
2019/7/21, 21
2019/7/22, 14
2019/7/23, 22
2019/7/24, 26
2019/7/25, 26
2019/7/26, 35
2019/7/27, 23
2019/7/28, 32
2019/7/29, 14
2019/7/30, 12
2019/7/31, 14
2019/8/1, 18
2019/8/2, 26
2019/8/3, 39
2019/8/4, 37
2019/8/5, 30
2019/8/6, 21
2019/8/7, 19
2019/8/8, 11
2019/8/9, 21
2019/8/10, 20
2019/8/11, 22
2019/8/12, 28
2019/8/13, 17
2019/8/14, 17
2019/8/15, 17
2019/8/16, 15
2019/8/17, 19
2019/8/18, 11
2019/8/19, 19
2019/8/20, 10
2019/8/21, 15
2019/8/22, 13
2019/8/23, 17
2019/8/24, 17
2019/8/25, 16
2019/8/26, 16
2019/8/27, 10
2019/8/28, 16
2019/8/29, 14
2019/8/30, 21
2019/8/31, 29
2019/9/1, 28
2019/9/2, 28
2019/9/3, 13
2019/9/4, 11
2019/9/5, 19
2019/9/6, 19
2019/9/7, 16
2019/9/8, 10
2019/9/9, 15
2019/9/10, 10
2019/9/11, 9
2019/9/12, 11
2019/9/13, 7
2019/9/14, 20
2019/9/15, 23
2019/9/16, 17
2019/9/17, 30
2019/9/18, 17
2019/9/19, 10
2019/9/20, 10
2019/9/21, 10
2019/9/22, 12
2019/9/23, 10
2019/9/24, 18
2019/9/25, 19
2019/9/26, 14
2019/9/27, 17
2019/9/28, 14
2019/9/29, 10
2019/9/30, 31
2019/4/1, 19
2019/4/2, 20
2019/4/3, 18
2019/4/4, 15
2019/4/5, 54
2019/4/6, 57
2019/4/7, 34
2019/4/8, 15
2019/4/9, 13
2019/4/10, 9
2019/4/11, 11
2019/4/12, 15
2019/4/13, 13
2019/4/14, 22
2019/4/15, 17
2019/4/16, 24
2019/4/17, 23
2019/4/18, 12
2019/4/19, 27
2019/4/20, 32
2019/4/21, 38
2019/4/22, 14
2019/4/23, 13
2019/4/24, 25
2019/4/25, 29
2019/4/26, 13
2019/4/27, 21
2019/4/28, 14
2019/4/29, 24
2019/4/30, 24
2019/5/1, 16
2019/5/2, 20
2019/5/3, 19
2019/5/4, 34
2019/5/5, 30
2019/5/6, 11
2019/5/7, 12
2019/5/8, 16
2019/5/9, 8
2019/5/10, 22
2019/5/11, 31
2019/5/12, 24
2019/5/13, 25
2019/5/14, 27
2019/5/15, 31
2019/5/16, 26
2019/5/17, 11
2019/5/18, 17
2019/5/19, 9
2019/5/20, 13
2019/5/21, 11
2019/5/22, 13
2019/5/23, 8
2019/5/24, 20
2019/5/25, 15
2019/5/26, 26
2019/5/27, 24
2019/5/28, 14
2019/5/29, 23
2019/5/30, 48
2019/5/31, 58
2019/6/1, 37
2019/6/2, 24
2019/6/3, 27
2019/6/4, 35
2019/6/5, 26
2019/6/6, 20
2019/6/7, 28
2019/6/8, 31
2019/6/9, 25
2019/6/10, 15
2019/6/11, 15
2019/6/12, 13
2019/6/13, 10
2019/6/14, 18
2019/6/15, 30
2019/6/16, 22
2019/6/17, 17
2019/6/18, 15
2019/6/19, 16
2019/6/20, 17
2019/6/21, 19
2019/6/22, 19
2019/6/23, 30
2019/6/24, 24
2019/6/25, 21
2019/6/26, 20
2019/6/27, 19
2019/6/28, 30
2019/6/29, 37
2019/6/30, 22
2019/1/1, 25
2019/1/2, 21
2019/1/3, 15
2019/1/4, 19
2019/1/5, 18
2019/1/6, 29
2019/1/7, 37
2019/1/8, 24
2019/1/9, 17
2019/1/10, 27
2019/1/11, 46
2019/1/12, 69
2019/1/13, 45
2019/1/14, 38
2019/1/15, 33
2019/1/16, 25
2019/1/17, 38
2019/1/18, 29
2019/1/19, 26
2019/1/20, 36
2019/1/21, 28
2019/1/22, 44
2019/1/23, 54
2019/1/24, 33
2019/1/25, 25
2019/1/26, 56
2019/1/27, 28
2019/1/28, 29
2019/1/29, 21
2019/1/30, 21
2019/1/31, 30
2019/2/1, 49
2019/2/2, 65
2019/2/3, 47
2019/2/4, 26
2019/2/5, 22
2019/2/6, 39
2019/2/7, 28
2019/2/8, 23
2019/2/9, 46
2019/2/10, 58
2019/2/11, 47
2019/2/12, 25
2019/2/13, 41
2019/2/14, 49
2019/2/15, 26
2019/2/16, 48
2019/2/17, 23
2019/2/18, 31
2019/2/19, 59
2019/2/20, 55
2019/2/21, 58
2019/2/22, 64
2019/2/23, 70
2019/2/24, 43
2019/2/25, 19
2019/2/26, 25
2019/2/27, 41
2019/2/28, 37
2019/3/1, 63
2019/3/2, 49
2019/3/3, 31
2019/3/4, 29
2019/3/5, 25
2019/3/6, 39
2019/3/7, 44
2019/3/8, 58
2019/3/9, 71
2019/3/10, 47
2019/3/11, 54
2019/3/12, 55
2019/3/13, 22
2019/3/14, 18
2019/3/15, 14
2019/3/16, 17
2019/3/17, 48
2019/3/18, 39
2019/3/19, 29
2019/3/20, 28
2019/3/21, 33
2019/3/22, 25
2019/3/23, 31
2019/3/24, 43
2019/3/25, 18
2019/3/26, 28
2019/3/27, 41
2019/3/28, 18
2019/3/29, 18
2019/3/30, 15
2019/3/31, 12
2018/10/1, 17
2018/10/2, 13
2018/10/3, 20
2018/10/4, 13
2018/10/5, 9
2018/10/6, 10
2018/10/7, 9
2018/10/8, 10
2018/10/9, 6
2018/10/10, 8
2018/10/11, 11
2018/10/12, 19
2018/10/13, 22
2018/10/14, 13
2018/10/15, 11
2018/10/16, 10
2018/10/17, 18
2018/10/18, 22
2018/10/19, 12
2018/10/20, 21
2018/10/21, 23
2018/10/22, 21
2018/10/23, 17
2018/10/24, 27
2018/10/25, 20
2018/10/26, 16
2018/10/27, 15
2018/10/28, 15
2018/10/29, 16
2018/10/30, 25
2018/10/31, 26
2018/11/1, 39
2018/11/2, 20
2018/11/3, 30
2018/11/4, 15
2018/11/5, 14
2018/11/6, 14
2018/11/7, 15
2018/11/8, 19
2018/11/9, 30
