date, pm10, o3, no2, so2
2020/1/2, 16, 23, 3, 
2020/1/3, 7, 20, 5, 
2020/1/4, 12, 16, 5, 
2020/1/5, 10, 20, 8, 
2020/1/6, 11, 16, 6, 
2020/1/7, 18, 17, 5, 
2020/1/8, 8, 17, 4, 
2020/1/9, 9, 25, 3, 
2020/1/10, 9, 21, 6, 
2020/1/11, 10, 21, 3, 
2020/1/12, 8, 17, 6, 
2020/1/13, 11, 22, 3, 
2020/1/14, 6, 24, 3, 
2020/1/15, 9, 15, 5, 
2020/1/16, 11, , , 
2019/10/1, 10, 23, 3, 
2019/10/2, 8, 16, 6, 
2019/10/3, 9, 13, 8, 
2019/10/4, 11, 20, 3, 
2019/10/5, 13, 18, 3, 
2019/10/6, 9, 13, 6, 
2019/10/7, 12, 12, 6, 
2019/10/8, 17, 15, 4, 
2019/10/9, 17, 16, 5, 
2019/10/10, 14, 17, 3, 
2019/10/11, 13, 22, 4, 
2019/10/12, 14, 20, 5, 
2019/10/13, 15, 20, 6, 
2019/10/14, 17, 20, 6, 
2019/10/15, 16, 16, 4, 
2019/10/16, 11, 18, 3, 
2019/10/17, 9, 24, 4, 
2019/10/18, 12, 18, 6, 
2019/10/19, 13, 15, 5, 
2019/10/20, 14, 16, 4, 
2019/10/21, 11, 15, 6, 
2019/10/22, 13, 8, 9, 
2019/10/23, 20, 16, 7, 
2019/10/24, 18, 19, 4, 
2019/10/25, 12, 21, 2, 
2019/10/26, 9, 22, 3, 
2019/10/27, 11, 19, 7, 
2019/10/28, 11, 23, 7, 
2019/10/29, 14, 18, 8, 
2019/10/30, 13, 14, 8, 
2019/10/31, 17, 7, 9, 
2019/11/1, 20, 22, 3, 
2019/11/2, 8, 17, 5, 
2019/11/3, 8, 16, 5, 
2019/11/4, 10, 13, 6, 
2019/11/5, 14, 16, 6, 
2019/11/6, 10, 15, 9, 
2019/11/7, 10, 13, 10, 
2019/11/8, 13, 15, 8, 
2019/11/9, 14, 11, 11, 1
2019/11/10, 18, 14, 10, 1
2019/11/11, 13, 17, 4, 
2019/11/12, 7, 17, 5, 
2019/11/13, 10, 13, 8, 
2019/11/14, 11, 12, 8, 
2019/11/15, 21, 7, 10, 
2019/11/16, 15, 6, 11, 
2019/11/17, 22, 25, 3, 
2019/11/18, 5, 21, 6, 
2019/11/19, 9, 11, 13, 
2019/11/20, 15, 10, 8, 
2019/11/21, 17, 9, 12, 
2019/11/22, 13, 11, 6, 
2019/11/23, 13, 5, 8, 
2019/11/24, 22, , 11, 
2019/11/25, 23, 8, 13, 1
2019/11/26, 13, 21, 6, 
2019/11/27, 9, 21, 4, 
2019/11/28, 6, 22, 4, 
2019/11/29, 13, 9, 11, 
2019/11/30, 16, 2, 12, 
2019/12/1, 19, 13, 7, 
2019/12/2, 9, 12, 7, 
2019/12/3, 14, 4, 12, 
2019/12/4, 22, 4, 13, 
2019/12/5, 23, 15, 5, 
2019/12/6, 10, 19, 5, 
2019/12/7, 10, 26, 2, 
2019/12/8, 13, 26, 3, 
2019/12/9, 12, 19, 6, 
2019/12/10, 14, 18, 6, 
2019/12/11, 9, 18, 6, 
2019/12/12, 11, 20, 7, 
2019/12/13, 6, 27, 3, 
2019/12/14, 11, 28, 3, 
2019/12/15, 15, 18, 11, 
2019/12/16, 11, 18, 8, 
2019/12/17, 12, 18, 8, 
2019/12/18, 11, 13, 9, 
2019/12/19, 18, 21, 6, 
2019/12/20, 9, 22, 4, 
2019/12/21, 8, 20, 4, 
2019/12/22, 6, 17, 6, 
2019/12/23, 13, 23, 4, 
2019/12/24, 14, 22, 2, 
2019/12/25, 11, 9, 7, 
2019/12/26, 16, 18, 6, 
2019/12/27, 9, 10, 8, 
2019/12/28, 14, , , 
2019/7/1, 13, 29, 2, 
2019/7/2, 10, 31, 2, 
2019/7/3, 11, 27, 6, 
2019/7/4, 12, 42, 11, 
2019/7/5, 16, 33, 4, 
2019/7/6, 15, 27, 3, 
2019/7/7, 9, 25, 3, 
2019/7/8, 7, 33, 3, 
2019/7/9, 10, 28, 4, 
2019/7/10, 10, 26, 8, 
2019/7/11, 20, 24, 6, 
2019/7/12, 12, 27, 3, 
2019/7/13, 11, 25, 2, 
2019/7/14, 10, 26, 3, 
2019/7/15, 8, 17, 5, 
2019/7/16, 7, 25, 6, 
2019/7/17, 8, 39, 8, 
2019/7/18, 17, 34, 6, 
2019/7/19, 13, 32, 7, 1
2019/7/20, 13, 30, 4, 
2019/7/21, 10, 30, 6, 
2019/7/22, 11, 68, 5, 
2019/7/23, 14, 96, 7, 1
2019/7/24, 20, 110, 7, 
2019/7/27, 19, 44, 4, 
2019/7/28, 18, 43, 4, 
2019/7/29, 15, 50, 7, 
2019/7/30, 19, 24, 5, 
2019/7/31, 15, 29, 7, 
2019/8/1, 15, 29, 7, 
2019/8/2, 14, 26, 4, 
2019/8/3, 12, 41, 5, 
2019/8/4, 17, 31, 8, 
2019/8/5, 14, 32, 6, 
2019/8/6, 13, 30, 7, 
2019/8/7, 13, 34, 5, 
2019/8/8, 12, 21, 9, 
2019/8/9, 15, 27, 4, 
2019/8/10, 13, 29, 5, 
2019/8/11, 15, 30, 4, 
2019/8/12, 12, 20, 5, 
2019/8/13, 11, 33, 5, 
2019/8/14, 12, 17, 4, 
2019/8/15, 9, 29, 5, 
2019/8/16, 13, 15, 5, 
2019/8/17, 10, 16, 4, 
2019/8/18, 12, 24, 4, 
2019/8/19, 15, 25, 5, 
2019/8/20, 16, 39, 5, 
2019/8/21, 15, 46, 9, 
2019/8/22, 18, 52, 5, 
2019/8/23, 18, 53, 6, 
2019/8/24, 20, 55, 8, 
2019/8/25, 23, 66, 8, 
2019/8/26, 32, 66, 9, 
2019/8/27, 29, 66, 11, 
2019/8/28, 25, 24, 7, 
2019/8/29, 16, 42, 6, 
2019/8/30, 11, 47, 9, 
2019/8/31, 19, 26, 6, 
2019/9/1, 10, 26, 6, 
2019/9/2, 11, 18, 8, 
2019/9/3, 13, 24, 6, 
2019/9/4, 12, 25, 4, 
2019/9/5, 10, 27, 6, 
2019/9/6, 11, 21, 5, 
2019/9/7, 9, 25, 4, 
2019/9/8, 9, 28, 5, 
2019/9/9, 9, 31, 6, 
2019/9/10, 11, 18, 8, 
2019/9/11, 16, 19, 7, 
2019/9/12, 15, 25, 4, 
2019/9/13, 11, 31, 5, 
2019/9/14, 12, 31, 8, 
2019/9/15, 13, 18, 4, 
2019/9/16, 9, 21, 4, 
2019/9/17, 13, 23, 4, 
2019/9/18, 11, 26, 4, 
2019/9/19, 10, 29, 6, 
2019/9/20, 12, 30, 7, 
2019/9/21, 14, 34, 8, 1
2019/9/22, 16, 18, 6, 
2019/9/23, 13, 14, 11, 1
2019/9/24, 11, 16, 6, 
2019/9/25, 12, 10, 5, 
2019/9/26, 13, 20, 4, 
2019/9/27, 14, 18, 4, 
2019/9/28, 11, 19, 3, 
2019/9/29, 11, 21, 4, 
2019/9/30, 12, 17, 5, 
2019/4/1, 14, 28, 8, 
2019/4/2, 20, 27, 6, 
2019/4/3, 14, 28, 6, 
2019/4/4, 7, 27, 5, 
2019/4/5, 11, 23, 5, 
2019/4/6, 35, 48, 4, 
2019/4/7, 30, 50, 5, 
2019/4/8, 26, 40, 3, 
2019/4/9, 21, 34, 3, 
2019/4/10, 14, 33, 4, 
2019/4/11, 14, 31, 3, 
2019/4/12, 10, 33, 3, 
2019/4/13, 12, 33, 2, 
2019/4/14, 15, 40, 3, 
2019/4/15, 17, 40, 5, 
2019/4/16, 20, 36, 7, 
2019/4/17, 25, 49, 3, 
2019/4/18, 21, 48, 4, 
2019/4/19, 20, 60, 4, 
2019/4/20, 23, 61, 5, 
2019/4/21, 31, 53, 4, 1
2019/4/22, 34, 48, 3, 
2019/4/23, 26, 44, 6, 1
2019/4/24, 30, 31, 5, 
2019/4/25, 7, 24, 5, 
2019/4/26, 10, 26, 5, 
2019/4/27, 11, 27, 3, 
2019/4/28, 11, 32, 4, 
2019/4/29, 8, 33, 3, 
2019/4/30, 15, 36, 4, 
2019/5/1, 17, 28, 6, 
2019/5/2, 16, 35, 2, 
2019/5/3, 11, 31, 2, 
2019/5/4, 9, 34, 3, 
2019/5/5, 13, 28, 5, 
2019/5/6, 11, 30, 4, 
2019/5/7, 12, 24, 9, 
2019/5/8, 11, 25, 6, 
2019/5/9, 11, 33, 4, 
2019/5/10, 9, 38, 4, 
2019/5/11, 10, 35, 2, 
2019/5/12, 8, 35, 3, 
2019/5/13, 10, 39, 3, 
2019/5/14, 10, 37, 4, 
2019/5/15, 10, 33, 4, 
2019/5/16, 12, 20, 4, 
2019/5/17, 10, 44, 5, 
2019/5/18, 13, 44, 5, 
2019/5/19, 20, 31, 4, 
2019/5/20, 16, 30, 3, 
2019/5/21, 13, 38, 3, 
2019/5/22, 11, 49, 6, 1
2019/5/23, 14, 44, 8, 
2019/5/24, 15, 34, 2, 
2019/5/25, 10, 30, 5, 
2019/5/26, 14, 28, 4, 
2019/5/27, 10, 23, 6, 
2019/5/28, 8, 34, 4, 
2019/5/29, 9, 18, 6, 
2019/5/30, 11, 27, 6, 
2019/5/31, 12, 39, 7, 
2019/6/1, 15, 46, 6, 
2019/6/2, 15, 25, 6, 
2019/6/3, 14, 41, 5, 
2019/6/4, 16, 39, 3, 
2019/6/5, 16, 26, 5, 
2019/6/6, 13, 37, 7, 
2019/6/7, 11, 27, 2, 
2019/6/8, 11, 32, 3, 
2019/6/9, 9, 40, 4, 
2019/6/10, 15, 35, 5, 
2019/6/11, 13, 25, 5, 
2019/6/12, 10, 33, 4, 
2019/6/13, 7, 48, 6, 
2019/6/14, 11, 37, 5, 
2019/6/15, 14, 26, 5, 
2019/6/16, 12, 44, 6, 1
2019/6/17, 13, 65, 7, 
2019/6/18, 20, 31, 9, 1
2019/6/19, 19, 30, 5, 
2019/6/20, 16, 33, 5, 
2019/6/21, 14, 44, 3, 
2019/6/22, 11, 48, 3, 
2019/6/23, 11, 53, 3, 
2019/6/24, 16, 79, 5, 
2019/6/25, 18, 55, 5, 
2019/6/26, 16, 33, 1, 
2019/6/27, 13, 38, 2, 
2019/6/28, 14, 52, 3, 
2019/6/29, 16, 53, 5, 
2019/6/30, 14, 32, 4, 
2019/1/1, 29, 28, 3, 
2019/1/2, 21, 24, 3, 
2019/1/3, 10, 19, 4, 
2019/1/4, 8, 25, 1, 
2019/1/5, 8, 25, 2, 
2019/1/6, 7, 14, 9, 
2019/1/7, 17, 29, 1, 
2019/1/8, 16, 27, 2, 
2019/1/9, 15, 16, 7, 
2019/1/10, 13, 26, 6, 
2019/1/11, 9, 24, 3, 
2019/1/12, 9, 27, 2, 
2019/1/13, 10, 27, 2, 
2019/1/14, 11, 16, 8, 
2019/1/15, 13, 19, 4, 
2019/1/16, 12, 23, 4, 
2019/1/17, 7, 19, 10, 
2019/1/18, 12, 15, 14, 
2019/1/19, 18, 13, 10, 
2019/1/20, 20, 2, 15, 
2019/1/21, 42, 5, 19, 2
2019/1/22, 38, 9, 12, 1
2019/1/23, 36, 12, 9, 
2019/1/24, 52, 13, 9, 
2019/1/25, 42, 19, 6, 
2019/1/26, 11, 23, 2, 
2019/1/27, 6, 20, 2, 
2019/1/28, 7, 17, 7, 
2019/1/29, 12, 15, 9, 
2019/1/30, 13, 12, 12, 
2019/1/31, 22, 16, 12, 
2019/2/1, 15, 6, 11, 
2019/2/2, 29, 19, 3, 
2019/2/3, 18, 22, 7, 
2019/2/4, 13, 18, 6, 
2019/2/5, 16, 13, 11, 
2019/2/6, 15, 25, 7, 
2019/2/7, 15, 24, 3, 
2019/2/8, 8, 27, 2, 
2019/2/9, 12, 24, 3, 
2019/2/10, 9, 26, 2, 
2019/2/11, 14, 13, 11, 
2019/2/12, 18, 10, 10, 
2019/2/13, 23, 11, 18, 
2019/2/14, 19, 8, 25, 4
2019/2/15, 21, 15, 16, 1
2019/2/16, 28, 13, 18, 3
2019/2/17, 38, 15, 19, 2
2019/2/18, 29, 20, 7, 
2019/2/19, 16, 20, 8, 
2019/2/20, 19, 15, 9, 
2019/2/21, 26, 21, 7, 
2019/2/22, 18, 15, 6, 
2019/2/23, 16, 23, 11, 2
2019/2/24, 21, 19, 15, 3
2019/2/25, 30, 20, 15, 1
2019/2/26, 35, 17, 17, 
2019/2/27, 32, 21, 13, 
2019/2/28, 46, 26, 4, 
2019/3/1, 18, 20, 4, 
2019/3/2, 21, 24, 2, 
2019/3/3, 9, 30, 3, 
2019/3/4, 9, 27, 4, 
2019/3/5, 11, 19, 8, 1
2019/3/6, 11, 29, 4, 
2019/3/7, 8, 30, 3, 
2019/3/8, 14, 31, 3, 
2019/3/9, 10, 28, 3, 
2019/3/10, 9, 29, 2, 
2019/3/11, 8, 30, 4, 
2019/3/12, 11, 29, 3, 
2019/3/13, 13, 33, 3, 
2019/3/14, 14, 26, 4, 
2019/3/15, 13, 29, 3, 
2019/3/16, 9, 31, 1, 
2019/3/17, 9, 31, 3, 
2019/3/18, 12, 28, 6, 
2019/3/19, 16, 14, 11, 
2019/3/20, 28, 27, 8, 
2019/3/21, 26, 22, 9, 
2019/3/22, 33, 20, 6, 
2019/3/23, 33, 32, 3, 
2019/3/24, 14, 34, 2, 
2019/3/25, 12, 32, 3, 
2019/3/26, 17, 33, 4, 
2019/3/27, 13, 28, 5, 
2019/3/28, 12, 23, 10, 
2019/3/29, 18, 30, 10, 
2019/3/30, 27, 35, 2, 
2019/3/31, 24, 33, 3, 
2018/10/1, 9, 16, 5, 
2018/10/2, 11, 24, 6, 
2018/10/3, 19, 12, 8, 
2018/10/4, 15, 14, 15, 
2018/10/5, 20, 28, 13, 
2018/10/6, 23, 26, 3, 
2018/10/7, 21, 20, 8, 
2018/10/8, 16, 16, 15, 
2018/10/9, 28, 33, 11, 
2018/10/10, 24, 21, 9, 
2018/10/11, 24, 23, 9, 
2018/10/12, 18, 31, 10, 
2018/10/13, 19, 33, 6, 
2018/10/14, 21, 28, 9, 
2018/10/15, 23, 24, 15, 
2018/10/16, 29, 19, 13, 
2018/10/17, 29, 20, 4, 
2018/10/18, 12, 21, 5, 
2018/10/19, 12, 23, 5, 
2018/10/20, 17, 21, 10, 
2018/10/21, 24, 24, 7, 
2018/10/22, 20, 17, 5, 
2018/10/23, 18, 20, 2, 
2018/10/24, 10, 15, 6, 
2018/10/25, 13, 12, 6, 
2018/10/26, 15, 19, 4, 
2018/10/27, 6, 19, 3, 
2018/10/28, 8, 14, 3, 
2018/10/29, 9, 7, 5, 
2018/10/30, 6, 12, 8, 
2018/10/31, 10, 8, 11, 
2018/11/1, 13, 14, 7, 
2018/11/2, 9, 11, 12, 
2018/11/3, 18, 4, 9, 
2018/11/4, 21, 2, 7, 
2018/11/5, 16, 2, 12, 
2018/11/6, 18, 15, 12, 1
2018/11/7, 15, 19, 7, 
2018/11/8, 13, 7, 12, 
2018/11/9, 16, 12, 8, 
2018/11/10, 11, 19, 3, 
2018/11/11, 8, 11, 8, 
2018/11/12, 11, 11, 6, 
2018/11/13, 11, 6, 9, 
2018/11/14, 15, 4, 12, 
2018/11/15, 14, 5, 11, 
2018/11/16, 16, 11, 7, 
2018/11/17, 20, 17, 7, 
2018/11/18, 21, 17, 3, 
2018/11/19, 7, 18, 3, 
2018/11/20, 16, 10, 6, 
2018/11/21, 24, 3, 8, 
2018/11/22, 25, 2, 11, 
2018/11/23, 21, 4, 9, 
2018/11/24, 16, , 7, 
2018/11/25, 19, 11, 6, 
2018/11/26, 23, 10, 7, 
2018/11/27, 19, 6, 10, 
2018/11/28, 15, 8, 12, 1
2018/11/29, 11, 15, 6, 
2018/11/30, 17, 17, 5, 
2018/12/1, 11, 16, 3, 
2018/12/2, 6, 18, 4, 
