date, pm25, pm10, o3, no2, so2, co
2020/1/2, 26, 24, 34, 9, 2, 
2020/1/3, 24, 20, 34, 4, 2, 
2020/1/4, 21, 17, 34, 5, 2, 
2020/1/5, 25, 7, 35, 3, 2, 
2020/1/6, 11, 26, 37, 5, 2, 
2020/1/7, 35, 21, 34, 5, , 
2020/1/8, 19, 18, 35, 5, 2, 
2020/1/9, 18, 15, 30, 4, 4, 
2020/1/10, 16, 19, 37, 4, , 
2020/1/11, 15, 41, 39, 5, 2, 
2020/1/12, 29, 57, 35, 6, 2, 
2020/1/13, 41, 33, 36, 8, 2, 
2020/1/14, 25, 27, 35, 9, 2, 
2020/1/15, 21, , , , , 
2019/10/1, 30, 32, 27, 4, 2, 
2019/10/2, 25, 29, 21, 3, 2, 
2019/10/3, 12, 20, 22, 4, 2, 
2019/10/4, 15, 23, 25, 2, 2, 
2019/10/5, 17, 25, 33, 3, 2, 
2019/10/6, 24, 33, 34, 4, 2, 
2019/10/7, 31, 30, 33, 6, 2, 
2019/10/8, 29, 27, 33, 6, 2, 
2019/10/9, 31, 34, 35, 9, 2, 
2019/10/10, 37, 35, 30, 8, 2, 
2019/10/11, 28, 30, 28, 9, 3, 
2019/10/12, 23, 23, 31, 6, 2, 
2019/10/13, 12, 18, 33, 5, , 
2019/10/14, 11, 16, 33, 6, , 
2019/10/15, 10, 15, 32, 6, , 
2019/10/16, 11, 14, 33, 6, 2, 
2019/10/17, 10, 14, , , , 
2019/10/21, 9, 14, 36, 4, 2, 
2019/10/22, 10, 15, 36, 5, 2, 
2019/10/23, 10, 21, 41, 6, 2, 
2019/10/24, 13, 28, 31, 23, 7, 
2019/10/25, 26, 40, 27, 12, 2, 
2019/10/26, 32, 30, 24, 17, 6, 
2019/10/27, 26, 24, 24, 12, 2, 
2019/10/28, 24, 28, 19, 13, 3, 
2019/10/29, 32, 32, 20, 4, 2, 
2019/10/30, 35, 29, 22, 3, 2, 
2019/10/31, 25, 23, 23, 2, 2, 
2019/11/1, 22, 29, 24, 2, 2, 
2019/11/2, 33, 45, 34, 3, 2, 
