date, pm25
2020/1/2, 128
2020/1/3, 61
2020/1/4, 39
2020/1/5, 43
2020/1/6, 58
2020/1/7, 80
2020/1/8, 99
2020/1/9, 105
2020/1/10, 91
2020/1/11, 64
2020/1/12, 53
2020/1/13, 57
2020/1/14, 81
2020/1/15, 73
2020/1/16, 82
2019/10/1, 49
2019/10/2, 69
2019/10/3, 53
2019/10/4, 38
2019/10/5, 44
2019/10/6, 47
2019/10/7, 62
2019/10/8, 76
2019/10/9, 81
2019/10/10, 79
2019/10/11, 142
2019/10/12, 163
2019/10/13, 114
2019/10/14, 51
2019/10/15, 60
2019/10/16, 86
2019/10/17, 66
2019/10/18, 66
2019/10/19, 66
2019/10/20, 71
2019/10/21, 59
2019/10/22, 47
2019/10/23, 63
2019/10/24, 54
2019/10/25, 65
2019/10/26, 66
2019/10/27, 60
2019/10/28, 63
2019/10/29, 82
2019/10/30, 76
2019/10/31, 61
2019/11/1, 60
2019/11/2, 80
2019/11/3, 49
2019/11/4, 40
2019/11/5, 51
2019/11/6, 67
2019/11/7, 88
2019/11/8, 56
2019/11/9, 59
2019/11/10, 68
2019/11/11, 58
2019/11/12, 52
2019/11/13, 53
2019/11/14, 53
2019/11/15, 49
2019/11/16, 58
2019/11/17, 61
2019/11/18, 62
2019/11/19, 80
2019/11/20, 77
2019/11/21, 63
2019/11/22, 56
2019/11/23, 44
2019/11/24, 43
2019/11/25, 83
2019/11/26, 92
2019/11/27, 96
2019/11/28, 102
2019/11/29, 125
2019/11/30, 109
2019/12/1, 58
2019/12/2, 66
2019/12/3, 85
2019/12/4, 96
2019/12/5, 81
2019/12/6, 41
2019/12/7, 74
2019/12/8, 76
2019/12/9, 74
2019/12/10, 62
2019/12/11, 57
2019/12/12, 67
2019/12/13, 77
2019/12/14, 58
2019/12/15, 100
2019/12/16, 121
2019/12/17, 144
2019/12/18, 55
2019/12/19, 51
2019/12/20, 38
2019/12/21, 60
2019/12/22, 62
2019/12/23, 75
2019/12/24, 93
2019/12/25, 106
2019/12/26, 52
2019/12/27, 87
2019/12/28, 73
2019/7/1, 59
2019/7/2, 50
2019/7/3, 39
2019/7/4, 54
2019/7/5, 48
2019/7/6, 46
2019/7/7, 53
2019/7/8, 48
2019/7/9, 56
2019/7/10, 58
2019/8/1, 66
2019/8/2, 76
2019/8/3, 73
2019/8/4, 77
2019/8/5, 64
2019/8/6, 67
2019/8/7, 63
2019/8/8, 120
2019/8/9, 57
2019/8/10, 42
2019/8/11, 31
2019/8/12, 42
2019/8/13, 65
2019/8/14, 52
2019/8/15, 51
2019/8/16, 61
2019/8/17, 79
2019/8/18, 46
2019/8/19, 42
2019/8/20, 49
2019/8/21, 50
2019/8/22, 49
2019/8/23, 53
2019/8/24, 82
2019/8/25, 81
2019/8/26, 35
2019/8/27, 49
2019/8/28, 53
2019/8/29, 55
2019/8/30, 51
2019/9/3, 96
2019/9/4, 48
2019/9/5, 41
2019/9/6, 53
2019/9/7, 82
2019/9/8, 62
2019/9/9, 48
2019/9/10, 50
2019/9/11, 62
2019/9/12, 50
2019/9/13, 40
2019/9/14, 44
2019/9/15, 51
2019/9/16, 64
2019/9/17, 98
2019/9/18, 107
2019/9/19, 79
2019/9/20, 85
2019/9/21, 79
2019/9/22, 90
2019/9/23, 76
2019/9/24, 84
2019/9/25, 80
2019/9/26, 78
2019/9/27, 69
2019/9/28, 58
2019/9/29, 57
2019/9/30, 53
2019/6/30, 95
