date, pm25, pm10, o3
2020/1/2, 47, 10, 
2020/1/3, 31, 8, 
2020/1/4, 21, 8, 
2020/1/5, 26, 12, 
2020/1/6, 34, 11, 
2020/1/7, 30, 10, 
2020/1/8, 23, 14, 
2020/1/9, 37, 14, 
2020/1/10, 33, 11, 
2020/1/11, 24, 9, 
2020/1/12, 22, 12, 
2020/1/13, 31, 7, 
2020/1/14, 17, , 
2019/10/1, 56, 23, 49
2019/10/2, 63, 22, 49
2019/10/3, 60, 19, 47
2019/10/4, 49, 17, 30
2019/10/5, 40, 14, 22
2019/10/6, 30, 17, 32
2019/10/7, 32, 12, 29
2019/10/8, 27, 10, 21
2019/10/9, 23, 14, 29
2019/10/10, 32, 16, 37
2019/10/11, 38, 16, 36
2019/10/12, 41, 11, 13
2019/10/13, 25, 11, 33
2019/10/14, 26, 17, 20
2019/10/15, 42, 9, 27
2019/10/16, 21, 9, 27
2019/10/17, 20, 11, 29
2019/10/18, 27, 9, 26
2019/10/19, 25, 6, 22
2019/10/20, 15, 13, 18
2019/10/21, 34, 13, 27
2019/10/22, 23, 13, 29
2019/10/23, 26, 12, 32
2019/10/24, 28, 14, 27
2019/10/25, 32, 12, 20
2019/10/26, 28, 10, 25
2019/10/27, 25, 14, 25
2019/10/28, 37, 16, 23
2019/10/29, 46, 9, 10
2019/10/30, 22, 8, 15
2019/10/31, 18, 10, 23
2019/11/1, 30, 12, 27
2019/11/2, 37, 14, 31
2019/11/3, 34, 13, 25
2019/11/4, 37, 16, 21
2019/11/5, 42, 20, 
2019/11/6, 54, 19, 
2019/11/7, 52, 10, 
2019/11/8, 29, 20, 
2019/11/9, 51, 25, 
2019/11/10, 67, 24, 
2019/11/11, 62, 8, 
2019/11/12, 22, 11, 
2019/11/13, 31, 16, 
2019/11/14, 48, 13, 
2019/11/15, 45, 14, 
2019/11/16, 41, 12, 
2019/11/17, 34, 14, 
2019/11/18, 39, 20, 
2019/11/19, 49, 14, 
2019/11/20, 36, 20, 
2019/11/21, 60, 28, 
2019/11/22, 69, 15, 
2019/11/23, 44, 6, 
2019/11/24, 18, 21, 
2019/11/25, 52, 26, 
2019/11/26, 65, 16, 
2019/11/27, 34, 7, 
2019/11/28, 17, 12, 
2019/11/29, 33, 26, 
2019/11/30, 65, 11, 
2019/12/1, 21, 5, 
2019/12/2, 11, 8, 
2019/12/3, 26, 12, 
2019/12/4, 32, 13, 
2019/12/5, 26, 33, 
2019/12/6, 72, 29, 
2019/12/7, 72, 14, 
2019/12/8, 43, 28, 
2019/12/9, 57, 12, 
2019/12/10, 28, 9, 
2019/12/11, 22, 9, 
2019/12/12, 25, 6, 
2019/12/13, 21, 8, 
2019/12/14, 27, 19, 
2019/12/15, 59, 16, 
2019/12/16, 49, 7, 
2019/12/17, 19, 7, 
2019/12/18, 22, 12, 
2019/12/19, 34, 17, 
2019/12/20, 50, 20, 
2019/12/21, 60, 13, 2
2019/12/22, 40, 1, 
2019/12/23, 2, 4, 
2019/12/24, 10, 15, 
2019/12/25, 39, 22, 
2019/12/26, 59, 24, 
2019/12/27, 61, 23, 
2019/12/28, 57, , 
2019/7/1, 47, 17, 41
2019/7/2, 52, 20, 37
2019/7/3, 47, 25, 35
2019/7/4, 52, 20, 37
2019/7/5, 43, 22, 28
2019/7/6, 27, 21, 32
2019/7/7, 31, 13, 36
2019/7/8, 31, 13, 31
2019/7/9, 36, 16, 33
2019/7/10, 40, 13, 29
2019/7/11, 32, 12, 38
2019/7/12, 19, 14, 20
