date, pm25, pm10, o3, no2, so2, co
2020/1/2, 38, , 23, , , 
2020/1/3, 51, , 25, , , 
2020/1/4, 56, , 25, , , 
2020/1/5, 43, , 20, , , 
2020/1/6, 47, , 19, , , 
2020/1/7, 45, , 24, , , 
2020/1/8, 36, , 26, , , 
2020/1/9, 25, , 22, , , 
2020/1/10, 30, , 27, , , 
2020/1/11, 38, , 23, , , 
2020/1/12, 23, , 29, , , 
2020/1/13, 20, , 27, , , 
2020/1/14, 26, , 26, , , 
2020/1/15, 34, , , , , 
2019/10/1, 29, , 30, 6, , 
2019/10/2, 27, , 35, 5, , 
2019/10/3, 25, , 34, 8, , 
2019/10/4, 29, 18, 33, 9, , 
2019/10/5, 43, 14, 39, 7, , 
2019/10/6, 31, 23, 45, 12, , 
2019/10/7, 41, 22, 57, 8, , 
2019/10/8, 51, 44, 36, 6, , 
2019/10/11, 52, , 46, 9, , 
2019/10/12, 72, , 45, 8, , 
2019/10/13, 64, , 48, 11, , 
2019/10/14, 50, , 49, 11, , 
2019/10/15, 47, , 50, 7, , 
2019/10/16, 44, , 32, 7, , 
2019/10/17, 18, , 33, 8, , 
2019/10/18, 25, , 29, 10, , 
2019/10/19, 35, , 33, 9, , 
2019/10/20, 37, , 28, 10, , 
2019/10/21, 25, , 37, 12, , 
2019/10/22, 42, , 33, 9, , 
2019/10/23, 26, , 34, 14, , 
2019/10/24, 31, , 40, 14, , 
2019/10/25, 32, , 41, 13, , 
2019/10/26, 27, , 31, 5, , 
2019/10/27, 22, , 34, 8, , 
2019/10/28, 32, , 32, 11, , 
2019/10/29, 29, , 41, 17, , 
2019/10/30, 40, , 35, 15, , 
2019/10/31, 38, , 40, 11, , 
2019/11/1, 36, , 38, 13, , 
2019/11/2, 29, , 39, 8, , 
2019/11/3, 29, , 39, 13, , 
2019/11/4, 37, , 40, 13, , 
2019/11/5, 35, , 39, 12, , 
2019/11/6, 27, , 41, 16, , 
2019/11/7, 29, , 34, 16, , 
2019/11/8, 18, , 35, 14, , 
2019/11/9, 22, , 35, 9, , 
2019/11/10, 23, , 43, 9, , 
2019/11/11, 36, , 36, 16, , 
2019/11/12, 30, , 35, 15, , 
2019/11/13, 29, , 25, 7, , 
2019/11/14, 29, , 27, 10, , 
2019/11/15, 18, , 34, 8, , 
2019/11/16, 47, , 37, 8, , 
2019/11/17, 45, , 34, 13, , 
2019/11/18, 30, , 31, 9, , 
2019/11/19, 38, , 27, 7, , 
2019/11/20, 22, , 29, 13, , 
2019/11/21, 44, , 30, 14, , 
2019/11/22, 42, , 28, 13, , 
2019/11/23, 37, , 29, 10, , 
2019/11/24, 33, , 32, 10, , 
2019/11/25, 22, , 29, 4, , 
2019/11/26, 17, , 27, 5, , 
2019/11/27, 24, , 28, 6, , 
2019/11/28, 19, , 25, 8, , 
2019/11/29, 49, , 26, 4, , 
2019/11/30, 28, , 27, 4, , 
2019/12/1, 27, , 27, 7, , 
2019/12/2, 18, , 16, 7, , 
2019/12/3, 33, , 14, 7, , 
2019/12/4, 42, , 24, 8, , 
2019/12/5, 29, , 30, 4, , 
2019/12/6, 31, , 30, 2, , 
2019/12/7, 19, , 30, 6, , 
2019/12/8, 20, , 20, 9, , 
2019/12/9, 32, , 15, 7, , 
2019/12/10, 43, , 19, 8, , 
