date, pm25, pm10, no2, so2
2020/1/2, 20, 17, 1, 
2020/1/3, 31, 25, , 
2020/1/4, 48, 20, , 
2020/1/5, 43, 29, 1, 
2020/1/6, 40, 24, 1, 
2020/1/7, 51, 18, 3, 
2020/1/8, 47, 17, 2, 
2020/1/9, 38, 21, 2, 
2020/1/10, 47, 16, 2, 
2020/1/11, 35, 10, 2, 1
2020/1/12, 44, 14, 4, 
2020/1/13, 45, 14, 2, 
2020/1/14, 23, 9, 3, 1
2020/1/15, 39, 8, 2, 
2020/1/16, 21, , , 
2019/10/1, 50, 15, 3, 
2019/10/2, 67, 18, 4, 
2019/10/3, 59, 12, 5, 
2019/10/4, 44, 10, 2, 
2019/10/5, 42, 12, 1, 
2019/10/6, 40, 10, , 
2019/10/7, 56, 7, 5, 
2019/10/8, 43, 7, 2, 
2019/10/9, 75, 13, , 
2019/10/10, 33, 9, 3, 
2019/10/11, 47, 13, 4, 
2019/10/12, 55, 9, 3, 
2019/10/13, 65, 15, 2, 
2019/10/14, 57, 9, 2, 
2019/10/15, 48, 15, 3, 
2019/10/16, 41, 17, 3, 
2019/10/17, 46, 11, 2, 
2019/10/18, 58, 16, 1, 
2019/10/19, 52, 17, 2, 
2019/10/20, 35, 16, 3, 
2019/10/21, 52, 14, 2, 
2019/10/22, 47, 16, 2, 
2019/10/23, 82, 19, 2, 
2019/10/24, 75, 25, 2, 
2019/10/25, 55, 23, 2, 
2019/10/26, 53, 11, 1, 
2019/10/27, 48, 10, 1, 
2019/10/28, 66, 11, 3, 
2019/10/29, 50, 19, 3, 
2019/10/30, 61, 25, 3, 
2019/10/31, 53, 22, 2, 
2019/11/1, 40, 18, 2, 
2019/11/2, 50, 17, 1, 
2019/11/3, 37, 17, 3, 
2019/11/4, 44, 19, 4, 
2019/11/5, 49, 29, 6, 1
2019/11/6, 86, 11, 1, 
2019/11/7, 70, 16, , 
2019/11/8, 67, 16, , 
2019/11/9, 37, 11, , 
2019/11/10, 34, 16, 3, 
2019/11/11, 36, 12, 3, 
2019/11/12, 44, 15, 3, 
2019/11/13, 43, 17, 2, 
2019/11/14, 69, 22, 2, 
2019/11/15, 54, 20, 2, 
2019/11/16, 69, 15, , 
2019/11/17, 48, 16, 3, 
2019/11/18, 55, 13, 5, 1
2019/11/19, 45, 15, 3, 
2019/11/20, 60, 18, 3, 1
2019/11/21, 46, 22, 4, 
2019/11/22, 44, 20, 1, 
2019/11/23, 38, 20, 1, 
2019/11/24, 42, 19, 3, 
2019/11/25, 56, 23, 2, 
2019/11/26, 49, 25, 4, 
2019/11/27, 58, 23, 3, 
2019/11/28, 61, 16, 2, 
2019/11/29, 48, 12, , 
2019/11/30, 32, 9, , 
2019/12/1, 23, 10, , 
2019/12/2, 23, 18, 1, 
2019/12/3, 42, 28, 2, 
2019/12/4, 47, 34, 3, 
2019/12/19, 37, 17, 2, 
2019/12/20, 35, 13, 2, 
2019/12/23, 71, 26, 2, 
2019/12/24, 39, 22, 1, 
2019/12/25, 47, 17, 1, 
2019/12/26, 45, 12, 2, 
2019/12/27, 28, 15, 1, 
2019/12/28, 40, 17, 1, 
2019/12/29, 44, , , 
2019/7/1, 54, 13, 2, 
2019/7/2, 43, 18, 1, 
2019/7/3, 44, 9, 4, 
2019/7/4, 33, 7, 7, 
2019/7/5, 26, 14, 7, 
2019/7/6, 76, 16, 6, 
2019/7/7, 63, 14, 5, 
2019/7/8, 66, 9, 7, 
2019/7/9, 65, 10, 6, 
2019/7/10, 56, 9, 6, 
2019/7/11, 66, 11, 5, 
2019/7/12, 64, , , 
2019/7/18, 59, 13, 2, 
2019/7/19, 30, , , 
2019/7/25, 60, 10, 3, 
2019/7/26, 35, 11, 3, 
2019/7/27, 20, 11, 3, 
2019/7/28, 30, 13, 4, 
2019/7/29, 42, 8, 5, 
2019/7/30, 37, 10, 6, 
2019/7/31, 45, 11, 7, 
2019/8/1, 55, 17, 3, 
2019/8/2, 68, 17, 2, 
2019/8/3, 49, 12, 1, 
