date, pm25, o3, no2, so2, co
2020/1/2, 32, , 4, , 
2020/1/3, 25, , 4, , 
2020/1/4, 34, , 3, , 
2020/1/5, 17, , 7, , 
2020/1/6, 26, , 11, , 
2020/1/7, 25, , 5, , 
2020/1/8, 25, , 6, , 
2020/1/9, 26, , 5, , 
2020/1/10, 24, , 3, , 
2020/1/11, 30, , 2, , 
2020/1/12, 13, , 8, , 
2020/1/13, 30, , 8, , 
2020/1/14, 45, , 5, , 
2020/1/15, 40, , 3, , 
2020/1/16, 41, , , , 
2019/10/7, 14, 12, 3, , 
2019/10/8, 10, 11, 3, , 
2019/10/9, 21, 13, 3, , 
2019/10/10, 14, 16, 4, , 
2019/10/11, 14, 15, 5, , 
2019/10/12, 23, 11, 3, , 
2019/10/13, 21, 17, 6, , 
2019/10/14, 27, 19, 6, , 
2019/10/15, 22, 14, 2, , 
2019/10/16, 16, 12, 1, , 
2019/10/17, 10, 13, 2, , 
2019/10/18, 18, 13, 5, , 
2019/10/19, 28, 12, 3, , 
2019/10/20, 23, 14, 3, , 
2019/10/21, 23, 9, 3, , 
2019/10/22, 16, 11, 4, , 
2019/10/23, 16, 4, 9, , 
2019/10/24, 26, 9, 6, , 
2019/10/25, 33, 11, 7, , 
2019/10/26, 44, 14, 1, , 
2019/10/27, 18, 14, 4, , 
2019/10/28, 18, 12, 4, , 
2019/10/29, 15, 10, 4, , 
2019/10/30, 21, 9, 1, , 
2019/10/31, 14, 12, 2, , 
2019/11/1, 14, 11, 7, , 
2019/11/2, 26, 13, 6, , 
2019/11/3, 25, 3, 6, , 
2019/11/4, 32, , 9, , 
2019/11/5, 32, , 5, , 
2019/11/6, 23, , 4, , 
2019/11/7, 27, , 2, , 
2019/11/8, 13, , 5, , 
2019/11/9, 22, , 8, , 
2019/11/10, 45, , 8, , 
2019/11/11, 44, , 2, , 
2019/11/12, 21, , 6, , 
2019/11/13, 17, , 10, , 
2019/11/14, 25, , 12, , 
2019/11/15, 43, , 4, , 
2019/11/16, 20, , 4, , 
2019/11/17, 14, , 5, , 
2019/11/18, 18, , 7, , 
2019/11/19, 31, , 4, , 
2019/11/20, 49, , 4, , 
2019/11/21, 35, , 4, , 
2019/11/25, 27, , 11, , 
2019/11/26, 34, , 7, , 
2019/11/27, 46, , 1, , 
2019/11/28, 12, , 2, , 
2019/11/29, 18, , 5, , 
2019/11/30, 34, , 4, , 
2019/12/1, 32, , 3, , 
2019/12/2, 24, , 2, , 
2019/12/3, 12, , 6, , 
2019/12/4, 22, , 4, , 
2019/12/5, 16, , 9, , 
2019/12/6, 25, , 5, , 
2019/12/7, 27, , 9, , 
2019/12/8, 41, , 4, , 
2019/12/9, 30, , 3, , 
2019/12/10, 34, , 2, , 
2019/12/11, 22, , 7, , 
2019/12/12, 37, , 11, , 
2019/12/13, 54, , 6, , 
2019/12/14, 26, , 3, , 
2019/12/15, 20, , 6, , 
2019/12/16, 46, , 6, , 
2019/12/17, 28, , 3, , 
2019/12/18, 26, , 5, , 
2019/12/19, 32, , 12, , 
2019/12/20, 59, , 13, , 
2019/12/21, 71, , 13, , 
2019/12/22, 78, , 16, , 
2019/12/23, 78, , 11, , 
2019/12/24, 69, , 13, , 
2019/12/25, 84, , 13, , 
2019/12/26, 67, , 9, , 
2019/12/27, 50, , 8, , 
2019/12/28, 64, , , , 
2019/7/1, 27, 24, 4, , 
2019/7/2, 58, 23, 3, , 
2019/7/3, 41, 21, 3, , 
2019/7/4, 50, 21, 2, , 
2019/7/5, 63, 18, 1, , 
2019/7/6, 38, 20, 2, , 
2019/7/7, 21, 14, 2, , 
2019/7/8, 28, 22, 3, , 
2019/7/9, 37, 20, 2, , 
2019/7/10, 38, 16, 2, , 
2019/7/11, 25, 22, 2, , 
2019/7/12, 25, 25, 3, , 
2019/7/13, 47, 23, 2, , 
2019/7/14, 49, 24, 3, , 
2019/7/15, 33, 26, 3, , 
2019/7/16, 48, 20, 2, , 
2019/7/17, 43, 17, 2, , 
2019/7/18, 30, 21, 3, , 
2019/7/19, 39, 20, 2, , 
2019/7/20, 52, 19, 1, , 
2019/7/21, 47, 20, 2, , 
2019/7/22, 24, 12, 2, , 
2019/7/23, 30, 18, 3, , 
2019/7/24, 30, 20, 3, , 
2019/7/25, 33, 25, 4, , 
2019/7/26, 39, 22, 2, , 
2019/7/27, 37, 24, 1, , 
2019/7/28, 42, 24, 2, , 
2019/7/29, 50, 27, 2, , 
2019/7/30, 47, 20, 2, , 
2019/7/31, 30, 26, 3, , 
2019/8/1, 34, 22, 2, , 
2019/8/2, 25, 24, 2, , 
2019/8/3, 30, 23, 2, , 
2019/8/4, 35, 25, 4, , 
2019/8/5, 52, 24, 3, , 
2019/8/6, 48, 22, 2, , 
2019/8/7, 44, 22, 2, , 
2019/8/8, 28, 20, 2, , 
2019/8/9, 32, 19, 2, , 
2019/8/10, 29, 16, 2, , 
2019/8/11, 25, 23, 3, , 
2019/8/12, 39, 18, 2, , 
2019/8/13, 49, 15, 3, , 
2019/8/14, 38, 16, 3, , 
2019/8/15, 48, 20, 2, , 
2019/8/16, 38, 20, 2, , 
2019/8/17, 33, 19, 2, , 
2019/8/18, 45, 23, 2, , 
2019/8/19, 39, 25, 3, , 
2019/8/20, 34, 17, 2, , 
2019/8/21, 26, 24, 2, , 
2019/8/22, 37, 10, 3, , 
2019/8/23, 25, 14, 2, , 
2019/8/24, 21, 13, 2, , 
2019/8/25, 23, 11, 3, , 
2019/8/26, 21, 14, 2, , 
2019/8/27, 26, 13, 3, , 
2019/8/28, 22, 19, 2, , 
2019/8/29, 24, 23, 5, , 
2019/8/30, 35, 27, 3, , 
2019/8/31, 46, 19, 2, , 
2019/9/1, 35, 16, 1, , 
2019/9/2, 27, 25, 2, , 
2019/9/3, 33, 19, 1, , 
2019/9/4, 43, 16, 3, , 
2019/9/5, 22, 12, 3, , 
2019/9/6, 22, 18, 3, , 
2019/9/7, 31, 19, 3, , 
2019/9/8, 40, 20, 6, , 
2019/9/9, 39, 19, 2, , 
2019/9/10, 33, 24, 2, , 
2019/9/11, 37, 23, 3, , 
2019/9/12, 50, 10, 2, , 
2019/9/13, 16, 14, 1, , 
2019/9/14, 26, 20, 2, , 
2019/9/15, 25, 26, 5, , 
2019/9/16, 35, 18, 4, , 
2019/9/17, 33, 19, 4, , 
2019/9/18, 20, 13, 2, , 
2019/9/19, 13, , , , 
2019/4/6, 28, 20, 4, , 
2019/4/7, 25, 17, 2, , 
2019/4/8, 25, 21, 3, , 
2019/4/9, 14, 21, 3, , 
2019/4/16, 13, 19, 4, , 
2019/4/17, 23, 22, 2, , 
2019/4/18, 28, 15, 1, , 
2019/4/19, 20, 18, , , 
2019/4/20, 12, 16, 1, , 
2019/4/21, 14, 17, 2, , 
2019/4/22, 19, 20, 6, , 
2019/4/23, 23, 20, 3, , 
2019/4/24, 24, 21, 7, , 
2019/4/25, 30, 18, 3, , 
2019/4/26, 21, 21, 1, , 
2019/4/27, 16, 18, 2, , 
2019/4/28, 25, 17, 2, , 
2019/4/29, 16, 22, 4, , 
