date, pm25, no2, so2
2020/1/2, 46, , 
2020/1/3, 24, , 
2020/1/4, 24, , 
2020/1/5, 30, , 
2020/1/6, 35, , 
2020/1/7, 24, , 
2020/1/8, 41, , 
2020/1/9, 25, , 
2020/1/10, 35, , 
2020/1/11, 21, , 
2020/1/12, 34, , 
2020/1/13, 47, , 
2020/1/14, 52, , 
2020/1/15, 44, , 
2020/1/16, 38, , 
2019/10/1, 27, , 
2019/10/2, 37, , 
2019/10/3, 40, , 
2019/10/4, 49, , 
2019/10/5, 43, , 
2019/10/6, 46, , 
2019/10/7, 22, , 
2019/10/8, 22, , 
2019/10/9, 42, , 
2019/10/10, 26, , 
2019/10/11, 15, , 
2019/10/12, 17, , 
2019/10/13, 24, , 
2019/10/14, 47, , 
2019/10/15, 23, , 
2019/10/16, 27, , 
2019/10/17, 28, , 
2019/10/18, 38, , 
2019/10/19, 31, , 
2019/10/20, 35, , 
2019/10/21, 21, , 
2019/10/22, 20, , 
2019/10/23, 23, , 
2019/10/24, 23, , 
2019/10/25, 11, , 
2019/10/26, 19, , 
2019/10/27, 43, , 
2019/10/28, 27, , 
2019/10/29, 21, , 
2019/10/30, 14, , 
2019/10/31, 32, , 
2019/11/1, 40, , 
2019/11/2, 54, , 
2019/11/3, 46, , 
2019/11/4, 33, , 
2019/11/5, 42, , 
2019/11/6, 27, , 
2019/11/7, 40, , 
2019/11/8, 36, , 
2019/11/9, 47, , 
2019/11/10, 43, , 
2019/11/11, 21, , 
2019/11/12, 20, , 
2019/11/13, 41, , 
2019/11/14, 48, , 
2019/11/15, 47, , 
2019/11/16, 56, , 
2019/11/17, 65, , 
2019/11/18, 45, , 
2019/11/19, 54, , 
2019/11/20, 37, , 
2019/11/21, 26, , 
2019/11/22, 21, , 
2019/11/23, 32, , 
2019/11/24, 47, , 
2019/11/25, 35, , 
2019/11/26, 64, , 
2019/11/27, 24, , 
2019/11/28, 31, , 
2019/11/29, 41, , 
2019/11/30, 35, , 
2019/12/1, 12, , 
2019/12/2, 19, , 
2019/12/3, 41, , 
2019/12/4, 30, , 
2019/12/5, 59, , 
2019/12/6, 30, , 
2019/12/7, 46, , 
2019/12/8, 70, , 
2019/12/9, 54, , 
2019/12/10, 19, , 
2019/12/11, 35, , 
2019/12/12, 48, , 
2019/12/13, 42, , 
2019/12/14, 51, , 
2019/12/15, 64, , 
2019/12/16, 36, , 
2019/12/17, 26, , 
2019/12/18, 27, , 
2019/12/19, 48, , 
2019/12/20, 32, , 
2019/12/21, 53, , 
2019/12/22, 63, , 
2019/12/23, 64, , 
2019/12/24, 56, , 
2019/12/25, 53, , 
2019/12/26, 40, , 
2019/12/27, 29, , 
2019/12/28, 23, , 
2019/7/1, 54, , 
2019/7/2, 29, , 
2019/7/3, 47, , 
2019/7/4, 69, , 
2019/7/5, 51, , 
2019/7/6, 50, , 
2019/7/7, 42, , 
2019/7/8, 32, , 
2019/7/9, 54, , 
2019/7/10, 43, , 
2019/7/11, 24, , 
2019/7/12, 35, , 
2019/7/13, 39, , 
2019/7/14, 28, , 
2019/7/15, 47, , 
2019/7/16, 37, , 
2019/7/17, 31, , 
2019/7/18, 30, , 
2019/7/19, 31, , 
2019/7/20, 50, , 
2019/7/21, 55, , 
2019/7/22, 46, , 
2019/7/23, 28, , 
2019/7/24, 33, , 
2019/7/25, 39, , 
2019/7/26, 49, , 
2019/7/27, 42, , 
2019/7/28, 53, , 
2019/7/29, 47, , 
2019/7/30, 49, , 
2019/7/31, 61, , 
2019/8/1, 50, , 
2019/8/2, 38, , 
2019/8/3, 37, , 
2019/8/4, 32, , 
2019/8/5, 34, , 
2019/8/6, 25, , 
2019/8/7, 48, , 
2019/8/8, 50, , 
2019/8/9, 52, , 
2019/8/10, 39, , 
2019/8/11, 33, , 
2019/8/12, 33, , 
2019/8/13, 32, , 
2019/8/14, 42, , 
2019/8/15, 41, , 
2019/8/16, 44, , 
2019/8/17, 38, , 
2019/8/18, 43, , 
2019/8/19, 37, , 
2019/8/20, 70, , 
2019/8/21, 61, , 
2019/8/22, 42, , 
2019/8/23, 23, , 
2019/8/24, 26, , 
2019/8/25, 46, , 
2019/8/26, 67, , 
2019/8/27, 41, , 
2019/8/28, 38, , 
2019/8/29, 44, , 
2019/8/30, 38, , 
2019/8/31, 29, , 
2019/9/1, 42, , 
2019/9/2, 48, , 
2019/9/3, 40, , 
2019/9/4, 44, , 
2019/9/5, 40, , 
2019/9/6, 41, , 
2019/9/7, 40, , 
2019/9/8, 35, , 
2019/9/9, 36, , 
2019/9/10, 34, , 
2019/9/11, 29, , 
2019/9/12, 28, , 
2019/9/13, 37, , 
2019/9/14, 52, , 
2019/9/15, 46, , 
2019/9/16, 37, , 
2019/9/17, 20, , 
2019/9/18, 18, , 
2019/9/19, 41, , 
2019/9/20, 29, , 
2019/9/21, 34, , 
2019/9/22, 23, , 
2019/9/23, 23, , 
2019/9/24, 19, , 
2019/9/25, 23, , 
2019/9/26, 22, , 
2019/9/27, 24, , 
2019/9/28, 24, , 
2019/9/29, 28, , 
2019/9/30, 29, , 
2019/4/1, 14, , 
2019/4/2, 22, , 
2019/4/3, 7, , 
2019/4/4, 38, , 
2019/4/5, 61, , 
2019/4/6, 48, , 
2019/4/7, 32, , 
2019/4/8, 24, , 
2019/4/9, 39, , 
2019/4/10, 39, , 
2019/4/11, 35, , 
2019/4/12, 31, , 
2019/4/13, 27, , 
2019/4/14, 26, , 
2019/4/15, 26, , 
2019/4/16, 26, , 
2019/4/17, 51, , 
2019/4/18, 22, , 
2019/4/19, 13, , 
2019/4/20, 23, , 
2019/4/21, 24, , 
2019/4/22, 22, , 
2019/4/23, 43, , 
2019/4/24, 19, , 
2019/4/25, 22, , 
2019/4/26, 32, , 
2019/4/27, 41, , 
2019/4/28, 26, , 
2019/4/29, 49, , 
2019/4/30, 58, , 
2019/5/1, 55, , 
2019/5/2, 30, , 
2019/5/3, 24, , 
2019/5/4, 21, , 
2019/5/5, 36, , 
2019/5/6, 44, , 
2019/5/7, 38, , 
2019/5/8, 29, , 
2019/5/9, 53, , 
2019/5/10, 24, , 
2019/5/11, 23, , 
2019/5/12, 17, , 
2019/5/13, 27, , 
2019/5/14, 48, , 
2019/5/17, 56, , 
2019/5/18, 68, , 
2019/5/19, 77, , 
2019/5/20, 62, , 
2019/5/21, 46, , 
2019/5/22, 70, , 
2019/5/23, 57, , 
2019/5/24, 47, , 
2019/5/25, 39, , 
2019/5/26, 40, , 
2019/5/27, 42, , 
2019/5/28, 48, , 
2019/5/29, 46, , 
2019/5/30, 31, , 
2019/5/31, 41, , 
2019/6/1, 37, , 
2019/6/2, 25, , 
2019/6/3, 28, , 
2019/6/4, 28, , 
2019/6/5, 19, , 
2019/6/6, 25, , 
2019/6/7, 26, , 
2019/6/8, 37, , 
2019/6/9, 46, , 
2019/6/10, 30, , 
2019/6/11, 38, , 
2019/6/12, 46, , 
2019/6/13, 28, , 
2019/6/14, 42, , 
2019/6/15, 34, , 
2019/6/16, 37, , 
2019/6/17, 23, , 
2019/6/18, 36, , 
2019/6/19, 45, , 
2019/6/20, 61, , 
2019/6/21, 59, , 
2019/6/22, 52, , 
2019/6/23, 50, , 
2019/6/24, 35, , 
2019/6/25, 33, , 
2019/6/26, 52, , 
2019/6/27, 65, , 
2019/6/28, 62, , 
2019/6/29, 68, , 
2019/6/30, 35, , 
2019/1/1, 73, , 
2019/1/2, 30, , 
2019/1/3, 35, , 
2019/1/4, 41, , 
2019/1/5, 49, , 
2019/1/6, 44, , 
2019/1/7, 32, , 
2019/1/8, 28, , 
2019/1/9, 12, , 
2019/1/10, 29, , 
2019/1/11, 27, , 
2019/1/12, 19, , 
2019/1/13, 29, , 
2019/1/14, 54, , 
2019/1/15, 51, , 
2019/1/16, 47, , 
2019/1/17, 23, , 
2019/1/18, 38, , 
2019/1/19, 12, , 
2019/1/22, 34, , 
2019/1/23, 18, , 
2019/1/24, 36, , 
2019/1/25, 26, , 
2019/1/26, 24, , 
2019/1/27, 29, , 
2019/1/28, 39, , 
2019/1/29, 13, , 
2019/1/30, 21, , 
2019/1/31, 25, , 
2019/2/1, 28, , 
2019/2/2, 47, , 
2019/2/3, 42, , 
2019/2/4, 59, , 
2019/2/5, 70, , 
2019/2/6, 63, , 
2019/2/7, 40, , 
2019/2/8, 30, , 
2019/2/9, 40, , 
2019/2/10, 23, , 
2019/2/11, 48, , 
2019/2/12, 21, , 
2019/2/13, 29, , 
2019/2/14, 28, , 
2019/2/15, 45, , 
2019/2/16, 57, , 
2019/2/17, 45, , 
2019/2/18, 19, , 
2019/2/19, 23, , 
2019/2/20, 21, , 
2019/2/21, 24, , 
2019/2/22, 33, , 
2019/2/23, 33, , 
2019/2/24, 20, , 
2019/2/25, 27, , 
2019/2/26, 42, , 
2019/2/27, 40, , 
2019/2/28, 40, , 
2019/3/1, 80, , 
2019/3/2, 70, , 
2019/3/3, 28, , 
2019/3/4, 31, , 
2019/3/5, 29, , 
2019/3/6, 47, , 
2019/3/7, 35, , 
2019/3/8, 32, , 
2019/3/9, 38, , 
2019/3/10, 52, , 
2019/3/11, 51, , 
2019/3/12, 47, , 
2019/3/13, 38, , 
2019/3/14, 38, , 
2019/3/15, 14, , 
2019/3/16, 15, , 
2019/3/18, 44, , 
2019/3/19, 49, , 
2019/3/20, 51, , 
2019/3/21, 33, , 
2019/3/22, 42, , 
2019/3/23, 35, , 
2019/3/24, 33, , 
2019/3/25, 40, , 
2019/3/26, 25, , 
2019/3/27, 38, , 
2019/3/28, 30, , 
2019/3/29, 30, , 
2019/3/30, 20, , 
2019/3/31, 15, , 
2018/10/1, 25, , 
2018/10/2, 28, , 
2018/10/3, 25, , 
2018/10/5, 35, , 
2018/10/6, 24, , 
2018/10/7, 25, , 
2018/10/8, 27, , 
2018/10/9, 25, , 
2018/10/10, 18, , 
2018/10/11, 17, , 
2018/10/12, 31, , 
2018/10/13, 24, , 
2018/10/14, 30, , 
2018/10/15, 10, , 
2018/10/16, 10, , 
2018/10/17, 13, , 
2018/10/18, 30, , 
2018/10/19, 25, , 
2018/10/20, 18, , 
2018/10/21, 22, , 
2018/10/22, 31, , 
2018/10/23, 22, , 
2018/10/24, 27, , 
2018/10/25, 16, , 
2018/10/26, 36, , 
2018/10/27, 46, , 
2018/10/28, 40, , 
2018/10/29, 32, , 
2018/10/30, 28, , 
2018/10/31, 31, , 
2018/11/1, 17, , 
2018/11/2, 25, , 
2018/11/3, 21, , 
2018/11/4, 21, , 
2018/11/5, 46, , 
2018/11/6, 52, , 
2018/11/7, 52, , 
2018/11/8, 30, , 
2018/11/9, 17, , 
2018/11/10, 17, , 
2018/11/11, 26, , 
2018/11/12, 14, , 
2018/11/13, 22, , 
2018/11/14, 23, , 
2018/11/15, 46, , 
2018/11/16, 45, , 
2018/11/17, 44, , 
2018/11/18, 27, , 
2018/11/19, 21, , 
2018/11/20, 41, , 
2018/11/21, 48, , 
2018/11/22, 42, , 
2018/11/23, 37, , 
2018/11/24, 36, , 
2018/11/25, 27, , 
2018/11/26, 19, , 
2018/11/27, 37, , 
2018/11/28, 24, , 
2018/11/29, 28, , 
2018/11/30, 32, , 
2018/12/1, 32, , 
2018/12/2, 24, , 
2018/12/3, 11, , 
2018/12/4, 14, , 
2018/12/5, 33, , 
2018/12/6, 30, , 
2018/12/7, 12, , 
2018/12/8, 10, , 
2018/12/9, 26, , 
2018/12/10, 27, , 
2018/12/11, 43, , 
2018/12/12, 31, , 
2018/12/13, 24, , 
2018/12/14, 9, , 
