date, pm25, pm10, o3, no2, so2
2020/1/2, 102, 25, 23, 6, 
2020/1/3, 66, 35, 19, 5, 
2020/1/4, 82, 30, 22, 5, 
2020/1/5, 70, 43, 17, 10, 
2020/1/6, 104, 57, 19, 10, 
2020/1/7, 128, 63, 18, 10, 
2020/1/8, 132, 51, 20, 8, 
2020/1/9, 108, 31, 22, 8, 
2020/1/10, 69, 36, 24, 6, 
2020/1/11, 85, 49, 25, 6, 
2020/1/12, 109, 49, 22, 6, 
2020/1/13, 102, 16, 26, 3, 
2020/1/14, 35, 16, 25, 4, 
2020/1/15, 39, , , , 
2019/10/1, 35, 18, 12, 2, 
2019/10/2, 34, 17, 21, 3, 
2019/10/3, 30, 18, 10, 4, 
2019/10/4, 36, 18, 15, 3, 
2019/10/5, 32, 17, 19, 3, 
2019/10/6, 33, 16, 17, 3, 
2019/10/7, 35, 21, 8, 3, 
2019/10/8, 41, 21, 19, 4, 
2019/10/9, 31, 24, 18, 6, 
2019/10/10, 40, 29, 15, 5, 
2019/10/11, 56, 37, 19, 3, 
2019/10/12, 70, 26, 15, 2, 
2019/10/13, 53, 11, 19, 2, 
2019/10/14, 20, 12, 14, 3, 
2019/10/15, 26, 14, 15, 2, 
2019/10/16, 29, 14, 13, 3, 
2019/10/17, 25, 13, 14, 3, 
2019/10/18, 26, 12, 16, 2, 
2019/10/19, 19, 10, 18, 2, 
2019/10/20, 23, 12, 16, 3, 
2019/10/21, 35, 19, 17, 4, 
2019/10/22, 49, 22, 18, 5, 
2019/10/23, 58, 21, 16, 4, 
2019/10/24, 50, 18, 18, 5, 
2019/10/25, 47, 25, 18, 4, 
2019/10/26, 64, 32, 13, 4, 
2019/10/27, 74, 31, 11, 3, 
2019/10/28, 65, 21, 13, 3, 
2019/10/29, 50, 20, 10, 3, 
2019/10/30, 31, , 10, 4, 
2019/11/1, 8, 25, 25, 1, 
2019/11/2, 31, 19, 28, 1, 
2019/11/3, 22, 23, 25, 2, 
2019/11/4, 28, 16, 20, 2, 
2019/11/5, 24, 19, 19, 4, 
2019/11/6, 43, 14, 23, 2, 
2019/11/7, 23, 9, , , 
2019/11/12, 65, 27, 24, 1, 
2019/11/13, 45, 17, , , 
2019/11/15, 40, 21, 21, 5, 
2019/11/16, 52, 19, 25, 3, 
2019/11/17, 46, 18, 20, 6, 
2019/11/18, 47, 28, 19, 6, 
2019/11/19, 70, 21, 22, 4, 
2019/11/20, 47, , , , 
2019/11/26, 17, 24, 22, 5, 
2019/11/27, 43, 22, 24, 3, 
2019/11/28, 31, 11, 21, 4, 
2019/11/29, 19, 17, 25, 3, 
2019/11/30, 27, 20, 29, 2, 
2019/12/1, 27, , , , 
2019/12/3, 40, 28, 16, 7, 
2019/12/4, 68, 42, 18, 7, 
2019/12/5, 94, 32, 16, 7, 
2019/12/6, 74, 54, 20, 8, 
2019/12/7, 122, 37, 19, 5, 
2019/12/8, 80, 23, 13, 7, 
2019/12/9, 54, 35, 14, 8, 
2019/12/10, 80, 28, 26, 6, 
2019/12/11, 47, 29, 29, 4, 
2019/12/12, 43, 23, 29, 3, 
2019/12/13, 30, 19, 25, 4, 
2019/12/14, 26, 11, 24, 3, 
2019/12/15, 17, 10, 23, 7, 
2019/12/16, 19, 14, 24, 7, 
