date, pm25, pm10, no2, co
2020/1/2, 112, 72, 31, 22
2020/1/3, 149, 71, 18, 17
2020/1/4, 157, 44, 7, 13
2020/1/5, 96, 81, 3, 9
2020/1/6, 43, 48, 10, 12
2020/1/7, 56, 43, 11, 13
2020/1/8, 70, 64, 27, 21
2020/1/9, 111, 91, 29, 23
2020/1/14, 171, , 26, 35
2019/10/1, 59, 19, 7, 3
2019/10/2, 41, 8, 7, 3
2019/10/3, 10, 13, 9, 3
2019/10/4, 14, 13, 10, 3
2019/10/5, 19, 12, 8, 4
2019/10/6, 31, 11, 7, 3
2019/10/7, 20, 5, 7, 4
2019/10/8, 15, 16, 16, 5
2019/10/9, 45, 24, 14, 5
2019/10/10, 55, 21, 14, 5
2019/10/11, 61, 25, 15, 5
2019/10/12, 66, 27, 14, 5
2019/10/13, 59, 30, 17, 6
2019/10/14, 69, 32, 11, 5
2019/10/15, 70, 20, 7, 4
2019/10/16, 39, 22, 15, 5
2019/10/17, 46, 25, 17, 6
2019/10/18, 58, 9, 16, 6
2019/10/19, 64, 22, 14, 6
2019/10/20, 66, 40, 22, 7
2019/10/21, 73, 31, 17, 7
2019/10/22, 72, 34, 23, 8
2019/10/23, 79, 37, 20, 7
2019/10/24, 79, 31, 11, 6
2019/10/25, 67, 26, 9, 5
2019/10/26, 61, 31, 14, 7
2019/10/27, 66, 42, 19, 8
2019/10/28, 86, 21, 16, 7
2019/10/29, 81, 32, 14, 7
2019/10/30, 78, 33, 14, 8
2019/10/31, 76, 17, 7, 7
2019/11/1, 57, 13, 7, 6
2019/11/2, 36, 29, 1, 5
2019/11/3, 17, 47, 5, 6
2019/11/4, 9, 58, 2, 5
2019/11/5, 41, 24, 5, 6
2019/11/6, 53, 34, 11, 9
2019/11/7, 52, 18, 7, 8
2019/11/8, 37, 11, 9, 7
2019/11/9, 25, 9, 8, 8
2019/11/10, 41, 23, 17, 11
2019/11/11, 68, 10, 5, 7
2019/11/12, 27, 13, 8, 7
2019/11/13, 13, 21, 13, 10
2019/11/14, 55, 20, 4, 8
2019/11/15, 51, 40, 6, 7
2019/11/16, 45, 25, 3, 7
2019/11/17, 27, 9, 7, 7
2019/11/18, 11, 19, 10, 10
2019/11/19, 55, 23, 11, 9
2019/11/20, 47, 27, 12, 10
2019/11/21, 51, 57, 16, 12
2019/11/22, 62, 49, 12, 13
2019/11/23, 68, 31, 10, 12
2019/11/24, 68, 24, 11, 11
2019/11/25, 55, 25, 16, 11
2019/11/26, 52, 29, 7, 7
2019/11/27, 30, 17, 8, 2
2019/11/28, 13, 20, 7, 2
2019/11/29, 10, 36, 14, 7
2019/11/30, 10, 35, 9, 6
2019/12/10, 29, 32, 10, 7
2019/12/11, 47, 35, 15, 8
2019/12/12, 74, 24, 8, 5
2019/12/13, 30, 30, 17, 10
2019/12/14, 14, 36, 11, 8
2019/12/15, 14, 39, 20, 11
2019/12/17, 105, 48, 17, 11
2019/12/18, 97, 52, 16, 11
2019/12/19, 96, 36, 8, 7
2019/12/20, 69, 25, 2, 6
2019/12/21, 36, 62, 2, 5
2019/12/22, 30, 32, 13, 10
2019/12/23, 79, 40, 21, 14
2019/12/24, 101, , 15, 12
2019/7/1, 50, 26, 3, 5
2019/7/2, 62, 33, 6, 6
2019/7/3, 62, 26, 14, 6
2019/7/4, 57, 29, 10, 6
2019/7/5, 61, 25, 11, 5
2019/7/6, 58, 13, 9, 6
2019/7/7, 52, 17, 4, 5
2019/7/8, 57, 26, 5, 6
2019/7/9, 56, 17, 6, 5
2019/7/10, 46, 8, 7, 5
2019/7/11, 24, 13, 10, 6
2019/7/12, 42, 10, 5, 6
2019/7/13, 33, 6, 4, 5
2019/7/14, 20, 8, 6, 5
2019/7/15, 15, 11, 6, 5
2019/7/16, 9, 12, 10, 7
2019/7/17, 8, 21, 10, 6
2019/7/18, 46, 18, 13, 6
2019/7/19, 57, 24, 11, 6
2019/7/20, 58, 17, 8, 6
2019/7/21, 53, 17, 13, 7
2019/7/22, 57, 10, 10, 7
2019/7/23, 34, 7, 7, 6
2019/7/24, 33, 14, 13, 7
2019/7/25, 48, 21, 11, 8
2019/7/26, 58, 23, 6, 7
2019/7/27, 54, 14, 2, 7
2019/7/28, 31, 20, 4, 7
2019/7/29, 23, 18, 8, 9
2019/7/30, 26, 17, 8, 8
2019/7/31, 58, 15, 10, 8
2019/8/1, 52, 15, 12, 8
2019/8/2, 53, 13, 9, 8
2019/8/3, 43, 9, 6, 8
2019/8/4, 25, 17, 12, 8
2019/8/5, 43, 17, 11, 9
2019/8/6, 51, 15, 13, 9
2019/8/7, 48, 22, 16, 9
2019/8/8, 59, 33, 14, 10
2019/8/9, 72, 38, 12, 10
2019/8/10, 79, 32, 10, 10
2019/8/11, 72, 26, 14, 10
2019/8/12, 65, 27, 9, 10
2019/8/13, 67, 15, 5, 9
2019/8/14, 27, 5, 4, 9
2019/8/15, 12, 18, 7, 9
2019/8/16, 33, 24, 8, 10
2019/8/17, 41, 17, 8, 10
2019/8/18, 46, 19, 12, 10
2019/8/19, 52, 21, 12, 11
2019/8/20, 55, 27, 12, 11
2019/8/21, 68, 29, 11, 11
2019/8/22, 72, 20, 8, 10
2019/8/23, 61, 14, 10, 10
2019/8/24, 53, 25, 8, 11
2019/8/25, 55, 21, 11, 11
2019/8/26, 62, 24, 13, 11
2019/8/27, 64, 28, 13, 11
2019/8/28, 68, 26, 13, 11
2019/8/29, 73, 35, 13, 11
2019/8/30, 68, 33, 16, 12
2019/8/31, 70, 43, 11, 12
2019/9/1, 72, 48, 13, 12
2019/9/2, 75, 25, 10, 12
2019/9/3, 56, 14, 8, 11
2019/9/4, 35, 25, 11, 8
2019/9/5, 51, 28, 11, 3
2019/9/6, 62, 20, 9, 3
2019/9/7, 52, 16, 7, 2
2019/9/8, 37, 10, 7, 2
2019/9/9, 19, 15, 10, 3
2019/9/10, 27, 12, 8, 2
2019/9/11, 32, 13, 11, 3
2019/9/12, 44, 21, 7, 2
2019/9/13, 58, 15, 7, 2
2019/9/14, 47, 11, 10, 2
2019/9/15, 43, 32, 14, 3
2019/9/16, 65, 31, 13, 3
2019/9/17, 71, 29, 12, 3
2019/9/18, 83, 16, 10, 3
2019/9/19, 66, 10, 6, 2
2019/9/20, 27, 31, 11, 3
2019/9/21, 47, 39, 13, 3
2019/9/22, 66, 28, 5, 2
2019/9/23, 51, 9, 7, 2
2019/9/24, 27, 2, 7, 2
2019/9/25, 25, 11, 10, 3
2019/9/26, 28, 17, 12, 4
2019/9/27, 35, 15, 10, 3
2019/9/28, 41, 20, 7, 3
2019/9/29, 34, 16, 7, 3
2019/9/30, 32, 32, 11, 4
2019/4/2, 80, 26, 13, 7
2019/4/3, 41, 19, 11, 5
2019/4/4, 36, 26, 8, 4
2019/4/5, 52, 27, 12, 6
2019/4/6, 55, 25, 14, 6
2019/4/7, 51, 19, 6, 4
2019/4/8, 38, 20, 10, 5
2019/4/9, 48, 17, 10, 5
2019/4/10, 41, 9, 10, 5
2019/4/11, 13, 9, 11, 5
2019/4/12, 17, 7, 13, 7
2019/4/13, 21, 10, 9, 6
2019/4/14, 31, 13, 12, 7
2019/4/15, 43, 17, 12, 7
2019/4/16, 49, 25, 16, 8
2019/4/17, 64, 25, 19, 8
2019/4/18, 63, 25, 14, 9
2019/4/19, 62, 23, 12, 6
2019/4/20, 60, 22, 11, 6
2019/4/21, 58, 31, 6, 6
2019/4/22, 67, 64, 6, 6
2019/4/23, 105, 62, 4, 6
2019/4/24, 100, 46, 15, 8
2019/4/25, 66, 67, 13, 7
2019/4/26, 123, 55, 11, 6
2019/4/27, 99, 13, 5, 5
2019/4/28, 4, 11, 4, 5
2019/4/29, 2, 6, 7, 6
2019/4/30, 4, 7, 8, 7
2019/5/1, 40, 14, 8, 7
2019/5/2, 30, 5, 9, 7
2019/5/3, 16, 18, 7, 6
2019/5/4, 45, 8, 11, 8
2019/5/5, 13, 9, 4, 6
2019/5/6, 6, 15, 9, 7
2019/5/7, 18, 26, 9, 8
2019/5/8, 31, 31, 11, 8
2019/5/9, 34, 41, 6, 7
2019/5/10, 41, 45, 10, 8
2019/5/11, 43, 43, 10, 8
2019/5/12, 30, 38, 7, 7
2019/5/13, 15, 36, 7, 7
2019/5/14, 8, 34, 6, 7
2019/5/15, 8, 21, 8, 8
2019/5/16, 11, 15, 9, 8
2019/5/17, 17, 13, 11, 10
2019/5/18, 26, 14, 9, 
2019/5/19, 33, 6, 8, 
2019/5/20, 3, 3, 6, 7
2019/5/21, 9, 4, 5, 7
2019/5/22, 15, 11, 6, 7
2019/5/23, 41, 13, 13, 9
2019/5/24, 46, 15, 10, 9
2019/5/25, 37, 10, 8, 8
2019/5/26, 27, 9, 8, 9
2019/5/27, 14, 10, 5, 9
2019/5/28, 6, 5, 7, 8
2019/5/29, 5, 3, 3, 7
2019/5/30, 3, 5, 6, 8
2019/5/31, 8, 6, 7, 8
2019/6/1, 25, 12, 9, 9
2019/6/2, 30, 10, 6, 8
2019/6/3, 46, 13, 8, 9
2019/6/4, 52, 22, 9, 9
2019/6/5, 58, 25, 9, 10
2019/6/6, 41, 7, 9, 10
2019/6/7, 35, 25, 10, 9
2019/6/8, 42, 37, 13, 10
2019/6/9, 48, 49, 10, 9
2019/6/10, 64, 52, 10, 10
2019/6/11, 63, 40, 7, 10
2019/6/12, 63, 47, 5, 10
2019/6/13, 67, 44, 3, 11
2019/6/14, 63, 44, 4, 9
2019/6/15, 69, 35, 3, 4
2019/6/16, 63, 26, 1, 3
2019/6/17, 41, 24, 2, 3
2019/6/18, 47, 26, 2, 3
2019/6/19, 51, 27, 2, 4
2019/6/20, 52, 19, 2, 4
2019/6/21, 53, 20, 2, 4
2019/6/22, 41, 17, 2, 4
2019/6/23, 42, 13, 1, 3
2019/6/24, 33, 11, 1, 4
2019/6/25, 26, 16, 1, 4
2019/6/26, 41, 18, 1, 4
2019/6/27, 49, 22, 2, 4
2019/6/28, 48, 15, 3, 5
2019/6/29, 18, 9, 1, 3
2019/6/30, 28, 6, 1, 4
2019/2/5, 34, 20, 6, 6
2019/2/6, 34, , 6, 10
2019/2/10, 38, 14, 4, 7
2019/2/11, 36, , 8, 6
2019/2/22, 154, 25, 14, 7
2019/2/23, 59, 14, 3, 8
2019/2/24, 31, 12, 3, 9
2019/2/25, 38, 25, 5, 10
2019/2/26, 65, 30, 13, 12
2019/2/27, 74, , 18, 
2019/3/2, 113, 50, 16, 9
2019/3/3, 129, 33, 18, 6
2019/3/4, 76, 22, 10, 4
2019/3/5, 35, 41, 6, 3
2019/3/6, 83, 37, 8, 3
2019/3/7, 76, 35, 5, 6
2019/3/8, 60, 34, 13, 6
