date, pm25, no2
2020/1/2, 46, 22
2020/1/3, 29, 15
2020/1/4, 26, 6
2020/1/5, 17, 17
2020/1/6, 22, 23
2020/1/7, 20, 11
2020/1/8, 21, 16
2020/1/9, 17, 21
2020/1/10, 23, 17
2020/1/11, 27, 5
2020/1/12, 8, 16
2020/1/13, 26, 19
2020/1/14, 33, 19
2020/1/15, 37, 21
2020/1/16, 33, 
2019/10/1, 34, 11
2019/10/2, 54, 7
2019/10/3, 25, 4
2019/10/4, 21, 2
2019/10/5, 21, 4
2019/10/6, 28, 4
2019/10/7, 24, 6
2019/10/8, 16, 4
2019/10/9, 24, 6
2019/10/10, 22, 8
2019/10/11, 23, 12
2019/10/12, 28, 5
2019/10/13, 22, 14
2019/10/14, 35, 18
2019/10/15, 36, 6
2019/10/16, 27, 3
2019/10/17, 14, 6
2019/10/18, 15, 10
2019/10/19, 29, 9
2019/10/20, 32, 11
2019/10/21, 38, 10
2019/10/22, 21, 9
2019/10/23, 23, 18
2019/10/24, 33, 23
2019/10/25, 54, 13
2019/10/26, 46, 5
2019/10/27, 20, 18
2019/10/28, 15, 15
2019/10/29, 26, 18
2019/10/30, 47, 12
2019/10/31, 34, 5
2019/11/1, 25, 14
2019/11/2, 38, 10
2019/11/3, 34, 17
2019/11/4, 38, 25
2019/11/5, 45, 12
2019/11/6, 33, 15
2019/11/7, 39, 6
2019/11/8, 22, 13
2019/11/9, 33, 18
2019/11/10, 50, 27
2019/11/11, 69, 7
2019/11/12, 30, 10
2019/11/13, 24, 22
2019/11/14, 44, 27
2019/11/15, 65, 12
2019/11/18, 30, 20
2019/11/19, 58, 12
2019/11/20, 54, 15
2019/11/21, 43, 16
2019/11/22, 38, 11
2019/11/23, 20, 6
2019/11/24, 21, 22
2019/11/25, 38, 32
2019/11/26, 57, 19
2019/11/27, 46, 2
2019/11/28, 12, 6
2019/11/29, 22, 11
2019/11/30, 25, 9
2019/12/1, 25, 8
2019/12/2, 12, 7
2019/12/3, 13, 14
2019/12/4, 31, 10
2019/12/5, 27, 24
