date, pm25, pm10, o3, no2, so2, co
2020/1/2, 71, 37, 14, 12, 1, 
2020/1/3, 93, 40, 16, 13, , 
2020/1/4, 99, 51, 18, 11, 1, 
2020/1/5, 122, 52, 19, 15, 1, 
2020/1/6, 119, 62, 19, 17, 1, 
2020/1/7, 136, 59, 19, 18, 1, 
2020/1/8, 141, 64, 23, 18, 1, 
2020/1/9, 141, 64, 24, 20, 1, 
2020/1/10, 151, 60, 23, 12, 1, 
2020/1/11, 141, 49, 22, 9, , 
2020/1/12, 111, 46, 19, 10, , 
2020/1/13, 113, 46, 19, 13, 1, 
2020/1/14, 112, 46, 23, 13, 1, 
2020/1/15, 99, 55, 4, 16, , 
2020/1/16, 137, , , , , 
2019/10/1, 99, 39, 15, 10, 1, 
2019/10/2, 87, 35, 15, 8, 1, 
2019/10/3, 78, 35, 13, 9, 1, 
2019/10/4, 76, 30, 12, 10, 1, 
2019/10/5, 75, 26, 15, 7, 1, 
2019/10/6, 65, 22, 12, 7, , 
2019/10/7, 56, 22, 13, 9, 1, 
2019/10/8, 57, 25, 14, 9, 1, 
2019/10/9, 64, 29, 19, 11, 1, 
2019/10/10, 70, 37, 22, 11, 1, 
2019/10/11, 82, 34, 20, 10, 1, 
2019/10/12, 83, 33, 15, 6, 1, 
2019/10/13, 76, 21, 11, 5, , 
2019/10/14, 56, 28, 13, 9, , 
2019/10/15, 60, 24, 10, 11, , 
2019/10/16, 54, 25, 11, 8, 1, 
2019/10/17, 51, 30, 18, 11, 1, 
2019/10/18, 67, 34, 20, 10, , 
2019/10/19, 79, 32, 18, 10, 1, 
2019/10/20, 75, 38, 19, 12, 1, 
2019/10/21, 81, 47, 24, 13, 1, 
2019/10/22, 105, 41, 28, 13, 1, 
2019/10/23, 95, 35, 17, 8, 1, 
2019/10/24, 78, 35, 15, 8, 1, 
2019/10/25, 80, 32, 16, 10, , 
2019/10/26, 75, 27, 11, 7, , 
2019/10/27, 60, 28, 15, 10, 1, 
2019/10/28, 63, 29, 10, 9, 1, 
2019/10/29, 64, 29, 14, 10, , 
2019/10/30, 59, 34, 15, 12, 1, 
2019/10/31, 72, 17, 8, 9, , 
2019/11/1, 48, , , , , 
2019/11/3, 17, 29, 10, 16, 1, 
2019/11/4, 78, 50, 10, 16, , 
2019/11/5, 122, 48, 19, 17, 1, 
2019/11/6, 115, 48, 16, 13, 1, 
2019/11/7, 114, 51, 27, 10, 1, 
2019/11/8, 123, 50, 24, 12, , 
2019/11/9, 118, 46, 22, 14, 1, 
2019/11/10, 114, 53, 24, 18, 1, 
2019/11/11, 127, 61, 23, 15, 1, 
2019/11/12, 137, 43, 15, 10, 1, 
2019/11/13, 95, 31, 9, 15, 1, 
2019/11/14, 66, 36, 21, 13, 1, 
2019/11/15, 77, 47, 19, 13, 1, 
2019/11/16, 107, 48, 27, 16, 1, 
2019/11/17, 116, 47, 21, 16, 1, 
2019/11/18, 106, 47, 16, 14, 1, 
2019/11/19, 107, 36, 13, 11, , 
2019/11/20, 74, 40, 20, 12, , 
2019/11/21, 88, 38, 18, 14, , 
2019/11/22, 85, 46, 22, 13, , 
2019/11/23, 103, 38, 19, 10, 1, 
2019/11/24, 89, 47, 18, 15, , 
2019/11/25, 101, 40, 18, 14, 1, 
2019/11/26, 81, 34, 13, 11, , 
2019/11/27, 70, 35, 11, 9, , 
2019/11/28, 58, 36, 17, 12, , 
2019/11/29, 75, 37, 17, 12, , 
2019/11/30, 79, 37, 17, 13, 1, 
2019/12/1, 78, 32, 13, 9, , 
2019/12/2, 66, 36, 20, 9, , 
2019/12/3, 74, 46, 22, 11, , 
2019/12/4, 97, 44, 22, 10, 1, 
2019/12/5, 103, 51, 22, 14, 1, 
2019/12/6, 109, 51, 22, 14, 1, 
2019/12/7, 103, 50, 21, 13, 1, 
2019/12/8, 106, 58, 21, 15, 1, 
2019/12/9, 130, 61, 23, 17, 1, 
2019/12/10, 138, 62, 27, 15, 1, 
2019/12/11, 150, 61, 20, 19, 1, 
2019/12/12, 140, 55, 21, 18, 1, 
2019/12/13, 134, 50, 17, 17, , 
2019/12/14, 118, 48, 5, 21, 1, 
2019/12/15, 116, 51, 15, 21, 1, 
2019/12/16, 107, 52, 15, 23, 1, 
2019/12/17, 113, 50, 13, 14, 1, 
2019/12/18, 98, 51, 19, 16, 1, 
2019/12/19, 119, 53, 17, 15, 1, 
2019/12/20, 119, 51, 18, 17, 1, 
2019/12/21, 112, 46, 21, 15, 1, 
2019/12/22, 105, 51, 23, 17, 1, 
2019/12/23, 112, 52, 19, 16, 1, 
2019/12/24, 121, 47, 25, 16, 1, 
2019/12/25, 110, 49, 23, 17, 1, 
2019/12/26, 112, 55, 17, 13, 1, 
2019/12/27, 117, 50, 17, , 1, 
2019/12/28, 111, 53, 4, , , 
2019/12/29, 152, , , , , 
2019/7/1, 49, 27, 9, 4, , 
2019/7/2, 59, 16, 6, 5, , 
2019/7/3, 44, 20, 7, 5, , 
2019/7/4, 46, 38, 2, 11, 1, 
2019/7/5, 81, 34, 10, 6, , 
2019/7/6, 67, 17, 10, 4, , 
2019/7/7, 39, 27, 10, 6, , 
2019/7/8, 58, 28, 12, 5, , 
2019/7/9, 60, 28, 12, 5, , 
2019/7/10, 54, 30, 10, 5, 7, 
2019/7/11, 63, 29, 10, 4, , 
2019/7/12, 59, 22, 9, 4, , 
2019/7/13, 54, 17, 7, 2, , 
2019/7/14, 38, 17, 11, 2, 1, 
2019/7/15, 40, 16, 11, 3, , 
2019/7/16, 33, 14, 11, 6, , 
2019/7/17, 33, 16, 12, 4, 1, 
2019/7/18, 35, 19, 12, 4, 1, 
2019/7/19, 40, 28, 12, 8, 1, 
2019/7/20, 56, 13, 9, 5, , 
2019/7/21, 27, 18, 13, 7, , 
2019/7/22, 48, 23, 9, 6, , 
2019/7/23, 44, 23, 8, 4, , 
2019/7/24, 57, 19, 9, 6, , 
2019/7/25, 46, 21, 13, 7, , 
2019/7/26, 51, 22, 12, 6, , 
2019/7/27, 54, 20, 12, 5, , 
2019/7/28, 52, 14, 9, 2, , 
2019/7/29, 27, 15, 9, 2, , 
2019/7/30, 42, 19, 9, 3, , 
2019/7/31, 41, 16, 9, 4, , 
2019/8/1, 35, 14, 8, 4, , 
2019/8/2, 38, 16, 7, 8, , 
2019/8/3, 43, 12, 7, 10, , 
2019/8/4, 29, 16, 9, 14, , 
2019/8/5, 38, 18, 8, 12, , 
2019/8/6, 45, 17, 9, 10, , 
2019/8/7, 38, 13, 9, 6, , 
2019/8/8, 34, 14, 10, 7, , 
2019/8/9, 39, 17, 12, 10, , 
2019/8/10, 44, 13, 15, 11, , 
2019/8/11, 29, 18, 15, 9, , 
2019/8/12, 49, 28, 7, 9, 1, 
2019/8/13, 59, 26, 8, 4, , 
2019/8/14, 56, 23, 8, 3, 1, 
2019/8/15, 51, 24, 10, 4, , 
2019/8/16, 54, 18, 8, 4, , 
2019/8/17, 47, 18, 12, 3, , 
2019/8/18, 46, 18, 10, 3, , 
2019/8/19, 40, 20, 8, 4, , 
2019/8/20, 45, 18, 12, 4, , 
2019/8/21, 41, 24, 7, 4, 1, 
2019/8/22, 47, 30, 7, 6, , 
2019/8/23, 63, 17, 9, 5, , 
2019/8/24, 35, 13, 9, 2, , 
2019/8/25, 29, 13, 7, 3, , 
2019/8/26, 26, 15, 7, 3, , 
2019/8/27, 36, 14, 11, 4, , 
2019/8/28, 38, 15, 10, 4, , 
2019/8/29, 35, 16, 4, 8, 1, 
2019/8/30, 38, 20, 6, 7, , 
2019/8/31, 48, 27, 8, 6, 1, 
2019/9/1, 62, 15, 7, 4, , 
2019/9/2, 38, 15, 5, 4, , 
2019/9/3, 36, 16, 5, 5, , 
2019/9/4, 39, 18, 6, 5, , 
2019/9/5, 37, 20, 9, 6, , 
2019/9/6, 48, 27, 7, 6, 1, 
2019/9/7, 59, 16, 8, 5, , 
2019/9/8, 45, 18, 8, 7, 1, 
2019/9/9, 46, 20, 12, 3, 1, 
2019/9/10, 44, 22, 12, 1, 1, 
2019/9/11, 50, 17, 9, 1, , 
2019/9/12, 43, 15, 7, 4, , 
2019/9/13, 39, 15, 9, 6, , 
2019/9/14, 36, 20, 9, 2, , 
2019/9/15, 53, 21, 15, 9, , 
2019/9/16, 49, 24, 16, 6, , 
2019/9/17, 59, 24, 16, 9, , 
2019/9/18, 60, 20, 10, 6, , 
2019/9/19, 55, 24, 13, 7, , 
2019/9/20, 61, 16, 8, 7, , 
2019/9/21, 43, 22, 12, 7, , 
2019/9/22, 59, 12, 7, 6, , 
2019/9/23, 31, 30, 15, 8, , 
2019/9/24, 72, 43, 21, 9, 1, 
2019/9/25, 94, 36, 22, 11, 1, 
2019/9/26, 81, 36, 17, 9, 1, 
2019/9/27, 82, 47, 26, 11, 1, 
2019/9/28, 114, 47, 26, 10, 1, 
2019/9/29, 119, 57, 28, 10, 1, 
2019/9/30, 146, 41, 17, 12, 1, 
2019/4/1, 71, 32, 22, 7, 1, 
2019/4/2, 72, 32, 20, 9, 1, 
2019/4/3, 70, 32, 24, 12, 2, 
2019/4/4, 77, 37, 21, 9, 1, 
2019/4/5, 85, 32, 12, 7, , 
2019/4/6, 77, , , , , 
2019/4/8, 129, 17, 20, 6, , 
2019/4/9, 58, 20, 21, 6, , 
2019/4/10, 61, 34, 18, 6, 2, 
2019/4/11, 72, 33, 19, 5, 2, 
2019/4/12, 71, 22, 19, 4, , 
2019/4/13, 65, 18, 16, 4, , 
2019/4/14, 58, 13, 12, 4, , 
2019/4/15, 47, 17, 17, 5, , 
2019/4/16, 59, 15, 16, 5, , 
2019/4/17, 49, 31, 22, 6, 2, 
2019/4/18, 72, 32, 24, 7, 2, 
2019/4/19, 77, 34, 32, 6, 1, 
2019/4/20, 82, 44, 20, 7, 2, 
2019/4/21, 94, 39, 16, 7, 2, 
2019/4/22, 85, 25, 32, 7, 1, 
2019/4/23, 67, 29, 34, 11, 1, 
2019/4/24, 75, 36, 22, 9, 1, 
2019/4/25, 81, 37, 26, 12, 1, 
2019/4/26, 87, 37, 15, 11, 1, 
2019/4/27, 88, 24, 15, 6, 1, 
2019/4/28, 71, 23, 18, 7, 2, 
2019/4/29, 63, 19, 13, 5, , 
2019/4/30, 48, 15, 15, 4, , 
2019/5/1, 44, 16, 17, 6, 1, 
2019/5/2, 49, 21, 22, 8, 1, 
2019/5/3, 47, 30, 16, 6, , 
2019/5/4, 69, 39, 21, 4, , 
2019/5/5, 97, 54, 18, 3, , 
2019/5/6, 100, 60, 20, 3, , 
2019/5/7, 100, 50, 10, 4, , 
2019/5/8, 92, 51, 28, 3, , 
2019/5/9, 85, 49, 47, 4, , 
2019/5/10, 96, 41, 55, 4, , 
2019/5/11, 83, 39, 42, 2, , 
2019/5/12, 77, 26, , 4, , 
2019/5/13, 68, 31, 14, 6, , 
2019/5/14, 70, 41, 16, 6, , 
2019/5/15, 84, 45, 17, 6, 1, 
2019/5/16, 81, 38, 15, 4, , 
2019/5/17, 74, 41, 18, 4, , 
2019/5/18, 82, 42, 16, 4, 1, 
2019/5/19, 79, 34, 17, 3, 2, 
2019/5/20, 71, 32, , 6, 1, 
2019/5/21, 83, 16, , 4, , 
2019/5/22, 52, 22, , 8, , 
2019/5/23, 65, 33, 11, 6, 2, 
2019/5/24, 86, 34, 18, 5, , 
2019/5/25, 73, 21, 14, 3, , 
2019/5/26, 60, 16, 18, 4, 16, 
2019/5/27, 45, 24, 12, 8, , 
2019/5/28, 58, 30, 13, 7, , 
2019/5/29, 57, 30, 6, 8, 1, 
2019/5/30, 56, 29, 15, 10, , 
2019/5/31, 65, 25, 9, 8, , 
2019/6/1, 56, 22, 18, 5, , 
2019/6/2, 53, 20, 20, 5, , 
2019/6/3, 45, 19, 16, 6, , 
2019/6/4, 50, 32, 10, 9, , 
2019/6/5, 70, 25, 9, 9, , 
