date, pm25, pm10, o3, no2, so2, co
2020/1/1, 177, 112, 7, 40, 28, 36
2020/1/2, 194, 112, 7, 42, 24, 32
2020/1/3, 192, 129, 7, 49, 27, 40
2020/1/4, 233, 112, 6, 44, 24, 40
2020/1/5, 205, 37, 33, 11, 5, 10
2020/1/6, 73, 66, 32, 30, 26, 25
2020/1/7, 128, 125, 26, 42, 41, 31
2020/1/8, 217, 140, 16, 48, 31, 43
2020/1/9, 267, 257, 28, 55, 45, 51
2020/1/10, 331, 284, 25, 62, 44, 54
2020/1/11, 409, 162, 28, 49, 33, 33
2020/1/12, 280, 69, 27, 29, 14, 24
2020/1/13, 146, 159, 18, 49, 39, 42
2020/1/14, 281, 198, 12, 54, 36, 52
2020/1/15, 307, 200, 16, 55, 46, 48
2020/1/16, 312, , , , , 
2019/10/1, 124, 54, 65, 18, 9, 8
2019/10/2, 100, 73, 32, 21, 16, 9
2019/10/3, 112, 32, 26, 6, 6, 7
2019/10/4, 35, 35, 32, 18, 14, 8
2019/10/5, 61, 73, 29, 24, 11, 8
2019/10/6, 104, 69, 32, 23, 16, 11
2019/10/7, 88, 47, 32, 22, 12, 10
2019/10/8, 74, 66, 43, 30, 27, 10
2019/10/9, 120, 88, 40, 35, 19, 14
2019/10/10, 137, 90, 33, 29, 19, 17
2019/10/11, 123, 78, 26, 29, 21, 17
2019/10/12, 125, 65, 28, 7, 4, 5
2019/10/13, 62, 58, 34, 23, 17, 11
2019/10/14, 95, 73, 41, 23, 20, 10
2019/10/15, 136, 83, 35, 32, 21, 14
2019/10/16, 162, 90, 27, 29, 21, 17
2019/10/17, 168, 64, 33, 27, 9, 9
2019/10/18, 136, 96, 39, 30, 25, 13
2019/10/19, 152, 136, 31, 27, 23, 14
2019/10/20, 159, 126, 39, 38, 25, 26
2019/10/21, 180, 113, 39, 39, 18, 16
2019/10/22, 176, 96, 32, 23, 14, 11
2019/10/23, 144, 38, 24, 7, 4, 6
2019/10/24, 54, 40, 24, 19, 11, 9
2019/10/25, 76, 79, 32, 27, 20, 16
2019/10/26, 143, 200, 35, 22, 18, 15
2019/10/27, 160, 288, 30, 13, 7, 9
2019/10/28, 141, 135, 40, 35, 24, 23
2019/10/29, 179, 117, 33, 36, 28, 24
2019/10/30, 159, 103, 28, 35, 26, 21
2019/10/31, 165, 92, 16, 31, 23, 19
2019/11/1, 160, 50, 29, 22, 11, 12
2019/11/2, 116, 73, 31, 26, 10, 18
2019/11/3, 136, 110, 29, 38, 31, 29
2019/11/4, 179, 97, 33, 33, 21, 19
2019/11/5, 166, 83, 36, 29, 18, 17
2019/11/6, 148, 66, 21, 24, 21, 18
2019/11/7, 101, 93, 24, 29, 24, 22
2019/11/8, 161, 81, 24, 25, 14, 16
2019/11/9, 144, 126, 30, 25, 18, 16
2019/11/10, 144, 82, 19, 28, 20, 22
2019/11/11, 141, 114, 24, 28, 33, 34
2019/11/12, 161, 128, 30, 16, 12, 13
2019/11/13, 117, 94, 26, 29, 22, 22
2019/11/14, 145, 98, 26, 33, 23, 28
2019/11/15, 159, 106, 15, 32, 31, 27
2019/11/16, 164, 307, 30, 8, 6, 7
2019/11/17, 165, 133, 24, 18, 12, 10
2019/11/18, 128, 80, 20, 28, 21, 21
2019/11/19, 130, 110, 12, 35, 32, 33
2019/11/20, 167, 114, 13, 33, 38, 24
2019/11/21, 169, 77, 19, 27, 28, 16
2019/11/22, 156, 85, 31, 18, 11, 10
2019/11/23, 126, 43, 25, 10, 6, 6
2019/11/24, 59, 74, 14, 24, 22, 15
2019/11/25, 117, 100, 24, 27, 25, 23
2019/11/26, 153, 64, 22, 26, 19, 17
2019/11/27, 106, 111, 9, 31, 33, 27
2019/11/28, 165, 95, 11, 29, 26, 17
2019/11/29, 168, 70, 29, 16, 10, 10
2019/11/30, 101, 75, 29, 23, 15, 22
2019/12/1, 124, 73, 22, 32, 27, 25
2019/12/2, 134, 86, 25, 39, 23, 27
2019/12/3, 155, 95, 24, 47, 32, 32
2019/12/4, 169, 113, 22, 34, 26, 31
2019/12/5, 207, 126, 16, 40, 35, 46
2019/12/6, 211, 162, 10, 42, 36, 38
2019/12/7, 244, 176, 8, 48, 38, 48
2019/12/8, 255, 162, 13, 42, 28, 31
2019/12/9, 218, 67, 25, 22, 14, 16
2019/12/10, 104, 53, 24, 25, 12, 15
2019/12/11, 93, 113, 11, 35, 34, 34
2019/12/12, 165, 96, 17, 31, 23, 26
2019/12/13, 165, 85, 8, 34, 37, 25
2019/12/14, 166, 81, 11, 28, 28, 18
2019/12/15, 165, 55, 26, 16, 10, 19
2019/12/16, 128, 54, 25, 20, 14, 18
2019/12/17, 107, 132, 22, 38, 23, 33
2019/12/18, 237, 80, 22, 29, 15, 17
2019/12/19, 162, 158, 15, 47, 42, 42
2019/12/20, 282, 145, 14, 40, 28, 33
2019/12/21, 262, 143, 18, 43, 30, 36
2019/12/22, 263, 143, 16, 43, 32, 35
2019/12/23, 250, 256, 10, 53, 40, 58
2019/12/24, 377, 86, 22, 30, 25, 26
2019/12/25, 182, 105, 22, 31, 31, 33
2019/12/26, 170, 120, 12, 41, 35, 37
2019/12/27, 198, 114, 11, 41, 40, 35
2019/12/28, 194, 142, 4, 44, 52, 58
2019/12/29, 224, , , , , 
2019/7/1, 71, 49, 48, 19, 9, 10
2019/7/2, 89, 44, 66, 18, 8, 11
2019/7/3, 68, 67, 77, 26, 16, 12
2019/7/4, 108, 49, 50, 7, 4, 6
2019/7/5, 59, 43, 56, 8, 5, 5
2019/7/6, 50, 44, 47, 18, 8, 7
2019/7/7, 74, 46, 90, 14, 14, 9
2019/7/8, 81, 48, 61, 16, 13, 12
2019/7/9, 91, 44, 70, 19, 10, 13
2019/7/10, 77, 46, 80, 20, 8, 11
2019/7/11, 97, 63, 70, 24, 8, 13
2019/7/12, 113, 58, 67, 23, 16, 18
2019/7/13, 94, 43, 60, 21, 9, 13
2019/7/14, 78, 52, 59, 21, 18, 11
2019/7/15, 99, 24, 54, 8, 6, 8
2019/7/16, 73, 42, 75, 15, 5, 7
2019/7/17, 105, 52, 89, 15, 6, 7
2019/7/18, 107, 43, 53, 18, 7, 9
2019/7/19, 94, 52, 70, 22, 11, 12
2019/7/20, 104, 65, 75, 20, 12, 10
2019/7/21, 119, 38, 56, 16, 8, 9
