date, pm25, pm10, o3, no2, so2, co
2020/1/2, 18, 9, 26, 13, , 2
2020/1/3, 11, 12, 26, 8, , 1
2020/1/4, 21, 15, 30, 14, 2, 3
2020/1/5, 29, 12, 30, 15, 1, 2
2020/1/6, 14, 16, 29, 11, 1, 1
2020/1/7, 20, 13, 28, 12, , 2
2020/1/8, 16, 18, 30, 12, , 2
2020/1/9, 17, , 23, , , 
2020/1/14, 24, , 18, , , 
2020/1/15, 20, , 2, , , 
2020/1/16, 22, , , , , 
2019/10/1, 41, 29, 47, 12, , 3
2019/10/2, 58, 27, 43, 12, , 2
2019/10/3, 54, 21, 45, 7, , 2
2019/10/4, 50, 14, 64, 6, , 2
2019/10/5, 45, 12, 29, 4, , 1
2019/10/6, 29, 9, 24, 5, , 1
2019/10/7, 23, , 23, , , 
2019/10/8, 18, , 41, , , 
2019/10/9, 36, , 27, , , 
2019/10/10, 33, 11, 26, 6, , 1
2019/10/11, 20, 9, 20, 5, , 1
2019/10/12, 20, 13, 30, 5, 3, 1
2019/10/13, 32, 12, 16, 6, , 2
2019/10/14, 36, 14, 20, 6, , 1
2019/10/15, 25, 12, 20, 9, , 1
2019/10/16, 16, 12, 24, 4, , 1
2019/10/17, 32, 10, 28, 4, , 1
2019/10/18, 33, 16, 38, 9, 2, 2
2019/10/19, 44, 16, 30, 10, , 2
2019/10/20, 43, 9, 24, 8, , 2
2019/10/21, 18, 19, 32, 10, 3, 1
2019/10/22, 33, 12, 13, 14, , 3
2019/10/23, 25, 17, 23, 8, , 2
2019/10/24, 40, 12, 16, 6, , 2
2019/10/25, 26, 4, 19, 4, , 1
2019/10/26, 12, 8, 22, 3, 2, 1
2019/10/27, 24, 13, 35, 6, , 2
2019/10/28, 33, 13, 24, 5, , 2
2019/10/29, 32, 12, 16, 6, , 1
2019/10/30, 21, 9, 21, 6, 1, 1
2019/10/31, 21, 8, 26, 7, , 1
2019/11/1, 24, 9, 25, 8, , 1
2019/11/2, 27, 10, 32, 8, , 2
2019/11/3, 28, 18, 32, 16, , 3
2019/11/4, 45, 21, 30, 10, , 2
2019/11/5, 48, 21, 33, 6, , 2
2019/11/6, 52, 18, 24, 9, 1, 2
2019/11/7, 49, 13, 13, 6, , 1
2019/11/8, 34, 11, 27, 9, , 2
2019/11/9, 32, 19, 35, 13, , 4
2019/11/10, 51, 17, 29, 13, , 2
2019/11/11, 34, 12, 24, 8, , 1
2019/11/12, 33, 14, 25, 10, , 1
2019/11/13, 39, 21, 17, 10, , 2
2019/11/14, 64, , 28, 13, 2, 1
2019/12/4, 44, 21, 34, 16, , 2
2019/12/5, 40, 19, 30, 13, , 2
2019/12/6, 38, 13, 33, 4, , 1
2019/12/7, 26, 21, 31, 12, 1, 2
2019/12/8, 47, 19, 20, 11, , 3
2019/12/9, 36, 6, 26, 6, , 2
2019/12/10, 12, 5, 28, 4, , 1
2019/12/11, 9, 9, 23, 5, , 1
2019/12/12, 17, 13, 9, 11, 2, 3
2019/12/13, 29, 17, 27, 12, 1, 4
2019/12/14, 44, 17, 32, 8, , 2
2019/12/15, 32, 19, 22, 8, , 2
2019/12/16, 26, 9, 19, 8, 2, 1
2019/12/17, 16, 16, 29, 12, 2, 1
2019/12/18, 23, 17, 28, 13, 1, 3
2019/12/19, 30, 18, 26, 11, , 3
2019/12/20, 29, 16, 18, 6, , 2
2019/12/21, 33, 10, 18, 41, , 2
2019/12/22, 16, 10, 20, 15, 1, 1
2019/12/23, 14, 12, 23, 15, 1, 3
2019/12/24, 17, 14, 19, 11, , 2
2019/12/25, 31, 15, 21, 6, , 2
2019/12/26, 17, 17, 22, 5, , 2
2019/12/27, 21, 11, 21, 5, , 1
2019/12/28, 4, , , , , 
2019/7/1, 48, 14, 22, 12, , 1
2019/7/2, 33, 15, 25, 9, , 1
2019/7/3, 31, 38, 23, 8, , 2
2019/7/4, 68, 44, 44, 8, , 1
2019/7/5, 65, 50, 32, 13, 1, 1
2019/7/6, 80, 33, 32, 9, , 1
2019/7/7, 62, 21, 31, 9, , 1
2019/7/8, 49, 15, 27, 7, , 1
2019/7/9, 37, 24, 21, 11, , 2
2019/7/10, 49, 19, 21, 9, , 2
2019/7/11, 52, 11, 21, 3, , 1
2019/7/12, 24, 9, 31, 4, , 
2019/7/13, 22, 19, 25, 3, , 
2019/7/14, 38, 17, 15, 5, , 1
2019/7/15, 33, 22, 11, 5, , 1
2019/7/16, 40, 36, 17, 6, , 1
2019/7/17, 60, 19, 17, 7, , 1
2019/7/18, 36, 13, 18, 9, , 1
2019/7/19, 22, 10, 19, 7, , 1
2019/7/20, 19, 11, 19, 7, , 1
2019/7/21, 25, 13, 23, 8, , 1
2019/7/22, 31, 13, 21, 8, , 1
2019/7/23, 30, 14, 32, 5, , 1
2019/7/24, 36, 16, 35, 6, , 2
2019/7/25, 41, 19, 36, 5, , 2
2019/7/26, 44, 14, 25, 6, , 1
2019/7/27, 21, 12, 27, 8, , 2
2019/7/28, 28, 17, 26, 11, , 2
2019/7/29, 35, 16, 18, 10, , 1
2019/7/30, 40, 19, 35, 8, , 2
2019/7/31, 45, 19, 39, 10, , 1
2019/8/1, 47, 18, 35, 10, , 2
2019/8/2, 42, 17, 50, 9, , 2
2019/8/3, 49, 13, 31, 9, , 2
2019/8/4, 40, 13, 32, 7, , 1
2019/8/5, 32, 9, 21, 8, , 1
2019/8/6, 17, 15, 15, 7, , 1
2019/8/7, 26, 22, 13, 7, , 1
2019/8/8, 43, 20, 15, 6, , 1
2019/8/9, 42, 17, 19, 5, , 1
2019/8/10, 38, 16, 17, 4, , 1
2019/8/11, 37, 18, 26, 6, , 1
2019/8/12, 44, 17, 27, 6, , 1
2019/8/13, 30, 15, 29, 8, , 2
