date, pm25, pm10, o3, no2, so2, co
2020/1/2, 27, 21, 16, 10, , 38
2020/1/3, 50, 39, 6, 11, , 13
2020/1/4, 96, 48, 9, 17, , 62
2020/1/5, 112, 62, 4, 22, , 49
2020/1/6, 142, 92, 4, 22, , 46
2020/1/7, 181, 79, 5, 25, , 53
2020/1/8, 162, 80, 1, 24, , 52
2020/1/9, 159, 52, 9, 16, , 62
2020/1/10, 97, 44, 15, 13, , 50
2020/1/11, 79, 55, 8, 17, , 23
2020/1/12, 108, 18, 12, 9, , 37
2020/1/13, 32, 29, 10, 15, , 44
2020/1/14, 68, 56, 12, 15, , 48
2020/1/15, 107, , , , , 
2019/12/3, 102, 33, 22, 11, , 23
2019/12/4, 56, 25, 23, 13, , 36
2019/12/5, 53, 54, 12, 15, , 25
2019/12/6, 110, 77, 6, 19, , 47
2019/12/7, 155, 71, 9, 17, , 22
2019/12/8, 153, 37, 21, 16, , 34
2019/12/9, 71, 62, 7, 20, , 45
2019/12/10, 135, 88, 4, 21, , 30
2019/12/11, 171, 113, 3, 19, , 19
2019/12/12, 201, 91, 9, 18, , 10
2019/12/13, 175, 100, 4, 21, , 58
2019/12/14, 180, 105, 3, 28, , 14
2019/12/15, 189, 65, 18, 18, , 21
2019/12/16, 109, 47, 16, 18, , 34
2019/12/17, 90, 71, 6, 22, , 40
2019/12/18, 149, 113, 24, 19, , 51
2019/12/19, 148, 34, 29, 10, 1, 9
2019/12/20, 50, 100, 6, 20, , 22
2019/12/21, 170, 111, 5, 22, , 39
2019/12/22, 190, 178, 2, 22, , 22
2019/12/23, 239, 167, 1, 30, , 48
2019/12/24, 236, 135, 2, 34, 1, 30
2019/12/25, 188, 116, 2, 31, 2, 39
2019/12/26, 172, 84, 2, 26, 2, 19
2019/12/27, 149, 22, 11, 11, 1, 8
2019/12/28, 34, , , , , 
2020/1/1, , 11, 18, 8, , 32
2019/12/2, , 52, 11, 22, , 20
