date, pm25, pm10, o3, no2, so2, co
2020/1/2, 7, 26, 24, 4, 39, 
2020/1/3, 29, 41, 20, 7, 48, 26
2020/1/4, 50, 15, 23, 4, 46, 74
2020/1/5, 28, 19, 26, 14, 53, 
2020/1/6, 32, 77, 117, 9, 48, 14
2020/1/7, 58, 59, 23, 7, 49, 41
2020/1/8, 41, 39, 31, 11, 41, 61
2020/1/9, 42, 14, 60, 7, 45, 
2020/1/10, 41, 50, 19, 12, 46, 210
2020/1/11, 53, 29, 29, 6, 50, 49
2020/1/12, 35, 23, 27, 6, 49, 84
2020/1/13, 53, 13, 26, 11, 49, 47
2020/1/14, 44, 16, 32, 11, 77, 72
2020/1/15, 50, 8, 21, 8, 45, 
2020/1/16, 26, , , , , 
2019/10/1, 70, 36, 41, 3, , 
2019/10/2, 58, 37, 43, 3, , 
2019/10/3, 59, 22, 39, 2, , 
2019/10/4, 53, 36, 47, 3, , 
2019/10/5, 59, 39, 37, 4, , 
2019/10/6, 58, 33, 24, 4, , 
2019/10/7, 54, , , , , 
2019/10/13, 66, 56, 38, 2, , 
2019/10/14, 68, , , , , 
2019/10/16, 68, 47, 39, 5, , 
2019/10/17, 77, 39, 39, 3, , 
2019/10/18, 77, 31, 36, 2, , 
2019/10/19, 62, 36, 33, 3, , 
2019/10/20, 63, 23, 31, 1, , 
2019/10/21, 50, 30, 38, 2, , 
2019/10/22, 56, 54, 24, 6, , 
2019/10/23, 75, 33, 39, 3, 8, 
2019/10/24, 43, 34, 45, 2, , 
2019/10/25, 58, 34, 40, 2, , 
2019/10/26, 61, 28, 40, 6, , 
2019/10/27, 59, 26, 43, 4, 12, 
2019/10/28, 59, 30, 39, 4, , 
2019/10/29, 55, 24, 42, 3, , 
2019/10/30, 53, 27, 47, 4, , 
2019/10/31, 59, 25, 43, 3, , 
2019/11/1, 65, 24, 35, 2, , 
2019/11/2, 53, 23, 34, 3, , 
2019/11/3, 42, 25, 40, 3, , 
2019/11/4, 52, 45, 40, 4, 14, 
2019/11/5, 66, 96, 37, 3, 4, 
2019/11/6, 104, 82, 39, 2, 4, 
2019/11/7, 105, 63, 38, 3, 4, 
2019/11/8, 91, 61, 37, 3, 4, 
2019/11/9, 91, 48, 41, 1, 5, 
2019/11/10, 71, 41, 40, 1, 5, 
2019/11/11, 64, 46, 41, 2, 5, 
2019/11/12, 76, 78, 33, 2, 4, 
2019/11/13, 98, 54, 30, 2, 4, 
2019/11/14, 74, 64, 38, 3, 4, 
2019/11/15, 80, 33, 35, 1, 4, 
2019/11/16, 52, 26, 28, 3, 4, 
2019/11/17, 60, , , , , 
2019/11/23, 69, 38, 46, 4, 1, 
2019/11/24, 76, 39, 45, 4, 1, 
2019/11/25, 72, 54, 42, 4, 1, 
2019/11/26, 63, 78, 36, 3, , 
2019/11/27, 64, 65, 42, 4, 1, 
2019/11/28, 59, 51, 44, 4, , 
2019/11/29, 55, 38, 43, 4, 1, 
2019/11/30, 55, 40, 35, 6, , 
2019/12/1, 47, 15, 33, 4, , 
2019/12/2, 26, 16, 34, 4, , 
2019/12/3, 25, 16, 37, 4, , 
2019/12/4, 35, 22, 34, 4, , 
2019/12/5, 41, 17, 32, 2, , 
2019/12/6, 37, 16, 30, 3, , 
2019/12/7, 49, 19, 33, 4, , 
2019/12/8, 41, 19, 31, 4, , 
2019/12/9, 44, 17, 33, 4, , 
2019/12/10, 40, 23, 30, 7, , 
2019/12/11, 50, 127, 31, 4, , 
2019/12/12, 62, 202, 30, 2, , 
2019/12/13, 113, 108, 29, 1, , 
2019/12/14, 92, 34, 32, 4, , 
2019/12/15, 44, 40, 33, 5, , 
2019/12/16, 53, 47, 35, 8, , 
2019/12/17, 65, 18, 35, 3, , 
2019/12/18, 51, 22, 35, 2, 1, 
2019/12/19, 45, 19, 40, 2, 1, 
2019/12/20, 37, 17, 35, 3, 1, 
2019/12/21, 39, 28, 34, 3, 2, 
2019/12/22, 40, 67, 42, 2, , 
2019/12/23, 68, 93, 31, 2, , 
2019/12/24, 78, 455, 31, 1, , 
2019/12/25, 139, 97, 30, 1, , 
2019/12/26, 55, 23, 26, 2, , 
2019/12/27, 32, 16, 26, 3, , 
2019/12/28, 40, , , , , 
2019/7/1, 66, 23, 54, 2, 3, 
2019/7/2, 38, 28, 59, 3, 2, 
2019/7/3, 43, 27, 60, 3, 2, 
2019/7/4, 49, 30, 53, 3, 3, 
2019/7/5, 57, 36, 52, 2, 3, 
2019/7/6, 64, 46, 54, 3, 3, 
2019/7/7, 78, 46, 64, 2, 2, 
2019/7/8, 73, 42, 52, 2, 14, 
2019/7/9, 72, 37, 59, 3, 5, 
2019/7/10, 67, 38, 60, 3, 2, 
2019/7/11, 68, 51, 46, 4, 2, 
2019/7/12, 74, 29, 45, 2, 2, 
2019/7/13, 42, 34, 50, 2, 2, 
2019/7/14, 50, 28, 46, 2, 2, 
2019/7/15, 48, 31, 39, 3, 2, 
2019/7/16, 50, 93, 50, 2, 2, 
2019/7/17, 76, 47, 47, 2, 2, 
2019/7/18, 59, 26, 44, 1, 2, 
2019/7/19, 56, 27, 43, 1, 2, 
2019/7/20, 57, 30, 51, 2, 2, 
2019/7/21, 58, 32, 43, 2, 2, 
2019/7/22, 68, 32, 54, 2, 9, 
2019/7/23, 73, 29, 61, 3, , 
2019/7/24, 52, 38, 64, 3, , 
2019/7/25, 65, 39, 61, 2, , 
2019/7/26, 74, 35, 51, 1, , 
2019/7/27, 71, 35, 51, 2, , 
2019/7/28, 64, 33, 54, 2, 1, 
2019/7/29, 56, 30, 57, 3, 1, 
2019/7/30, 51, 42, 59, 4, 1, 
2019/7/31, 70, 39, 48, 3, , 
2019/8/1, 62, 30, 41, 1, , 
2019/8/2, 68, 32, 47, 1, , 
2019/8/3, 74, 44, 50, 2, , 
2019/8/4, 77, 45, 43, 2, , 
2019/8/5, 75, 40, 56, 2, , 
2019/8/6, 62, 41, 53, 1, , 
2019/8/7, 69, 41, 50, 2, , 
2019/8/8, 66, 42, 53, 1, , 
2019/8/9, 65, 23, 44, , , 
2019/8/10, 57, 38, 64, 1, , 
2019/8/11, 57, 32, 54, 3, , 
2019/8/12, 46, 33, 72, 3, , 
2019/8/13, 52, 45, 69, 3, , 
2019/8/14, 63, 35, 48, 3, , 
2019/8/15, 63, 40, 52, 2, , 
2019/8/16, 54, 38, 42, 2, , 
2019/8/17, 63, 28, 42, 2, , 
2019/8/18, 66, 34, 47, 2, , 
2019/8/19, 43, 41, 49, 2, , 
2019/8/20, 58, 32, 46, 3, , 
2019/8/21, 58, 33, 57, 4, , 
2019/8/22, 56, 33, 47, 2, , 
2019/8/23, 63, 36, 48, 1, , 
2019/8/24, 67, 33, 48, 3, , 
2019/8/25, 63, 33, 50, 4, , 
