date, pm25, o3, no2, so2, co
2018/8/27, 34, 25, 33, , 7
2018/8/28, 38, 23, 21, 2, 6
2018/8/29, 36, 19, 15, , 5
2018/8/30, 9, 21, 13, , 4
2018/8/31, 12, 22, 11, , 3
2018/9/1, 16, , , , 
2017/4/1, 17, , , , 
2017/4/2, 17, , , , 
2017/4/3, 15, , , , 
2017/4/4, 16, , , , 
2017/4/5, 13, , , , 
2017/4/6, 9, , , , 
2017/4/7, 6, , , , 
2017/4/8, 10, , , , 
2017/4/9, 9, , , , 
2017/4/10, 9, , , , 
2017/4/11, 11, , , , 
2017/4/12, 8, , , , 
2017/4/13, 6, , , , 
2017/4/14, 7, , , , 
2017/4/15, 12, , , , 
2017/4/16, 11, , , , 
2017/4/17, 11, , , , 
2017/4/18, 10, , , , 
2017/4/19, 16, , , , 
2017/4/20, 10, , , , 
2017/4/21, 9, , , , 
2017/4/22, 8, , , , 
2017/4/23, 7, , , , 
2017/4/24, 4, , , , 
2017/4/25, 6, , , , 
2017/4/26, 5, , , , 
2017/4/27, 12, , , , 
2017/4/28, 14, , , , 
2017/4/29, 14, , , , 
2017/4/30, 6, , , , 
2017/5/1, 9, , , , 
2017/5/2, 10, , , , 
2017/5/3, 11, , , , 
2017/5/4, 25, , , , 
2017/5/5, 12, , , , 
2017/5/6, 12, 28, 11, , 3
2017/5/7, 10, 28, 15, , 4
2017/5/8, 13, 38, 20, , 4
2017/5/9, 20, 33, 24, 1, 5
2017/5/10, 21, 33, 17, 1, 3
2017/5/11, 11, 26, 15, , 4
2017/5/12, 6, 26, , , 
2017/1/2, 22, , , , 
2017/1/3, 16, , , , 
2017/1/4, 19, , , , 
2017/1/5, 25, , , , 
2017/1/6, 30, , , , 
2017/1/7, 25, , , , 
2017/1/8, 17, , , , 
2017/1/9, 12, , , , 
2017/1/10, 17, , , , 
2017/1/11, 15, , , , 
2017/1/12, 24, , , , 
2017/1/13, 24, , , , 
2017/1/14, 32, , , , 
2017/1/15, 47, , , , 
2017/1/16, 46, , , , 
2017/1/17, 27, , , , 
2017/1/18, 8, , , , 
2017/1/19, 6, , , , 
2017/1/20, 10, , , , 
2017/1/21, 21, , , , 
2017/1/22, 8, , , , 
2017/1/23, 19, , , , 
2017/1/24, 37, , , , 
2017/1/25, 40, , , , 
2017/1/26, 44, , , , 
2017/1/27, 19, , , , 
2017/1/28, 22, , , , 
2017/1/29, 25, , , , 
2017/1/30, 21, , , , 
2017/1/31, 16, , , , 
2017/2/1, 11, , , , 
2017/2/2, 8, , , , 
2017/2/3, 16, , , , 
2017/2/4, 8, , , , 
2017/2/5, 10, , , , 
2017/2/6, 14, , , , 
2017/2/7, 17, , , , 
2017/2/8, 19, , , , 
2017/2/9, 10, , , , 
2017/2/10, 9, , , , 
2017/2/11, 14, , , , 
2017/2/12, 19, , , , 
2017/2/13, 30, , , , 
2017/2/14, 42, , , , 
2017/2/15, 12, , , , 
2017/2/16, 8, , , , 
2017/2/17, 12, , , , 
2017/2/18, 26, , , , 
2017/2/19, 7, , , , 
2017/2/20, 9, , , , 
2017/2/21, 17, , , , 
2017/2/22, 17, , , , 
2017/2/23, 25, , , , 
2017/2/24, 16, , , , 
2017/2/25, 22, , , , 
2017/2/26, 10, , , , 
2017/2/27, 17, , , , 
2017/2/28, 21, , , , 
2017/3/1, 8, , , , 
2017/3/2, 9, , , , 
2017/3/3, 5, , , , 
2017/3/4, 7, , , , 
2017/3/5, 5, , , , 
2017/3/6, 8, , , , 
2017/3/7, 8, , , , 
2017/3/8, 12, , , , 
2017/3/9, 17, , , , 
2017/3/10, 7, , , , 
2017/3/11, 16, , , , 
2017/3/12, 8, , , , 
2017/3/13, 11, , , , 
2017/3/14, 7, , , , 
2017/3/15, 8, , , , 
2017/3/16, 10, , , , 
2017/3/17, 18, , , , 
2017/3/18, 7, , , , 
2017/3/19, 14, , , , 
2017/3/20, 16, , , , 
2017/3/21, 15, , , , 
2017/3/22, 7, , , , 
2017/3/23, 7, , , , 
2017/3/24, 12, , , , 
2017/3/25, 8, , , , 
2017/3/26, 7, , , , 
2017/3/27, 6, , , , 
2017/3/28, 6, , , , 
2017/3/29, 5, , , , 
2017/3/30, 10, , , , 
2017/3/31, 20, , , , 
2018/8/26, , 24, 21, 1, 4
