date, pm25, pm10
2020/1/2, 7, 
2020/1/3, 11, 
2020/1/4, 8, 
2020/1/5, 8, 
2020/1/6, 7, 
2020/1/7, 8, 
2020/1/8, 9, 
2020/1/9, 26, 
2020/1/10, 10, 
2020/1/11, 8, 
2020/1/12, 7, 
2020/1/13, 9, 
2020/1/14, 10, 
2020/1/15, 10, 
2019/10/1, 18, 
2019/10/2, 27, 
2019/10/3, 17, 
2019/10/4, 17, 
2019/10/5, 22, 
2019/10/6, 18, 
2019/10/7, 17, 
2019/10/8, 8, 
2019/10/9, 16, 
2019/10/10, 28, 
2019/10/11, 26, 
2019/10/12, 36, 
2019/10/13, 34, 
2019/10/14, 25, 
2019/10/15, 33, 
2019/10/16, 38, 
2019/10/17, 7, 
2019/10/18, 9, 
2019/10/19, 9, 
2019/10/20, 9, 
2019/10/21, 8, 
2019/10/22, 11, 
2019/10/23, 20, 
2019/10/24, 25, 
2019/10/25, 17, 
2019/10/26, 13, 
2019/10/27, 17, 
2019/10/28, 15, 
2019/10/29, 15, 
2019/10/30, 38, 
2019/10/31, 50, 
2019/11/1, 50, 
2019/11/2, 37, 
2019/11/3, 27, 
2019/11/4, 26, 
2019/11/5, 27, 
2019/11/6, 41, 
2019/11/7, 54, 
2019/11/8, 52, 
2019/11/9, 39, 
2019/11/10, 15, 
2019/11/11, 34, 
2019/11/12, 24, 
2019/11/13, 29, 
2019/11/14, 55, 
2019/11/15, 31, 
2019/11/16, 27, 
2019/11/17, 21, 
2019/11/18, 12, 
2019/11/19, 10, 
2019/11/20, 14, 
2019/11/21, 33, 
2019/11/22, 47, 
2019/11/23, 44, 
2019/11/24, 22, 
2019/11/25, 30, 
2019/11/26, 40, 
2019/11/27, 11, 
2019/11/28, 18, 
2019/11/29, 32, 
2019/11/30, 35, 
2019/12/1, 47, 
2019/12/2, 50, 
2019/12/3, 29, 
2019/12/4, 51, 
2019/12/5, 53, 
2019/12/6, 34, 
2019/12/7, 17, 
2019/12/8, 20, 
2019/12/9, 30, 
2019/12/10, 42, 
2019/12/11, 38, 
2019/12/12, 13, 
2019/12/13, 16, 
2019/12/16, 16, 
2019/12/17, 34, 
2019/12/18, 25, 
2019/12/19, 14, 
2019/12/20, 8, 
2019/12/21, 13, 
2019/12/22, 30, 
2019/12/23, 23, 
2019/12/24, 34, 
2019/12/25, 17, 
2019/12/26, 30, 
2019/12/27, 25, 
2019/12/28, 27, 
2019/7/1, 22, 
2019/7/2, 16, 
2019/7/3, 16, 
2019/7/4, 25, 
2019/7/5, 34, 
2019/7/6, 28, 
2019/7/7, 23, 
2019/7/8, 21, 
2019/7/9, 28, 
2019/7/10, 27, 
2019/7/11, 15, 
2019/7/12, 17, 
2019/7/13, 20, 
2019/7/14, 16, 
2019/7/15, 13, 
2019/7/16, 13, 
2019/7/17, 13, 
2019/7/18, 11, 
2019/7/19, 17, 
2019/7/20, 17, 
2019/7/21, 20, 
2019/7/22, 24, 
2019/7/23, 24, 
2019/7/24, 18, 
2019/7/25, 18, 
2019/7/26, 27, 
2019/7/27, 15, 
2019/7/28, 14, 
2019/7/29, 24, 
2019/7/30, 22, 
2019/7/31, 19, 
2019/8/1, 20, 
2019/8/2, 10, 
2019/8/3, 5, 
2019/8/4, 14, 
2019/8/5, 43, 
2019/8/6, 48, 
2019/8/7, 34, 
2019/8/8, 35, 
2019/8/9, 26, 
2019/8/12, 30, 
2019/8/13, 25, 
2019/8/14, 25, 
2019/8/15, 19, 
2019/8/16, 19, 
2019/8/17, 20, 
2019/8/18, 20, 
2019/8/19, 18, 
2019/8/20, 22, 
2019/8/21, 25, 
2019/8/22, 15, 
2019/8/23, 18, 
2019/8/24, 17, 
2019/8/25, 17, 
2019/8/26, 18, 
2019/8/27, 27, 
2019/8/28, 32, 
2019/8/29, 31, 
2019/8/30, 19, 
2019/8/31, 17, 
2019/9/1, 13, 
2019/9/2, 14, 
2019/9/3, 17, 
2019/9/4, 27, 
2019/9/5, 26, 
2019/9/6, 28, 
2019/9/7, 34, 
2019/9/8, 6, 
2019/9/9, 7, 
2019/9/10, 9, 
2019/9/11, 8, 
2019/9/12, 11, 
2019/9/13, 13, 
2019/9/14, 30, 
2019/9/15, 17, 
2019/9/16, 8, 
2019/9/17, 11, 
2019/9/18, 8, 
2019/9/19, 10, 
2019/9/20, 11, 
2019/9/21, 15, 
2019/9/22, 14, 
2019/9/23, 11, 
2019/9/24, 10, 
2019/9/25, 16, 
2019/9/26, 35, 
