date, pm25, pm10, o3, no2, so2, co
2020/1/2, 74, 48, 39, 14, 4, 4
2020/1/3, 74, 74, 47, 18, 4, 8
2020/1/4, 115, 64, 75, 13, 4, 4
2020/1/5, 123, 54, 9, 23, 4, 6
2020/1/6, 73, 47, 27, 18, 4, 5
2020/1/7, 60, 59, 105, 22, 4, 5
2020/1/8, 87, 68, 100, 23, 4, 6
2020/1/9, 103, 70, 38, 26, 4, 7
2020/1/10, 102, 59, 39, 21, 3, 5
2020/1/11, 88, 63, 42, 21, 4, 5
2020/1/12, 103, 80, 81, 27, 4, 9
2020/1/13, 138, 85, 88, 28, 4, 7
2020/1/14, 147, 66, 70, 21, 4, 4
2020/1/15, 119, 56, 83, 18, 4, 4
2020/1/16, 102, , , , , 
2019/10/1, 97, 47, 48, 21, , 7
2019/10/2, 74, 44, 64, 18, , 6
2019/10/3, 87, 53, 66, 19, 2, 8
2019/10/4, 94, 67, 45, 23, 1, 8
2019/10/5, 104, 45, 50, 15, 1, 4
2019/10/6, 88, 58, 47, 19, 1, 7
2019/10/7, 108, 36, 70, 15, 1, 4
2019/10/8, 73, 46, 76, 19, 1, 6
2019/10/9, 84, 55, 61, 17, 1, 6
2019/10/10, 106, 69, 44, 20, 1, 7
2019/10/11, 128, 63, 33, 16, 1, 6
2019/10/12, 99, 42, 12, 11, 1, 5
2019/10/13, 65, 51, 12, 14, 1, 7
2019/10/14, 77, 54, 19, 14, 1, 7
2019/10/15, 82, 51, 18, 13, 1, 6
2019/10/16, 77, 48, 12, 12, 1, 6
2019/10/17, 73, 46, 25, 12, 1, 5
2019/10/18, 99, 41, 11, 13, , 5
2019/10/19, 75, 38, 18, 13, , 4
2019/10/20, 56, 42, 16, 16, , 7
2019/10/21, 64, 27, 15, 13, , 4
2019/10/22, 47, 33, 8, 10, , 4
2019/10/23, 35, 44, 15, 10, , 3
2019/10/24, 68, 48, 11, 9, , 3
2019/10/25, 87, 38, 11, 9, 2, 3
2019/10/26, 68, 54, 17, 10, 1, 4
2019/10/27, 99, 60, 12, 13, 1, 6
2019/10/28, 111, 64, 15, 14, 1, 6
2019/10/29, 102, 37, 20, 12, 1, 5
2019/10/30, 73, 32, 27, 9, 1, 3
2019/10/31, 60, 42, 48, 10, 1, 4
2019/11/1, 75, 67, 16, 16, 1, 9
2019/11/2, 86, 67, 28, 14, 1, 6
2019/11/3, 105, 85, 25, 19, 1, 10
