date, pm25
2017/10/1, 13
2017/10/2, 18
2017/10/3, 13
2017/10/4, 24
2017/10/5, 15
2017/10/6, 16
2017/10/7, 13
2017/10/8, 11
2017/10/9, 17
2017/10/10, 28
2017/10/11, 24
2017/10/12, 18
2017/10/13, 20
2017/10/14, 12
2017/10/15, 18
2017/10/16, 21
2017/10/17, 20
2017/10/18, 28
2017/10/19, 32
2017/10/20, 26
2017/10/21, 17
2017/10/22, 22
2017/10/23, 13
2017/10/24, 19
2017/10/25, 9
2017/10/26, 12
2017/10/27, 26
2017/10/28, 26
2017/10/29, 19
2017/10/30, 15
2017/10/31, 10
2017/11/1, 11
2017/11/2, 20
2017/11/3, 16
2017/11/4, 20
2017/11/5, 28
2017/11/6, 49
2017/11/7, 73
2017/11/8, 58
2017/11/9, 47
2017/11/10, 46
2017/11/11, 33
2017/11/12, 30
2017/11/13, 40
2017/11/14, 37
2017/11/15, 45
2017/11/16, 30
2017/11/17, 21
2017/11/18, 16
2017/11/19, 16
2017/11/20, 13
2017/11/21, 24
2017/11/22, 17
2017/11/23, 15
2017/11/24, 14
2017/11/25, 25
2017/11/26, 41
2017/11/27, 17
2017/11/28, 28
2017/11/29, 20
2017/7/1, 28
2017/7/2, 20
2017/7/3, 22
2017/7/4, 38
2017/7/5, 49
2017/7/6, 37
2017/7/7, 36
2017/7/8, 36
2017/7/9, 30
2017/7/10, 33
2017/7/11, 26
2017/7/12, 32
2017/7/13, 33
2017/7/14, 30
2017/7/15, 31
2017/7/16, 28
2017/7/17, 30
2017/7/18, 40
2017/7/19, 36
2017/7/20, 34
2017/7/21, 55
2017/7/22, 87
2017/7/23, 78
2017/7/24, 54
2017/7/25, 35
2017/7/26, 33
2017/7/27, 31
2017/7/28, 42
2017/7/29, 33
2017/7/30, 43
2017/7/31, 49
2017/8/1, 59
2017/8/2, 60
2017/8/3, 54
2017/8/4, 52
2017/8/5, 47
2017/8/6, 36
2017/8/7, 33
2017/8/8, 36
2017/8/9, 42
2017/8/10, 29
2017/8/11, 41
2017/8/12, 56
2017/8/13, 41
2017/8/14, 29
2017/8/15, 36
2017/8/16, 35
2017/8/17, 62
2017/8/18, 74
2017/8/19, 70
