date, pm25, pm10, o3, no2
2020/1/2, 23, 12, 29, 7
2020/1/3, 28, 5, 30, 4
2020/1/4, 12, 5, 26, 3
2020/1/5, 17, 9, 29, 5
2020/1/6, 25, 10, 23, 4
2020/1/7, 28, 18, 27, 8
2020/1/8, 44, 8, 26, 6
2020/1/9, 24, 9, 23, 12
2020/1/10, 26, 5, 30, 2
2020/1/11, 13, 3, 30, 3
2020/1/12, 9, 6, 30, 4
2020/1/13, 15, 8, 31, 3
2020/1/14, 19, 11, 29, 5
2020/1/15, 19, 11, 22, 3
2020/1/16, 24, , , 
2019/10/1, 15, 9, 23, 12
2019/10/2, 24, 10, 25, 10
2019/10/3, 28, 11, 24, 6
2019/10/4, 27, 11, 17, 8
2019/10/5, 27, 6, 31, 3
2019/10/6, 14, 7, 21, 6
2019/10/7, 19, 11, 29, 3
2019/10/8, 25, 9, 26, 3
2019/10/9, 18, 10, 22, 3
2019/10/10, 21, 6, 27, 4
2019/10/11, 12, 7, 23, 4
2019/10/12, 17, 4, 27, 4
2019/10/13, 10, 5, 22, 7
2019/10/14, 12, 9, 19, 8
2019/10/15, 30, 8, 26, 8
2019/10/16, 18, 11, 24, 11
2019/10/17, 20, 4, 29, 7
2019/10/18, 11, 6, 27, 9
2019/10/19, 15, 7, 22, 10
2019/10/20, 22, 8, 23, 12
2019/10/21, 20, 10, 19, 14
2019/10/22, 30, 13, 16, 16
2019/10/23, 45, 14, 14, 12
2019/10/24, 45, 6, 30, 8
2019/10/25, 14, 4, 18, 15
2019/10/26, 14, 10, 29, 12
2019/10/27, 22, 12, 17, 19
2019/10/28, 35, 12, 25, 15
2019/10/29, 34, 13, 23, 15
2019/10/30, 40, 25, 15, 16
2019/10/31, 69, 7, 21, 10
2019/11/1, 19, 7, 28, 7
2019/11/2, 19, 12, 22, 10
2019/11/3, 40, 14, 18, 14
2019/11/4, 37, 11, 18, 14
2019/11/5, 35, 25, 15, 16
2019/11/6, 61, 8, 19, 15
2019/11/7, 26, 8, 21, 16
2019/11/8, 23, 12, 17, 15
2019/11/9, 42, 9, 27, 12
2019/11/10, 24, 8, 29, 8
2019/11/11, 22, 7, 28, 10
2019/11/12, 16, 8, 22, 14
2019/11/13, 19, 5, 23, 9
2019/11/14, 15, 9, 23, 9
2019/11/15, 28, 14, 19, 11
2019/11/16, 48, 13, 18, 9
2019/11/17, 44, 14, 15, 19
2019/11/18, 42, 17, 9, 16
2019/11/19, 57, 10, 22, 9
2019/11/20, 32, 23, 16, 12
2019/11/21, 71, 10, 21, 10
2019/11/22, 34, 16, 14, 11
2019/11/23, 55, 22, 7, 10
2019/11/24, 66, 6, 20, 7
2019/11/25, 20, 10, 25, 6
2019/11/26, 25, 11, 21, 13
2019/11/27, 34, 7, 24, 9
2019/11/28, 24, 19, 15, 23
2019/11/29, 51, 17, 11, 18
2019/11/30, 57, 13, 22, 15
2019/12/1, 44, 13, 13, 22
2019/12/2, 44, 17, 17, 15
2019/12/3, 47, 18, 16, 16
2019/12/4, 60, 12, 24, 9
2019/12/5, 40, 3, 26, 4
2019/12/6, 7, 6, 24, 3
2019/12/7, 17, 10, 32, 1
2019/12/8, 24, 13, 27, 10
2019/12/9, 30, 7, 28, 3
2019/12/10, 18, 8, 23, 8
2019/12/11, 19, 4, 20, 7
2019/12/12, 12, 9, 27, 4
2019/12/13, 20, 8, 30, 2
2019/12/14, 18, 6, 30, 3
2019/12/15, 13, 13, 22, 15
2019/12/16, 32, 18, 3, 21
2019/12/17, 57, 8, 21, 8
2019/12/18, 27, 7, 27, 4
2019/12/19, 19, 7, 23, 14
2019/12/20, 23, 7, 23, 7
2019/12/21, 21, 6, 22, 7
2019/12/22, 19, 9, 23, 5
2019/12/23, 20, 8, 28, 4
2019/12/24, 22, 10, 24, 11
2019/12/25, 28, 12, 17, 11
2019/12/26, 42, 14, 10, 11
2019/12/27, 52, 9, 20, 5
2019/12/28, 30, , , 
2019/7/1, 13, 11, 28, 6
2019/7/2, 23, 11, 40, 7
2019/7/3, 26, 13, 44, 6
2019/7/4, 30, 11, 35, 5
2019/7/5, 23, 7, 15, 6
2019/7/6, 19, 9, 33, 6
2019/7/7, 24, 12, 32, 6
2019/7/8, 33, 14, 22, 9
2019/7/9, 32, 10, 21, 5
2019/7/10, 21, 8, 15, 4
2019/7/11, 15, 8, 24, 2
2019/7/12, 17, 9, 23, 2
2019/7/13, 29, 8, 26, 3
2019/7/14, 23, 11, 31, 5
2019/7/15, 31, 14, 42, 5
2019/7/16, 37, 16, 41, 5
2019/7/17, 39, 6, 26, 2
2019/7/18, 14, 7, 15, 2
2019/7/19, 17, 7, 23, 2
2019/7/20, 14, 6, 25, 1
2019/7/21, 14, 7, 18, 1
2019/7/22, 17, 15, 51, 5
2019/7/23, 32, 13, 35, 3
2019/7/24, 36, 20, 56, 6
2019/7/25, 39, 10, 25, 5
2019/7/26, 26, 8, 21, 7
2019/7/27, 24, 5, 19, 6
2019/7/28, 12, 7, 32, 6
2019/7/29, 15, 9, 22, 10
2019/7/30, 20, 7, 22, 5
2019/7/31, 17, 13, 28, 8
2019/8/1, 37, 11, 36, 8
2019/8/2, 28, 14, 32, 7
2019/8/3, 39, 14, 32, 6
2019/8/4, 37, 10, 26, 4
2019/8/5, 26, 6, 22, 4
2019/8/6, 16, 7, 28, 4
2019/8/7, 16, 7, 30, 7
2019/8/8, 18, 8, 23, 4
2019/8/9, 21, 9, 28, 3
2019/8/10, 19, 5, 24, 4
2019/8/11, 13, 7, 28, 8
2019/8/12, 16, 6, 30, 6
2019/8/13, 13, 5, 18, 6
2019/8/14, 12, 7, 30, 5
2019/8/15, 14, 5, 16, 5
2019/8/16, 13, 10, 30, 4
2019/8/17, 22, 9, 27, 4
2019/8/18, 22, 8, 25, 5
2019/8/19, 17, 9, 33, 5
2019/8/20, 21, 9, 24, 5
2019/8/21, 25, 8, 23, 4
2019/8/22, 22, 10, 27, 6
2019/8/23, 27, 14, 54, 9
2019/8/24, 33, 28, 61, 8
2019/8/25, 67, 22, 47, 7
2019/8/26, 61, 29, 36, 11
2019/8/27, 67, 7, 21, 5
2019/8/28, 19, 7, 26, 3
2019/8/29, 17, 10, 21, 1
2019/8/30, 25, , , 
2019/9/1, 15, 8, 27, 2
2019/9/2, 18, 10, 26, 2
2019/9/3, 25, 7, 24, 1
2019/9/4, 17, 10, 26, 4
2019/9/5, 20, 8, 23, 3
2019/9/6, 19, 7, 23, 5
2019/9/7, 19, 9, 31, 7
2019/9/8, 24, 8, 18, 6
2019/9/9, 26, 10, 21, 5
2019/9/10, 26, 8, 22, 2
2019/9/11, 16, 9, 19, 2
2019/9/12, 23, 11, 26, 8
