date, pm25, pm10, o3, no2
2020/1/2, 68, 21, 17, 15
2020/1/3, 67, 17, 23, 11
2020/1/4, 39, 27, 22, 14
2020/1/5, 70, 19, 7, 11
2020/1/6, 71, 23, 4, 13
2020/1/7, 76, 23, 13, 16
2020/1/8, 58, 23, 25, 12
2020/1/9, 54, 48, 31, 13
2020/1/10, 40, 39, 21, 20
2020/1/11, 86, 26, 12, 12
2020/1/12, 91, 23, 19, 10
2020/1/13, 56, 23, 21, 9
2020/1/14, 47, 24, 23, 13
2020/1/15, 38, 14, , 6
2019/10/1, 28, 10, 25, 5
2019/10/2, 17, 12, 24, 10
2019/10/3, 22, 16, 25, 9
2019/10/4, 30, 16, 22, 8
2019/10/5, 30, 12, 24, 5
2019/10/6, 25, 18, 22, 14
2019/10/7, 31, 20, 21, 9
2019/10/8, 22, 17, 29, 8
2019/10/9, 24, 20, 28, 11
2019/10/10, 24, 19, 29, 18
2019/10/11, 35, 15, 25, 8
2019/10/12, 32, 14, 32, 3
2019/10/13, 32, 14, 26, 8
2019/10/14, 32, 7, 29, 8
2019/10/15, 17, 7, 19, 10
2019/10/16, 17, 6, 26, 9
2019/10/17, 15, 10, 28, 13
2019/10/18, 23, 7, 22, 8
2019/10/19, 25, 3, 21, 6
2019/10/20, 19, 6, 24, 12
2019/10/21, 24, 9, 10, 9
2019/10/22, 39, 5, 14, 11
2019/10/23, 24, 8, 29, 10
2019/10/24, 21, 11, 19, 11
2019/10/25, 28, 8, 20, 10
2019/10/26, 28, 14, 13, 9
2019/10/27, 49, 19, 19, 11
2019/10/28, 62, 28, 9, 11
2019/10/29, 66, 18, 12, 9
2019/10/30, 51, 15, 25, 12
2019/10/31, 38, 6, 19, 5
2019/11/1, 24, 7, 29, 5
2019/11/2, 25, 10, 30, 4
2019/11/3, 33, 10, 30, 8
2019/11/4, 29, 9, 27, 9
2019/11/5, 23, 15, 21, 12
2019/11/6, 23, 7, 27, 14
2019/11/7, 20, 4, 25, 8
2019/11/8, 15, 9, 25, 9
2019/11/9, 22, 6, 25, 9
2019/11/10, 28, 8, 23, 6
2019/11/11, 39, 12, 22, 18
2019/11/12, 29, 12, 25, 14
2019/11/13, 32, 6, 29, 16
2019/11/14, 25, 9, 22, 14
2019/11/15, 40, 10, 21, 17
2019/11/16, 25, 14, 7, 13
2019/11/17, 49, 14, 19, 13
2019/11/18, 41, 29, 17, 19
2019/11/19, 70, 21, 11, 15
2019/11/20, 81, 10, 18, 14
2019/11/21, 40, 9, 15, 9
2019/11/22, 38, 7, 29, 8
2019/11/23, 23, 15, 20, 11
2019/11/24, 36, 10, 24, 11
2019/11/25, 30, 11, 17, 10
2019/11/26, 28, 13, 31, 5
2019/11/27, 35, 12, 30, 11
2019/11/28, 25, 16, 28, 15
2019/11/29, 36, 13, 19, 12
2019/11/30, 48, 12, 20, 11
2019/12/1, 38, 12, 15, 7
2019/12/2, 47, 19, 20, 16
2019/12/3, 59, 31, 7, 17
2019/12/4, 93, 35, 10, 12
2019/12/5, 88, 21, 9, 12
2019/12/6, 71, 14, 19, 11
2019/12/7, 44, 13, 24, 7
2019/12/8, 36, 22, 32, 5
2019/12/9, 52, , 18, 15
2019/12/10, 54, 10, 26, 10
2019/12/11, 32, 7, 30, 12
2019/12/12, 21, 13, 33, 3
2019/12/13, 33, 10, 33, 6
2019/12/14, 27, 11, 21, 10
2019/12/15, 43, 13, 21, 7
2019/12/16, 29, 23, 24, 14
2019/12/17, 37, 19, 17, 9
2019/12/18, 46, 26, 21, 6
2019/12/19, 48, 14, 29, 10
2019/12/20, 32, 13, 33, 7
2019/12/21, 33, 22, 35, 2
2019/12/22, 47, 20, 31, 15
2019/12/23, 41, 14, 20, 11
2019/12/24, 38, 10, 20, 9
2019/12/25, 34, 23, 28, 14
2019/12/26, 52, 20, 25, 11
2019/12/27, 54, 10, 20, 10
2019/12/28, 24, , , 
2019/7/1, 40, 21, 28, 5
2019/7/2, 43, 18, 50, 7
2019/7/3, 43, 17, 54, 9
2019/7/4, 47, 26, 61, 8
2019/7/5, 52, 15, 48, 4
2019/7/6, 41, 12, 42, 1
2019/7/7, 38, 18, 51, 6
2019/7/8, 45, 16, 45, 6
2019/7/9, 35, 17, 45, 7
2019/7/10, 20, 23, 47, 8
2019/7/11, 28, 13, 43, 3
2019/7/12, 27, 8, 41, 2
2019/7/13, 23, 11, 40, 3
2019/7/14, 24, 13, 37, 3
2019/7/15, 37, 23, 49, 7
2019/7/16, 34, 20, 43, 4
2019/7/17, 33, 19, 28, 3
2019/7/18, 30, 13, 32, 7
2019/7/19, 28, 10, 22, 2
2019/7/20, 22, 8, 33, 1
2019/7/21, 24, 20, 45, 7
2019/7/22, 34, 28, 54, 10
2019/7/23, 57, 32, 58, 8
2019/7/24, 60, 32, 52, 7
2019/7/25, 58, 13, 28, 7
2019/7/26, 25, 6, 24, 4
2019/7/27, 19, 11, 28, 3
2019/7/28, 21, 11, 34, 6
2019/7/29, 22, 18, 28, 4
2019/7/30, 27, 17, 37, 6
2019/7/31, 23, 11, 36, 7
2019/8/1, 21, 12, 39, 6
2019/8/2, 27, 12, 47, 5
2019/8/3, 29, 10, 38, 2
2019/8/4, 29, 44, 29, 4
2019/8/5, 24, 14, 31, 5
2019/8/6, 30, 10, 25, 4
2019/8/7, 26, 8, 36, 6
2019/8/8, 21, 15, 30, 4
2019/8/9, 25, 21, 28, 4
2019/8/10, 41, 10, 31, 3
2019/8/11, 26, 11, 30, 5
2019/8/12, 19, 13, 31, 7
2019/8/13, 24, 10, 33, 5
2019/8/14, 22, 7, 28, 2
2019/8/15, 18, 9, 33, 5
2019/8/16, 21, 7, 26, 3
2019/8/17, 19, 5, 23, 3
2019/8/18, 17, 11, 33, 4
2019/8/19, 21, 11, 32, 5
2019/8/20, 20, 9, 37, 4
2019/8/21, 18, 15, 43, 4
2019/8/22, 27, 14, 47, 11
2019/8/23, 36, 14, 58, 11
2019/8/24, 47, 17, 51, 3
2019/8/25, 50, 20, 48, 6
2019/8/26, 49, 20, 38, 6
2019/8/27, 51, 15, 37, 2
2019/8/28, 39, 10, 36, 5
2019/8/29, 28, 17, 52, 7
2019/8/30, 32, 12, 34, 4
2019/8/31, 29, 5, 27, 3
2019/9/1, 16, 33, 34, 4
2019/9/2, 18, 49, 44, 10
2019/9/3, 29, 23, 38, 7
2019/9/4, 22, 26, 30, 6
2019/9/5, 24, 20, 36, 8
2019/9/6, 20, 13, 28, 6
2019/9/7, 18, 6, 32, 3
2019/9/8, 14, 18, 33, 11
2019/9/9, 18, 9, 28, 7
2019/9/10, 21, 12, 44, 7
2019/9/11, 20, 14, 43, 6
2019/9/12, 25, 16, 42, 14
2019/9/13, 22, 17, 33, 15
2019/9/14, 36, 12, 46, 16
2019/9/15, 33, 26, 52, 14
2019/9/16, 52, 24, 52, 12
2019/9/17, 41, 14, 41, 5
2019/9/18, 23, 18, 41, 8
2019/9/19, 25, 20, 49, 11
2019/9/20, 31, 16, 35, 6
2019/9/21, 39, 9, 28, 4
2019/9/22, 23, 16, 20, 12
2019/9/23, 26, 14, 26, 9
2019/9/24, 28, 13, 24, 8
2019/9/25, 25, 19, 27, 8
2019/9/26, 39, 17, 28, 8
2019/9/27, 33, 15, 33, 8
2019/9/28, 30, 10, 26, 8
2019/9/29, 26, 11, 27, 9
2019/9/30, 21, 14, 27, 10
2019/4/1, 44, 34, 42, 6
2019/4/2, 59, 9, 39, 6
2019/4/3, 14, 7, 36, 10
2019/4/4, 13, 8, 33, 8
2019/4/5, 18, 7, 34, 7
2019/4/6, 18, 6, 37, 8
2019/4/7, 31, 10, 30, 12
2019/4/8, 30, 15, 38, 13
2019/4/9, 36, 18, 41, 8
2019/4/10, 34, 28, 37, 5
2019/4/11, 90, 30, 44, 9
2019/4/12, 87, 26, 45, 10
2019/4/13, 89, 12, 43, 5
2019/4/14, 59, 14, 38, 10
2019/4/15, 44, 12, 37, 5
2019/4/16, 26, 9, 40, 7
2019/4/17, 22, 12, 40, 8
2019/4/18, 27, 20, 53, 10
2019/4/19, 37, 12, 53, 8
2019/4/20, 40, 10, 46, 5
2019/4/21, 32, 17, 41, 5
2019/4/22, 45, 23, 39, 7
2019/4/23, 44, 9, 38, 7
2019/4/24, 10, 9, 38, 8
2019/4/25, 11, 13, 36, 5
2019/4/26, 22, 15, 40, 2
2019/4/27, 28, 14, 36, 3
