date, pm25, o3
2020/1/2, 16, 20
2020/1/3, 12, 20
2020/1/4, 31, 25
2020/1/5, 23, 28
2020/1/6, 16, 27
2020/1/7, 24, 29
2020/1/8, 22, 32
2020/1/9, 28, 31
2020/1/10, 36, 25
2020/1/11, 21, 15
2020/1/12, 16, 18
2020/1/13, 22, 21
2020/1/14, 32, 21
2020/1/15, 27, 18
2020/1/16, 42, 
2019/10/1, 53, 46
2019/10/2, 45, 43
2019/10/3, 46, 36
2019/10/4, 16, 46
2019/10/5, 24, 32
2019/10/6, 38, 29
2019/10/7, 16, 34
2019/10/8, 19, 24
2019/10/9, 21, 35
2019/10/10, 34, 40
2019/10/11, 31, 30
2019/10/12, 12, 38
2019/10/13, 30, 42
2019/10/14, 35, 33
2019/10/15, 32, 27
2019/10/16, 23, 27
2019/10/17, 20, 33
2019/10/18, 22, 36
2019/10/19, 30, 34
2019/10/20, 31, 30
2019/10/21, 24, 31
2019/10/22, 17, 31
2019/10/23, 20, 37
2019/10/24, 23, 23
2019/10/25, 33, 23
2019/10/26, 18, 33
2019/10/27, 23, 24
2019/10/28, 24, 24
2019/10/29, 36, 17
2019/10/30, 24, 24
2019/10/31, 24, 26
2019/11/1, 22, 28
2019/11/2, 27, 30
2019/11/3, 23, 33
2019/11/4, 30, 29
2019/11/5, 35, 20
2019/11/6, 26, 19
2019/11/7, 26, 25
2019/11/8, 24, 27
2019/11/9, 27, 33
2019/11/10, 37, 29
2019/11/11, 35, 24
2019/11/12, 20, 24
2019/11/13, 24, 30
2019/11/14, 41, 23
2019/11/15, 40, 25
2019/11/16, 40, 24
2019/11/17, 40, 20
2019/11/18, 48, 20
2019/11/19, 40, 20
2019/11/20, 33, 29
2019/11/21, 38, 21
2019/11/22, 28, 14
2019/11/23, 15, 26
2019/11/24, 26, 30
2019/11/25, 33, 27
2019/11/26, 37, 25
2019/11/27, 26, 18
2019/11/28, 24, 13
2019/11/29, 25, 21
2019/11/30, 27, 25
2019/12/1, 17, 24
2019/12/2, 22, 23
2019/12/3, 28, 29
2019/12/4, 28, 27
2019/12/5, 30, 25
2019/12/6, 40, 25
2019/12/7, 39, 29
2019/12/8, 44, 26
2019/12/9, 43, 23
2019/12/10, 30, 23
2019/12/11, 26, 28
2019/12/12, 21, 23
2019/12/13, 19, 21
2019/12/14, 34, 18
2019/12/15, 38, 13
2019/12/16, 21, 25
2019/12/17, 27, 21
2019/12/18, 43, 23
2019/12/19, 42, 21
2019/12/20, 33, 24
2019/12/21, 36, 21
2019/12/22, 33, 28
2019/12/23, 27, 29
2019/12/24, 37, 27
2019/12/26, 28, 21
2019/12/27, 27, 16
2019/12/28, 19, 
2019/7/1, 34, 41
2019/7/2, 50, 32
2019/7/3, 41, 30
2019/7/4, 33, 27
2019/7/5, 37, 32
2019/7/6, 44, 31
2019/7/7, 45, 32
2019/7/8, 48, 33
2019/7/9, 51, 36
2019/7/10, 53, 42
2019/7/11, 59, 39
2019/7/12, 43, 40
2019/7/13, 37, 28
2019/7/14, 34, 18
2019/7/15, 44, 22
2019/7/16, 37, 22
2019/7/17, 33, 30
2019/7/18, 40, 29
2019/7/19, 49, 31
2019/7/20, 42, 24
2019/7/21, 32, 25
2019/7/22, 28, 33
2019/7/23, 33, 38
2019/7/24, 34, 40
2019/7/25, 41, 46
2019/7/26, 40, 42
2019/7/27, 47, 36
2019/7/28, 56, 37
2019/7/29, 51, 31
2019/7/30, 31, 37
2019/7/31, 36, 38
2019/8/1, 45, 33
2019/8/2, 46, 37
2019/8/3, 30, 27
2019/8/4, 35, 41
2019/8/5, 42, 38
2019/8/6, 45, 36
2019/8/7, 34, 39
2019/8/8, 55, 42
2019/8/9, 55, 35
2019/8/10, 52, 40
2019/8/11, 54, 37
2019/8/12, 57, 40
2019/8/13, 32, 37
2019/8/14, 35, 35
2019/8/15, 36, 38
2019/8/16, 40, 39
2019/8/17, 49, 37
2019/8/18, 45, 43
2019/8/19, 52, 38
2019/8/20, 42, 38
2019/8/21, 34, 35
2019/8/22, 35, 26
2019/8/23, 34, 35
2019/8/24, 28, 25
2019/8/25, 38, 19
2019/8/26, 20, 21
2019/8/27, 25, 36
2019/8/28, 27, 35
2019/8/29, 32, 45
2019/8/30, 35, 39
2019/8/31, 36, 37
2019/9/1, 44, 34
2019/9/2, 37, 39
2019/9/3, 34, 39
2019/9/4, 51, 39
2019/9/5, 31, 39
2019/9/6, 41, 31
2019/9/7, 30, 31
2019/9/8, 35, 43
2019/9/9, 36, 44
2019/9/10, 49, 43
2019/9/11, 56, 41
2019/9/12, 65, 43
2019/9/13, 72, 42
2019/9/14, 75, 44
2019/9/15, 84, 47
2019/9/16, 57, 45
2019/9/17, 46, 48
2019/9/18, 38, 48
2019/9/19, 50, 46
2019/9/20, 46, 47
2019/9/21, 39, 40
2019/9/22, 33, 36
2019/9/23, 36, 37
2019/9/24, 19, 43
2019/9/25, 37, 34
2019/9/26, 42, 47
2019/9/27, 46, 43
2019/9/28, 54, 40
2019/9/29, 58, 47
2019/9/30, 65, 39
2019/4/1, 19, 44
2019/4/2, 31, 48
2019/4/3, 52, 47
2019/4/4, 55, 35
2019/4/5, 38, 40
2019/4/6, 29, 36
2019/4/7, 30, 34
2019/4/8, 24, 43
2019/4/9, 20, 45
2019/4/10, 26, 40
2019/4/11, 36, 37
2019/4/12, 33, 34
2019/4/13, 30, 37
2019/4/14, 26, 39
2019/4/15, 24, 45
2019/4/16, 29, 47
2019/4/17, 40, 40
2019/4/18, 41, 27
2019/4/19, 8, 29
2019/4/20, 20, 41
2019/4/21, 25, 44
2019/4/22, 31, 43
2019/4/23, 41, 42
2019/4/24, 38, 39
2019/4/25, 32, 45
2019/4/26, 32, 41
2019/4/27, 29, 35
2019/4/28, 36, 45
2019/4/29, 42, 42
2019/4/30, 50, 37
2019/5/1, 50, 27
2019/5/2, 31, 30
2019/5/3, 22, 26
2019/5/4, 26, 27
2019/5/5, 25, 44
2019/5/6, 27, 46
2019/5/7, 35, 44
2019/5/8, 45, 35
2019/5/9, 35, 18
2019/5/10, 37, 21
2019/5/11, 29, 19
2019/5/12, 25, 32
2019/5/13, 34, 43
2019/5/14, 32, 38
2019/5/15, 41, 44
2019/5/16, 44, 45
2019/5/17, 52, 41
2019/5/18, 58, 37
2019/5/19, 45, 35
2019/5/20, 22, 36
2019/5/21, 39, 33
2019/5/22, 48, 33
2019/5/23, 40, 35
2019/5/24, 42, 39
2019/5/25, 44, 36
2019/5/26, 42, 39
2019/5/27, 46, 35
2019/5/28, 49, 29
2019/5/29, 31, 28
2019/5/30, 28, 39
2019/5/31, 34, 45
2019/6/1, 42, 47
2019/6/2, 50, 40
2019/6/3, 34, 50
2019/6/4, 44, 43
2019/6/5, 63, 32
2019/6/6, 30, 27
2019/6/7, 17, 30
2019/6/8, 26, 23
2019/6/9, 21, 33
2019/6/10, 31, 30
2019/6/11, 23, 35
2019/6/12, 36, 38
2019/6/13, 40, 41
2019/6/14, 34, 45
2019/6/15, 54, 32
2019/6/16, 71, 30
2019/6/17, 44, 22
2019/6/18, 16, 36
2019/6/19, 25, 38
2019/6/20, 27, 38
2019/6/21, 36, 29
2019/6/22, 24, 25
2019/6/23, 32, 34
2019/6/24, 26, 39
2019/6/25, 33, 41
2019/6/26, 44, 40
2019/6/27, 23, 39
2019/6/28, 37, 44
2019/6/29, 51, 43
2019/6/30, 57, 39
2019/1/1, 23, 16
2019/1/2, 40, 13
2019/1/3, 42, 13
2019/1/4, 27, 22
2019/1/5, 32, 28
2019/1/6, 34, 31
2019/1/7, 27, 31
2019/1/8, 28, 28
2019/1/9, 18, 20
2019/1/10, 29, 21
2019/1/11, 33, 21
2019/1/12, 32, 17
2019/1/13, 33, 22
2019/1/14, 49, 30
2019/1/15, 46, 17
2019/1/16, 53, 19
2019/1/17, 34, 22
2019/1/18, 33, 22
2019/1/19, 21, 32
2019/1/20, 25, 28
2019/1/21, 20, 31
2019/1/22, 21, 29
2019/1/23, 20, 30
2019/1/24, 39, 30
2019/1/25, 24, 29
2019/1/26, 25, 30
2019/1/27, 31, 34
2019/1/28, 33, 30
2019/1/29, 30, 31
2019/1/30, 19, 28
2019/1/31, 19, 27
2019/2/1, 37, 33
2019/2/2, 43, 38
2019/2/3, 44, 26
2019/2/4, 41, 23
2019/2/5, 41, 23
2019/2/6, 25, 24
2019/2/7, 25, 28
2019/2/8, 30, 28
2019/2/9, 22, 23
2019/2/10, 25, 19
2019/2/11, 22, 25
2019/2/12, 21, 33
2019/2/13, 19, 31
2019/2/14, 17, 29
2019/2/15, 35, 27
2019/2/16, 30, 20
2019/2/17, 31, 30
2019/2/18, 40, 25
2019/2/19, 32, 22
2019/2/20, 15, 29
2019/2/21, 32, 24
2019/2/22, 29, 20
2019/2/23, 14, 37
2019/2/24, 26, 34
2019/2/25, 25, 38
2019/2/26, 22, 39
2019/2/27, 39, 18
2019/2/28, 37, 18
2019/3/1, 30, 24
2019/3/2, 58, 30
2019/3/3, 42, 31
2019/3/4, 27, 35
2019/3/5, 26, 35
2019/3/6, 34, 36
2019/3/7, 35, 27
2019/3/8, 38, 27
2019/3/9, 27, 36
2019/3/10, 30, 38
2019/3/11, 29, 38
2019/3/12, 22, 45
2019/3/13, 30, 39
2019/3/14, 45, 36
2019/3/15, 28, 38
2019/3/16, 25, 42
2019/3/17, 26, 41
2019/3/18, 23, 44
2019/3/19, 31, 47
2019/3/20, 36, 36
2019/3/21, 46, 43
2019/3/22, 34, 43
2019/3/23, 23, 43
2019/3/24, 45, 38
2019/3/25, 46, 39
2019/3/26, 19, 40
2019/3/27, 24, 49
2019/3/28, 48, 42
2019/3/29, 55, 36
2019/3/30, 38, 37
2019/3/31, 26, 37
2018/10/1, 37, 23
2018/10/2, 32, 33
2018/10/3, 35, 32
2018/10/4, 51, 33
2018/10/5, 45, 31
2018/10/6, 51, 36
2018/10/7, 57, 30
2018/10/8, 54, 29
2018/10/9, 31, 20
2018/10/10, 21, 21
2018/10/11, 22, 30
2018/10/12, 16, 24
2018/10/13, 22, 24
2018/10/14, 29, 18
2018/10/15, 28, 12
2018/10/16, 23, 28
2018/10/17, 28, 31
2018/10/18, 19, 36
2018/10/19, 28, 31
2018/10/20, 28, 26
2018/10/21, 15, 26
2018/10/22, 20, 36
2018/10/23, 34, 27
2018/10/24, 24, 24
2018/10/25, 27, 20
2018/10/26, 17, 24
2018/10/27, 37, 33
2018/10/28, 33, 32
2018/10/29, 27, 35
2018/10/30, 29, 33
2018/10/31, 43, 31
2018/11/1, 24, 23
2018/11/2, 23, 28
2018/11/3, 31, 28
2018/11/4, 28, 29
2018/11/5, 19, 27
2018/11/6, 26, 19
2018/11/7, 23, 16
2018/11/8, 22, 22
2018/11/9, 30, 23
2018/11/10, 27, 28
2018/11/11, 27, 18
2018/11/12, 39, 12
2018/11/13, 43, 17
2018/11/14, 25, 16
2018/11/15, 30, 27
2018/11/16, 36, 32
2018/11/17, 38, 40
2018/11/18, 52, 22
2018/11/19, 53, 17
2018/11/20, 45, 22
2018/11/21, 50, 31
2018/11/22, 41, 27
2018/11/23, 29, 25
2018/11/24, 31, 27
2018/11/25, 24, 16
2018/11/26, 26, 20
2018/11/27, 31, 18
2018/11/28, 19, 22
2018/11/29, 36, 18
2018/11/30, 31, 27
2018/12/1, 16, 31
2018/12/2, 27, 16
2018/12/3, 22, 17
2018/12/4, 20, 27
2018/12/5, 24, 23
2018/12/6, 30, 17
2018/12/7, 38, 20
2018/12/8, 32, 19
2018/12/9, 35, 23
2018/12/10, 44, 24
2018/12/11, 41, 30
2018/12/12, 30, 31
2018/12/13, 28, 24
2018/12/14, 24, 23
2018/12/15, 19, 19
2018/12/16, 31, 25
2018/12/17, 29, 21
2018/12/18, 27, 28
2018/12/19, 31, 26
2018/12/20, 26, 23
2018/12/21, 25, 21
2018/12/22, 26, 18
2018/12/23, 32, 22
2018/12/24, 26, 27
2018/12/25, 24, 26
2018/12/26, 31, 30
2018/12/27, 28, 27
2018/12/28, 25, 16
2018/12/29, 29, 19
2018/12/30, 30, 
2018/7/1, 44, 28
2018/7/2, 41, 24
2018/7/3, 34, 28
2018/7/4, 39, 30
2018/7/5, 44, 36
2018/7/6, 39, 35
2018/7/7, 33, 30
2018/7/8, 39, 34
2018/7/9, 40, 38
2018/7/10, 49, 41
2018/7/11, 57, 41
2018/7/12, 61, 43
2018/7/13, 62, 46
2018/7/14, 61, 25
2018/7/15, 44, 35
2018/7/16, 41, 37
2018/7/17, 43, 42
2018/7/18, 34, 43
2018/7/19, 37, 42
2018/7/20, 56, 39
2018/7/21, 29, 29
2018/7/22, 39, 32
2018/7/23, 36, 31
2018/7/24, 54, 42
2018/7/25, 60, 39
2018/7/26, 48, 37
2018/7/27, 40, 32
2018/7/28, 36, 35
2018/7/29, 34, 32
2018/7/30, 45, 34
2018/7/31, 47, 36
2018/8/1, 46, 36
2018/8/2, 46, 41
2018/8/3, 37, 40
2018/8/4, 38, 33
2018/8/5, 37, 34
2018/8/6, 37, 33
2018/8/7, 41, 28
2018/8/8, 34, 33
2018/8/9, 38, 29
2018/8/10, 34, 37
2018/8/11, 57, 33
2018/8/12, 56, 34
2018/8/13, 59, 45
2018/8/14, 72, 30
2018/8/15, 101, 26
2018/8/16, 78, 33
2018/8/17, 48, 32
2018/8/18, 37, 32
2018/8/19, 38, 28
2018/8/20, 39, 29
2018/8/21, 29, 30
2018/8/22, 63, 31
2018/8/23, 42, 37
2018/8/24, 52, 41
2018/8/25, 63, 32
2018/8/26, 65, 40
2018/8/27, 62, 36
2018/8/28, 60, 32
2018/8/29, 50, 28
2018/8/30, 28, 27
2018/8/31, 29, 26
2018/9/1, 24, 23
2018/9/2, 33, 22
2018/9/3, 30, 25
2018/9/4, 32, 25
2018/9/5, 38, 26
2018/9/6, 29, 28
2018/9/7, 29, 24
2018/9/8, 32, 15
2018/9/9, 17, 15
2018/9/10, 17, 21
2018/9/11, 21, 20
2018/9/12, 30, 26
2018/9/13, 31, 44
2018/9/14, 46, 27
2018/9/15, 40, 16
2018/9/16, 17, 21
2018/9/17, 21, 38
2018/9/18, 45, 46
2018/9/19, 66, 41
2018/9/20, 59, 38
2018/9/21, 55, 14
2018/9/22, 22, 10
2018/9/23, 16, 21
2018/9/24, 30, 18
2018/9/25, 25, 19
2018/9/26, 24, 
2018/9/27, 23, 
2018/9/28, 23, 
2018/9/29, 35, 
2018/9/30, 33, 17
2018/4/1, 29, 26
2018/4/2, 22, 28
