date, pm25, o3, no2, so2, co
2020/1/2, 25, 21, 8, , 3
2020/1/3, 39, 23, 3, , 2
2020/1/4, 15, 26, 1, , 2
2020/1/5, 10, 28, 2, , 2
2020/1/6, 18, 25, 13, , 2
2020/1/7, 34, 27, 2, , 2
2020/1/8, 19, 24, 16, , 2
2020/1/9, 22, 22, 10, , 3
2020/1/10, 33, 22, 7, , 2
2020/1/11, 13, 27, 2, , 2
2020/1/12, 15, 11, 23, , 3
2020/1/13, 58, 14, 16, , 2
2020/1/14, 48, 20, 8, , 2
2020/1/15, 28, 4, 19, , 2
2020/1/16, 43, , , , 
2019/10/1, 24, 17, 2, , 2
2019/10/2, 9, 13, 10, , 2
2019/10/3, 16, 21, 3, , 2
2019/10/4, 16, 23, 7, , 
2019/10/5, 15, 27, 4, , 
2019/10/6, 24, 23, 7, , 2
2019/10/7, 21, 21, 14, , 3
2019/10/8, 23, 20, 15, , 3
2019/10/9, 30, 18, 14, , 2
2019/10/10, 33, 25, 14, , 2
2019/10/11, 32, 24, 3, , 1
2019/10/12, 16, 30, 7, 1, 1
2019/10/13, 18, 22, 2, , 1
2019/10/14, 13, 22, 7, , 2
2019/10/15, 24, 23, 7, , 2
2019/10/16, 27, 21, 1, , 1
2019/10/17, 10, 23, 3, , 2
2019/10/18, 13, 18, 13, , 3
2019/10/19, 35, 20, 13, , 4
2019/10/20, 47, 26, 15, , 4
2019/10/21, 54, 27, 5, , 2
2019/10/22, 22, 26, 4, , 2
2019/10/23, 16, 23, 6, , 2
2019/10/24, 22, 13, 12, , 2
2019/10/25, 20, 23, 9, , 2
2019/10/26, 23, 22, 3, , 2
2019/10/27, 13, 24, 10, 1, 3
2019/10/28, 30, 21, 16, , 4
2019/10/29, 48, 14, 6, , 2
2019/10/30, 19, 12, 6, , 2
2019/10/31, 12, 22, 2, , 1
2019/11/1, 12, 17, 10, , 2
2019/11/2, 34, 23, 3, , 2
2019/11/3, 17, 25, 10, , 2
2019/11/4, 29, 23, 4, , 2
2019/11/5, 21, 24, 5, , 2
2019/11/6, 19, 23, 5, , 2
2019/11/7, 14, 20, 6, , 2
2019/11/8, 15, 20, 7, 1, 2
2019/11/9, 23, 18, 5, , 2
2019/11/10, 38, 20, 7, , 1
2019/11/11, 17, 24, 4, , 1
2019/11/12, 11, 18, 16, , 2
