date, pm10, o3, no2, so2
2020/1/2, 5, 9, 33, 4
2020/1/3, 10, 3, 32, 3
2020/1/4, 26, 12, 8, 2
2020/1/5, 16, 14, 17, 2
2020/1/6, 2, 7, 26, 3
2020/1/7, 10, , 30, 3
2020/1/8, 10, , 36, 3
2020/1/9, 43, 7, 32, 3
2020/1/10, 51, 10, 29, 4
2020/1/11, 47, 9, 27, 4
2020/1/12, 33, 3, 27, 2
2020/1/13, 35, 3, 28, 3
2020/1/14, 24, 3, 30, 3
2020/1/15, 27, 2, 31, 4
2020/1/16, 33, , , 
2019/11/27, 30, 2, 26, 4
2019/11/28, 28, 4, 25, 4
2019/11/29, 35, 5, 23, 3
2019/11/30, 12, 7, 19, 3
2019/12/1, 9, 11, 14, 3
2019/12/2, 20, 6, 18, 3
2019/12/3, 18, 10, 15, 3
2019/12/4, 30, 5, 22, 3
2019/12/5, 37, 5, 30, 4
2019/12/6, 59, 3, 37, 5
2019/12/7, 69, 2, 39, 4
2019/12/8, 72, 5, 24, 3
2019/12/9, 52, 2, 23, 4
2019/12/10, 58, 2, 28, 6
2019/12/11, 66, 3, 32, 6
2019/12/12, 32, 7, 22, 3
2019/12/13, 16, 8, 20, 3
2019/12/14, 9, 5, 25, 4
2019/12/15, 12, 12, 18, 3
2019/12/16, 26, 4, 32, 5
2019/12/17, 60, 2, 41, 7
2019/12/18, 57, 2, 51, 9
2019/12/19, 54, 2, 45, 6
2019/12/20, 47, 2, 34, 4
2019/12/21, 30, 6, 18, 3
2019/12/22, 7, 11, 13, 3
2019/12/23, 2, 7, 20, 3
2019/12/24, 1, 9, 8, 2
2019/12/25, 1, 9, 7, 2
2019/12/26, 1, 12, 7, 2
2019/12/27, 2, 12, 8, 2
2019/12/28, 1, 10, 6, 2
2018/11/29, 16, , 6, 2
2018/11/30, 24, , 25, 2
2018/12/1, 37, , 33, 2
2018/12/2, 36, , 26, 2
2018/12/3, 38, , 54, 8
2018/12/4, 51, , 53, 7
2018/12/5, 37, , 24, 2
2018/12/6, 6, , 20, 2
2018/12/7, 10, , 28, 4
2018/12/8, 22, , 26, 3
2018/7/1, 23, 21, 12, 3
2018/7/2, 22, 20, 13, 3
2018/7/3, 25, 24, 15, 3
2018/7/4, 26, 28, 17, 3
2018/4/1, 14, 37, 9, 2
2018/4/2, 14, 35, 25, 2
2018/5/23, 387, 35, 20, 3
2018/5/24, 70, 31, 27, 3
2018/5/25, 30, 31, 19, 3
2018/5/26, 15, 25, 8, 3
2018/5/27, 8, 33, 9, 3
2018/5/28, 8, 32, 17, 3
2018/5/29, 13, 30, 22, 3
2018/5/30, 15, 32, 26, 3
2018/5/31, 37, 33, 18, 3
2018/6/1, 39, 27, 17, 3
2018/6/2, 33, 31, 11, 3
2018/6/3, 31, 24, 18, 3
