date, pm25, pm10, o3, no2
2020/1/2, 48, 15, 23, 7
2020/1/3, 24, 20, 22, 7
2020/1/4, 14, 14, 19, 12
2020/1/5, 34, 14, 19, 10
2020/1/6, 35, 22, 15, 12
2020/1/7, 53, 11, 15, 10
2020/1/8, 22, 10, 14, 7
2020/1/9, 25, 11, 26, 12
2020/1/10, 13, 12, 20, 10
2020/1/11, 32, 13, 23, 5
2020/1/12, 18, 17, 19, 8
2020/1/13, 24, 6, 22, 5
2020/1/14, 10, 17, 25, 8
2020/1/15, 13, 14, 11, 12
2020/1/16, 30, , , 
2019/10/1, 15, 8, 21, 7
2019/10/2, 4, 11, 16, 11
2019/10/3, 12, 14, 17, 8
2019/10/4, 19, 13, 17, 7
2019/10/5, 27, 10, 8, 8
2019/10/6, 23, 18, 12, 9
2019/10/7, 44, 17, 14, 9
2019/10/8, 23, 15, 19, 8
2019/10/9, 17, 13, 16, 8
2019/10/10, 13, 10, 16, 7
2019/10/11, 14, 12, 18, 8
2019/10/12, 20, 18, 22, 5
2019/10/13, 32, 20, 17, 11
2019/10/14, 26, 14, 18, 10
2019/10/15, 17, 9, 13, 8
2019/10/16, 14, 12, 17, 10
2019/10/17, 21, 10, 22, 6
2019/10/18, 14, 13, 18, 6
2019/10/19, 15, 18, 12, 10
2019/10/20, 36, 10, 14, 7
2019/10/21, 17, 15, 17, 10
2019/10/22, 24, 29, 6, 13
2019/10/23, 51, 23, 15, 10
2019/10/24, 40, 11, 17, 7
2019/10/25, 13, 8, 19, 4
2019/10/26, 9, 12, 22, 7
2019/10/27, 13, 19, 15, 15
2019/10/28, 26, 15, 21, 15
2019/10/29, 19, 25, 9, 13
2019/10/30, 53, 28, 8, 17
2019/10/31, 62, 20, 6, 12
2019/11/1, 44, 12, 21, 3
2019/11/2, 8, 9, 15, 5
2019/11/3, 9, 12, 13, 10
2019/11/4, 15, 18, 11, 14
2019/11/5, 26, 16, 16, 13
2019/11/6, 25, 15, 12, 10
2019/11/7, 27, 18, 9, 14
2019/11/8, 31, 22, 14, 14
2019/11/9, 43, 27, 12, 13
2019/11/10, 58, 15, 15, 9
2019/11/11, 32, 11, 17, 9
2019/11/12, 12, 12, 14, 12
2019/11/13, 17, 12, 11, 11
2019/11/14, 16, 24, 7, 13
2019/11/15, 56, 19, 7, 14
2019/11/16, 43, 24, 7, 11
2019/11/17, 58, 17, 19, 12
2019/11/18, 41, 13, 19, 16
2019/11/19, 14, 31, 7, 21
2019/11/20, 70, 39, 3, 15
2019/11/21, 81, 18, 13, 13
2019/11/22, 45, 19, 3, 13
2019/11/23, 46, 28, 2, 15
2019/11/24, 65, 19, 10, 12
2019/11/25, 41, 12, 13, 7
2019/11/26, 20, 8, 17, 6
2019/11/27, 7, 9, 17, 8
