date, pm10, no2, so2
2020/1/2, 27, 4, 1
2020/1/3, 17, 2, 1
2020/1/4, 9, 4, 1
2020/1/5, 13, 6, 1
2020/1/6, 16, 8, 
2020/1/7, 14, 7, 2
2020/1/8, 12, 5, 
2020/1/9, 11, 3, 
2020/1/10, 7, 5, 1
2020/1/11, 7, 4, 4
2020/1/12, 9, 6, 1
2020/1/13, 7, 3, 
2020/1/14, 8, 3, 
2020/1/15, 4, 4, 
2020/1/16, 7, , 
2019/10/1, 7, 3, 
2019/10/2, 5, 4, 
2019/10/3, 4, 6, 
2019/10/4, 9, 4, 
2019/10/5, 7, 5, 
2019/10/6, 6, 6, 
2019/10/7, 8, 4, 
2019/10/8, 9, 4, 1
2019/10/9, 11, 4, 
2019/10/10, 9, 4, 1
2019/10/11, 8, 2, 
2019/10/12, 6, 3, 
2019/10/13, 8, 5, 
2019/10/14, 10, 7, 
2019/10/15, 13, 5, 
2019/10/16, 19, 3, 
2019/10/17, 8, 3, 
2019/10/18, 7, 3, 
2019/10/19, 6, 4, 
2019/10/20, 10, 5, 1
2019/10/21, 9, 5, 1
2019/10/22, 10, 6, 
2019/10/23, 14, 5, 
2019/10/24, 21, 4, 
2019/10/25, 14, 2, 1
2019/10/26, 6, 1, 1
2019/10/27, 6, 4, 1
2019/10/28, 8, 8, 
2019/10/29, 6, 10, 
2019/10/30, 8, 9, 
2019/10/31, 13, 7, 
2019/11/1, 19, 4, 
2019/11/2, 12, 5, 
2019/11/3, 3, 5, 
2019/11/4, 8, 7, 
2019/11/5, 11, 6, 
2019/11/6, 7, 6, 
2019/11/7, 7, 7, 1
2019/11/8, 8, 6, 
2019/11/9, 12, 6, 
2019/11/10, 16, 6, 
2019/11/11, 11, 4, 
2019/11/12, 8, 6, 
2019/11/13, 6, 9, 
2019/11/14, 11, 10, 
2019/11/15, 15, 8, 2
2019/11/16, 20, 9, 1
2019/11/17, 14, 7, 
2019/11/18, 15, 5, 
2019/11/19, 7, 11, 
2019/11/20, 12, 12, 
2019/11/21, 12, 9, 
2019/11/22, 15, 6, 1
2019/11/23, 17, 6, 
2019/11/24, 23, 6, 
2019/11/25, 28, 9, 1
2019/11/26, 20, 7, 
2019/11/27, 10, 3, 1
2019/11/28, 6, 5, 1
2019/11/29, 6, 5, 
2019/11/30, 7, 9, 1
2019/12/1, 11, 6, 1
2019/12/2, 13, 5, 
2019/12/3, 8, 12, 1
2019/12/4, 21, 14, 2
2019/12/5, 21, 8, 1
2019/12/6, 19, 3, 1
2019/12/7, 7, 3, 1
2019/12/8, 7, 3, 1
2019/12/9, 7, 5, 
2019/12/10, 11, 5, 1
2019/12/11, 9, 8, 1
2019/12/12, 14, 6, 
2019/12/13, 11, 7, 
2019/12/14, 12, 2, 
2019/12/15, 7, 6, 
2019/12/16, 9, 9, 
2019/12/17, 10, 6, 
2019/12/18, 8, 11, 
2019/12/19, 12, 10, 1
2019/12/20, 13, 4, 1
2019/12/21, 8, 6, 
2019/12/22, 9, 4, 
2019/12/23, 10, 5, 
2019/12/24, 8, 5, 
2019/12/25, 11, 5, 
2019/12/26, 5, 7, 
2019/12/27, 7, 8, 
2019/12/28, 7, , 
2019/7/1, 17, 2, 
2019/7/2, 9, 2, 
2019/7/3, 8, 3, 1
2019/7/4, 9, 2, 1
2019/7/5, 9, 2, 
2019/7/6, 10, 1, 
2019/7/7, 8, 2, 
2019/7/8, 6, 2, 1
2019/7/9, 6, 3, 
2019/7/10, 6, 4, 1
2019/7/11, 10, 3, 
2019/7/12, 15, 3, 
2019/7/13, 13, 2, 
2019/7/14, 9, 1, 
2019/7/15, 9, 1, 1
2019/7/16, 8, 2, 
2019/7/17, 9, 5, 1
2019/7/18, 10, 4, 
2019/7/19, 18, 4, 
2019/7/20, 8, 2, 
2019/7/21, 11, 4, 1
2019/7/22, 9, 3, 
2019/7/23, 11, 6, 
2019/7/24, 14, 9, 
2019/7/25, 19, 6, 
2019/7/26, 17, 3, 1
2019/7/27, 15, , 
2019/7/29, 23, 4, 1
2019/7/30, 11, 4, 
2019/7/31, 12, 4, 1
2019/8/1, 10, 6, 
2019/8/2, 12, 4, 
2019/8/3, 15, 4, 
2019/8/4, 8, 6, 
2019/8/5, 10, 5, 
2019/8/6, 20, 4, 
2019/8/7, 10, 3, 1
