date, pm25, pm10, so2, co
2020/1/2, 39, , , 5
2020/1/3, 55, , , 5
2020/1/4, 52, , , 1
2020/1/5, 11, , , 2
2020/1/6, 30, , , 2
2020/1/7, 31, , , 
2020/1/8, 33, , , 
2020/1/9, 14, , , 
2020/1/10, 35, , , 
2020/1/11, 44, , , 
2020/1/12, 25, , , 
2020/1/13, 29, , , 
2020/1/14, 47, , , 
2020/1/15, 53, , , 
2020/1/16, 69, , , 
2019/10/1, 31, , , 3
2019/10/2, 38, , , 1
2019/10/3, 18, , , 1
2019/10/4, 11, , , 2
2019/10/5, 14, , , 2
2019/10/6, 24, , , 2
2019/10/7, 29, , , 1
2019/10/8, 19, , , 1
2019/10/9, 23, , , 1
2019/10/10, 15, , , 1
2019/10/11, 16, , , 2
2019/10/12, 14, , , 3
2019/10/13, 32, , , 3
2019/10/14, 41, , , 3
2019/10/15, 28, , , 2
2019/10/16, 39, , , 1
2019/10/17, 7, , , 1
2019/10/18, 11, , , 3
2019/10/19, 29, , , 3
2019/10/20, 45, , , 3
2019/10/21, 34, , , 2
2019/10/22, 24, , , 1
2019/10/23, 14, , , 4
2019/10/24, 25, , , 4
2019/10/25, 39, , , 2
2019/10/26, 28, , , 1
2019/10/27, 19, , , 2
2019/10/28, 15, , , 2
2019/10/29, 15, , , 2
2019/10/30, 15, , , 2
2019/10/31, 40, , , 1
2019/11/1, 15, , , 4
2019/11/2, 35, , , 2
2019/11/3, 34, , , 3
2019/11/4, 26, , , 5
2019/11/5, 41, , , 3
2019/11/6, 37, , , 3
2019/11/7, 42, , , 1
2019/11/8, 10, , , 3
2019/11/9, 19, , , 3
2019/11/10, 43, , , 6
2019/11/11, 62, , , 2
2019/11/12, 31, , , 1
2019/11/13, 13, , , 3
2019/11/14, 33, , , 4
2019/11/15, 55, , , 1
2019/11/16, 18, , , 1
2019/11/17, 20, , , 1
2019/11/18, 22, , , 2
2019/11/19, 15, , , 1
2019/11/20, 25, , , 2
2019/11/21, 29, , , 3
2019/11/22, 41, , , 3
2019/11/23, 23, , , 1
2019/11/24, 17, , , 4
2019/11/25, 62, , , 10
2019/11/26, 67, , , 6
2019/11/27, 65, , , 1
2019/11/28, 8, , , 1
2019/11/29, 10, , , 1
2019/11/30, 15, , , 1
2019/12/1, 27, , , 1
2019/12/2, 10, , , 1
2019/12/3, 15, , , 3
2019/12/4, 41, , , 2
2019/12/5, 31, , , 2
2019/12/6, 26, , , 1
2019/12/7, 19, , , 3
2019/12/8, 29, , , 4
2019/12/9, 38, , , 3
2019/12/10, 39, , , 2
2019/12/11, 21, , , 2
2019/12/12, 26, , , 3
2019/12/13, 40, , , 2
2019/12/14, 15, , , 1
2019/12/15, 14, , , 2
2019/12/16, 23, , , 2
2019/12/17, 25, , , 2
2019/12/18, 26, , , 1
2019/12/19, 21, , , 1
2019/12/20, 23, , , 4
2019/12/21, 39, , , 6
2019/12/22, 97, , , 6
2019/12/23, 78, , , 2
2019/12/24, 34, , , 4
2019/12/25, 50, , , 3
2019/12/26, 52, , , 3
2019/12/27, 40, , , 3
2019/12/28, 51, , , 
2019/7/1, 29, , , 2
2019/7/2, 29, , , 3
2019/7/3, 49, , , 4
2019/7/4, 60, , , 3
2019/7/5, 59, , , 3
2019/7/6, 43, , , 2
2019/7/7, 45, , , 3
2019/7/8, 44, , , 3
2019/7/9, 49, , , 3
2019/7/10, 47, , , 3
2019/7/11, 43, , , 2
2019/7/12, 30, , , 4
2019/7/13, 39, , , 2
2019/7/14, 39, , , 2
2019/7/15, 24, , , 4
2019/7/16, 39, , , 3
2019/7/17, 54, , , 2
2019/7/18, 29, , , 4
2019/7/19, 47, , , 3
2019/7/20, 50, , , 2
2019/7/21, 38, , , 1
2019/7/22, 26, , , 1
2019/7/23, 14, , , 2
2019/7/24, 30, , , 3
2019/7/25, 32, , , 3
2019/7/26, 45, , , 3
2019/7/27, 39, , , 4
2019/7/28, 51, , , 4
2019/7/29, 53, , , 4
2019/7/30, 67, , , 3
2019/7/31, 54, , , 3
2019/8/1, 34, , , 3
2019/8/2, 33, , , 3
2019/8/3, 35, , , 1
2019/8/4, 32, , , 2
2019/8/5, 29, , , 3
2019/8/6, 43, , 1, 3
2019/8/7, 41, , , 3
2019/8/8, 39, , , 2
2019/8/9, 27, , , 1
2019/8/10, 18, , , 2
2019/8/11, 19, , , 3
2019/8/12, 29, , , 3
2019/8/13, 46, , , 3
2019/8/14, 55, , , 2
2019/8/15, 43, , , 2
2019/8/16, 33, , , 2
2019/8/17, 27, , , 3
2019/8/18, 32, , , 3
2019/8/19, 32, , , 3
2019/8/20, 33, , , 3
2019/8/21, 47, , , 3
2019/8/22, 42, , , 1
2019/8/23, 26, , , 2
2019/8/24, 20, , , 1
2019/8/25, 19, , , 2
2019/8/26, 23, , , 2
2019/8/27, 26, , , 2
2019/8/28, 21, , , 1
2019/8/29, 20, , , 4
2019/8/30, 31, , , 1
2019/8/31, 22, , , 2
2019/9/1, 20, , , 2
2019/9/2, 25, , , 2
2019/9/3, 26, , , 3
2019/9/4, 39, , , 2
2019/9/5, 21, , , 2
2019/9/6, 22, , , 1
2019/9/7, 21, , , 2
2019/9/8, 21, , , 2
