date, pm25, pm10, o3, no2, so2
2020/1/2, 104, 44, 2, 17, 
2020/1/3, 122, 32, 23, 12, 
2020/1/4, 89, 12, 28, 8, 
2020/1/5, 37, 27, 7, 25, 
2020/1/6, 71, 42, 2, 23, 
2020/1/7, 103, 40, 3, 21, 
2020/1/8, 106, 47, 2, 20, 
2020/1/9, 130, 57, 5, 18, 
2020/1/10, 155, 24, 16, 12, 
2020/1/11, 71, 18, 15, 18, 
2020/1/12, 59, 37, 2, 21, 
2020/1/13, 98, 26, 9, 12, 
2020/1/14, 79, 31, 11, 13, 
2020/1/15, 89, 37, 6, 11, 
2020/1/16, 105, , , , 
2019/10/1, 36, , , , 
2019/10/23, 124, 55, 34, 25, 
2019/10/24, 119, 49, 14, 21, 
2019/10/25, 116, 40, 24, 17, 
2019/10/26, 97, 47, 7, 15, 
2019/10/27, 115, 37, 21, 12, 
2019/10/28, 93, 23, 17, 14, 
2019/10/29, 61, 14, 17, 17, 
2019/10/30, 45, 29, 18, 21, 
2019/10/31, 81, 25, 23, 15, 
2019/11/1, 72, 26, 17, 9, 
2019/11/2, 79, 16, 23, 7, 
2019/11/3, 48, 13, 18, 16, 
2019/11/4, 35, 16, 4, 19, 
2019/11/5, 49, 20, 15, 20, 
2019/11/6, 55, 21, 13, 19, 
2019/11/7, 60, 19, 19, 12, 
2019/11/8, 60, 13, 16, 10, 
2019/11/9, 49, 14, 9, 10, 
2019/11/10, 47, 22, 11, 13, 
2019/11/11, 71, 24, 13, 15, 
2019/11/12, 69, 7, 9, 12, 
2019/11/13, 28, 12, 17, 21, 
2019/11/14, 46, 21, 14, 11, 
2019/11/15, 66, 16, 21, 10, 
2019/11/16, 49, 15, 22, 9, 
2019/11/17, 47, 18, 21, 13, 
2019/11/18, 54, 14, 17, 17, 
2019/11/19, 45, 31, 11, 25, 
2019/11/20, 78, 23, 11, 20, 
2019/11/21, 68, 19, 14, 10, 
2019/11/22, 60, 8, 12, 6, 
2019/11/23, 26, 11, , 11, 
2019/11/24, 40, 21, 11, 17, 
2019/11/25, 60, 21, 9, 14, 
2019/11/26, 65, 25, 11, 11, 
2019/11/27, 77, , , , 
2019/12/19, 66, 30, 20, 14, 
2019/12/20, 76, 22, 20, 17, 
2019/12/21, 52, 18, 15, 17, 
2019/12/22, 53, 8, 22, 7, 
2019/12/23, 42, 10, 21, 8, 
2019/12/24, 45, 15, 20, 11, 
2019/12/25, 46, 6, 20, 5, 
2019/12/26, 23, 7, 18, 9, 
2019/12/27, 27, 4, 20, 6, 
2019/12/28, 16, , , , 
2019/7/1, 60, 33, , , 
2019/7/2, 65, 18, , , 
2019/7/3, 36, 17, , , 
2019/7/4, 33, 17, , , 
2019/7/5, 34, 17, , , 
2019/7/6, 30, 16, , , 
2019/7/7, 37, 18, , , 
2019/7/8, 41, 13, , , 
2019/7/9, 25, 14, , , 
2019/7/10, 24, 15, , , 
2019/7/11, 30, 18, , , 
2019/7/12, 43, 20, , , 
2019/7/13, 49, 23, , , 
2019/7/14, 47, 14, , , 
2019/7/15, 36, 25, , , 
2019/7/16, 63, 15, , , 
2019/7/17, 36, 21, , , 
2019/7/18, 44, 25, , , 
2019/7/19, 52, 25, , , 
2019/7/20, 57, 22, , , 
2019/7/21, 49, 20, , , 
2019/7/22, 43, 22, , , 
2019/7/23, 45, 25, , , 
2019/7/24, 51, 22, , , 
2019/7/25, 43, 30, , , 
2019/7/26, 54, 25, , , 
2019/7/27, 55, 19, , , 
2019/7/28, 51, 28, , , 
2019/7/29, 65, 34, , , 
2019/7/30, 80, 38, , , 
2019/7/31, 80, 22, , , 
2019/8/1, 54, 23, , , 
2019/8/2, 47, 18, , , 
2019/8/3, 45, 16, , , 
2019/8/4, 40, 21, , , 
2019/8/5, 48, 21, , , 
2019/8/6, 51, 23, , , 
2019/8/7, 48, 16, , , 
2019/8/8, 37, 18, , , 
2019/8/9, 43, 21, , , 
2019/8/10, 46, 19, , , 
2019/8/11, 44, 23, , , 
2019/8/12, 52, 17, , , 
2019/8/13, 39, 13, , , 
2019/8/14, 30, 16, , , 
2019/8/15, 33, 15, , , 
2019/8/16, 35, 17, , , 
2019/8/17, 42, 17, , , 
2019/8/18, 39, 14, , , 
2019/8/19, 31, 19, , , 
2019/8/20, 41, 9, , , 
2019/8/21, 26, 17, , , 
2019/8/22, 40, 26, , , 
2019/8/23, 60, 33, , , 
2019/8/24, 75, 21, , , 
2019/8/25, 55, 26, , , 
2019/8/26, 64, , , , 
2019/8/28, 71, 37, , , 
2019/8/29, 80, 19, , , 
2019/8/30, 53, 26, , , 
2019/8/31, 67, 27, , , 
2019/9/1, 65, 13, , , 
2019/9/2, 42, 13, , , 
2019/9/3, 24, 18, , , 
2019/9/4, 35, 17, , , 
2019/9/5, 35, 14, , , 
2019/9/6, 29, 11, , , 
2019/9/7, 33, 13, , , 
2019/9/8, 37, 10, , , 
2019/9/9, 31, 13, , , 
2019/9/10, 26, 13, , , 
2019/9/11, 26, 13, , , 
2019/9/12, 28, 12, , , 
2019/9/13, 29, 12, , , 
2019/9/14, 32, 16, , , 
2019/9/15, 38, 16, , , 
2019/9/16, 36, 16, , , 
2019/9/17, 39, 15, , , 
2019/9/18, 34, 15, , , 
2019/9/19, 35, 14, , , 
2019/9/20, 34, 15, , , 
2019/9/21, 35, 15, , , 
2019/9/22, 31, 16, , , 
2019/9/23, 32, 24, , , 
2019/9/24, 44, 25, , , 
2019/9/25, 54, 12, , , 
2019/9/26, 26, 15, , , 
2019/9/27, 33, 9, , , 
2019/9/28, 21, 12, , , 
2019/9/29, 31, 14, , , 
2019/9/30, 26, 12, , , 
2019/4/6, 35, 13, , 17, 
2019/4/7, 45, 26, , 21, 
2019/4/8, 68, 34, , , 
2019/4/9, 78, 34, , , 
2019/4/10, 80, 28, , , 
2019/4/11, 64, 19, , , 
2019/4/12, 52, 18, , , 
2019/4/13, 55, 22, , , 
2019/4/14, 67, 17, , , 
2019/4/15, 49, 19, 41, 15, 
2019/4/16, 51, 17, 30, 22, 
2019/4/17, 44, 18, 42, 16, 
2019/4/18, 46, 17, 43, 17, 
2019/4/19, 46, 21, 54, 8, 
2019/4/20, 47, 15, 47, 8, 
2019/4/21, 32, 11, , 13, 
2019/4/22, 32, 20, , , 
2019/4/23, 45, 35, , , 
2019/4/24, 68, 44, , , 
2019/4/25, 76, 45, , , 
2019/4/26, 74, 8, , , 
2019/4/27, 25, 8, , , 
2019/4/28, 30, 7, , , 
2019/4/29, 19, 18, , , 
2019/4/30, 50, 24, , , 
2019/5/1, 63, 32, , , 
2019/5/2, 69, 19, , , 
2019/5/3, 50, 12, , , 
2019/5/4, 39, 6, , , 
2019/5/5, 20, 11, , , 
2019/5/6, 23, 13, , , 
2019/5/7, 34, 15, , , 
2019/5/8, 39, 14, , , 
2019/5/9, 38, 11, , , 
2019/5/10, 30, 11, , , 
2019/5/11, 28, 4, , , 
2019/5/12, 19, 11, , , 
2019/5/13, 23, 11, , , 
2019/5/14, 23, 5, , , 
2019/5/15, 13, 13, , , 
2019/5/16, 32, 12, , , 
2019/5/17, 30, 16, , , 
2019/5/18, 52, 15, , , 
2019/5/19, 45, 12, , , 
2019/5/20, 28, 13, , , 
2019/5/21, 21, 8, , , 
2019/5/22, 20, 13, , , 
2019/5/23, 33, 12, , , 
2019/5/24, 26, 14, , , 
2019/5/25, 32, 14, , , 
2019/5/26, 38, 23, , , 
2019/5/27, 49, 15, , , 
2019/5/28, 40, 13, , , 
2019/5/29, 30, 14, , , 
2019/5/30, 30, 16, , , 
2019/5/31, 35, 11, , , 
2019/6/1, 26, 17, , , 
2019/6/2, 45, , , , 
2019/6/6, 42, 11, , , 
2019/6/7, 34, 13, , , 
2019/6/8, 41, 8, , , 
2019/6/9, 17, 27, , , 
2019/6/10, 57, 28, , , 
2019/6/11, 60, 36, , , 
2019/6/12, 61, 40, , , 
2019/6/13, 71, 42, , , 
2019/6/14, 82, 53, , , 
2019/6/15, 98, 30, , , 
2019/6/16, 64, 14, , , 
2019/6/17, 32, 20, , , 
2019/6/18, 42, 31, , , 
2019/6/19, 65, 32, , , 
2019/6/20, 72, 20, , , 
2019/6/21, 43, 17, , , 
2019/6/22, 46, 20, , , 
2019/6/23, 50, 19, , , 
2019/6/24, 39, 27, , , 
2019/6/25, 62, 38, , , 
2019/6/26, 78, 31, , , 
2019/6/27, 57, 23, , , 
2019/6/28, 44, 17, , , 
2019/6/29, 39, 23, , , 
2019/6/30, 44, 33, , , 
2019/1/1, 92, 10, 29, 28, 
2019/1/2, 31, 10, 24, 33, 
2019/1/3, 25, 17, 23, 33, 
2019/1/4, 58, 13, 16, 43, 
2019/1/5, 48, 4, 23, 35, 
2019/1/6, 18, 34, 18, 25, 
2019/1/7, 77, 25, 14, 39, 
2019/1/8, 64, 7, 22, 40, 
2019/1/9, 29, 21, 13, 26, 
2019/1/10, 60, 18, 24, 38, 
2019/1/11, 42, 12, 17, 46, 
2019/1/12, 37, 6, 20, 32, 
2019/1/13, 21, 15, 28, 42, 
2019/1/14, 34, 16, 28, 42, 
2019/1/15, 37, 23, 22, 33, 
2019/1/16, 41, 37, 15, 57, 
2019/1/17, 73, 16, 25, 49, 
2019/1/18, 32, 25, 16, 34, 
2019/1/19, 68, 36, 20, 56, 
2019/1/20, 88, 60, 10, 59, 
2019/1/21, 140, 79, 4, 39, 
2019/1/22, 173, 76, 6, 55, 
2019/1/23, 171, 47, 18, 62, 
2019/1/24, 126, 45, 18, 41, 
2019/1/25, 114, 45, 13, 82, 
2019/1/26, 113, 40, 21, 80, 
2019/1/27, 111, 57, 17, 61, 
2019/1/28, 149, 29, 15, 98, 
2019/1/29, 75, 33, 21, 84, 
2019/1/30, 93, 49, 17, 59, 
2019/1/31, 136, 41, 19, 57, 
2019/2/1, 117, 20, 21, 22, 
2019/2/2, 63, 25, 5, 18, 
2019/2/3, 72, 14, 18, 15, 
2019/2/4, 42, 31, 18, 20, 
2019/2/5, 80, 39, 19, 26, 
2019/2/6, 98, 49, 20, 25, 
2019/2/7, 115, 56, 15, 33, 
2019/2/8, 144, 54, 16, 24, 
2019/2/9, 145, 53, 22, 20, 
2019/2/10, 149, 30, 24, 14, 
2019/2/11, 71, 12, 28, 7, 
2019/2/12, 31, 22, 20, 20, 
2019/2/13, 57, 15, 19, 15, 
2019/2/14, 46, 30, 13, 21, 
2019/2/15, 75, 33, 12, 25, 
2019/2/16, 81, 38, 16, 26, 
2019/2/17, 97, 51, 21, 35, 
2019/2/18, 117, 55, 11, 33, 
2019/2/19, 129, 32, 23, 27, 
2019/2/20, 71, 31, 23, 24, 
2019/2/21, 72, 11, 25, 16, 
2019/2/22, 32, 11, 24, 16, 
2019/2/23, 31, 24, 16, 19, 
2019/2/24, 64, 28, 24, 21, 
2019/2/25, 65, 28, 22, 12, 
2019/2/26, 62, 33, 26, 9, 
2019/2/27, 73, 38, 26, , 
2019/2/28, 76, 32, 25, 7, 
2019/3/1, 69, 23, 27, 6, 
