date, pm25, o3, no2, co
2020/1/2, 37, , 10, 2
2020/1/3, 48, , 5, 2
2020/1/4, 31, , 4, 1
2020/1/5, 27, , 5, 2
2020/1/6, 37, , 14, 2
2020/1/7, 39, , 5, 2
2020/1/8, 39, , 8, 2
2020/1/9, 40, , 9, 2
2020/1/10, 43, , 4, 2
2020/1/11, 31, , 4, 3
2020/1/12, 35, , 9, 3
2020/1/13, 40, , 7, 2
2020/1/14, 40, , 6, 2
2020/1/15, 40, , 10, 2
2020/1/16, 48, , , 
2019/10/1, 45, , 6, 2
2019/10/2, 19, , 3, 1
2019/10/3, 19, , 4, 1
2019/10/4, 20, , 3, 1
2019/10/5, 17, , 4, 2
2019/10/6, 37, , 10, 2
2019/10/7, 29, , 5, 2
2019/10/8, 34, , 5, 2
2019/10/9, 26, , 4, 2
2019/10/10, 31, , 3, 1
2019/10/11, 26, , 4, 1
2019/10/12, 25, , 6, 1
2019/10/13, 22, , 8, 2
2019/10/14, 28, , 7, 2
2019/10/15, 40, , 9, 2
2019/10/16, 25, , 5, 2
2019/10/17, 23, , 10, 2
2019/10/18, 33, , 7, 2
2019/10/19, 40, , 13, 4
2019/10/20, 51, , 5, 2
2019/10/21, 48, , 7, 2
2019/10/22, 31, , 5, 1
2019/10/23, 28, , 12, 2
2019/10/24, 33, , 11, 3
2019/10/25, 33, , 5, 2
2019/10/26, 34, , 2, 2
2019/10/27, 22, , 14, 4
2019/10/28, 41, , 12, 3
2019/10/29, 47, , 8, 2
2019/10/30, 34, , 9, 3
2019/10/31, 26, , 5, 1
2019/11/1, 29, , 6, 2
2019/11/2, 26, , 6, 1
2019/11/3, 30, , 8, 2
2019/11/4, 28, , 8, 2
2019/11/5, 31, , 11, 2
2019/11/6, 22, , 8, 2
2019/11/7, 24, , 14, 2
2019/11/8, 26, , 8, 2
2019/11/9, 25, , 6, 2
2019/11/10, 41, , 2, 1
2019/11/11, 19, , 10, 2
2019/11/12, 25, , 14, 2
2019/11/13, 33, , 16, 2
2019/11/14, 36, , 8, 2
2019/11/15, 41, , 3, 1
2019/11/16, 23, , 10, 2
2019/11/17, 30, , 12, 4
2019/11/18, 39, , 13, 3
2019/11/19, 44, , 21, 5
2019/11/20, 57, , 12, 4
2019/11/21, 38, , 5, 2
2019/11/22, 24, , 11, 2
2019/11/23, 28, , 10, 2
2019/11/24, 50, , 10, 2
2019/11/25, 51, , 12, 3
2019/11/26, 52, , 5, 2
2019/11/27, 37, , 4, 2
2019/11/28, 31, , 4, 1
2019/11/29, 23, , 2, 1
2019/11/30, 31, , 5, 2
2019/12/1, 29, , 6, 2
2019/12/2, 34, , 17, 3
2019/12/3, 35, , 13, 2
2019/12/4, 42, , 7, 2
2019/12/5, 31, , 14, 2
2019/12/6, 38, , 10, 2
2019/12/7, 36, , 9, 2
2019/12/8, 37, , 8, 2
2019/12/9, 32, , 6, 2
2019/12/10, 37, , 9, 2
2019/12/11, 39, , 19, 3
2019/12/12, 47, , 13, 2
2019/12/13, 42, , 9, 3
2019/12/14, 30, , 4, 2
2019/12/15, 38, , 14, 2
2019/12/16, 45, , 12, 2
2019/12/17, 39, , 7, 2
2019/12/18, 38, , 14, 2
2019/12/19, 44, , 13, 3
2019/12/20, 48, , 18, 4
2019/12/21, 53, , 7, 2
2019/12/22, 53, , 8, 2
2019/12/23, 53, , 4, 3
2019/12/24, 36, , 11, 3
2019/12/25, 57, , 12, 4
2019/12/26, 59, , 7, 2
2019/12/27, 52, , 3, 2
2019/12/28, 50, , , 
2019/7/1, 36, 157, 1, 
2019/7/2, 53, 354, , 
2019/7/3, 48, 98, , 
2019/7/4, 70, 117, 52, 
2019/7/5, 60, 98, 3, 
2019/7/6, 61, 98, 1, 
2019/7/7, 31, 221, 10, 
2019/7/8, 47, 398, 1, 
2019/7/9, 65, 500, 9, 3
2019/7/10, 62, , 7, 2
2019/7/11, 41, , 6, 3
2019/7/12, 25, , 6, 3
2019/7/13, 46, , 4, 2
2019/7/14, 28, , 8, 2
2019/7/15, 33, , 9, 2
2019/7/16, 43, , 6, 2
2019/7/17, 23, , 6, 2
2019/7/18, 33, , 6, 2
2019/7/19, 48, , 3, 2
2019/7/20, 29, , 4, 2
2019/7/21, 26, , 4, 1
2019/7/22, 26, , 8, 2
2019/7/23, 25, , 9, 2
2019/7/24, 36, , 9, 2
2019/7/25, 42, , 11, 3
2019/7/26, 57, , 5, 3
2019/7/27, 77, , 3, 2
2019/7/28, 90, , 7, 3
2019/7/29, 65, , 9, 2
2019/7/30, 34, , 6, 2
2019/7/31, 21, , 5, 2
2019/8/1, 28, , 4, 1
2019/8/2, 32, , 6, 2
2019/8/3, 43, , 5, 2
2019/8/4, 34, , 7, 2
2019/8/5, 43, , 10, 2
2019/8/6, 39, , 8, 2
2019/8/7, 26, , 7, 2
2019/8/8, 24, , 6, 2
2019/8/9, 18, , 3, 2
2019/8/10, 15, , 7, 2
2019/8/11, 28, , 10, 3
2019/8/12, 44, , 7, 3
2019/8/13, 51, , 3, 2
2019/8/14, 27, , 3, 1
2019/8/15, 22, , 5, 2
2019/8/16, 38, , 5, 2
2019/8/17, 51, , 6, 2
2019/8/18, 44, , 6, 2
2019/8/19, 40, , 10, 2
2019/8/20, 57, , 6, 2
2019/8/21, 37, , 8, 2
2019/8/22, 20, , 6, 2
2019/8/23, 17, , 3, 2
2019/8/24, 22, , 2, 2
2019/8/25, 25, , 1, 1
2019/8/26, 24, , 6, 2
2019/8/27, 20, , 7, 2
2019/8/28, 26, , 6, 2
2019/8/29, 19, , 6, 2
2019/8/30, 30, , 5, 2
2019/8/31, 31, , 3, 2
2019/9/1, 32, , 4, 2
2019/9/2, 36, , 8, 2
2019/9/3, 36, , 5, 2
2019/9/4, 28, , 7, 2
2019/9/5, 23, , 4, 2
2019/9/6, 27, , 7, 3
2019/9/7, 32, , 4, 2
2019/9/8, 22, , 2, 1
2019/9/9, 22, , 8, 2
2019/9/10, 32, , 9, 3
2019/9/11, 52, , 2, 1
2019/9/12, 12, , 1, 1
2019/9/13, 24, , 2, 2
2019/9/14, 19, , 6, 2
2019/9/15, 29, , 2, 2
2019/9/16, 29, , 4, 1
2019/9/17, 27, , 4, 1
2019/9/18, 31, , 4, 2
2019/9/19, 38, , 10, 3
2019/9/20, 57, , 7, 3
2019/9/21, 59, , 8, 3
2019/9/22, 58, , 5, 2
2019/9/23, 27, , 6, 2
2019/9/24, 19, , 9, 2
2019/9/25, 34, , 9, 2
2019/9/26, 32, , 8, 2
2019/9/27, 40, , 5, 2
2019/9/28, 39, , 1, 1
2019/9/29, 15, , 8, 2
2019/9/30, 31, , 8, 2
2019/4/1, 20, 436, 2, 
2019/4/2, 27, 391, 1, 
2019/4/3, 33, 322, 1, 
2019/4/4, 32, 238, 5, 
2019/4/5, 26, 391, 16, 
2019/4/6, 58, 184, 4, 
2019/4/7, 40, 500, , 
2019/4/8, 26, 231, 6, 
2019/4/9, 16, 209, 6, 
2019/4/10, 16, , 4, 
2019/4/11, 6, 321, 12, 
2019/4/12, 20, 317, 2, 
2019/4/13, 15, 246, 8, 
2019/4/14, 24, 500, 7, 
2019/4/15, 24, 500, 3, 
2019/4/16, 39, , 3, 
2019/4/17, 30, 271, 14, 
2019/4/18, 28, 221, , 
2019/4/19, 31, 195, 1, 
2019/4/20, 15, 221, , 
2019/4/21, 24, 347, 19, 
2019/4/22, 30, 229, 11, 
2019/4/23, 25, 346, 2, 
2019/4/24, 8, 460, 2, 
2019/4/25, 27, 379, 20, 
2019/4/26, 28, , , 
2019/4/27, 13, 329, 14, 
2019/4/28, 25, 271, 6, 
2019/4/29, 26, 222, 15, 
2019/4/30, 13, 172, 1, 
2019/5/1, 20, 385, 12, 
2019/5/2, 43, 474, 1, 
2019/5/3, 29, 98, 23, 
2019/5/4, 24, 272, 6, 
2019/5/5, 23, 474, 3, 
2019/5/6, 35, 403, 3, 
2019/5/7, 28, 353, 1, 
2019/5/8, 31, 430, 3, 
2019/5/9, 34, , , 
2019/5/10, 47, 395, 5, 
2019/5/11, 11, , 1, 
2019/5/12, 6, 445, 8, 
2019/5/13, 27, 366, 5, 
2019/5/14, 19, 410, 4, 
2019/5/15, 32, 486, 1, 
2019/5/16, 54, 389, 13, 
2019/5/17, 44, 184, 2, 
2019/5/18, 22, 146, , 
2019/5/19, 48, 305, 2, 
2019/5/20, 37, 297, 5, 
2019/5/21, 27, 209, 8, 
2019/5/22, 24, 177, 19, 
2019/5/23, 26, 348, 3, 
2019/5/24, 21, 372, 9, 
2019/5/25, 43, 364, , 
2019/5/26, 28, 436, 3, 
2019/5/27, 42, 256, 8, 
2019/5/28, 25, 419, 10, 
2019/5/29, 25, 436, , 
2019/5/30, 40, 486, 9, 
2019/5/31, 38, 408, , 
2019/6/1, 58, 337, 8, 
2019/6/2, 30, 387, , 
2019/6/3, 17, 404, 4, 
2019/6/4, 20, 373, , 
2019/6/5, 56, 238, 4, 
2019/6/6, 47, 185, 3, 
2019/6/7, 49, 222, 1, 
2019/6/8, 47, 209, 1, 
2019/6/9, 24, 203, 15, 
2019/6/10, 29, 279, 2, 
2019/6/11, 17, 252, 15, 
2019/6/12, 26, 162, 2, 
2019/6/13, 29, 197, 1, 
2019/6/14, 25, 214, , 
2019/6/15, 18, 171, , 
2019/6/16, 20, 171, 13, 
2019/6/17, 29, 227, 1, 
2019/6/18, 39, 281, 31, 
2019/6/19, 42, 117, , 
2019/6/20, 27, 297, 4, 
2019/6/21, 27, 461, 8, 
2019/6/22, 37, 316, 11, 
2019/6/23, 33, 398, 25, 
2019/6/24, 45, 253, 2, 
2019/6/25, 25, 147, 4, 
2019/6/26, 41, 342, 4, 
2019/6/27, 49, 500, 3, 
2019/6/28, 40, 171, , 
2019/6/29, 42, 260, 2, 
2019/6/30, 32, 364, 2, 
2019/1/1, 47, , 6, 2
2019/1/2, 37, , 7, 2
2019/1/3, 39, , 12, 3
2019/1/4, 45, , 13, 4
2019/1/5, 56, , 5, 2
2019/1/6, 39, , 3, 1
2019/1/7, 28, , 10, 2
2019/1/8, 45, , 6, 1
2019/1/9, 30, , 7, 1
2019/1/10, 32, , 15, 2
2019/1/11, 36, , 6, 2
2019/1/12, 32, , 2, 1
2019/1/13, 27, , 13, 2
2019/1/14, 43, , 12, 2
2019/1/15, 55, , 10, 2
2019/1/16, 34, , 18, 3
2019/1/17, 44, , 15, 2
2019/1/18, 45, , 9, 2
2019/1/19, 26, , 4, 1
2019/1/20, 29, , 13, 2
2019/1/21, 32, , 19, 3
2019/1/22, 36, , 14, 2
2019/1/23, 26, , , 2
2019/1/24, 28, , , 2
2019/1/25, 36, , , 3
2019/1/26, 36, , , 2
2019/1/27, 36, , 5, 2
2019/1/28, 33, , 7, 2
2019/1/29, 39, , 5, 1
2019/1/30, 30, , 4, 1
2019/1/31, 27, , 27, 4
2019/2/1, 42, , , 3
2019/2/2, 45, 367, , 2
2019/2/3, 49, 419, 12, 
2019/2/4, 43, 196, 9, 
2019/2/5, 32, 232, 27, 
2019/2/6, 41, 198, 23, 
2019/2/7, 31, 209, 9, 
2019/2/8, 40, 232, 3, 
2019/2/9, 20, 284, 5, 
2019/2/10, 21, 201, 3, 
2019/2/11, 22, 195, 3, 
2019/2/12, 31, 499, 3, 
2019/2/13, 33, 460, 12, 
2019/2/14, 37, 304, 6, 
2019/2/15, 39, 195, 2, 
2019/2/16, 19, 195, 3, 
2019/2/17, 23, 328, 6, 
2019/2/18, 32, 447, , 
2019/2/19, 23, 426, 3, 
2019/2/20, 20, 319, 14, 
