date, pm25, pm10, o3, no2, so2, co
2020/1/2, 62, 14, 14, 11, 8, 18
2020/1/3, 73, 40, 5, 24, 18, 30
2020/1/4, 140, 58, 10, 19, 12, 51
2020/1/5, 179, 34, 9, 17, 10, 16
2020/1/6, 136, 21, 9, 15, 11, 17
2020/1/7, 75, 25, 11, 12, 11, 17
2020/1/8, 56, 15, 14, 12, 9, 15
2020/1/9, 61, 24, 14, 17, 10, 23
2020/1/10, 97, 35, 13, 18, 12, 28
2020/1/11, 141, 42, 11, 20, 13, 31
2020/1/12, 151, 52, 12, 17, 10, 30
2020/1/13, 157, 56, 7, 28, 24, 40
2020/1/14, 168, 70, 12, 22, 19, 41
2020/1/15, 184, 61, 5, 22, 15, 35
2020/1/16, 183, , , , , 
2019/10/1, 12, 41, 38, 17, 12, 43
2019/10/2, 11, 51, 31, 25, 15, 44
2019/10/3, 13, 48, 33, 19, 17, 42
2019/10/4, 13, 40, 19, 13, 9, 42
2019/10/5, 12, 21, 23, 8, 7, 41
2019/10/6, 11, 22, 24, 11, 9, 41
2019/10/7, 7, 19, 16, 9, 6, 41
2019/10/8, 9, 24, 18, 10, 9, 43
2019/10/9, 7, 48, 20, 17, 22, 45
2019/10/10, 12, 42, 18, 18, 16, 44
2019/10/11, 14, 25, 28, 8, 7, 42
2019/10/12, 12, 34, 26, 14, 6, 49
2019/10/13, 13, 51, 17, 22, 13, 52
2019/10/14, 14, 70, 20, 27, 16, 50
2019/10/15, 18, 71, 12, 25, 16, 49
2019/10/16, 15, 87, 14, 26, 21, 47
2019/10/17, 28, 71, 31, 20, 19, 51
2019/10/18, 160, 55, 26, 19, 12, 50
2019/10/19, 146, 45, 31, 20, 9, 51
2019/10/20, 140, 48, 30, 15, 12, 49
2019/10/21, 127, 29, 29, 8, 7, 44
2019/10/22, 82, 24, 29, 8, 5, 43
2019/10/23, 75, 39, 21, 18, 10, 45
2019/10/24, 93, 46, 20, 21, 19, 50
2019/10/25, 113, 31, 28, 11, 6, 46
2019/10/26, 98, 22, 22, 9, 5, 48
2019/10/27, 80, 45, 12, 21, 10, 50
2019/10/28, 97, 52, 16, 19, 14, 52
2019/10/29, 138, 44, 16, 19, 15, 53
2019/10/30, 131, 51, 9, 21, 12, 51
2019/10/31, 145, 26, 15, 12, 8, 46
2019/11/1, 72, 13, 19, 10, 5, 47
2019/11/2, 69, 16, 18, 12, 8, 51
2019/11/3, 82, 27, 14, 15, 11, 48
2019/11/4, 80, 32, 26, 15, 14, 39
2019/11/5, 39, 43, 18, 18, 14, 46
2019/11/6, 59, 48, 11, 16, 14, 51
2019/11/7, 105, , , , , 
2019/11/13, 97, 58, 3, 33, 41, 58
2019/11/14, 110, 73, 15, 17, 11, 52
2019/11/15, 150, 48, 8, 26, 22, 57
2019/11/16, 92, 58, 14, 19, 9, 55
2019/11/18, 118, 44, 22, 18, 8, 55
2019/11/19, 140, 37, 17, 20, 9, 51
2019/11/20, 129, 36, 14, 19, 15, 53
2019/11/21, 91, 46, 10, 21, 16, 55
2019/11/22, 131, 54, 4, 29, 19, 61
2019/11/23, 154, 63, 6, 24, 10, 62
2019/11/24, 162, 55, 7, 19, 14, 56
2019/11/25, 151, 39, 15, 14, 10, 53
2019/11/26, 129, 46, 3, 19, 15, 52
2019/11/27, 109, 39, 20, 14, 12, 50
2019/11/28, 79, 30, 27, 15, 17, 11
2019/11/29, 77, 34, 15, 17, 14, 13
2019/11/30, 48, 23, 13, 7, 12, 12
2019/12/1, 53, 11, 16, 9, 5, 16
2019/12/2, 47, 24, 10, 16, 9, 26
2019/12/3, 110, 32, 14, 12, 8, 18
2019/12/4, 134, 12, 19, 7, 5, 13
2019/12/5, 74, 15, 14, 13, 7, 18
2019/12/6, 69, 21, 12, 13, 8, 19
