date, pm25
2019/4/1, 19
2019/4/2, 32
2019/1/1, 21
2019/1/2, 26
2019/1/3, 21
2019/1/4, 19
2019/1/5, 10
2019/1/6, 33
2019/1/7, 43
2019/1/8, 42
2019/1/9, 14
2019/1/10, 18
2019/1/11, 28
2019/1/12, 46
2019/1/13, 23
2019/1/14, 27
2019/1/15, 36
2019/1/16, 41
2019/1/17, 37
2019/1/18, 54
2019/1/19, 60
2019/1/20, 17
2019/1/21, 28
2019/1/22, 27
2019/1/23, 31
2019/1/24, 12
2019/1/25, 27
2019/1/26, 53
2019/1/27, 48
2019/1/28, 40
2019/1/29, 35
2019/1/30, 21
2019/1/31, 29
2019/2/1, 38
2019/2/2, 59
2019/2/3, 71
2019/2/4, 59
2019/2/5, 41
2019/2/6, 47
2019/2/7, 37
2019/2/8, 46
2019/2/9, 17
2019/2/10, 37
2019/2/11, 46
2019/2/12, 13
2019/2/13, 14
2019/2/14, 25
2019/2/15, 38
2019/2/16, 24
2019/2/17, 34
2019/2/18, 16
2019/2/19, 26
2019/2/20, 22
2019/2/21, 27
2019/2/22, 13
2019/2/23, 13
2019/2/24, 23
2019/2/25, 16
2019/2/26, 36
2019/2/27, 53
2019/2/28, 52
2019/3/1, 33
2019/3/2, 24
2019/3/3, 31
2019/3/4, 21
2019/3/5, 20
2019/3/6, 19
2019/3/7, 31
2019/3/8, 55
2019/3/9, 63
2019/3/10, 40
2019/3/11, 26
2019/3/12, 17
2019/3/13, 32
2019/3/14, 36
2019/3/15, 28
2019/3/16, 25
2019/3/17, 26
2019/3/18, 31
2019/3/19, 24
2019/3/20, 35
2019/3/21, 33
2019/3/22, 19
2019/3/23, 25
2019/3/24, 55
2019/3/25, 49
2019/3/26, 44
2019/3/27, 21
2019/3/28, 29
2019/3/29, 44
2019/3/30, 52
2019/3/31, 31
2018/10/1, 34
2018/10/2, 39
2018/10/3, 34
2018/10/4, 41
2018/10/5, 41
2018/10/6, 53
2018/10/7, 51
2018/10/8, 36
2018/10/9, 21
2018/10/10, 16
2018/10/11, 13
2018/10/12, 26
2018/10/13, 34
2018/10/14, 31
2018/10/15, 37
2018/10/16, 38
2018/10/17, 20
2018/10/18, 20
2018/10/19, 34
2018/10/20, 42
2018/10/21, 21
2018/10/22, 37
2018/10/23, 33
2018/10/24, 28
2018/10/25, 34
2018/10/26, 25
2018/10/27, 12
