date, pm25, pm10, o3, no2, so2, co
2020/1/2, 80, 17, 23, 4, , 1
2020/1/3, 56, 11, 21, 7, 1, 1
2020/1/4, 44, 13, 14, 6, , 1
2020/1/5, 53, 17, 20, 7, , 1
2020/1/6, 63, 24, 17, 12, , 1
2020/1/7, 75, 20, 16, 12, , 1
2020/1/8, 67, 18, 30, 5, , 
2020/1/9, 43, 21, 23, 10, , 1
2020/1/10, 56, 19, 24, 9, 1, 
2020/1/11, 64, 22, 26, 9, , 
2020/1/12, 71, 19, 30, 4, , 1
2020/1/13, 60, 12, 32, 2, , 1
2020/1/14, 44, 17, 34, 12, , 1
2020/1/15, 45, 11, 30, 1, , 1
2020/1/16, 35, , , , , 
2019/10/1, 29, 14, 28, 5, , 1
2019/10/2, 23, 12, 19, 9, , 1
2019/10/3, 27, 9, 26, 6, , 1
2019/10/4, 17, 14, 28, 6, , 1
2019/10/5, 29, 11, 25, 7, 1, 1
2019/10/6, 27, 15, 23, 9, 3, 1
2019/10/7, 37, 11, 24, 6, , 1
2019/10/8, 28, 14, 25, 8, , 1
2019/10/9, 25, 14, 18, 7, , 
2019/10/10, 35, 12, 33, 7, , 1
2019/10/11, 41, 14, 31, 5, , 1
2019/10/12, 47, 9, 31, 2, , 1
2019/10/13, 31, 6, 29, 4, , 1
2019/10/14, 22, 11, 26, 8, , 1
2019/10/15, 33, 6, 30, 2, , 1
2019/10/16, 16, 7, 30, 6, , 1
2019/10/17, 25, 9, 28, 6, , 1
2019/10/18, 28, 4, 27, 4, , 1
2019/10/19, 23, 8, 27, 4, , 1
2019/10/20, 28, 10, 24, 10, , 1
2019/10/21, 42, 10, 26, 7, , 1
2019/10/22, 40, 9, 30, 3, , 1
2019/10/23, 32, 9, 27, 7, , 1
2019/10/24, 34, 10, 33, 7, , 
2019/10/25, 40, 17, 38, 7, , 
2019/10/26, 57, 21, 31, 7, , 1
2019/10/27, 59, 20, 29, 9, , 
2019/10/28, 58, 10, 27, 6, , 1
2019/10/29, 32, 5, 22, 5, , 1
2019/10/30, 19, 6, 20, 7, , 1
2019/10/31, 21, 6, 24, 1, , 1
2019/11/1, 22, 9, 30, 1, , 1
2019/11/2, 25, 13, 31, 1, , 2
2019/11/3, 32, 10, 32, 2, , 1
2019/11/4, 31, 10, 25, 4, , 1
2019/11/5, 38, 13, 27, 11, , 1
2019/11/6, 46, 9, 29, 4, , 1
2019/11/7, 33, 11, 26, 10, 1, 1
2019/11/8, 37, 18, 28, 6, , 1
2019/11/9, 54, 14, 27, 5, , 1
2019/11/10, 44, 20, 30, 6, , 1
2019/11/11, 46, 26, 22, 10, , 1
2019/11/12, 61, 7, 28, 3, , 
2019/11/13, 24, 13, 31, 1, , 1
2019/11/14, 36, 16, 30, 3, , 
