date, pm25, pm10, o3, no2, co
2020/1/2, 548, 217, 30, 5, 23
2020/1/3, 390, 150, 21, 6, 13
2020/1/4, 209, 649, 17, 20, 67
2020/1/5, 692, 36, 8, 3, 19
2020/1/6, 94, 47, 28, , 9
2020/1/7, 111, 98, 24, , 22
2020/1/8, 205, 21, 12, , 12
2020/1/9, 112, 39, 24, , 5
2020/1/10, 59, 74, 21, , 11
2020/1/11, 158, 62, 18, , 9
2020/1/12, 134, 60, 20, , 8
2020/1/13, 151, 42, 24, , 6
2020/1/14, 114, 33, 20, , 5
2020/1/15, 94, 54, 15, , 8
2020/1/16, 136, , , , 
2019/12/3, 26, 8, , , 3
2019/12/4, 23, 10, , , 3
2019/12/5, 18, 13, , , 3
2019/12/6, 18, 9, , , 4
2019/12/7, 23, 73, , , 14
2019/12/8, 172, 74, , , 10
2019/12/9, 178, 58, , , 7
2019/12/10, 159, 29, , , 5
2019/12/11, 81, 27, , , 5
2019/12/12, 78, 36, , , 6
2019/12/13, 102, 25, , , 5
2019/12/14, 78, 36, , , 6
2019/12/15, 104, 16, , , 4
2019/12/16, 57, 28, 23, 1, 8
2019/12/17, 85, 87, 25, 4, 13
2019/12/18, 197, 56, 26, 4, 8
2019/12/19, 154, 79, 42, 5, 19
2019/12/20, 184, 153, 27, 5, 24
2019/12/21, 314, 117, 16, 3, 19
2019/12/22, 231, 58, 26, 2, 8
2019/12/23, 155, 69, 21, 1, 10
2019/12/24, 172, 36, 21, 1, 6
2019/12/25, 108, 52, 26, 1, 9
2019/12/26, 146, 47, 28, 2, 8
2019/12/27, 141, 98, 29, 3, 17
2019/12/28, 209, 96, 8, 5, 18
2019/12/29, 206, , , , 
2020/1/1, , 411, 30, 8, 42
2019/12/2, , 7, , , 3
