date, pm25, pm10, o3, no2
2020/1/15, 99, 22, 18, 18
2020/1/16, 51, 17, 12, 9
2020/1/2, , 22, 20, 12
2020/1/3, , 28, 12, 14
2020/1/4, , 23, 17, 13
2020/1/5, , 18, 21, 10
2020/1/6, , 17, 22, 13
2020/1/7, , 22, 18, 15
2020/1/8, , 18, 25, 15
2020/1/9, , 14, 22, 13
2020/1/10, , 17, 17, 19
2020/1/11, , 14, 20, 12
2020/1/12, , 12, 27, 10
2020/1/13, , 17, 23, 14
2020/1/14, , 14, 26, 11
2019/10/1, , 24, 35, 6
2019/10/2, , 13, 36, 4
2019/10/3, , 13, 38, 8
2019/10/4, , 13, 39, 4
2019/10/5, , 14, 39, 3
2019/10/6, , 17, 35, 6
2019/10/7, , 14, 38, 9
2019/10/8, , 10, 32, 7
2019/10/9, , 18, 32, 11
2019/10/10, , 21, 36, 11
2019/10/11, , 15, 40, 8
2019/10/14, , 28, 29, 4
2019/10/15, , 20, 28, 10
2019/10/16, , 8, 26, 11
2019/10/17, , 12, 20, 13
2019/10/18, , 12, 33, 7
2019/10/19, , 17, 32, 2
2019/10/20, , 19, 21, 10
2019/10/21, , 15, 30, 2
2019/10/22, , 22, 37, 1
2019/10/23, , 30, 32, 10
2019/10/24, , 19, 13, 12
2019/10/25, , 17, 28, 9
2019/10/26, , 17, 31, 8
2019/10/27, , 18, 20, 12
2019/10/28, , 27, 28, 9
2019/10/29, , 27, 28, 7
2019/10/30, , 24, 18, 11
2019/10/31, , 24, 25, 4
2019/11/1, , 9, 24, 5
2019/11/2, , 6, 27, 1
2019/11/3, , 7, 27, 5
2019/11/4, , 9, 28, 3
2019/11/5, , 6, 24, 11
2019/11/6, , 10, 20, 10
2019/11/7, , 12, 18, 6
2019/11/8, , 12, 22, 10
2019/11/9, , 13, 15, 5
2019/11/10, , 9, , 
2019/11/12, , 11, 19, 13
2019/11/13, , 13, 28, 8
2019/11/14, , 9, 26, 11
2019/11/15, , 9, 26, 10
2019/11/16, , 8, 21, 6
2019/11/17, , 8, 18, 11
2019/11/18, , 12, 22, 10
2019/11/19, , 10, 17, 12
2019/11/20, , 11, 22, 11
2019/11/21, , 9, 28, 6
2019/11/22, , 6, 29, 2
2019/11/23, , 9, 26, 8
2019/11/24, , 9, 9, 14
2019/11/25, , 16, 8, 12
2019/11/26, , 17, 25, 7
2019/11/27, , 9, 28, 2
2019/11/28, , 5, 30, 3
2019/11/29, , 5, 19, 14
2019/11/30, , 16, 22, 5
2019/12/1, , 8, 21, 10
2019/12/2, , 11, 17, 14
