date, pm25, pm10, o3, no2, so2
2020/1/2, 6, 7, 7, 1, 
2020/1/3, 7, 7, 9, 1, 
2020/1/4, 8, 7, 5, , 3
2020/1/5, 8, , , , 
2020/1/7, 7, 8, 10, 1, 1
2020/1/8, 15, 7, 8, 1, 
2020/1/9, 11, , , , 
2020/1/12, 8, 13, 9, 1, 
2020/1/13, 21, 13, 8, 31, 
2020/1/14, 21, 10, 10, 75, 
2020/1/15, 18, , , , 
2019/10/5, 27, 19, 12, 3, 
2019/10/6, 28, , 13, , 
2019/10/7, 2, 1, 14, , 
2019/10/8, 3, 1, 13, , 
2019/10/9, 4, 1, 14, , 
2019/10/10, 4, 17, 16, , 
2019/10/11, 26, 13, 14, , 
2019/10/12, 16, 10, 13, , 
2019/10/13, 12, 15, 13, , 
2019/10/14, 21, 25, 14, , 
2019/10/15, 29, 22, 14, , 
2019/10/16, 24, 14, 13, , 
2019/10/17, 18, 13, 12, , 
2019/10/18, 17, 13, 11, , 
2019/10/19, 20, 4, 12, , 
2019/10/20, 6, 13, 13, , 
2019/10/21, 14, 13, 13, , 
2019/10/22, 14, 7, 13, , 
2019/10/23, 8, 8, 12, 1, 
2019/10/24, 12, 5, 13, , 
2019/10/25, 7, 12, 13, , 
2019/10/26, 12, 10, 13, , 
2019/10/27, 17, 23, 12, , 
2019/10/28, 46, 26, 12, , 
2019/10/29, 27, 23, 12, , 34
2019/10/30, 25, 14, 13, , 41
2019/10/31, 19, 15, 14, , 
2019/11/1, 21, 15, 13, , 
2019/11/2, 22, 18, 11, , 
2019/11/3, 16, 20, 13, , 
2019/11/4, 27, 22, 14, 1, 
2019/11/5, 33, 12, 12, , 
2019/11/6, 14, 19, 11, , 
2019/11/7, 20, 13, 11, , 
2019/11/8, 21, 19, 12, , 
2019/11/9, 32, 14, 11, , 
2019/11/10, 25, 13, 11, , 
2019/11/11, 21, 10, 10, , 
2019/11/12, 16, 13, 12, , 
2019/11/13, 15, 9, 11, , 
2019/11/14, 10, 5, 11, , 
2019/11/15, 9, 12, 10, , 
2019/11/16, 12, 14, 11, , 
2019/11/17, 14, 14, 11, , 
2019/11/18, 14, 22, 10, , 
2019/11/19, 24, 14, 11, , 
2019/11/20, 17, 11, 11, , 
2019/11/21, 12, 13, 12, , 
2019/11/22, 14, 8, 11, , 
2019/11/23, 12, 18, 11, , 
2019/11/24, 19, 18, 10, , 
2019/11/25, 20, 26, 10, , 
2019/11/26, 31, 12, 11, , 
2019/11/27, 13, 16, 13, , 
2019/11/28, 24, 8, 12, , 
2019/11/29, 12, 17, 11, , 
2019/11/30, 17, 18, 12, , 
2019/12/1, 20, 19, 11, , 
2019/12/2, 32, 17, 10, , 
2019/12/3, 22, 18, 11, , 
2019/12/4, 24, 15, 14, 3, 
2019/12/5, 24, 22, 14, 3, 
2019/12/6, 36, 10, 10, 3, 
2019/12/7, 15, 21, 11, 2, 
2019/12/8, 30, 17, 11, 2, 
2019/12/9, 24, 17, 11, 1, 
2019/12/10, 31, 9, 12, 2, 
2019/12/11, 17, 7, 13, 2, 
2019/12/12, 11, , , , 
2019/12/17, 17, 16, 11, , 
2019/12/18, 19, 17, 10, 1, 
2019/12/19, 21, 16, 9, , 
2019/12/20, 22, 16, 9, 1, 
2019/12/21, 19, 14, 12, 2, 
2019/12/22, 13, 11, 10, 1, 
2019/12/23, 10, 11, 11, 1, 
2019/12/24, 11, 13, 10, , 
2019/12/25, 12, 11, 9, , 
2019/12/26, 13, 16, 8, 1, 
2019/12/27, 15, 17, 10, 1, 
2019/12/28, 21, , , , 
2019/7/1, 12, 8, 13, , 
2019/7/2, 7, 6, 11, , 
2019/7/3, 6, 7, 12, , 
2019/7/4, 8, 18, 13, , 
2019/7/5, 18, 10, 14, , 
2019/7/6, 11, 20, 13, , 
2019/7/7, 19, 10, 12, , 
2019/7/8, 11, 6, 11, , 
2019/7/9, 6, 5, 12, , 
2019/7/10, 6, 6, 12, , 
2019/7/11, 8, 16, 13, , 
2019/7/12, 17, 17, 13, , 
2019/7/13, 19, 10, 14, , 
2019/7/14, 13, 12, 13, , 
2019/7/15, 21, 11, 13, 1, 
2019/7/16, 19, 8, 13, 1, 
2019/7/17, 16, 8, 12, , 
2019/7/18, 10, 19, 14, , 
2019/7/19, 19, 13, 14, , 
2019/7/20, 11, 10, 14, , 
2019/7/21, 11, 18, 15, , 6
2019/7/22, 21, 11, 15, , 
2019/7/23, 15, 18, 14, , 
2019/7/24, 22, 9, 14, , 
2019/7/25, 12, 17, 13, 1, 
2019/7/26, 17, 12, 13, , 
2019/7/27, 18, 13, 14, 1, 
2019/7/28, 25, 15, 14, 1, 
2019/7/29, 32, 16, 15, , 
2019/7/30, 22, 9, 29, 2, 
2019/7/31, 10, 8, 13, , 
2019/8/1, 9, 8, 14, , 
2019/8/2, 11, 8, 15, , 
2019/8/3, 14, 7, 14, 1, 
2019/8/4, 16, 8, 13, , 
2019/8/5, 9, 9, 13, , 
2019/8/6, 10, 14, 14, 1, 
2019/8/7, 21, 13, 15, , 
2019/8/8, 12, 9, 14, , 
2019/8/9, 9, 9, 14, , 
