date, pm25, pm10, o3, no2, so2, co
2020/1/2, 41, 41, 25, 12, 4, 6
2020/1/3, 41, 28, 17, 13, 4, 5
2020/1/4, 37, 10, 25, 6, 4, 2
2020/1/5, 15, 18, 24, 9, 5, 2
2020/1/6, 26, 16, 22, 10, 5, 2
2020/1/7, 24, 29, 24, 12, 5, 3
2020/1/8, 40, 11, 22, 13, 5, 2
2020/1/9, 23, 14, 19, 13, 5, 2
2020/1/10, 24, 9, 26, 4, 5, 1
2020/1/11, 14, 10, 28, 4, 5, 2
2020/1/12, 11, 11, 26, 10, 5, 2
2020/1/13, 13, 12, 28, 8, 6, 1
2020/1/14, 16, 6, 25, 9, 6, 1
2020/1/15, 6, , 22, 7, 6, 
2019/10/1, 24, 22, 19, 9, 1, 1
2019/10/2, 22, 25, 16, 12, , 1
2019/10/3, 34, 34, 19, 5, 4, 2
2019/10/4, 34, 28, 2, 9, 2, 5
2019/10/5, 35, , 18, 4, 1, 
2019/10/6, 20, , 12, 12, 1, 
2019/10/7, 28, , 21, 5, 1, 3
2019/10/8, 27, , 18, 11, 1, 4
2019/10/9, 23, , 16, 13, 1, 4
2019/10/10, 40, , 20, 6, 6, 5
2019/10/11, 19, , 21, 9, 4, 3
2019/10/12, 20, , 22, 6, 2, 3
2019/10/13, 10, , 12, 15, 2, 2
2019/10/14, 15, 36, 12, 18, 2, 2
2019/10/15, 49, 30, 21, 8, 2, 2
2019/10/16, 37, 27, 15, 16, 1, 1
2019/10/17, 28, 20, 22, 7, 1, 1
2019/10/18, 21, 18, 19, 12, 2, 2
2019/10/19, 26, 14, 25, 12, 8, 1
2019/10/20, 23, 15, 18, 14, 2, 1
2019/10/21, 21, 45, 10, 17, 2, 2
2019/10/22, 54, 29, 5, 25, 2, 3
2019/10/23, 71, 42, 10, 14, 3, 2
2019/10/24, 71, 22, 21, 8, 1, 2
2019/10/25, 23, 32, 23, 7, 1, 1
2019/10/26, 31, 17, 12, 15, 1, 1
2019/10/27, 21, 17, 10, 17, 1, 2
2019/10/28, 28, 13, 19, 14, 1, 1
2019/10/29, 18, 21, 18, 15, 1, 2
2019/10/30, 33, 27, 6, 19, 2, 2
2019/11/4, 21, 18, 13, 15, 1, 1
2019/11/5, 33, 27, 13, 16, , 2
2019/11/6, 50, 15, 18, 18, , 2
2019/11/7, 29, 13, 16, 18, , 1
2019/11/8, 23, 23, 9, 23, , 2
2019/11/9, 39, 11, 21, 11, , 
2019/11/10, 20, 14, 22, 11, , 
2019/11/11, 18, 13, 23, 13, , 1
2019/11/12, 16, 14, 17, 17, , 1
2019/11/13, 16, 7, 15, 20, , 1
2019/11/14, 13, 12, 18, 16, , 
2019/11/15, 17, 21, 15, 20, , 5
2019/11/16, 44, 18, 10, 21, , 2
2019/11/17, 44, 20, 15, 20, , 3
2019/11/18, 31, 25, 7, 25, 1, 3
2019/11/19, 56, 20, 19, 17, , 
2019/11/20, 28, 26, 9, 18, 1, 1
2019/11/21, 58, 13, 13, 33, 1, 1
2019/11/22, 26, 16, 10, 15, 1, 1
2019/11/23, 41, 16, 5, 13, 1, 2
2019/11/24, 46, 10, 17, 14, 1, 
2019/11/25, 15, 17, 19, 15, 2, 
2019/11/26, 29, 12, 20, 27, 2, 
2019/11/27, 22, 16, 13, 17, 2, 1
2019/11/28, 26, 18, 17, 21, 2, 
2019/12/2, 67, 27, 8, 27, 2, 4
2019/12/3, 55, 34, 3, 24, 1, 4
2019/12/4, 76, 20, 17, 16, 2, 2
2019/12/5, 47, 10, 25, 7, 2, 1
2019/12/6, 16, 14, 19, 11, 2, 
2019/12/7, 22, 18, 29, 4, 2, 
2019/12/8, 23, 19, 26, 11, 3, 1
2019/12/9, 27, 14, 21, 13, 3, 
2019/12/10, 19, 13, 20, 17, 3, 2
2019/12/11, 22, 12, 23, 14, 3, 2
2019/12/12, 15, 17, 25, 9, 1, 2
2019/12/13, 22, 17, 28, 8, 1, 1
2019/12/14, 23, 10, 28, 9, 1, 1
2019/12/15, 12, 22, 25, 21, 2, 2
2019/12/16, 37, 30, 2, 22, 2, 3
2019/12/17, 57, 17, 20, 13, 2, 1
2019/12/18, 36, 13, 24, 10, 2, 3
2019/12/19, 21, 13, 23, 16, 3, 4
2019/12/20, 24, 10, 21, 13, 4, 4
2019/12/21, 19, 11, 21, 11, 4, 4
2019/12/22, 23, 31, 21, 13, 3, 5
2019/12/23, 32, 24, 27, 5, 3, 3
2019/12/24, 35, 14, 15, 10, 3, 4
2019/12/25, 30, 11, 22, 7, 3, 4
2019/12/26, 28, 17, 12, 13, 4, 4
2019/12/27, 35, 17, 16, 11, 4, 3
2019/12/28, 28, , , , , 
2019/7/1, 34, 18, 22, 7, , 
2019/7/2, 43, 18, 34, 6, , 
2019/7/3, 28, 22, 37, 7, 1, 
2019/7/4, 45, 18, 32, 9, 1, 
2019/7/5, 41, 12, 17, 7, 1, 
2019/7/6, 27, 13, 26, 3, 1, 
2019/7/7, 28, 17, 28, 6, 1, 
2019/7/8, 37, 19, 19, 8, 1, 1
2019/7/9, 36, 17, 28, 5, 1, 1
2019/7/10, 32, 12, 21, 5, 2, 
2019/7/11, 17, 11, 21, 4, 2, 
2019/7/12, 15, 8, 21, 6, 2, 
2019/7/13, 12, 13, 28, 4, 2, 
2019/7/14, 24, 13, 30, 6, 1, 
2019/7/15, 19, 8, 38, 7, 1, 
2019/7/16, 23, 2, 28, 9, 1, 
2019/7/19, 6, 2, 19, 7, 1, 
2019/7/20, 5, 3, 19, 9, 1, 
2019/7/21, 6, 8, 13, 7, 1, 
2019/7/22, 26, 29, 36, 13, 1, 1
2019/7/23, 51, 17, 26, 7, 1, 1
2019/7/24, 36, 20, 32, 9, 1, 
2019/7/25, 36, 18, 18, 7, 1, 
2019/7/26, 24, 13, 20, 8, 2, 
2019/7/27, 21, 11, 22, 6, 1, 
2019/7/28, 17, 16, 26, 9, 2, 
2019/7/29, 19, 17, 24, 11, 2, 1
2019/7/30, 27, 13, 18, 9, 2, 1
2019/7/31, 21, 17, 28, 11, 1, 1
2019/8/1, 34, 22, 29, 9, 1, 1
2019/8/2, 43, 22, 30, 10, 1, 1
2019/8/3, 46, 17, 23, 6, 1, 1
2019/8/4, 29, 15, 19, 7, 2, 
2019/8/5, 20, 15, 19, 10, 2, 
2019/8/6, 23, 14, 20, 11, 2, 
2019/8/7, 17, 18, 21, 8, 3, 
2019/8/8, 20, 16, 19, 5, 3, 
2019/8/9, 24, 19, 26, 3, 2, 
2019/8/10, 21, 16, 22, 4, 2, 
2019/8/11, 13, 13, 21, 7, 2, 
2019/8/12, 12, 15, 23, 8, 2, 
2019/8/13, 17, 9, 17, 7, 2, 
2019/8/14, 11, 14, 20, 5, , 
2019/8/15, 18, 19, 11, 13, , 
2019/8/16, 46, 18, 21, 7, , 
2019/8/17, 21, 14, 22, 7, , 
2019/8/18, 17, 17, 23, 7, , 
2019/8/19, 27, 30, 24, 10, , 2
2019/8/20, 49, 24, 23, 10, , 2
2019/8/21, 47, 22, 21, 7, , 
2019/8/22, 32, 14, 22, 11, , 1
2019/8/23, 28, 25, 43, 15, , 
2019/8/24, 58, 27, 28, 11, , 
2019/8/25, 66, 22, 22, 4, , 
2019/8/26, 57, 109, 17, 15, 1, 5
2019/8/27, 65, 21, 18, 12, , 1
2019/8/28, 28, 21, 20, 10, , 1
2019/8/29, 27, 23, 17, 10, , 
2019/8/30, 25, 16, 22, 7, , 
2019/8/31, 17, 12, 23, 5, , 
2019/9/1, 12, 22, 21, 10, , 1
2019/9/2, 20, 19, 24, 9, , 1
2019/9/3, 17, 13, 18, 3, , 1
2019/9/4, 14, 22, 23, 7, , 
