date, pm25, o3, so2, co
2020/1/1, 30, , , 
2020/1/2, 35, , , 
2020/1/3, 39, , , 
2020/1/4, 31, , 1, 
2020/1/5, 24, , , 
2020/1/6, 22, , 1, 
2020/1/7, 18, , 2, 
2020/1/8, 15, , 5, 
2020/1/9, 29, , , 
2020/1/10, 54, , 1, 
2020/1/11, 22, , 1, 
2020/1/12, 33, , , 
2020/1/13, 42, , , 
2020/1/14, 51, , , 
2020/1/15, 48, , , 
2020/1/16, 21, , , 
2019/10/1, 30, 10, , 
2019/10/2, 15, 15, , 
2019/10/3, 13, 18, , 
2019/10/4, 17, 15, , 
2019/10/5, 18, 18, , 
2019/10/6, 19, 25, , 
2019/10/7, 31, 26, , 
2019/10/8, 32, 34, 1, 
2019/10/9, 35, 22, , 
2019/10/10, 35, 24, , 
2019/10/11, 20, 30, , 
2019/10/12, 21, 21, , 
2019/10/13, 19, 24, , 
2019/10/14, 26, 23, , 
2019/10/15, 32, 20, , 
2019/10/16, 22, 23, 3, 
2019/10/17, 32, 30, 2, 
2019/10/18, 28, 22, 2, 
2019/10/19, 38, 22, 3, 
2019/10/20, 39, 21, 1, 
2019/10/21, 28, 22, , 
2019/10/22, 21, 20, 2, 
2019/10/23, 27, 22, , 
2019/10/24, 28, 24, , 
2019/10/25, 43, 13, 1, 
2019/10/26, 53, 17, 1, 
2019/10/27, 47, 19, , 
2019/10/28, 23, 23, , 
2019/10/29, 31, 17, , 
2019/10/30, 31, 18, , 
2019/10/31, 38, 16, , 
2019/11/1, 29, 18, , 
2019/11/2, 32, 19, 1, 
2019/11/3, 37, 5, , 
2019/11/4, 35, , 2, 
2019/11/5, 29, , 3, 
2019/11/6, 37, , , 
2019/11/7, 25, , 2, 
2019/11/8, 37, , 4, 
2019/11/9, 50, , , 
2019/11/10, 46, , , 
2019/11/11, 22, , 1, 
2019/11/12, 23, , 1, 
2019/11/13, 36, , , 
2019/11/14, 52, , 1, 
2019/11/15, 62, , 3, 
2019/11/16, 75, , 1, 
2019/11/17, 64, , 2, 
2019/11/18, 38, , 2, 
2019/11/19, 43, , 2, 
2019/11/20, 43, , 1, 
2019/11/21, 27, , , 
2019/11/22, 38, , , 
2019/11/23, 38, , , 
2019/11/24, 43, , , 
2019/11/25, 40, , , 
2019/11/26, 29, , , 
2019/11/27, 24, , 1, 
2019/11/28, 23, , 1, 
2019/11/29, 38, , 1, 
2019/11/30, 26, , , 
2019/12/1, 21, , , 
2019/12/2, 25, , , 
2019/12/3, 25, , , 
2019/12/4, 27, , 3, 
2019/12/5, 43, , , 
2019/12/6, 39, , 2, 
2019/12/7, 46, , 3, 
2019/12/8, 56, , , 
2019/12/9, 52, , , 
2019/12/10, 40, , , 
2019/12/11, 50, , 3, 
2019/12/12, 55, , 3, 
2019/12/13, 84, , , 
2019/12/14, 57, , , 
2019/12/15, 40, , , 
2019/12/16, 40, , , 
2019/12/17, 38, , 2, 
2019/12/18, 44, , 2, 
2019/12/19, 63, , 2, 
2019/12/20, 56, , 1, 
2019/12/21, 58, , , 
2019/12/22, 48, , 1, 
2019/12/23, 54, , 1, 
2019/12/24, 59, , , 
2019/12/25, 37, , , 
2019/12/26, 45, , , 
2019/12/27, 60, , , 
2019/12/28, 58, , , 
2019/7/1, 26, 39, , 
2019/7/2, 35, 34, , 
2019/7/3, 22, 38, , 
2019/7/4, 37, 36, 1, 
2019/7/5, 22, 26, , 
2019/7/6, 37, 29, , 
2019/7/7, 66, 37, 1, 
2019/7/8, 67, 35, 1, 
2019/7/9, 61, 34, , 
2019/7/10, 13, 31, , 
2019/7/11, 19, 37, , 
2019/7/12, 28, 37, 1, 
2019/7/13, 24, 40, 1, 
2019/7/14, 37, 29, 2, 
2019/7/15, 24, 32, 2, 
2019/7/16, 23, 27, 2, 
2019/7/17, 14, 36, 1, 
2019/7/18, 24, 36, , 
2019/7/19, 34, 31, 1, 
2019/7/20, 21, 25, , 
2019/7/21, 14, 25, , 
2019/7/22, 20, 29, , 
2019/7/23, 28, 37, , 
2019/7/24, 42, 36, , 
2019/7/25, 52, 38, , 
2019/7/26, 48, 38, , 
2019/7/27, 50, 37, , 
2019/7/28, 47, 30, , 
2019/7/29, 19, 29, , 
2019/7/30, 13, 34, 1, 
2019/7/31, 19, 39, 1, 
2019/8/1, 28, 50, 2, 
2019/8/2, 37, 51, 1, 
2019/8/3, 45, 45, , 
2019/8/4, 45, 37, , 
2019/8/5, 41, 31, , 
2019/8/6, 19, 33, , 
2019/8/7, 25, 29, , 
2019/8/8, 18, 32, , 
2019/8/9, 24, 35, 1, 
2019/8/10, 25, 27, 1, 
2019/8/11, 29, 21, , 
2019/8/12, 33, 30, , 
2019/8/13, 13, 19, , 
2019/8/14, 15, 30, , 
2019/8/15, 19, 30, , 
2019/8/16, 25, 33, , 
2019/8/17, 26, 30, , 
2019/8/18, 13, 29, , 
2019/8/19, 20, 37, , 
2019/8/20, 20, 18, , 
2019/8/21, 15, 28, , 
2019/8/22, 20, 28, , 
2019/8/23, 20, 31, , 
2019/8/24, 20, 28, , 
2019/8/25, 21, 21, , 
2019/8/26, 22, 26, , 
2019/8/27, 14, 23, , 
2019/8/28, 13, 30, , 
2019/8/29, 19, 26, , 
2019/8/30, 31, 28, , 
2019/8/31, 35, 28, , 
2019/9/1, 39, 27, , 
2019/9/2, 36, 26, , 
2019/9/3, 42, 18, , 
2019/9/4, 22, 27, 1, 
2019/9/5, 26, 23, , 
2019/9/6, 28, 26, , 
2019/9/7, 24, 19, , 
2019/9/8, 25, 24, , 
2019/9/9, 45, 34, , 
2019/9/10, 40, 28, , 
2019/9/11, 54, 26, , 
2019/9/12, 35, 18, , 
2019/9/13, 27, 24, , 
2019/9/14, 26, 29, , 
2019/9/15, 45, 26, , 
2019/9/16, 36, 27, 1, 
2019/9/17, 46, 32, 2, 
2019/9/18, 42, 27, , 
2019/9/19, 33, 39, 1, 
2019/9/20, 55, 20, , 
2019/9/21, 36, 25, , 
2019/9/22, 17, 25, , 
2019/9/23, 21, 29, 1, 
2019/9/24, 25, 25, , 
2019/9/25, 26, 28, , 
2019/9/26, 20, 22, 1, 
2019/9/27, 27, 17, , 
2019/9/28, 30, 15, , 
2019/9/29, 18, 25, , 
2019/9/30, 32, 21, , 
2019/4/1, 22, 30, , 
2019/4/2, 22, 31, 3, 
2019/4/3, 30, 28, , 
2019/4/4, 35, 30, 1, 
2019/4/5, 37, 35, 1, 
2019/4/6, 40, 30, 2, 
2019/4/7, 30, 35, , 
2019/4/8, 19, 37, , 
2019/4/9, 13, 21, , 
2019/4/10, 11, 21, , 
2019/4/11, 27, 28, , 
2019/4/12, 14, 32, , 
2019/4/13, 8, 30, , 
2019/4/14, 13, 31, 2, 
2019/4/15, 29, 36, 1, 
2019/4/16, 34, 31, 1, 
2019/4/17, 40, 32, , 
2019/4/18, 8, 34, , 
2019/4/19, 13, 40, 2, 
2019/4/20, 51, 37, 1, 
2019/4/21, 31, 34, 2, 
2019/4/22, 22, 35, , 
2019/4/23, 20, 32, 1, 
2019/4/24, 30, 33, , 
2019/4/25, 34, 35, , 
2019/4/26, 12, 30, , 
2019/4/27, 17, 32, 1, 
2019/4/28, 15, 28, , 
2019/4/29, 21, 21, , 
2019/4/30, 22, 19, , 
2019/5/1, 10, 26, , 
2019/5/2, 12, 27, 1, 
2019/5/3, 28, 36, 2, 
2019/5/4, 36, 35, , 
2019/5/5, 24, 29, , 
2019/5/6, 17, 26, , 
2019/5/7, 15, 24, , 
2019/5/8, 19, 26, , 
2019/5/9, 8, 33, , 
2019/5/10, 21, 27, , 
2019/5/11, 27, 26, , 
2019/5/12, 22, 35, , 
2019/5/13, 24, 24, 1, 
2019/5/14, 29, 39, 2, 
2019/5/15, 31, 44, 1, 
2019/5/16, 32, 26, , 
2019/5/17, 21, 28, , 
2019/5/18, 16, 30, , 
2019/5/19, 10, 21, , 
2019/5/20, 5, 22, , 
2019/5/21, 12, 31, , 
2019/5/22, 14, 28, , 
2019/5/23, 11, 25, 1, 
2019/5/24, 18, 35, , 
2019/5/25, 14, 36, 1, 
2019/5/26, 37, 30, 1, 
2019/5/27, 18, 20, , 
2019/5/28, 6, 27, , 
2019/5/29, 16, 31, , 
2019/5/30, 15, 41, , 
2019/5/31, 43, 40, , 
2019/6/1, 57, 39, , 
2019/6/2, 37, 35, 2, 
2019/6/3, 32, 33, , 
2019/6/4, 38, 46, , 
2019/6/5, 15, 41, 1, 
2019/6/6, 28, 45, 1, 
2019/6/7, 38, 45, 1, 
2019/6/8, 34, 40, 2, 
2019/6/9, 35, 34, , 
2019/6/10, 17, 32, 1, 
2019/6/11, 22, 28, , 
2019/6/12, 18, 33, , 
2019/6/13, 21, 31, 1, 
2019/6/14, 20, 32, 1, 
2019/6/15, 25, 21, , 
2019/6/16, 18, 29, , 
2019/6/17, 21, 30, , 
2019/6/18, 28, 25, , 
2019/6/19, 23, 28, , 
