date, pm25, o3, so2, co
2020/1/2, 28, 16, , 1
2020/1/3, 39, 23, 1, 
2020/1/4, 52, 24, 1, 
2020/1/5, 43, 23, 1, 
2020/1/6, 38, 20, , 
2020/1/7, 26, 22, , 
2020/1/8, 18, 23, 1, 1
2020/1/9, 24, 23, 1, 1
2020/1/10, 20, 24, , 
2020/1/11, 15, 24, , 
2020/1/12, 31, 19, , 
2020/1/13, 35, 18, 1, 
2020/1/14, 47, 15, , 
2020/1/15, 38, 20, , 
2020/1/16, 36, , , 
2019/10/1, 36, 27, 1, 
2019/10/2, 30, 17, , 
2019/10/3, 21, 23, , 
2019/10/4, 13, 30, , 
2019/10/5, 19, 29, , 
2019/10/6, 22, 28, , 
2019/10/7, 24, 33, , 
2019/10/8, 29, 36, , 
2019/10/9, 25, 25, 1, 
2019/10/10, 29, 21, , 
2019/10/11, 19, 30, , 
2019/10/12, 17, 32, 2, 
2019/10/13, 21, 30, 1, 
2019/10/14, 24, 26, 1, 
2019/10/15, 22, 20, , 
2019/10/16, 26, 26, , 
2019/10/17, 24, 29, 1, 
2019/10/18, 23, 35, 1, 
2019/10/19, 32, 28, , 
2019/10/20, 32, 27, 1, 
2019/10/21, 18, 24, , 
2019/10/22, 20, 31, 1, 
2019/10/23, 17, 23, , 
2019/10/24, 26, 19, , 
2019/10/25, 27, 14, , 
2019/10/26, 33, 27, 1, 
2019/10/27, 36, 12, , 
2019/10/28, 34, 16, , 
2019/11/1, 18, 22, , 
2019/11/2, 29, 25, 1, 
2019/11/3, 20, 22, 2, 
2019/11/4, 36, 24, 1, 
2019/11/5, 32, 22, 2, 
2019/11/6, 35, 19, , 
2019/11/7, 31, 25, , 
2019/11/8, 29, 22, 1, 
2019/11/9, 30, 22, 1, 
2019/11/10, 53, 26, , 
2019/11/11, 27, 26, , 
2019/11/12, 20, 25, 2, 
2019/11/13, 25, 19, 1, 
2019/11/14, 46, 22, 1, 
2019/11/15, 61, 20, , 
2019/11/16, 69, 15, 1, 
2019/11/17, 60, 16, 1, 
2019/11/18, 46, 7, , 
2019/11/19, 52, 16, , 
2019/11/20, 32, 19, 1, 1
2019/11/21, 38, 17, , 
2019/11/22, 23, 18, , 
2019/11/23, 40, 21, 1, 
2019/11/24, 31, 24, 1, 
2019/11/25, 34, 19, 1, 
2019/11/26, 45, 21, 1, 
2019/11/27, 25, 18, , 
2019/11/28, 18, 15, , 
2019/11/29, 38, 10, 1, 
2019/11/30, 25, 16, 1, 
2019/12/1, 16, 26, , 
2019/12/2, 14, 20, 1, 
2019/12/3, 30, 23, 1, 
2019/12/4, 20, 20, 1, 
2019/12/5, 30, 20, 1, 
2019/12/6, 36, 21, , 
2019/12/7, 26, 25, 1, 
2019/12/8, 49, 18, 1, 
2019/12/9, 51, 25, , 
2019/12/10, 24, 17, 1, 1
2019/12/11, 52, 18, 1, 1
2019/12/12, 36, 19, 1, 1
2019/12/13, 33, 15, , 1
2019/12/14, 56, 14, , 1
2019/12/15, 51, 22, , 1
2019/12/16, 55, 22, , 1
2019/12/17, 48, 25, , 1
2019/12/18, 46, 22, 1, 
2019/12/19, 57, 18, 1, 1
2019/12/20, 60, 19, 1, 1
2019/12/21, 67, 23, 1, 1
2019/12/22, 64, 22, 2, 1
2019/12/23, 62, 23, 1, 1
2019/12/24, 53, 23, 1, 
2019/12/25, 29, 20, , 
2019/12/26, 28, 15, , 1
2019/12/27, 59, 7, , 
2019/12/28, 57, , , 
2019/7/1, 37, 39, 1, 
2019/7/2, 43, 37, 1, 
2019/7/3, 32, 34, 1, 
2019/7/4, 30, 28, 1, 
2019/7/5, 36, 35, 1, 
2019/7/6, 30, 37, 1, 
2019/7/7, 72, 40, 1, 
2019/7/8, 49, 46, 1, 
2019/7/9, 50, 37, 1, 
2019/7/10, 46, 37, 1, 
2019/7/11, 25, 44, 1, 
2019/7/12, 33, 44, 2, 
2019/7/13, 32, 47, 1, 
2019/7/14, 35, 26, 1, 
2019/7/15, 46, 21, 1, 
2019/7/16, 31, 31, 1, 
2019/7/17, 30, 34, 1, 
2019/7/18, 28, 34, 2, 
2019/7/19, 40, 28, 1, 
2019/7/20, 34, 35, 2, 
2019/7/21, 31, 32, 2, 
2019/7/22, 24, 32, 1, 1
2019/7/23, 30, 38, 1, 1
2019/7/24, 45, 38, 1, 1
2019/7/25, 33, 45, 2, 1
2019/7/26, 50, 27, 2, 1
2019/7/27, 46, 37, 2, 1
2019/7/28, 46, 32, 2, 1
2019/7/29, 31, 32, 1, 
2019/7/30, 32, 34, 2, 
2019/7/31, 22, 41, 2, 
2019/8/1, 34, 44, 2, 
2019/8/2, 27, 46, 2, 
2019/8/3, 31, 47, 2, 
2019/8/4, 34, 39, 2, 
2019/8/5, 40, 45, 2, 
2019/8/6, 24, 33, 3, 
2019/8/7, 41, 33, 2, 
2019/8/8, 34, 37, 2, 
2019/8/9, 29, 39, 2, 
2019/8/10, 28, 35, 2, 
2019/8/11, 38, 30, 2, 
2019/8/12, 25, 34, 2, 
2019/8/13, 26, 31, 2, 
2019/8/14, 23, 30, 2, 
2019/8/15, 31, 30, 2, 
2019/8/16, 24, 28, 2, 
2019/8/17, 33, 28, 2, 
2019/8/18, 39, 35, 2, 
2019/8/19, 26, 31, 2, 
2019/8/20, 29, 32, 2, 
2019/8/21, 30, 33, 2, 
2019/8/22, 34, 31, 2, 
2019/8/23, 24, 29, 2, 1
2019/8/24, 21, 29, 2, 1
2019/8/25, 24, 25, 2, 
2019/8/26, 21, 29, 2, 
2019/8/27, 20, 24, 2, 
2019/8/28, 20, 29, 2, 
2019/8/29, 24, 27, 2, 
2019/8/30, 25, 27, 2, 
2019/8/31, 21, 29, 2, 
2019/9/1, 28, 30, 2, 
2019/9/2, 30, 29, 2, 
2019/9/3, 33, 25, 2, 
2019/9/4, 32, 29, 2, 
2019/9/5, 26, 24, 2, 
2019/9/6, 15, 27, 1, 
2019/9/7, 31, 23, 1, 
2019/9/8, 25, 35, 2, 
2019/9/9, 37, 31, 1, 1
2019/9/10, 40, 35, 1, 1
2019/9/11, 40, 31, 2, 1
2019/9/12, 40, 26, 1, 
2019/9/13, 54, 30, 1, 1
2019/9/16, 29, 37, 2, 2
2019/9/17, 32, 40, 2, 2
2019/9/18, 37, 48, 1, 2
2019/9/19, 38, 47, 2, 2
2019/9/20, 48, 31, 1, 2
2019/9/21, 39, 29, 1, 1
2019/9/22, 37, 27, 1, 2
2019/9/23, 25, 21, 1, 2
2019/9/24, 22, 26, 1, 31
2019/9/25, 26, 31, 1, 12
2019/9/26, 23, 36, 1, 
2019/9/27, 30, 31, , 
2019/9/28, 19, 27, , 
2019/9/29, 25, 33, 1, 1
2019/9/30, 31, 32, 1, 
2019/4/1, 29, 39, 1, 
2019/4/2, 52, 35, , 
2019/4/3, 42, 31, , 
2019/4/4, 33, 31, , 
2019/4/5, 42, 36, 1, 
2019/4/6, 32, 31, , 
2019/4/7, 31, 37, 1, 
2019/4/8, 21, 41, , 
2019/4/9, 22, 26, , 
2019/4/10, 22, 34, 1, 
2019/4/11, 37, 36, 1, 
2019/4/12, 21, 40, , 
2019/4/13, 21, 33, , 
2019/4/14, 13, 37, 1, 
2019/4/15, 18, 39, 1, 
2019/4/16, 27, 40, 1, 
2019/4/17, 31, 27, , 
2019/4/18, 19, 34, , 
2019/4/19, 16, 39, , 
2019/4/20, 18, 43, 1, 
2019/4/21, 29, 40, 1, 
2019/4/22, 28, 23, 1, 
2019/4/23, 34, 32, , 
2019/4/24, 25, 18, , 
2019/4/25, 46, 40, , 
2019/4/26, 23, 28, 1, 
2019/4/27, 24, 37, 1, 
2019/4/28, 24, 28, 1, 
2019/4/29, 29, 22, , 
2019/4/30, 38, 33, 1, 
2019/5/1, 30, 24, , 
2019/5/2, 25, 29, 1, 
2019/5/3, 24, 34, , 
2019/5/4, 26, 43, 1, 
2019/5/5, 27, 36, 1, 
2019/5/6, 30, 29, 1, 
2019/5/7, 40, 40, 1, 
2019/5/8, 28, 31, 1, 
2019/5/9, 27, 34, 1, 
2019/5/10, 20, 30, , 
2019/5/11, 26, 28, , 
2019/5/12, 22, 40, 1, 
2019/5/13, 26, 41, 1, 
2019/5/14, 26, 36, 1, 
2019/5/15, 27, 36, 1, 
2019/5/16, 41, 40, 1, 
2019/5/17, 37, 43, 1, 
2019/5/18, 46, 40, 1, 
2019/5/19, 30, 23, 1, 
2019/5/20, 18, 23, 1, 
2019/5/21, 11, 38, , 
2019/5/22, 31, 19, , 
2019/5/23, 36, 28, 1, 
2019/5/24, 38, 38, 1, 
2019/5/25, 30, 36, 1, 
2019/5/26, 17, 34, 1, 
2019/5/27, 36, 34, 1, 
2019/5/28, 41, 37, 1, 
2019/5/31, 24, 48, 2, 
2019/6/1, 28, 35, 1, 
2019/6/2, 47, 33, 1, 
2019/6/3, 34, 35, 1, 
2019/6/4, 35, 31, 1, 
2019/6/5, 26, 51, 1, 
2019/6/6, 32, 45, 1, 
2019/6/7, 36, 35, 1, 
2019/6/8, 35, 31, 1, 
2019/6/9, 33, 35, , 
2019/6/10, 27, 44, , 
2019/6/11, 33, 40, 2, 
2019/6/12, 26, 32, , 
2019/6/13, 22, 42, 1, 
2019/6/14, 21, 33, 2, 
2019/6/15, 36, 38, 1, 
2019/6/16, 32, 25, 1, 
2019/6/17, 37, 43, 1, 
2019/6/18, 40, 36, 2, 
2019/6/19, 34, 30, 1, 
2019/6/20, 21, 28, 1, 
2019/6/21, 34, 36, , 
2019/6/22, 27, 28, 1, 
2019/6/23, 30, 34, 1, 
2019/6/24, 27, 41, 1, 
2019/6/25, 23, 35, 1, 
2019/6/26, 30, 42, 1, 
2019/6/27, 32, 40, 1, 
2019/6/28, 36, 38, 2, 
2019/6/29, 40, 37, 1, 
2019/6/30, 42, 40, 1, 
2019/1/1, 39, 20, , 
2019/1/2, 31, 18, 1, 
2019/1/3, 29, 10, 2, 
2019/1/4, 44, 18, 1, 
2019/1/5, 41, 17, 1, 
2019/1/6, 40, 23, 1, 
2019/1/7, 30, 25, , 
2019/1/8, 20, 21, , 
2019/1/9, 26, 19, , 
2019/1/10, 32, 17, , 
2019/1/11, 40, 18, , 
2019/1/12, 59, 27, , 
2019/1/13, 55, 26, , 
2019/1/14, 56, 29, , 
2019/1/15, 27, 22, , 
2019/1/16, 41, 20, , 
2019/1/17, 40, 18, , 
2019/1/18, 67, 28, , 
2019/1/19, 33, 29, , 
2019/1/20, 28, 30, 3, 
2019/1/21, 24, 24, 1, 
