date, pm25, pm10, o3, no2, so2, co
2020/1/2, 106, 67, 8, 5, 5, 8
2020/1/3, 115, 77, 8, 6, 4, 7
2020/1/4, 134, 75, 6, 6, 4, 5
2020/1/5, 130, 54, 3, 5, 4, 5
2020/1/6, 105, 42, 4, 5, 4, 6
2020/1/7, 84, 33, 7, 3, 5, 5
2020/1/8, 80, 41, 6, 4, 2, 3
2020/1/9, 87, 53, 9, 5, 2, 4
2020/1/10, 83, 78, 5, 7, 3, 7
2020/1/11, 125, 105, 4, 7, 4, 8
2020/1/12, 160, 77, 5, 6, 6, 7
2020/1/13, 135, 59, 4, 4, 3, 6
2020/1/14, 110, 65, 5, 5, 3, 5
2020/1/15, 125, 68, 2, 3, 3, 5
2020/1/16, 105, , , , , 
2019/12/3, 167, 108, 8, 5, 4, 11
2019/12/4, 169, 107, 10, 1, 4, 11
2019/12/5, 169, 78, 7, 4, 6, 9
2019/12/6, 164, 89, 5, 5, 5, 9
2019/12/7, 154, 78, 7, 6, 5, 7
2019/12/8, 152, 88, 5, 10, 5, 8
2019/12/9, 167, 99, 5, 9, 6, 7
2019/12/10, 168, 99, 4, 10, 5, 9
2019/12/11, 189, 84, 5, 10, 4, 8
2019/12/12, 167, 38, 13, 6, 4, 3
2019/12/13, 66, 35, 3, 7, 5, 4
2019/12/14, 92, 53, 4, 5, 4, 4
2019/12/15, 110, 55, 1, 4, 5, 4
2019/12/16, 122, 73, 2, 5, 5, 4
2019/12/17, 137, 64, 2, 5, 2, 5
2019/12/18, 121, 82, 3, 6, 3, 5
2019/12/19, 168, 90, 7, 5, 5, 8
2019/12/20, 174, 77, 4, 4, 2, 6
2019/12/21, 138, 65, 5, 5, 3, 5
2019/12/22, 123, 65, 5, 5, 5, 6
2019/12/23, 117, 89, 4, 6, 3, 6
2019/12/24, 155, 53, 4, 4, 2, 4
2019/12/25, 98, 63, 4, 4, 3, 4
2019/12/26, 110, 86, 3, 6, 2, 5
2019/12/27, 159, 98, 5, 4, 4, 7
2019/12/28, 148, 64, 3, 5, 3, 8
2019/12/29, 158, , , , , 
2020/1/1, , 85, 18, 5, 5, 9
2019/12/2, , 109, 8, 7, 4, 8
