date, pm25, pm10, o3, no2, so2, co
2020/1/2, 148, 67, 4, 14, 3, 10
2020/1/3, 154, , 7, 15, 3, 10
2020/1/4, 186, 86, 6, 20, 5, 14
2020/1/5, 190, , 4, 13, 3, 13
2020/1/6, 132, 25, 24, 13, 3, 14
2020/1/7, 73, 36, 22, 18, 3, 13
2020/1/8, 129, , 13, 10, 2, 9
2020/1/9, 95, 13, 12, 10, 2, 10
2020/1/10, 68, 34, 18, 11, 3, 7
2020/1/11, 124, 44, 18, 20, 3, 10
2020/1/12, 148, 44, 22, 17, 3, 8
2020/1/13, 118, 52, 14, 16, 3, 11
2020/1/14, 164, , 14, 13, 2, 12
2020/1/15, 127, , 17, 7, 2, 10
2020/1/16, 128, , , , , 
2019/10/1, 135, 71, 96, 20, 5, 8
2019/10/2, 152, 87, 109, 27, 7, 10
2019/10/3, 160, 78, 117, 26, 8, 11
2019/10/4, 160, 64, 48, 9, 5, 8
2019/10/5, 137, 26, 7, 8, , 6
2019/10/6, 58, 17, 16, 9, 3, 7
2019/10/7, 56, 32, 43, 10, 4, 8
2019/10/8, 79, 53, 59, 20, 4, 9
2019/10/9, 118, 65, 78, 23, 6, 10
2019/10/10, 158, 44, 28, 8, 5, 6
2019/10/11, 113, 29, 24, 8, 3, 8
2019/10/12, 98, 34, 33, 9, 3, 7
2019/10/13, 98, 43, 28, 13, 4, 8
2019/10/14, 104, 54, 20, 12, 4, 6
2019/10/15, 156, 34, 21, 12, 3, 6
2019/10/16, 109, 34, 27, 10, 3, 6
2019/10/17, 115, 38, 51, 14, 5, 6
2019/10/18, 121, 63, 68, 30, 4, 10
2019/10/19, 127, 65, 79, 34, 4, 9
2019/10/20, 134, 76, 74, 41, 5, 9
2019/10/21, 147, 80, 30, 28, 6, 10
2019/10/22, 165, 43, 24, 10, 3, 8
2019/10/23, 145, 46, 47, 12, 5, 8
2019/10/24, 117, 37, 38, 12, 3, 6
2019/10/25, 97, 35, 13, 9, 3, 6
2019/10/26, 76, 37, 17, 11, 4, 6
2019/10/27, 108, 44, 33, 18, 3, 8
2019/10/28, 96, 68, 31, 25, 5, 12
2019/10/29, 129, 88, 43, 30, 5, 11
2019/10/30, 142, 93, 62, 35, 5, 9
2019/10/31, 145, 95, 69, 27, 5, 9
2019/11/1, 155, 100, 65, 23, 7, 9
2019/11/2, 177, 71, 80, 13, 5, 7
2019/11/3, 157, 75, 63, 14, 6, 10
2019/11/4, 180, 81, 61, 13, 6, 9
2019/11/5, 179, , 28, 19, 4, 10
2019/11/6, 217, 60, 60, 13, 5, 9
2019/11/7, 166, 65, 65, 16, 5, 9
2019/11/8, 167, 70, 60, 26, 4, 9
2019/11/9, 159, 73, 70, 29, 5, 9
2019/11/10, 156, 70, 55, 33, 5, 10
2019/11/11, 145, 66, 46, 27, 7, 9
2019/11/12, 146, 41, 31, 11, 4, 6
2019/11/13, 119, 46, 31, 21, 5, 6
2019/11/14, 75, 69, 43, 31, 7, 10
2019/11/15, 122, 83, 28, 33, 7, 10
2019/11/16, 150, 98, 23, 26, 6, 11
2019/11/17, 179, 47, 25, 9, 3, 5
2019/11/18, 69, 60, 30, 13, 5, 5
2019/11/19, 84, 60, 25, 19, 5, 6
2019/11/20, 103, 59, 34, 16, 7, 7
2019/11/21, 137, 79, 34, 35, 6, 10
2019/11/22, 152, 64, 43, 35, 8, 12
2019/11/23, 151, 69, 32, 23, 5, 11
2019/11/24, 183, 14, 18, 8, 2, 6
2019/11/25, 75, 20, 11, 9, 2, 5
2019/11/26, 74, 12, 11, 9, 2, 7
2019/11/27, 48, , 16, 11, 4, 6
2019/11/28, 148, 51, 6, 15, 4, 8
2019/11/29, 161, 45, 7, 13, 3, 8
2019/11/30, 138, , 20, 12, 3, 10
2019/12/1, 147, 54, 33, 18, 4, 9
2019/12/2, 155, 57, 34, 24, 5, 11
2019/12/3, 137, 59, 34, 27, 5, 11
2019/12/4, 135, 54, 34, 23, 6, 8
2019/12/5, 128, 59, 36, 24, 7, 10
2019/12/6, 152, 78, 35, 36, 6, 12
2019/12/7, 170, 74, 30, 32, 6, 10
2019/12/8, 153, 80, 32, 35, 9, 13
2019/12/9, 159, 87, 32, 36, 9, 13
2019/12/10, 163, 75, 39, 29, 6, 13
2019/12/11, 172, 84, 35, 27, 5, 10
2019/12/12, 174, 94, 26, 39, 5, 12
2019/12/13, 179, 90, 35, 29, 6, 13
2019/12/14, 220, , 20, 21, 6, 14
2019/12/15, 253, , 15, 19, 6, 13
2019/12/16, 201, 60, 15, 15, 4, 11
2019/12/17, 159, , 12, 13, 7, 14
2019/12/18, 135, , 12, 13, 2, 10
2019/12/19, 147, 26, 14, 14, 2, 10
2019/12/20, 115, 27, 13, 11, 3, 7
2019/12/21, 109, , 15, 16, 3, 8
2019/12/22, 150, 36, 8, 17, 3, 10
2019/12/23, 123, 55, 10, 14, 2, 10
2019/12/24, 173, 20, 3, 14, 3, 12
2019/12/25, 120, 65, 20, 17, 5, 11
2019/12/26, 139, 71, 28, 29, 5, 13
2019/12/27, 172, 69, 14, 31, 4, 10
2019/12/28, 162, , 11, 20, 3, 7
2019/12/29, 146, , , , , 
2019/7/1, 102, 54, 82, 7, 3, 8
2019/7/2, 96, 56, 97, 7, 3, 8
2019/7/3, 111, 29, 43, 9, 2, 7
2019/7/4, 82, 26, 29, 10, 3, 7
2019/7/5, 60, 24, 39, 7, 3, 6
2019/7/6, 68, 23, 40, 10, 3, 6
2019/7/7, 72, 16, 33, 8, 2, 6
2019/7/8, 54, 27, 49, 5, 2, 6
2019/7/9, 63, 47, 68, 9, 3, 7
2019/7/10, 91, 47, 55, 14, 3, 8
2019/7/11, 105, 42, 34, 10, 3, 8
2019/7/12, 82, 25, 38, 4, 2, 6
2019/7/13, 52, 30, 46, 11, 2, 6
2019/7/14, 77, 27, 64, 11, 2, 7
2019/7/15, 59, 36, 46, 10, 3, 7
2019/7/16, 74, 37, 60, 11, 2, 7
2019/7/17, 73, 38, 54, 9, 2, 7
2019/7/18, 84, 48, 43, 6, 2, 8
2019/7/19, 109, 45, 67, 7, 3, 6
2019/7/20, 89, 42, 33, 14, 3, 8
2019/7/21, 95, 34, 56, 10, 3, 7
2019/7/22, 76, 30, 41, 10, 4, 6
2019/7/23, 61, 32, 47, 10, 4, 6
2019/7/24, 51, 36, 42, 10, 4, 5
2019/7/25, 61, 31, 42, 9, 4, 4
2019/7/26, 61, 33, 41, 9, 4, 5
2019/7/27, 64, 40, 48, 9, 4, 4
2019/7/28, 73, 41, 53, 9, 4, 6
2019/7/29, 74, 33, 42, 9, 4, 5
2019/7/30, 59, 41, 79, 7, 3, 5
2019/7/31, 71, 36, 47, 9, 3, 4
2019/8/1, 66, 34, 33, 10, 3, 4
2019/8/2, 48, 31, 41, 9, 3, 4
2019/8/3, 57, 35, 60, 9, 3, 4
2019/8/4, 69, 50, 70, 13, 3, 5
2019/8/5, 90, 51, 77, 13, 3, 7
2019/8/6, 97, 53, 59, 13, 3, 7
2019/8/7, 101, 45, 67, 6, 3, 7
2019/8/8, 98, 47, 58, 6, 5, 8
2019/8/9, 92, 38, 42, 4, 3, 6
2019/8/10, 89, 37, 72, 8, 3, 6
2019/8/11, 70, 40, 85, 10, 3, 6
2019/8/12, 72, 43, 90, 14, 3, 6
2019/8/13, 79, 53, 69, 13, 3, 7
2019/8/14, 112, 62, 65, 16, 4, 8
2019/8/15, 119, 52, 90, 17, 4, 9
2019/8/16, 110, 58, 98, 21, 5, 8
2019/8/17, 113, 62, 91, 16, 4, 7
2019/8/18, 102, 53, 79, 13, 3, 7
2019/8/19, 113, 59, 107, 15, 3, 7
2019/8/20, 114, 63, 89, 16, 4, 8
2019/8/21, 122, 47, 85, 12, 3, 8
2019/8/22, 90, 61, 71, 12, 3, 10
2019/8/23, 138, 58, 90, 9, 4, 10
2019/8/24, 128, 60, 96, 9, 4, 10
2019/8/25, 118, 33, 45, 11, 3, 8
2019/8/26, 73, 29, 46, 10, 4, 8
2019/8/27, 53, 33, 39, 5, 3, 8
2019/8/28, 81, 28, 42, 8, 4, 8
2019/8/29, 56, 42, 70, 16, 3, 7
2019/8/30, 64, 41, 69, 7, 4, 6
2019/8/31, 88, 40, 52, 8, 5, 6
2019/9/1, 83, 52, 34, 14, 3, 7
2019/9/2, 133, 47, 72, 13, 3, 7
2019/9/3, 93, 49, 87, 10, 5, 8
2019/9/4, 97, 52, 86, 11, 5, 8
2019/9/5, 112, 51, 100, 10, 5, 8
2019/9/6, 101, 52, 103, 15, 5, 7
2019/9/7, 91, 63, 120, 20, 4, 7
2019/9/8, 121, 62, 105, 16, 5, 9
2019/9/9, 129, 60, 96, 12, 5, 11
2019/9/10, 136, 60, 88, 11, 4, 13
2019/9/11, 147, 64, 107, 18, 4, 13
2019/9/12, 152, 55, 91, 12, 4, 7
2019/9/13, 133, 51, 53, 4, 5, 7
2019/9/14, 96, 44, 65, 6, 6, 7
2019/9/15, 88, 45, 42, 6, 5, 8
2019/9/16, 94, 49, 47, 7, 5, 9
2019/9/17, 104, 41, 30, 11, 3, 10
2019/9/18, 105, 50, 74, 7, 4, 7
2019/9/19, 97, 52, 71, 9, 6, 6
2019/9/20, 102, 52, 77, 10, 6, 5
2019/9/21, 92, 55, 87, 10, 6, 5
2019/9/22, 102, 56, 91, 14, 6, 7
2019/9/23, 105, 56, 93, 17, 6, 6
2019/9/24, 108, 66, 84, 24, 6, 7
2019/9/25, 124, 76, 93, 25, 7, 9
2019/9/26, 152, 66, 108, 28, 6, 9
2019/9/27, 137, 70, 106, 29, 5, 8
2019/9/28, 136, 80, 123, 37, 5, 9
2019/9/29, 147, 68, 107, 30, 5, 9
2019/9/30, 139, 61, 104, 23, 5, 7
2019/4/1, 119, 40, 23, 19, 2, 8
2019/4/2, 103, 29, 23, 11, 2, 9
2019/4/3, 75, 37, 23, 17, 2, 9
2019/4/4, 124, 47, 42, 18, 4, 11
2019/4/5, 129, 54, 59, 21, 5, 10
2019/4/6, 114, 67, 66, 25, 5, 11
2019/4/7, 128, 57, 49, 17, 4, 10
2019/4/8, 140, 39, 32, 7, 3, 7
2019/4/9, 94, 18, 26, 7, 2, 6
2019/4/10, 66, 26, 33, 9, 2, 7
2019/4/11, 78, 48, 32, 19, 3, 7
2019/4/12, 116, 53, 17, 23, 3, 9
2019/4/13, 143, 47, 23, 12, 5, 7
2019/4/14, 138, 39, 37, 14, 3, 6
2019/4/15, 107, 50, 46, 18, 3, 7
2019/4/16, 118, 51, 54, 23, 3, 8
2019/4/17, 94, 52, 33, 20, 5, 8
