date, pm25, pm10, no2, so2, co
2020/1/2, 150, 57, 20, 4, 6
2020/1/3, 105, 82, 22, 5, 9
2020/1/4, 165, 60, 22, 5, 7
2020/1/5, 126, 69, 22, 6, 10
2020/1/6, 103, 61, 18, 4, 13
2020/1/7, 108, 48, 15, 5, 8
2020/1/8, 127, 46, 17, 5, 8
2020/1/9, 117, 30, 15, 5, 5
2020/1/10, 71, 47, 16, 5, 8
2020/1/11, 115, 97, 19, 6, 11
2020/1/12, 188, 132, 26, 6, 14
2020/1/13, 216, 123, 23, 6, 14
2020/1/14, 224, 50, 16, 5, 6
2020/1/15, 123, 14, 9, 4, 4
2020/1/16, 31, , , , 
2019/10/1, 63, 19, 7, 5, 5
2019/10/2, 43, 39, 18, 6, 6
2019/10/3, 84, 46, 17, 6, 7
2019/10/4, 103, 34, 9, 6, 4
2019/10/5, 75, 30, 10, 6, 4
2019/10/6, 53, 57, 19, 6, 7
2019/10/7, 103, 63, 17, 7, 10
2019/10/8, 132, 62, 23, 7, 7
2019/10/9, 87, 48, 29, 7, 5
2019/10/10, 89, 83, 20, 7, 10
2019/10/11, 134, 44, 11, 6, 5
2019/10/12, 84, 44, 11, 6, 5
2019/10/13, 79, 42, 11, 7, 4
2019/10/14, 76, 27, 9, 5, 3
2019/10/15, 53, 36, 14, 6, 6
2019/10/16, 67, 44, 15, 8, 9
2019/10/17, 82, 49, 15, 6, 7
2019/10/18, 90, 58, 15, 7, 7
2019/10/19, 115, 58, 14, 6, 6
2019/10/20, 119, 51, 15, 6, 7
2019/10/21, 107, 47, 14, 6, 6
2019/10/22, 91, 58, 13, 6, 6
2019/10/23, 109, 50, 17, 10, 8
2019/10/24, 94, 80, 21, 7, 11
2019/10/25, 138, 39, 18, 8, 8
2019/10/26, 69, 58, 28, 8, 8
2019/10/27, 114, 83, 30, 7, 7
2019/10/28, 147, 110, 31, 11, 10
2019/10/29, 157, 138, 35, 9, 7
2019/10/30, 155, 127, 35, 7, 7
2019/10/31, 150, 120, 35, 7, 6
2019/11/1, 153, 139, 19, 6, 10
2019/11/2, 155, 46, 14, 6, 5
2019/11/3, 66, 61, 16, 6, 6
2019/11/4, 104, 45, 15, 9, 7
2019/11/5, 77, 41, 20, 8, 5
2019/11/6, 77, 61, 15, 6, 6
2019/11/7, 112, 45, 14, 7, 5
2019/11/8, 85, 42, 18, 7, 4
2019/11/9, 83, 63, 22, 7, 6
2019/11/10, 113, 78, 30, 9, 8
2019/11/11, 130, 75, 40, 7, 5
2019/11/12, 99, 85, 23, 10, 7
2019/11/13, 127, 63, 16, 6, 4
2019/11/14, 81, 63, 26, 7, 4
2019/11/15, 79, 65, 35, 7, 5
2019/11/16, 91, 83, 29, 8, 8
2019/11/17, 120, 77, 13, 6, 8
2019/11/18, 103, 96, 19, 7, 8
2019/11/19, 106, 67, 18, 17, 7
2019/11/20, 78, 49, 18, 5, 4
2019/11/21, 65, 58, 20, 6, 6
2019/11/22, 83, 45, 24, 5, 5
2019/11/23, 77, 59, 18, 6, 7
2019/11/24, 97, 32, 7, 5, 6
