date, pm25, o3
2020/1/2, 26, 2
2020/1/3, 25, 20
2020/1/4, 18, 25
2020/1/5, 20, 26
2020/1/6, 21, 23
2020/1/7, 22, 27
2020/1/8, 19, 15
2020/1/9, 25, 28
2020/1/10, 30, 28
2020/1/11, 14, 24
2020/1/12, 11, 13
2020/1/13, 32, 6
2020/1/14, 32, 13
2020/1/15, 21, 
2019/10/1, 62, 23
2019/10/2, 50, 39
2019/10/3, 46, 42
2019/10/4, 20, 32
2019/10/5, 25, 32
2019/10/6, 37, 29
2019/10/7, 14, 16
2019/10/8, 17, 30
2019/10/9, 16, 36
2019/10/10, 23, 36
2019/10/11, 27, 17
2019/10/12, 19, 22
2019/10/13, 16, 37
2019/10/14, 21, 35
2019/10/15, 28, 27
2019/10/16, 24, 25
2019/10/17, 15, 26
2019/10/18, 22, 28
2019/10/19, 22, 25
2019/10/20, 14, 25
2019/10/21, 18, 30
2019/10/22, 15, 30
2019/10/23, 16, 30
2019/10/24, 26, 10
2019/10/25, 28, 30
2019/10/26, 17, 32
2019/10/27, 15, 24
2019/10/28, 17, 29
2019/10/29, 32, 9
2019/10/30, 30, 17
2019/10/31, 13, 23
2019/11/1, 17, 24
2019/11/2, 23, 23
2019/11/3, 21, 17
2019/11/4, 24, 20
2019/11/5, 32, 15
2019/11/6, 27, 15
2019/11/7, 26, 25
2019/11/8, 26, 24
2019/11/9, 20, 32
2019/11/10, 27, 35
2019/11/11, 36, 23
2019/11/12, 16, 23
2019/11/13, 21, 26
2019/12/26, 42, 24
2019/12/27, 37, 6
2019/12/28, 31, 
2019/8/19, 43, 39
2019/8/20, 47, 39
2019/8/21, 25, 36
2019/8/22, 29, 40
2019/8/23, 15, 23
2019/8/24, 25, 29
2019/8/25, 22, 30
2019/8/26, 19, 32
2019/8/27, 17, 22
2019/8/28, 13, 33
2019/8/29, 19, 33
2019/8/30, 26, 34
2019/8/31, 29, 38
2019/9/1, 28, 39
2019/9/2, 30, 37
2019/9/3, 31, 39
2019/9/4, 37, 40
2019/9/5, 29, 38
2019/9/6, 20, 39
2019/9/7, 30, 33
2019/9/8, 29, 40
2019/9/9, 26, 42
2019/9/10, 37, 45
2019/9/11, 45, 39
2019/9/12, 54, 45
