date, pm25, pm10, o3, no2, so2, co
2020/1/2, 10, 4, 27, , , 1
2020/1/3, 14, 5, 28, , , 1
2020/1/4, 12, 4, 28, , , 1
2020/1/5, 10, 7, 28, , , 1
2020/1/6, 12, 5, 28, , , 1
2020/1/7, 12, 5, 28, , , 1
2020/1/8, 14, 6, 28, , , 1
2020/1/9, 14, 4, 26, , , 1
2020/1/10, 11, 6, 30, , , 1
2020/1/11, 22, 1, 29, , , 1
2020/1/12, 11, 6, 28, , , 1
2020/1/13, 9, 7, 32, , 1, 1
2020/1/14, 16, 10, 30, , , 1
2020/1/15, 12, 18, 19, , , 2
2020/1/16, 15, , , , , 
2019/10/1, 17, 11, 28, 1, 3, 1
2019/10/2, 18, 12, 29, 2, 3, 1
2019/10/3, 20, 15, 35, 4, 3, 1
2019/10/4, 20, 14, 38, 2, 3, 1
2019/10/5, 21, 6, 34, 4, 3, 1
2019/10/6, 18, 15, 41, 3, 3, 1
2019/10/7, 19, 16, 37, 6, 3, 1
2019/10/8, 27, 15, 24, 8, 3, 1
2019/10/9, 21, 7, 21, , 2, 1
2019/10/10, 16, 6, 34, 1, 2, 
2019/10/11, 16, 14, 36, 1, 3, 1
2019/10/12, 16, , 38, 2, 3, 1
2019/10/13, 18, 10, 38, 2, 3, 
2019/10/14, 21, 11, 31, 3, 4, 1
2019/10/15, 20, 17, 33, 10, 3, 1
2019/10/16, 22, 17, 32, 7, 4, 1
2019/10/17, 16, 12, 34, 1, 3, 1
2019/10/18, 21, 7, 33, 5, 3, 1
2019/10/19, 24, 16, 30, 9, 4, 1
2019/10/20, 27, 4, 29, 1, 3, 1
2019/10/21, 17, 7, 28, 1, 3, 1
2019/10/22, 16, 4, 28, 1, 3, 1
2019/10/23, 16, 8, 24, 2, 3, 1
2019/10/24, 19, 7, 30, 2, 3, 1
2019/10/25, 17, 8, 29, 1, 4, 1
2019/10/26, 9, 6, 26, 1, 3, 1
2019/10/27, 14, 6, 26, 9, 4, 1
2019/10/28, 25, 9, 24, 8, 3, 1
2019/10/29, 23, 5, 28, 1, 3, 1
2019/10/30, 13, 9, 33, 2, 4, 1
2019/10/31, 17, 5, 29, 1, 3, 1
2019/11/1, 15, 8, 33, 14, 3, 1
2019/11/2, 24, 9, 33, 10, 4, 1
2019/11/3, 21, 7, 24, 5, 4, 1
2019/11/4, 20, 9, 30, 8, 4, 1
2019/11/5, 17, 7, 20, 9, 3, 1
2019/11/6, 21, 7, 22, 8, , 1
2019/11/7, 19, 8, 32, 6, , 1
2019/11/8, 18, 6, 37, 1, , 1
2019/11/9, 16, 8, 30, 3, 1, 1
2019/11/10, 20, 5, 25, 6, , 1
2019/11/11, 21, 9, 33, 15, 1, 1
2019/11/12, 19, 5, 32, , 1, 1
2019/11/13, 8, 6, 23, , 1, 1
2019/11/14, 17, 11, 29, , 1, 1
2019/11/15, 21, 8, 29, , 1, 1
2019/11/16, 16, 7, 29, , 1, 1
2019/11/17, 14, 6, 28, , 1, 1
