date, pm25, o3
2020/1/2, 30, 
2020/1/3, 39, 
2020/1/4, 34, 
2020/1/5, 25, 
2020/1/6, 21, 
2020/1/7, 29, 
2020/1/8, 20, 
2020/1/9, 27, 
2020/1/10, 56, 
2020/1/11, 12, 
2020/1/12, 27, 
2020/1/13, 38, 
2020/1/14, 54, 
2020/1/15, 60, 
2020/1/16, 52, 
2019/11/26, 43, 
2019/11/27, 29, 
2019/11/28, 14, 
2019/11/29, 28, 
2019/11/30, 51, 
2019/12/1, 29, 
2019/12/2, 17, 
2019/12/3, 30, 
2019/12/4, 27, 
2019/12/5, 43, 
2019/12/6, 41, 
2019/12/7, 44, 
2019/12/8, 64, 
2019/12/9, 50, 
2019/12/10, 29, 
2019/12/11, 44, 
2019/12/12, 43, 
2019/12/13, 46, 
2019/12/14, 74, 
2019/12/15, 45, 
2019/12/16, 49, 
2019/12/17, 41, 
2019/12/18, 34, 
2019/12/19, 60, 
2019/12/20, 91, 
2019/12/21, 63, 
2019/12/22, 57, 
2019/12/23, 57, 
2019/12/24, 58, 
2019/12/25, 44, 
2019/12/26, 39, 
2019/12/27, 57, 
2019/12/28, 87, 
2019/4/1, 32, 35
2019/4/2, 47, 40
2019/4/3, 53, 34
2019/4/4, 39, 25
2019/4/5, 66, 36
2019/4/6, 89, 30
2019/4/7, 49, 42
2019/4/8, 26, 39
2019/4/9, 24, 28
2019/4/10, 15, 25
2019/4/11, 35, 31
2019/4/12, 29, 38
2019/4/13, 24, 31
2019/4/14, 14, 37
2019/4/15, 25, 39
2019/4/16, 42, 38
2019/4/17, 55, 27
2019/4/18, 32, 37
2019/4/19, 10, 38
2019/4/20, 19, 46
2019/4/21, 45, 42
2019/4/22, 37, 36
2019/4/23, 29, 33
2019/4/24, 32, 38
2019/4/25, 49, 40
2019/4/26, 23, 36
2019/4/27, 17, 37
2019/4/28, 20, 27
2019/4/29, 44, 24
2019/4/30, 34, 26
2019/5/1, 21, 28
2019/5/2, 25, 29
2019/5/3, 22, 35
2019/5/4, 44, 44
2019/5/5, 49, 33
2019/5/6, 28, 29
2019/5/7, 18, 34
2019/5/8, 30, 26
2019/5/9, 24, 32
