date, pm25, pm10, o3, no2, so2, co
2020/1/2, 58, 28, 18, 11, , 5
2020/1/3, 70, 18, 23, 6, , 3
2020/1/4, 53, 18, 21, 8, , 4
2020/1/5, 57, 13, 15, 7, , 3
2020/1/6, 38, 26, 14, 8, , 5
2020/1/7, 70, 24, 16, 7, , 3
2020/1/8, 68, 9, 21, 6, , 2
2020/1/9, 34, 13, 18, 7, , 4
2020/1/10, 39, 11, 22, 6, , 2
2020/1/11, 36, 9, 21, 5, , 2
2020/1/12, 33, 8, 24, 4, , 1
2020/1/13, 13, 7, 24, 4, , 2
2020/1/14, 18, 15, 21, 9, , 4
2020/1/15, 43, , , , , 
2019/10/1, 11, 15, 25, 6, , 2
2019/10/2, 14, 19, 35, 5, , 2
2019/10/3, 16, 16, 28, 5, , 1
2019/10/4, 11, 13, 29, , , 2
2019/10/5, 15, 11, 29, , , 2
2019/10/6, 15, 25, 35, , , 2
2019/10/7, 18, 34, 43, , , 3
2019/10/8, 38, 36, 34, , , 1
2019/10/9, 9, 17, 31, , , 2
2019/10/10, 13, 32, 30, 10, , 3
2019/10/11, 22, 34, 37, 9, , 3
2019/10/12, 44, 32, 46, 5, , 2
2019/10/13, 39, 42, 34, 11, , 3
2019/10/14, 38, 43, 34, 9, , 3
2019/10/15, 38, 43, 46, 9, , 3
2019/10/16, 43, 14, 32, 2, , 1
2019/10/17, 12, 24, 29, 8, , 2
2019/10/18, 24, 21, 20, 4, , 2
2019/10/19, 26, 12, , 4, , 2
2019/10/20, 20, 16, 29, 5, , 1
2019/10/21, 14, 22, 32, 4, , 2
2019/10/22, 14, 26, 30, 5, , 1
2019/10/23, 11, 31, 30, 6, , 2
2019/10/24, 17, 32, 35, 11, , 3
2019/10/25, 37, 21, 31, 6, , 2
2019/10/26, 18, 17, 31, 5, , 2
2019/10/27, 15, 32, 31, 9, , 3
2019/10/28, 29, 34, 31, 9, , 3
2019/10/29, 34, 28, 33, 14, , 3
2019/10/30, 30, 30, 30, 13, , 4
2019/10/31, 35, 40, 33, 14, , 5
2019/11/1, 53, 33, 33, 13, , 4
2019/11/2, 51, 29, 33, 13, , 4
2019/11/3, 46, 36, 30, 14, , 4
2019/11/4, 40, 44, 34, 15, , 5
2019/11/5, 55, 38, 33, 15, , 4
2019/11/6, 51, 40, 33, 14, , 4
2019/11/7, 48, 36, 30, 15, , 4
2019/11/8, 52, 28, 32, 13, , 4
2019/11/9, 38, 26, 36, 13, , 4
2019/11/10, 42, 32, 35, 14, , 4
2019/11/11, 44, 43, 30, 16, , 5
2019/11/12, 47, 40, 26, 17, , 5
2019/11/13, 48, 36, 39, 9, , 3
2019/11/14, 42, 26, 33, 7, , 2
2019/11/15, 22, 28, 31, 10, , 3
2019/11/16, 47, 26, 38, 11, , 4
2019/11/17, 49, 34, 27, 13, , 4
2019/11/18, 47, 37, 32, 6, , 3
2019/11/19, 27, 27, 30, 4, , 2
2019/11/20, 12, 34, 26, 8, , 2
2019/11/21, 27, 43, 27, 11, , 3
2019/11/22, 47, 28, 23, 10, , 4
2019/11/23, 42, 28, 25, 13, , 5
2019/11/24, 50, 38, 32, 5, , 2
2019/11/25, 27, 20, 28, 7, , 2
2019/11/26, 28, 10, 25, 4, , 2
2019/11/27, 19, 6, 26, 3, , 2
2019/11/28, 20, 13, 21, 9, , 4
2019/11/29, 43, 15, 22, 6, , 3
2019/11/30, 49, 4, 18, 3, , 2
2019/12/1, 18, 4, 18, 4, , 2
2019/12/2, 17, 13, 18, 5, , 3
2019/12/3, 32, 17, 7, 7, , 3
2019/12/4, 61, 18, 19, 7, , 3
2019/12/5, 50, 13, 27, 5, , 2
2019/12/6, 28, 4, 29, 2, , 1
2019/12/7, 15, 10, 30, 4, , 2
2019/12/8, 23, 20, 15, 9, , 5
