date, pm25, pm10, o3, no2, so2, co
2020/1/2, 166, 96, 8, 37, 6, 13
2020/1/3, 174, 93, 6, 30, 6, 11
2020/1/4, 174, 48, 6, 22, 9, 10
2020/1/5, 124, 58, 5, 22, 3, 10
2020/1/6, 142, 51, 23, 25, 3, 10
2020/1/7, 124, 51, 17, 30, 2, 9
2020/1/8, 116, 31, 7, 22, 3, 9
2020/1/9, 83, 42, 8, 22, 6, 11
2020/1/10, 96, 59, 19, 25, 9, 14
2020/1/11, 132, 56, 21, 25, 6, 11
2020/1/12, 136, 60, 9, 30, 6, 10
2020/1/13, 141, 57, 8, 22, 4, 9
2020/1/14, 137, 44, 12, 21, 14, 8
2020/1/15, 103, 48, 1, 21, 12, 9
2020/1/16, 115, , , , , 
2019/10/1, 139, 57, 84, 21, 5, 7
2019/10/2, 128, 70, 64, 20, 7, 8
2019/10/3, 156, 48, 18, 17, 3, 7
2019/10/4, 114, 27, 19, 15, 3, 6
2019/10/5, 71, 38, 29, 19, 4, 7
2019/10/6, 87, 20, 13, 12, 2, 6
2019/10/7, 54, 35, 15, 18, 4, 6
2019/10/8, 66, 45, 8, 23, 2, 7
2019/10/9, 76, 40, 13, 18, 3, 6
2019/10/10, 87, 49, 23, 24, 4, 7
2019/10/11, 96, 51, 13, 26, 3, 8
2019/10/12, 102, 46, 18, 23, 3, 7
2019/10/13, 95, 27, 13, 22, 2, 8
2019/10/14, 68, 32, 16, 18, 2, 6
2019/10/15, 71, 22, 17, 21, 2, 7
2019/10/16, 62, 35, 24, 27, 3, 9
2019/10/17, 77, 47, 34, 26, 4, 8
2019/10/18, 96, 42, 41, 29, 5, 6
2019/10/19, 86, 44, 15, 31, 3, 7
2019/10/20, 92, 35, 12, 22, 2, 6
2019/10/21, 80, 24, 7, 19, 4, 6
2019/10/22, 62, 29, 22, 23, 5, 7
2019/10/23, 70, 40, 13, 29, 7, 8
2019/10/24, 86, 26, 13, 20, 4, 5
2019/10/25, 61, 26, 10, 19, 4, 5
2019/10/26, 63, 32, 13, 20, 4, 5
2019/10/27, 80, 48, 24, 24, 6, 8
2019/10/28, 94, 52, 32, 29, 8, 10
2019/10/29, 111, 72, 58, 40, 8, 11
2019/10/30, 141, 80, 21, 46, 7, 14
2019/10/31, 153, 76, 11, 34, 6, 11
2019/11/1, 150, 50, 13, 24, 2, 7
2019/11/2, 106, 52, 20, 24, 3, 8
2019/11/3, 112, 63, 26, 29, 5, 9
2019/11/4, 138, 49, 12, 29, 3, 7
2019/11/5, 112, 52, 21, 31, 3, 8
2019/11/6, 129, 64, 33, 31, 3, 8
2019/11/7, 148, 58, 13, 33, 6, 9
2019/11/8, 134, 65, 8, 30, 5, 11
2019/11/9, 132, 73, 27, 28, 5, 9
2019/11/10, 155, 71, 17, 31, 4, 9
2019/11/11, 149, 59, 8, 24, 3, 8
2019/11/12, 137, 46, 9, 19, 5, 7
2019/11/13, 100, 48, 22, 24, 5, 5
2019/11/14, 89, 66, 14, 34, 7, 8
2019/11/15, 129, 91, 5, 32, 7, 9
2019/11/16, 164, 64, 10, 24, 4, 9
2019/11/17, 145, 35, 13, 19, 2, 6
2019/11/18, 87, 59, 5, 24, 3, 8
2019/11/19, 111, 67, 3, 22, 3, 8
2019/11/20, 140, 61, 10, 21, 4, 7
2019/11/21, 136, 65, 4, 25, 4, 9
2019/11/22, 137, 64, 5, 22, 4, 9
2019/11/23, 147, 39, 10, 18, 2, 7
2019/11/24, 97, 30, 20, 18, 3, 5
2019/11/25, 77, 32, 6, 18, 3, 8
2019/11/26, 80, 46, 2, 18, 3, 8
2019/11/27, 104, 36, 5, 18, 3, 8
2019/11/28, 87, 31, 12, 20, 3, 7
2019/11/29, 74, 45, 6, 20, 3, 8
2019/11/30, 104, 45, 15, 20, 3, 9
2019/12/1, 109, 65, 10, 27, 5, 10
2019/12/2, 140, 75, 7, 31, 7, 12
2019/12/3, 158, 86, 4, 30, 7, 11
2019/12/4, 167, 77, 20, 27, 6, 8
2019/12/5, 165, 73, 15, 31, 6, 8
2019/12/6, 154, 74, 15, 32, 7, 11
2019/12/7, 156, 89, 7, 34, 8, 11
2019/12/8, 171, 102, 20, 35, 8, 10
2019/12/9, 184, 104, 18, 42, 7, 12
2019/12/10, 181, 106, 4, 37, 7, 14
2019/12/11, 184, 104, 5, 34, 5, 13
2019/12/12, 190, 116, 1, 36, 5, 17
2019/12/13, 190, 107, 2, 23, 5, 14
2019/12/14, 191, 82, 3, 23, 4, 13
2019/12/15, 169, 80, 13, 27, 4, 12
2019/12/16, 168, 78, 1, 25, 4, 15
2019/12/17, 162, 43, 7, 20, 3, 9
2019/12/18, 107, 43, 11, 20, 4, 7
2019/12/19, 104, 40, 4, 18, 4, 7
2019/12/20, 100, 50, 3, 21, 3, 7
2019/12/21, 124, 54, 9, 19, 4, 7
2019/12/22, 134, 67, 5, 25, 5, 10
2019/12/23, 146, 69, 4, 22, 6, 10
2019/12/24, 151, 63, 3, 21, 4, 10
2019/12/25, 148, 57, 13, 20, 5, 8
2019/12/26, 131, 55, 11, 23, 4, 7
2019/12/27, 126, 62, 3, 25, 2, 9
2019/12/28, 150, 66, 2, 23, 3, 10
2019/12/29, 150, , , , , 
2019/7/1, 124, 52, 98, 28, 4, 8
2019/7/2, 94, 57, 63, 25, 4, 9
2019/7/3, 117, 29, 27, 15, 1, 7
2019/7/4, 73, 37, 88, 27, 1, 8
