date, pm25, pm10, no2, so2, co
2020/1/2, 54, 10, 1, , 2
2020/1/3, 26, 10, 1, , 1
2020/1/4, 20, 15, 1, , 2
2020/1/5, 24, 13, 1, , 2
2020/1/6, 26, 11, 1, , 1
2020/1/7, 20, 13, 1, , 1
2020/1/8, 22, 13, 1, , 2
2020/1/9, 19, 13, , , 2
2020/1/10, 22, 13, 1, , 2
2020/1/11, 23, 8, , , 2
2020/1/12, 17, 14, 1, , 1
2020/1/13, 23, 13, 1, , 2
2020/1/14, 28, 13, 2, , 2
2020/1/15, 26, 11, 1, , 2
2020/1/16, 24, , , , 
2019/10/1, 21, 10, 3, , 2
2019/10/2, 28, 12, 6, , 3
2019/10/3, 32, 23, 5, , 4
2019/10/4, 55, 14, 3, , 3
2019/10/5, 39, 12, 2, , 1
2019/10/6, 29, 15, 2, , 2
2019/10/7, 34, 15, 9, , 3
2019/10/8, 33, 20, 4, , 2
2019/10/9, 42, 14, 4, , 2
2019/10/10, 33, 16, 4, , 2
2019/10/11, 41, 4, 1, , 2
2019/10/12, 11, 4, 1, , 2
2019/10/13, 14, 4, 1, , 2
2019/10/14, 9, 8, 1, , 2
2019/10/15, 11, 10, 3, , 2
2019/10/16, 20, 9, 4, , 2
2019/10/17, 27, 5, 3, 70, 2
2019/10/18, 15, 7, 3, , 2
2019/10/19, 16, 9, 2, , 2
2019/10/20, 26, 12, 2, , 2
2019/10/21, 28, 7, 2, , 2
2019/10/22, 17, 5, 2, , 2
2019/10/23, 12, 11, 5, , 3
2019/10/24, 35, 13, 4, , 2
2019/10/25, 33, 16, 2, , 2
2019/10/26, 31, 11, 1, , 2
2019/10/27, 32, 9, 2, , 2
2019/10/28, 22, 6, 4, , 2
2019/10/29, 15, 11, 3, , 2
2019/10/30, 20, 12, 3, , 2
2019/10/31, 25, 16, 3, , 2
2019/11/1, 30, 19, 4, , 2
2019/11/2, 35, 22, 4, , 3
2019/11/3, 42, 21, 4, , 2
2019/11/4, 36, 19, 6, , 3
2019/11/5, 34, 12, 2, , 2
2019/11/6, 27, 12, 3, , 2
2019/11/7, 29, 16, 1, , 2
2019/11/8, 24, 14, 1, , 2
2019/11/9, 20, 11, 1, , 2
2019/11/10, 23, 7, 2, , 2
2019/11/11, 19, 8, 2, , 2
2019/11/12, 15, 11, 2, , 2
2019/11/13, 27, 8, 1, , 2
2019/11/14, 22, 7, 2, , 2
2019/11/15, 19, 7, 1, , 2
2019/11/16, 19, 8, 1, , 2
2019/11/17, 14, 9, 2, , 2
2019/11/18, 15, 5, 2, , 2
2019/11/19, 12, 9, 2, , 2
2019/11/20, 25, 10, 3, , 2
2019/11/21, 24, 11, 5, , 2
2019/11/22, 22, 18, 1, , 2
2019/11/23, 33, 21, 1, , 2
2019/11/24, 38, 16, 1, , 2
2019/11/25, 24, 21, 4, , 2
2019/11/26, 34, 13, 3, , 2
2019/11/27, 20, 20, 1, , 2
2019/11/28, 33, 12, 2, , 2
2019/11/29, 25, 17, , , 2
2019/11/30, 29, 11, 1, , 2
2019/12/1, 18, 16, 3, , 3
2019/12/2, 33, 12, 1, , 2
2019/12/3, 19, 8, 1, , 2
2019/12/4, 18, 8, 2, , 2
2019/12/5, 13, 25, 1, , 2
2019/12/6, 51, 23, 1, , 3
2019/12/7, 52, 9, , , 2
2019/12/8, 21, 9, 1, , 2
2019/12/9, 16, 10, 1, , 2
2019/12/10, 18, 15, 1, 3, 2
2019/12/11, 25, 13, 2, , 2
2019/12/12, 25, 16, 1, , 2
2019/12/13, 30, 14, 1, , 2
2019/12/14, 24, 14, 2, , 2
2019/12/15, 25, 12, 1, , 2
2019/12/16, 21, 6, 2, , 2
2019/12/17, 16, 7, 2, , 1
2019/12/18, 16, 9, 1, , 1
2019/12/19, 20, 8, 1, , 1
2019/12/20, 21, 9, 1, , 1
2019/12/21, 20, 19, , , 1
2019/12/22, 30, 13, 1, , 1
2019/12/23, 23, 12, , , 1
2019/12/24, 20, 12, , , 1
2019/12/25, 21, 14, , , 1
2019/12/26, 22, 10, 1, , 2
2019/12/27, 14, 10, 1, , 1
2019/12/28, 17, 9, 1, , 1
2019/12/29, 19, , , , 
2019/7/1, 117, 48, 7, , 3
2019/7/2, 123, 10, 9, , 2
2019/7/3, 26, 20, 8, , 1
2019/7/4, 49, 8, 4, , 
2019/7/5, 26, 25, 6, , 3
2019/7/6, 69, 50, 9, , 14
2019/7/7, 121, 33, 13, , 7
2019/7/8, 75, 28, 10, , 3
2019/7/9, 65, 24, 8, , 2
2019/7/10, 66, 15, 11, , 4
2019/7/11, 38, 28, 8, , 3
2019/7/12, 71, 30, 7, , 5
2019/7/13, 85, 14, 6, , 1
2019/7/14, 47, 14, 5, 6, 3
2019/7/15, 39, 24, 10, , 2
2019/7/16, 65, 21, 8, , 3
2019/7/17, 63, 33, 9, , 9
2019/7/18, 90, 14, 7, , 2
2019/7/19, 40, 8, 2, , 1
2019/7/20, 33, 14, 3, , 1
2019/7/21, 38, 10, 4, , 1
2019/7/22, 29, 14, 7, , 1
2019/7/23, 45, 14, 6, , 1
2019/7/24, 33, 19, 6, , 2
2019/7/25, 43, 12, 4, , 1
2019/7/26, 33, 22, 6, , 3
2019/7/27, 52, 50, 8, , 8
2019/7/28, 117, 46, 5, , 6
2019/7/29, 102, 17, 5, , 1
2019/7/30, 38, 9, 2, , 1
2019/7/31, 30, 15, 5, , 2
2019/8/1, 44, 21, 7, , 3
2019/8/2, 61, 18, 4, , 2
2019/8/3, 46, 18, 6, , 3
2019/8/4, 49, 24, 10, , 3
2019/8/5, 63, 46, 14, , 9
2019/8/6, 104, 48, 12, , 12
2019/8/7, 113, 35, 12, , 14
2019/8/8, 89, 21, 9, , 4
2019/8/9, 58, 10, 2, , 1
2019/8/10, 26, 10, 2, , 1
2019/8/11, 38, 16, 7, , 4
2019/8/12, 47, 15, 7, , 6
2019/8/13, 43, 14, 6, , 1
2019/8/14, 35, 25, 6, , 4
2019/8/15, 56, 22, 7, , 4
2019/8/16, 58, 11, 3, , 1
2019/8/17, 36, 12, 4, , 2
2019/8/18, 38, 19, 2, , 1
2019/8/19, 47, 12, 7, 18, 3
2019/8/20, 41, 10, 5, , 1
2019/8/21, 18, 14, 8, , 3
2019/8/22, 39, 18, 6, , 3
2019/8/23, 51, 9, 3, , 1
2019/8/24, 26, 27, 10, , 5
2019/8/25, 64, 11, 6, , 2
2019/8/26, 29, 9, 5, , 2
2019/8/27, 23, 23, 8, , 4
2019/8/28, 60, 22, 7, , 4
2019/8/29, 51, 12, 5, , 2
2019/8/30, 26, 19, 8, , 3
