date, pm25, no2, co
2020/1/2, 25, 22, 3
2020/1/3, 42, 6, 1
2020/1/4, 42, 6, 1
2020/1/5, 16, 16, 4
2020/1/6, 29, 20, 6
2020/1/7, 42, 13, 2
2020/1/8, 24, 21, 3
2020/1/9, 30, 31, 5
2020/1/10, 48, 8, 1
2020/1/11, 8, 9, 2
2020/1/12, 22, 16, 3
2020/1/13, 36, 16, 5
2020/1/14, 54, 15, 5
2020/1/15, 52, 5, 1
2020/1/16, 39, , 
2019/10/1, 69, 15, 4
2019/10/2, 55, 15, 3
2019/10/3, 45, 13, 3
2019/10/4, 21, 12, 4
2019/10/5, 27, 15, 4
2019/10/6, 63, 17, 4
2019/10/7, 46, 18, 6
2019/10/8, 43, 19, 5
2019/10/9, 39, 17, 6
2019/10/10, 54, 15, 3
2019/10/11, 43, 7, 2
2019/10/12, 16, 10, 4
2019/10/13, 35, 18, 4
2019/10/14, 35, 16, 5
2019/10/15, 47, 6, 2
2019/10/16, 23, 11, 3
2019/10/17, 25, 16, 6
2019/10/18, 46, 16, 6
2019/10/19, 48, 13, 4
2019/10/20, 43, 9, 2
2019/10/21, 30, 13, 1
2019/10/22, 18, , 2
2019/10/23, 23, 24, 4
2019/10/24, 44, 25, 6
2019/10/25, 68, 14, 3
2019/10/26, 49, 7, 3
2019/10/27, 20, 17, 7
2019/10/28, 53, 19, 4
2019/10/29, 59, 18, 5
2019/10/30, 61, 8, 2
2019/10/31, 23, 10, 3
2019/11/1, 34, 12, 4
2019/11/2, 36, 17, 3
2019/11/3, 32, 22, 4
2019/11/4, 29, 16, 3
2019/11/5, 42, 21, 5
2019/11/6, 56, 19, 3
2019/11/7, 39, 22, 5
2019/11/8, 30, 21, 5
2019/11/9, 46, 19, 3
2019/11/10, 36, 21, 4
2019/11/11, 46, 10, 2
2019/11/12, 30, 20, 4
2019/11/13, 54, 24, 4
2019/11/14, 50, 25, 6
2019/11/15, 77, 18, 6
2019/11/16, 67, 25, 9
2019/11/17, 58, 22, 8
2019/11/18, 93, 17, 4
2019/11/19, 57, 15, 3
2019/11/20, 49, 14, 3
2019/11/21, 41, 15, 4
2019/11/22, 33, 14, 5
2019/11/23, 46, 11, 2
2019/11/24, 45, 24, 5
2019/11/25, 40, 20, 5
2019/11/26, 47, 5, 2
2019/11/27, 28, 7, 3
2019/11/28, 24, 14, 4
2019/11/29, 34, 10, 3
2019/11/30, 28, 9, 2
2019/12/1, 16, 6, 2
2019/12/2, 28, 13, 2
2019/12/3, 28, 10, 2
2019/12/4, 18, 21, 6
2019/12/5, 43, 22, 6
2019/12/6, 52, 21, 6
2019/12/7, 45, 19, 6
2019/12/8, 48, 12, 2
2019/12/9, 38, 5, 1
2019/12/10, 29, 19, 4
2019/12/11, 44, 24, 5
2019/12/12, 52, 23, 7
2019/12/13, 43, 12, 2
2019/12/14, 44, 9, 2
2019/12/15, 51, 24, 4
2019/12/16, 56, 18, 3
2019/12/17, 46, 12, 2
2019/12/18, 50, 24, 4
2019/12/19, 52, 27, 9
2019/12/20, 77, 23, 11
2019/12/21, 67, 25, 11
2019/12/22, 71, 27, 12
2019/12/23, 69, 24, 12
2019/12/24, 68, 20, 10
2019/12/25, 59, 24, 7
2019/12/26, 42, 18, 3
2019/12/27, 58, 14, 4
2019/12/28, 83, , 
2019/7/1, 32, 11, 2
2019/7/2, 49, 17, 3
2019/7/3, 49, 14, 3
2019/7/4, 68, 13, 3
2019/7/5, 84, 11, 2
2019/7/6, 53, 9, 3
2019/7/7, 47, 20, 4
2019/7/8, 51, 26, 5
2019/7/9, 54, 17, 4
2019/7/10, 61, 17, 3
2019/7/11, 32, 17, 4
2019/7/12, 36, 19, 4
2019/7/13, 56, 16, 3
2019/7/14, 48, 22, 4
2019/7/15, 39, 9, 2
2019/7/16, 31, 10, 2
2019/7/17, 20, 15, 3
2019/7/18, 38, 12, 2
2019/7/19, 63, 11, 3
2019/7/24, 51, 23, 5
2019/7/25, 52, 19, 5
2019/7/26, 57, 13, 5
2019/7/27, 61, 14, 3
2019/7/28, 64, 12, 3
2019/7/29, 59, 13, 3
2019/7/30, 42, 17, 4
2019/7/31, 44, 24, 4
2019/8/1, 55, 24, 5
2019/8/2, 53, 20, 5
2019/8/3, 49, 19, 5
