date, pm25, no2, co
2020/1/2, 25, 14, 2
2020/1/3, 55, 6, 1
2020/1/4, 46, 4, 1
2020/1/5, 27, 7, 2
2020/1/6, 31, 15, 3
2020/1/7, 30, 6, 2
2020/1/8, 33, 6, 2
2020/1/9, 33, 7, 1
2020/1/10, 31, 3, 
2020/1/11, 15, 4, 1
2020/1/12, 18, 8, 2
2020/1/13, 41, 7, 2
2020/1/14, 54, 11, 2
2020/1/15, 59, 6, 1
2020/1/16, 48, , 
2019/10/1, 52, 10, 2
2019/10/2, 40, 4, 2
2019/10/3, 28, 3, 1
2019/10/4, 11, 1, 1
2019/10/5, 19, 7, 2
2019/10/6, 33, 11, 3
2019/10/7, 31, 6, 2
2019/10/8, 34, 1, 1
2019/10/9, 21, 2, 1
2019/10/10, 22, 3, 1
2019/10/11, 24, 4, 2
2019/10/12, 25, 3, 2
2019/10/13, 20, 9, 3
2019/10/14, 26, 9, 2
2019/10/15, 35, 6, 2
2019/10/16, 23, 5, 2
2019/10/17, 13, 7, 2
2019/10/18, 18, 3, 2
2019/10/19, 32, 9, 3
2019/10/20, 46, 4, 2
2019/10/21, 37, 5, 1
2019/10/22, 17, 7, 2
2019/10/23, 22, 9, 2
2019/10/24, 28, 8, 3
2019/10/25, 38, 4, 2
2019/10/26, 53, 7, 2
2019/10/27, 28, 11, 3
2019/10/28, 43, 14, 2
2019/10/29, 48, 5, 1
2019/10/30, 47, 5, 1
2019/10/31, 21, 9, 2
2019/11/1, 38, 8, 2
2019/11/2, 47, 5, 2
2019/11/3, 31, 5, 2
2019/11/4, 27, 11, 3
2019/11/5, 41, 11, 3
2019/11/6, 45, 10, 3
2019/11/7, 34, 11, 3
2019/11/8, 20, 9, 2
2019/11/9, 38, 8, 2
2019/11/10, 54, 4, 
2019/11/11, 29, 8, 1
2019/11/12, 21, 8, 1
2019/11/13, 28, 13, 2
2019/11/14, 51, 13, 2
2019/11/15, 79, 2, 1
2019/11/16, 21, 4, 1
2019/11/17, 29, 14, 2
2019/11/18, 44, 20, 4
2019/11/19, 110, 14, 3
2019/11/20, 63, 9, 2
2019/11/21, 54, 9, 3
2019/11/22, 25, 12, 3
2019/11/23, 49, 8, 2
2019/11/24, 60, 8, 3
2019/11/25, 53, 9, 2
2019/11/26, 44, 4, 1
2019/11/27, 23, 2, 2
2019/11/28, 16, 6, 3
2019/11/29, 24, 2, 2
2019/11/30, 45, 4, 2
2019/12/1, 22, 9, 3
2019/12/2, 31, 9, 2
2019/12/3, 41, 10, 2
2019/12/4, 59, 12, 3
2019/12/5, 34, 10, 2
2019/12/6, 37, 8, 2
2019/12/7, 30, 5, 1
2019/12/8, 45, 7, 1
2019/12/9, 29, 7, 1
2019/12/10, 51, 8, 2
2019/12/11, 43, 13, 2
2019/12/12, 62, 12, 2
2019/12/13, 50, 14, 2
2019/12/14, 68, 7, 2
2019/12/15, 53, 6, 2
2019/12/16, 73, 12, 2
2019/12/17, 56, 8, 2
2019/12/18, 48, 11, 3
2019/12/19, 43, 15, 3
2019/12/20, 67, 19, 3
2019/12/21, 76, 19, 3
2019/12/22, 65, 20, 3
2019/12/23, 55, 7, 2
2019/12/24, 85, 10, 2
2019/12/25, 56, 11, 2
2019/12/26, 41, 8, 2
2019/12/27, 57, 6, 1
2019/12/28, 73, , 
2019/7/13, 39, 3, 2
2019/7/14, 29, 4, 2
2019/7/15, 34, 5, 1
2019/7/16, 34, 7, 2
2019/7/17, 24, 9, 2
2019/7/18, 39, 6, 2
2019/7/19, 44, 4, 2
2019/7/20, 39, 3, 1
2019/7/21, 25, 4, 1
2019/7/22, 23, 7, 2
2019/7/23, 26, 7, 2
2019/7/24, 30, 9, 2
2019/7/25, 38, 5, 2
2019/7/26, 46, 4, 2
2019/7/27, 53, 4, 3
2019/7/28, 55, 6, 2
2019/7/29, 57, 8, 2
2019/7/30, 32, 6, 2
2019/7/31, 33, 5, 2
2019/8/1, 27, 5, 2
2019/8/2, 31, 5, 2
2019/8/3, 31, 5, 3
2019/8/4, 35, 6, 3
2019/8/5, 51, 8, 2
2019/8/6, 43, 12, 3
2019/8/7, 41, 10, 2
2019/8/8, 35, 9, 3
2019/8/9, 24, 4, 2
2019/8/10, 24, 4, 2
2019/8/11, 31, 6, 2
2019/8/12, 39, 8, 3
2019/8/13, 47, 7, 3
2019/8/14, 38, 5, 2
2019/8/15, 35, 9, 3
2019/8/16, 41, 5, 2
2019/8/17, 40, 3, 2
2019/8/18, 37, 10, 3
2019/8/19, 22, 4, 2
2019/8/20, 33, 8, 3
2019/8/21, 38, 3, 2
2019/8/22, 21, 3, 2
2019/8/23, 19, 1, 2
2019/8/24, 20, 1, 2
2019/8/25, 23, 2, 2
2019/8/26, 25, 4, 2
2019/8/27, 22, 9, 3
2019/8/28, 25, 8, 2
2019/8/29, 24, 8, 3
2019/8/30, 27, 2, 2
2019/8/31, 21, 4, 3
2019/9/1, 34, 5, 3
2019/9/2, 38, 6, 2
2019/9/3, 38, 5, 2
2019/9/4, 32, 3, 2
2019/9/5, 21, 6, 2
2019/9/6, 27, 8, 3
2019/9/7, 37, 4, 2
2019/9/8, 26, 2, 2
2019/9/9, 23, 5, 2
2019/9/10, 36, 12, 3
2019/9/11, 51, 9, 3
2019/9/12, 30, 3, 2
2019/9/13, 46, 6, 2
2019/9/14, 23, 5, 2
2019/9/15, 31, 8, 2
2019/9/16, 30, 2, 1
2019/9/17, 27, 1, 1
2019/9/18, 18, 3, 1
2019/9/19, 26, 5, 2
2019/9/20, 39, 7, 3
2019/9/21, 60, 4, 2
2019/9/22, 47, 5, 2
2019/9/23, 24, 8, 3
2019/9/24, 25, 8, 2
2019/9/25, 31, 9, 2
2019/9/26, 27, 10, 2
2019/9/27, 31, 4, 2
2019/9/28, 20, 1, 1
2019/9/29, 22, 6, 2
2019/9/30, 38, 12, 3
2018/10/7, 32, 4, 2
2018/10/8, 45, 4, 2
2018/10/9, 31, 4, 2
2018/10/10, 25, 4, 1
2018/10/11, 24, 5, 2
2018/10/12, 19, 8, 2
2018/10/13, 34, 7, 1
2018/10/14, 33, 4, 
2018/10/15, 27, 7, 1
2018/10/16, 24, 9, 1
2018/10/17, 22, 7, 2
2018/10/18, 14, 10, 3
2018/10/19, 32, 12, 3
2018/10/20, 34, 4, 2
2018/10/21, 16, 7, 2
2018/10/22, 36, 12, 2
2018/10/23, 32, 14, 3
2018/10/24, 15, 7, 3
2018/10/25, 28, 6, 3
2018/10/26, 32, 3, 2
2018/10/27, 14, 5, 3
2018/10/28, 20, 6, 2
2018/10/29, 30, 10, 3
2018/10/30, 46, 12, 4
2018/10/31, 42, 8, 2
2018/11/1, 21, 3, 2
2018/11/2, 13, 10, 3
2018/11/3, 20, 8, 3
2018/11/4, 28, 5, 2
2018/11/5, 28, 6, 2
2018/11/6, 16, 4, 2
2018/11/7, 27, 6, 3
2018/11/8, 33, 9, 3
2018/11/9, 33, 5, 3
2018/11/10, 37, 5, 3
2018/11/11, 34, 7, 3
2018/11/12, 55, 24, 6
2018/11/13, 42, 14, 4
2018/11/14, 28, 6, 3
2018/11/15, 25, 5, 2
2018/11/16, 58, 11, 4
2018/11/17, 54, 9, 3
2018/11/18, 57, 9, 4
2018/11/19, 50, 13, 4
2018/11/20, 45, 13, 3
2018/11/21, 47, 8, 3
2018/11/22, 13, 2, 2
2018/11/23, 35, 4, 2
2018/11/24, 35, 4, 2
2018/11/25, 58, 5, 2
2018/11/26, 29, 5, 2
2018/11/27, 22, 8, 2
2018/11/28, 40, 8, 3
2018/11/29, 60, 8, 2
2018/11/30, 74, 15, 4
2018/12/1, 43, 4, 2
2018/12/2, 24, 3, 2
