date, pm25, pm10, o3, co
2020/1/2, 13, , , 
2020/1/3, 30, , 1, 
2020/1/4, 20, , , 
2020/1/5, 17, , , 
2020/1/6, 13, , , 
2020/1/7, 19, , , 
2020/1/8, 15, , , 
2020/1/9, 16, , , 
2020/1/10, 27, , , 
2020/1/11, 16, , , 
2020/1/12, 8, , , 
2020/1/13, 24, , 5, 14
2020/1/14, 15, , , 
2020/1/15, 16, , , 
2020/1/16, 15, , , 
2019/10/1, 21, , , 
2019/10/2, 22, , , 
2019/10/3, 42, , , 
2019/10/4, 27, , , 
2019/10/5, 11, , , 
2019/10/6, 29, , , 
2019/10/7, 26, , , 
2019/10/8, 13, , , 
2019/10/9, 16, , , 
2019/10/10, 31, , , 
2019/10/11, 31, , , 
2019/10/12, 31, , , 
2019/10/13, 43, , , 
2019/10/14, 38, , , 
2019/10/15, 43, , , 
2019/10/16, 52, , , 
2019/10/17, 27, , , 
2019/10/18, 17, , , 
2019/10/19, 17, , , 
2019/10/20, 13, , , 
2019/10/21, 25, , , 
2019/10/22, 14, , , 
2019/10/23, 4, , , 
2019/10/24, 13, , , 
2019/10/25, 41, , , 
2019/10/26, 22, , , 
2019/10/27, 41, , , 
2019/10/28, 14, , , 
2019/10/29, 29, , , 
2019/10/30, 67, , , 
2019/10/31, 63, , , 
2019/11/1, 70, , , 
2019/11/2, 61, , , 
2019/11/3, 49, , , 
2019/11/4, 55, , , 
2019/11/5, 44, , , 
2019/11/6, 51, , , 
2019/11/7, 44, , , 
2019/11/8, 49, , , 
2019/11/9, 49, , , 
2019/11/10, 41, , , 
2019/11/11, 28, , , 
2019/11/12, 39, , , 
2019/11/13, 40, , , 
2019/11/14, 33, , , 
2019/11/15, 26, , , 
2019/11/16, 33, , , 
2019/11/17, 46, , , 
2019/11/18, 44, , , 
2019/11/19, 28, , 13, 
2019/11/20, 25, , , 
2019/11/21, 48, , , 
2019/11/22, 64, , , 
2019/11/23, 56, , , 
2019/11/24, 26, , , 
2019/11/25, 28, , , 
2019/11/26, 18, , , 
2019/11/27, 15, , , 
2019/11/28, 17, , , 
2019/11/29, 25, , , 
2019/11/30, 50, , , 
2019/12/1, 38, , , 
2019/12/2, 43, , , 
2019/12/3, 34, , , 
2019/12/4, 36, , , 
2019/12/5, 48, , , 
2019/12/6, 38, , , 
2019/12/7, 33, , , 
2019/12/8, 13, , , 
2019/12/9, 23, , , 
2019/12/10, 39, , , 
2019/12/11, 23, , 5, 
2019/12/12, 21, , , 
2019/12/13, 12, , , 
2019/12/14, 16, , , 
2019/12/15, 14, , 5, 
2019/12/16, 25, , , 
2019/12/17, 41, , , 
2019/12/18, 39, , , 
2019/12/19, 30, , , 45
2019/12/20, 12, , , 
2019/12/21, 17, , , 50
2019/12/22, 23, , , 
2019/12/23, 19, , , 120
2019/12/24, 23, , , 
2019/12/25, 25, , , 51
2019/12/26, 14, , , 
2019/12/27, 18, , , 
2019/12/28, 13, , , 
2019/7/1, 26, , , 
2019/7/2, 25, , , 
2019/7/3, 26, 9, , 
2019/7/4, 52, , , 
2019/7/5, 39, 6, , 
2019/7/6, 28, , 2, 
2019/7/7, 28, , , 
2019/7/8, 23, , , 
2019/7/9, 23, , 7, 
2019/7/10, 28, , , 
2019/7/11, 18, , , 
2019/7/12, 17, , , 
2019/7/13, 19, , , 
2019/7/14, 22, , , 
2019/7/15, 22, , , 
2019/7/16, 14, , , 
2019/7/17, 23, , , 
2019/7/18, 12, , , 
2019/7/19, 22, , , 
2019/7/20, 18, , , 
2019/7/21, 17, , , 
2019/7/22, 36, , , 
2019/7/23, 36, , , 
2019/7/24, 20, , , 22
2019/7/25, 24, , 4, 
2019/7/26, 28, , , 
2019/7/27, 36, , , 
2019/7/28, 33, , , 
2019/7/29, 24, , , 
2019/7/30, 31, , , 
2019/7/31, 28, , , 
2019/8/1, 28, , , 
2019/8/2, 23, , , 
2019/8/3, 25, , , 
2019/8/4, 33, , , 
2019/8/5, 42, , , 
2019/8/6, 59, , , 
2019/8/7, 56, , , 
2019/8/8, 41, , 5, 
2019/8/9, 68, , , 
2019/8/10, 46, , , 
2019/8/11, 13, , , 
2019/8/12, 18, , , 
2019/8/13, 15, , , 
2019/8/14, 20, , , 
2019/8/15, 24, , , 
2019/8/16, 26, , , 
2019/8/17, 28, , , 
2019/8/18, 17, , , 
2019/8/19, 22, , , 
2019/8/20, 24, , , 
2019/8/21, 33, , , 
2019/8/22, 15, , , 
2019/8/23, 17, , , 
2019/8/24, 22, , , 
2019/8/25, 23, , 9, 
2019/8/26, 21, , , 
2019/8/27, 27, , , 
2019/8/28, 22, , , 
