date, pm25, pm10
2020/1/2, 8, 4
2020/1/3, 18, 7
2020/1/4, 28, 5
2020/1/5, 9, 3
2020/1/6, 6, 2
2020/1/7, 8, 6
2020/1/8, 22, 4
2020/1/9, 14, 13
2020/1/10, 25, 5
2020/1/11, 23, 3
2020/1/12, 9, 6
2020/1/13, 17, 3
2020/1/14, 14, 9
2020/1/15, 36, 1
2020/1/16, 14, 
2019/10/1, 22, 11
2019/10/2, 28, 14
2019/10/3, 43, 14
2019/10/4, 34, 
2019/10/5, 14, 
2019/10/6, 24, 11
2019/10/7, 22, 7
2019/10/8, 6, 6
2019/10/9, 21, 11
2019/10/10, 40, 16
2019/10/11, 46, 17
2019/10/12, 52, 12
2019/10/13, 34, 10
2019/10/14, 29, 17
2019/10/15, 37, 25
2019/10/16, 57, 17
2019/10/17, 38, 3
2019/10/18, 6, 4
2019/10/19, 16, 3
2019/10/20, 13, 6
2019/10/21, 17, 11
2019/10/22, 15, 13
2019/10/23, 36, 13
2019/10/24, 36, 15
2019/10/25, 27, 3
2019/10/26, 5, 3
2019/10/27, 16, 5
2019/10/28, 12, 11
2019/10/29, 38, 14
2019/10/30, 53, 25
2019/10/31, 68, 28
2019/11/1, 80, 34
2019/11/2, 95, 32
2019/11/3, 84, 23
2019/11/4, 60, 22
2019/11/5, 57, 9
2019/11/6, 23, 14
2019/11/7, 36, 35
2019/11/8, 84, 25
2019/11/9, 62, 6
2019/11/10, 14, 8
2019/11/11, 25, 17
2019/11/12, 50, 24
2019/11/13, 75, 22
2019/11/14, 71, 17
2019/11/15, 58, 11
2019/11/16, 30, 5
2019/11/17, 19, 10
2019/11/18, 30, 6
2019/11/19, 12, 6
2019/11/20, 15, 5
2019/11/21, 15, 18
2019/11/22, 43, 27
2019/11/23, 76, 8
2019/11/24, 33, 14
2019/11/25, 34, 10
2019/11/26, 33, 11
2019/11/27, 13, 3
2019/11/28, 14, 4
2019/11/29, 13, 12
2019/11/30, 39, 22
2019/12/1, 59, 18
2019/12/2, 60, 4
2019/12/3, 18, 4
2019/12/4, 13, 12
2019/12/5, 45, 16
2019/12/6, 55, 14
2019/12/7, 52, 6
2019/12/8, 21, 13
2019/12/9, 45, 20
2019/12/10, 58, 14
2019/12/11, 52, 8
2019/12/12, 26, 3
2019/12/13, 12, 3
2019/12/14, 13, 5
2019/12/15, 17, 8
2019/12/16, 13, 11
2019/12/17, 32, 20
2019/12/18, 55, 13
2019/12/19, 35, 2
2019/12/20, 7, 4
2019/12/21, 5, 11
2019/12/22, 15, 12
2019/12/23, 39, 10
2019/12/24, 39, 8
2019/12/25, 36, 10
2019/12/26, 27, 9
2019/12/27, 30, 9
2019/12/28, 39, 
2019/7/1, 21, 12
2019/7/2, 16, 5
2019/7/3, 14, 7
2019/7/4, 17, 8
2019/7/5, 17, 8
2019/7/6, 18, 10
2019/7/7, 19, 11
2019/7/8, 17, 9
2019/7/9, 20, 13
2019/7/10, 27, 11
2019/7/11, 19, 13
2019/7/12, 17, 13
2019/7/13, 19, 12
2019/7/14, 17, 13
2019/7/15, 20, 7
2019/7/16, 17, 7
2019/7/17, 12, 10
2019/7/18, 4, 10
2019/7/19, 17, 7
2019/7/20, 12, 8
2019/7/21, 15, 14
2019/7/22, 29, 18
2019/7/23, 36, 10
2019/7/24, 15, 12
2019/7/25, 22, 12
2019/7/26, 25, 21
2019/7/27, 34, 
2019/7/28, 23, 14
2019/7/29, 26, 15
2019/7/30, 20, 15
2019/7/31, 30, 17
2019/8/1, 34, 15
2019/8/2, 31, 11
2019/8/3, 23, 16
2019/8/4, 37, 16
2019/8/5, 40, 24
2019/8/6, 55, 31
2019/8/7, 59, 35
2019/8/8, 75, 23
2019/8/9, 59, 6
2019/8/10, 23, 5
2019/8/11, 17, 8
2019/8/12, 13, 9
2019/8/13, 18, 10
2019/8/14, 16, 9
2019/8/15, 16, 13
2019/8/16, 24, 4
2019/8/17, 10, 9
2019/8/18, 17, 10
2019/8/19, 21, 11
2019/8/20, 21, 13
2019/8/21, 25, 10
2019/8/22, 25, 7
2019/8/23, 14, 11
2019/8/24, 15, 8
2019/8/25, 16, 9
2019/8/26, 11, 10
2019/8/27, 17, 10
2019/8/28, 21, 15
2019/8/29, 15, 9
2019/8/30, 13, 9
2019/8/31, 17, 12
2019/9/1, 23, 13
2019/9/2, 20, 10
2019/9/3, 16, 13
2019/9/4, 17, 15
2019/9/5, 32, 15
2019/9/6, 30, 14
2019/9/7, 31, 9
2019/9/8, 23, 3
2019/9/9, 10, 4
2019/9/10, 8, 5
2019/9/11, 8, 10
2019/9/12, 10, 14
2019/9/13, 20, 10
2019/9/14, 18, 11
2019/9/15, 24, 13
2019/9/16, 23, 6
2019/9/17, 12, 7
2019/9/18, 13, 3
2019/9/19, 11, 7
2019/9/20, 13, 6
2019/9/21, 17, 8
2019/9/22, 17, 5
2019/9/23, 8, 7
2019/9/24, 13, 13
2019/9/25, 22, 7
2019/9/26, 28, 7
2019/9/27, 21, 7
2019/9/28, 8, 5
2019/9/29, 8, 4
2019/9/30, 13, 7
2019/4/1, 30, 6
2019/4/2, 14, 7
2019/4/3, 26, 9
2019/4/4, 32, 5
2019/4/5, 28, 2
2019/4/6, 11, 4
2019/4/7, 18, 8
2019/4/8, 22, 4
2019/4/9, 15, 2
2019/4/10, 19, 5
2019/4/11, 15, 6
2019/4/12, 18, 2
2019/4/13, 16, 3
2019/4/14, 10, 4
2019/4/15, 14, 5
2019/4/16, 12, 4
2019/4/17, 8, 12
2019/4/18, 28, 9
2019/4/19, 30, 2
2019/4/20, 14, 5
2019/4/21, 19, 10
2019/4/22, 25, 11
2019/4/23, 9, 11
2019/4/24, 22, 16
2019/4/25, 33, 14
2019/4/26, 35, 4
2019/4/27, 15, 3
2019/4/28, 12, 4
2019/4/29, 21, 6
2019/4/30, 15, 9
2019/5/1, 21, 12
2019/5/6, 12, 11
2019/5/7, 15, 18
2019/5/8, 10, 9
2019/5/9, 11, 15
2019/5/10, 17, 16
2019/5/11, 17, 21
2019/5/12, 25, 24
2019/5/13, 29, 19
2019/5/14, 17, 8
2019/5/15, 10, 20
2019/5/16, 3, 3
2019/5/17, 4, 3
2019/5/18, 3, 4
2019/5/19, 6, 16
2019/5/20, 6, 28
2019/5/21, 6, 16
2019/5/22, 10, 15
2019/5/23, 13, 14
2019/5/24, 16, 5
2019/5/25, 12, 3
2019/5/26, 5, 6
2019/5/27, 12, 9
2019/5/28, 11, 13
2019/5/29, 19, 22
2019/5/30, 39, 30
2019/5/31, 68, 31
2019/6/1, 70, 20
2019/6/2, 40, 18
2019/6/3, 28, 16
2019/6/4, 13, 18
2019/6/5, 22, 2
2019/6/6, 4, 5
2019/6/7, 6, 4
2019/6/8, 11, 7
2019/6/9, 11, 8
2019/6/10, 16, 11
2019/6/11, 19, 9
2019/6/12, 23, 12
2019/6/13, 14, 13
2019/6/14, 13, 9
